scenario_id,window_index,day,request_count,accepted_fast_path_count,programmable_fallback_count,fail_safe_count,near_threshold_count,stale_policy_count,drift_count,audit_failure_count,utilization,policy_update_in_window
high_volume_stable_moderation,32,1,33302,33052,250,0,100,33,33,17,0.35,False
high_volume_stable_moderation,33,1,44183,43852,331,0,133,44,44,22,0.35,False
high_volume_stable_moderation,34,1,38754,38464,290,0,117,38,39,19,0.35,False
high_volume_stable_moderation,35,1,49730,49359,371,0,149,49,50,24,0.35,False
high_volume_stable_moderation,36,1,54598,54190,408,0,164,54,55,27,0.35,False
high_volume_stable_moderation,37,1,42343,42025,318,0,128,42,43,21,0.35,False
high_volume_stable_moderation,38,1,42796,42476,320,0,128,43,43,21,0.35,False
high_volume_stable_moderation,39,1,35833,35565,268,0,108,36,35,18,0.35,False
high_volume_stable_moderation,40,1,32917,32671,246,0,99,32,33,16,0.35,False
high_volume_stable_moderation,41,1,30783,30551,232,0,92,31,31,16,0.35,False
high_volume_stable_moderation,42,1,30069,29844,225,0,91,30,30,15,0.35,False
high_volume_stable_moderation,43,1,40756,40453,303,0,122,41,40,20,0.35,False
high_volume_stable_moderation,44,1,33749,33497,252,0,101,34,33,17,0.35,False
high_volume_stable_moderation,45,1,48626,48261,365,0,146,49,49,24,0.35,False
high_volume_stable_moderation,46,1,38750,38460,290,0,116,39,39,19,0.35,False
high_volume_stable_moderation,47,1,40893,40587,306,0,123,41,41,20,0.35,False
high_volume_stable_moderation,48,2,44957,44622,335,0,135,45,44,22,0.35,False
high_volume_stable_moderation,49,2,40910,40603,307,0,123,41,41,20,0.35,False
high_volume_stable_moderation,50,2,40081,39781,300,0,121,40,40,20,0.35,False
high_volume_stable_moderation,51,2,36261,35991,270,0,108,36,36,18,0.35,False
high_volume_stable_moderation,52,2,37423,37142,281,0,112,38,37,19,0.35,False
high_volume_stable_moderation,53,2,30835,30604,231,0,92,31,30,16,0.35,False
high_volume_stable_moderation,54,2,30096,29870,226,0,91,30,30,15,0.35,False
high_volume_stable_moderation,55,2,30786,30555,231,0,93,31,31,15,0.35,False
high_volume_stable_moderation,56,2,43757,43429,328,0,131,44,44,22,0.35,False
high_volume_stable_moderation,57,2,46566,46219,347,0,139,46,46,23,0.35,False
high_volume_stable_moderation,58,2,38893,38603,290,0,117,39,38,19,0.35,False
high_volume_stable_moderation,59,2,42382,42066,316,0,127,42,42,21,0.35,False
high_volume_stable_moderation,60,2,41678,41366,312,0,125,41,42,21,0.35,False
high_volume_stable_moderation,61,2,40886,40580,306,0,123,41,41,20,0.35,False
high_volume_stable_moderation,62,2,51390,51006,384,0,154,51,51,26,0.35,False
high_volume_stable_moderation,63,2,42456,42139,317,0,128,42,42,21,0.35,False
high_volume_stable_moderation,64,2,34163,33908,255,0,102,34,34,17,0.35,False
high_volume_stable_moderation,65,2,35826,35557,269,0,108,35,36,18,0.35,False
high_volume_stable_moderation,66,2,31298,31066,232,0,93,31,31,15,0.35,False
high_volume_stable_moderation,67,2,30786,30557,229,0,93,30,30,15,0.35,False
high_volume_stable_moderation,68,2,35833,35565,268,0,108,35,36,18,0.35,False
high_volume_stable_moderation,69,2,35833,35566,267,0,107,36,35,18,0.35,False
high_volume_stable_moderation,70,2,38750,38462,288,0,115,39,38,19,0.35,False
high_volume_stable_moderation,71,2,40885,40581,304,0,122,41,40,20,0.35,False
high_volume_stable_moderation,72,3,42710,42391,319,0,128,42,43,21,0.35,False
high_volume_stable_moderation,73,3,42022,41707,315,0,127,42,41,21,0.35,False
high_volume_stable_moderation,74,3,41267,40958,309,0,124,41,41,21,0.35,False
high_volume_stable_moderation,75,3,41120,40813,307,0,123,41,40,21,0.35,False
high_volume_stable_moderation,76,3,32918,32671,247,0,100,33,33,16,0.35,False
high_volume_stable_moderation,77,3,30782,30551,231,0,92,31,31,16,0.35,False
high_volume_stable_moderation,78,3,30332,30106,226,0,91,30,30,15,0.35,False
high_volume_stable_moderation,79,3,30893,30662,231,0,93,30,31,15,0.35,False
high_volume_stable_moderation,80,3,33234,32984,250,0,100,34,33,17,0.35,False
high_volume_stable_moderation,81,3,38504,38218,286,0,115,38,38,19,0.35,False
high_volume_stable_moderation,82,3,39266,38972,294,0,118,39,39,20,0.35,False
high_volume_stable_moderation,83,3,42326,42010,316,0,127,42,42,21,0.35,False
high_volume_stable_moderation,84,3,48375,48012,363,0,146,48,49,24,0.35,False
high_volume_stable_moderation,85,3,40886,40582,304,0,122,40,41,20,0.35,False
high_volume_stable_moderation,86,3,51507,51119,388,0,155,52,52,26,0.35,False
high_volume_stable_moderation,87,3,36970,36695,275,0,111,36,37,18,0.35,False
high_volume_stable_moderation,88,3,39154,38861,293,0,118,39,39,20,0.35,False
high_volume_stable_moderation,89,3,40240,39939,301,0,120,40,40,20,0.35,False
high_volume_stable_moderation,90,3,30080,29855,225,0,90,30,30,15,0.35,False
high_volume_stable_moderation,91,3,30783,30553,230,0,92,31,30,16,0.35,False
high_volume_stable_moderation,92,3,33112,32863,249,0,100,33,33,17,0.35,False
high_volume_stable_moderation,93,3,46954,46606,348,0,140,46,46,23,0.35,False
high_volume_stable_moderation,94,3,42236,41919,317,0,127,43,42,21,0.35,False
high_volume_stable_moderation,95,3,40892,40586,306,0,123,41,41,20,0.35,False
high_volume_stable_moderation,96,4,42495,42177,318,0,128,42,42,21,0.35,False
high_volume_stable_moderation,97,4,40887,40579,308,0,123,41,41,21,0.35,False
high_volume_stable_moderation,98,4,41952,41640,312,0,126,41,41,21,0.35,False
high_volume_stable_moderation,99,4,35833,35564,269,0,108,36,36,18,0.35,False
high_volume_stable_moderation,100,4,40869,40565,304,0,122,40,40,20,0.35,False
high_volume_stable_moderation,101,4,30782,30554,228,0,92,30,30,15,0.35,False
high_volume_stable_moderation,102,4,30008,29784,224,0,90,30,30,15,0.35,False
high_volume_stable_moderation,103,4,34107,33851,256,0,103,34,34,17,0.35,False
high_volume_stable_moderation,104,4,33310,33061,249,0,100,33,33,17,0.35,False
high_volume_stable_moderation,105,4,36255,35984,271,0,108,36,37,18,0.35,False
high_volume_stable_moderation,106,4,39041,38749,292,0,117,39,39,19,0.35,False
high_volume_stable_moderation,107,4,51757,51369,388,0,156,51,52,26,0.35,False
high_volume_stable_moderation,108,4,41799,41484,315,0,126,42,42,21,0.35,False
high_volume_stable_moderation,109,4,40897,40590,307,0,123,41,41,20,0.35,False
high_volume_stable_moderation,110,4,38830,38542,288,0,116,38,38,19,0.35,False
high_volume_stable_moderation,111,4,40508,40205,303,0,122,40,40,20,0.35,False
high_volume_stable_moderation,112,4,32940,32693,247,0,99,33,33,16,0.35,False
high_volume_stable_moderation,113,4,30946,30714,232,0,93,31,31,15,0.35,False
high_volume_stable_moderation,114,4,30002,29777,225,0,90,30,30,15,0.35,False
high_volume_stable_moderation,115,4,31003,30771,232,0,93,31,31,15,0.35,False
high_volume_stable_moderation,116,4,41183,40875,308,0,124,41,41,20,0.35,False
high_volume_stable_moderation,117,4,35851,35583,268,0,107,36,36,18,0.35,False
high_volume_stable_moderation,118,4,44536,44205,331,0,133,44,44,22,0.35,False
high_volume_stable_moderation,119,4,40969,40665,304,0,122,41,40,20,0.35,False
high_volume_stable_moderation,120,5,41879,41566,313,0,125,42,42,21,0.35,False
high_volume_stable_moderation,121,5,45342,45005,337,0,135,45,45,22,0.35,False
high_volume_stable_moderation,122,5,41766,41452,314,0,126,42,42,21,0.35,False
high_volume_stable_moderation,123,5,35993,35725,268,0,108,35,36,18,0.35,False
high_volume_stable_moderation,124,5,42792,42474,318,0,128,42,43,21,0.35,False
high_volume_stable_moderation,125,5,30782,30553,229,0,92,30,31,15,0.35,False
high_volume_stable_moderation,126,5,30115,29890,225,0,90,30,30,15,0.35,False
high_volume_stable_moderation,127,5,30783,30553,230,0,93,31,30,15,0.35,False
high_volume_stable_moderation,128,5,32917,32671,246,0,99,33,32,16,0.35,False
high_volume_stable_moderation,129,5,35837,35570,267,0,107,36,35,18,0.35,False
high_volume_stable_moderation,130,5,38750,38459,291,0,116,39,39,20,0.35,False
high_volume_stable_moderation,131,5,41336,41027,309,0,125,41,41,20,0.35,False
high_volume_stable_moderation,132,5,43392,43066,326,0,130,43,44,22,0.35,False
high_volume_stable_moderation,133,5,40932,40625,307,0,123,40,41,21,0.35,False
high_volume_stable_moderation,134,5,40945,40639,306,0,122,40,41,21,0.35,False
high_volume_stable_moderation,135,5,35871,35602,269,0,108,36,35,18,0.35,False
high_volume_stable_moderation,136,5,35665,35400,265,0,106,35,36,18,0.35,False
high_volume_stable_moderation,137,5,32397,32155,242,0,97,32,32,16,0.35,False
high_volume_stable_moderation,138,5,31205,30971,234,0,93,31,32,16,0.35,False
high_volume_stable_moderation,139,5,32746,32501,245,0,98,32,33,17,0.35,False
high_volume_stable_moderation,140,5,32932,32686,246,0,99,33,33,16,0.35,False
high_volume_stable_moderation,141,5,48681,48319,362,0,145,48,48,24,0.35,False
high_volume_stable_moderation,142,5,41307,40996,311,0,124,41,42,21,0.35,False
high_volume_stable_moderation,143,5,40980,40673,307,0,122,41,41,21,0.35,False
high_volume_stable_moderation,144,6,47106,46754,352,0,141,47,47,23,0.35,False
high_volume_stable_moderation,145,6,41057,40748,309,0,124,41,41,21,0.35,False
high_volume_stable_moderation,146,6,38750,38460,290,0,116,39,39,19,0.35,False
high_volume_stable_moderation,147,6,36172,35901,271,0,109,36,36,18,0.35,False
high_volume_stable_moderation,148,6,35036,34774,262,0,105,35,35,18,0.35,False
high_volume_stable_moderation,149,6,30782,30551,231,0,93,31,31,15,0.35,False
high_volume_stable_moderation,150,6,30004,29780,224,0,90,30,30,15,0.35,False
high_volume_stable_moderation,151,6,30918,30688,230,0,92,31,31,15,0.35,False
high_volume_stable_moderation,152,6,32917,32670,247,0,99,33,33,17,0.35,False
high_volume_stable_moderation,153,6,36147,35875,272,0,109,36,36,18,0.35,False
high_volume_stable_moderation,154,6,38752,38462,290,0,116,38,39,20,0.35,False
high_volume_stable_moderation,155,6,53165,52766,399,0,160,53,53,27,0.35,False
high_volume_stable_moderation,156,6,42014,41700,314,0,126,42,42,21,0.35,False
high_volume_stable_moderation,157,6,40928,40621,307,0,123,41,41,20,0.35,False
high_volume_stable_moderation,158,6,38975,38683,292,0,117,39,39,20,0.35,False
high_volume_stable_moderation,159,6,42770,42450,320,0,128,43,43,21,0.35,False
high_volume_stable_moderation,160,6,33658,33408,250,0,101,33,33,17,0.35,False
high_volume_stable_moderation,161,6,30782,30553,229,0,92,31,30,15,0.35,False
high_volume_stable_moderation,162,6,38846,38555,291,0,117,39,38,20,0.35,False
high_volume_stable_moderation,163,6,33183,32935,248,0,99,33,33,17,0.35,False
high_volume_stable_moderation,164,6,32981,32735,246,0,99,33,33,16,0.35,False
high_volume_stable_moderation,165,6,37338,37058,280,0,112,38,37,18,0.35,False
high_volume_stable_moderation,166,6,38750,38461,289,0,116,39,38,19,0.35,False
high_volume_stable_moderation,167,6,43836,43507,329,0,132,44,44,22,0.35,False
bursty_consumer_traffic,0,0,81739,63712,18027,0,9803,721,284,142,0.55,True
bursty_consumer_traffic,1,0,85419,66577,18842,0,10254,751,296,147,0.55,False
bursty_consumer_traffic,2,0,46631,36344,10287,0,5593,410,163,81,0.55,False
bursty_consumer_traffic,3,0,71214,55507,15707,0,8548,625,248,124,0.55,False
bursty_consumer_traffic,4,0,16509,12866,3643,0,1983,146,57,29,0.55,False
bursty_consumer_traffic,5,0,15439,12032,3407,0,1851,137,54,26,0.55,False
bursty_consumer_traffic,6,0,15600,12161,3439,0,1873,137,54,27,0.55,False
bursty_consumer_traffic,7,0,44449,34644,9805,0,5332,391,156,77,0.55,False
bursty_consumer_traffic,8,0,16468,12837,3631,0,1976,145,57,29,0.55,False
bursty_consumer_traffic,9,0,17917,13962,3955,0,2148,158,63,31,0.55,False
bursty_consumer_traffic,10,0,26162,20392,5770,0,3142,229,92,45,0.55,False
bursty_consumer_traffic,11,0,20443,15927,4516,0,2457,180,71,36,0.55,False
bursty_consumer_traffic,12,0,29856,23267,6589,0,3581,264,105,51,0.55,False
bursty_consumer_traffic,13,0,20537,16010,4527,0,2462,180,71,35,0.55,False
bursty_consumer_traffic,14,0,19375,15095,4280,0,2328,170,67,34,0.55,False
bursty_consumer_traffic,15,0,33619,26204,7415,0,4034,295,117,58,0.55,False
bursty_consumer_traffic,16,0,26594,20725,5869,0,3194,235,92,46,0.55,False
bursty_consumer_traffic,17,0,30074,23441,6633,0,3607,265,105,52,0.55,False
bursty_consumer_traffic,18,0,16660,12985,3675,0,2000,146,58,29,0.55,False
bursty_consumer_traffic,19,0,21162,16499,4663,0,2537,185,74,36,0.55,False
bursty_consumer_traffic,20,0,18769,14627,4142,0,2256,165,66,33,0.55,False
bursty_consumer_traffic,21,0,19326,15066,4260,0,2316,170,67,33,0.55,False
bursty_consumer_traffic,22,0,19434,15148,4286,0,2332,171,68,34,0.55,False
bursty_consumer_traffic,23,0,22060,17193,4867,0,2645,193,77,38,0.55,False
bursty_consumer_traffic,24,1,20856,16256,4600,0,2500,183,73,36,0.55,False
bursty_consumer_traffic,25,1,20445,15928,4517,0,2456,180,71,36,0.55,False
bursty_consumer_traffic,26,1,34446,26839,7607,0,4137,303,120,60,0.55,False
bursty_consumer_traffic,27,1,33751,26299,7452,0,4055,297,117,59,0.55,False
bursty_consumer_traffic,28,1,16459,12829,3630,0,1976,144,57,28,0.55,False
bursty_consumer_traffic,29,1,42271,32952,9319,0,5069,371,148,73,0.55,False
bursty_consumer_traffic,30,1,46876,36531,10345,0,5627,414,164,82,0.55,False
bursty_consumer_traffic,31,1,58914,45912,13002,0,7074,518,205,102,0.55,False
bursty_consumer_traffic,32,1,18135,14134,4001,0,2172,160,64,32,0.55,False
bursty_consumer_traffic,33,1,25204,19645,5559,0,3024,221,88,44,0.55,False
bursty_consumer_traffic,34,1,86372,67325,19047,0,10360,759,302,150,0.55,False
bursty_consumer_traffic,35,1,21022,16389,4633,0,2520,185,73,36,0.55,False
bursty_consumer_traffic,36,1,47848,37287,10561,0,5744,420,167,83,0.55,False
bursty_consumer_traffic,37,1,20443,15931,4512,0,2452,181,71,35,0.55,False
bursty_consumer_traffic,38,1,50374,39255,11119,0,6046,442,176,88,0.55,False
bursty_consumer_traffic,39,1,20461,15953,4508,0,2452,179,71,35,0.55,False
bursty_consumer_traffic,40,1,17218,13419,3799,0,2065,151,60,30,0.55,False
bursty_consumer_traffic,41,1,18167,14161,4006,0,2179,161,64,31,0.55,False
bursty_consumer_traffic,42,1,15390,12000,3390,0,1844,136,53,27,0.55,False
bursty_consumer_traffic,43,1,36033,28091,7942,0,4319,318,125,62,0.55,False
bursty_consumer_traffic,44,1,17883,13939,3944,0,2147,158,62,31,0.55,False
bursty_consumer_traffic,45,1,20816,16222,4594,0,2500,184,73,36,0.55,False
bursty_consumer_traffic,46,1,19396,15114,4282,0,2331,170,67,34,0.55,False
bursty_consumer_traffic,47,1,61317,47785,13532,0,7359,541,213,107,0.55,False
bursty_consumer_traffic,48,2,23244,18113,5131,0,2788,205,81,41,0.55,False
bursty_consumer_traffic,49,2,35115,27363,7752,0,4217,308,122,61,0.55,False
bursty_consumer_traffic,50,2,23539,18347,5192,0,2824,208,81,41,0.55,False
bursty_consumer_traffic,51,2,17924,13973,3951,0,2149,157,63,31,0.55,False
bursty_consumer_traffic,52,2,38794,30228,8566,0,4656,342,136,68,0.55,False
bursty_consumer_traffic,53,2,15589,12147,3442,0,1873,136,55,27,0.55,False
bursty_consumer_traffic,54,2,15198,11846,3352,0,1822,133,53,27,0.55,False
bursty_consumer_traffic,55,2,28212,21984,6228,0,3387,248,99,49,0.55,False
bursty_consumer_traffic,56,2,17203,13406,3797,0,2065,152,60,29,0.55,False
bursty_consumer_traffic,57,2,17917,13967,3950,0,2151,157,62,31,0.55,False
bursty_consumer_traffic,58,2,58074,45266,12808,0,6967,510,202,101,0.55,False
bursty_consumer_traffic,59,2,21333,16622,4711,0,2562,188,74,37,0.55,False
bursty_consumer_traffic,60,2,20833,16230,4603,0,2504,184,73,36,0.55,False
bursty_consumer_traffic,61,2,20449,15941,4508,0,2452,180,72,35,0.55,False
bursty_consumer_traffic,62,2,102372,79789,22583,0,12278,903,357,177,0.55,False
bursty_consumer_traffic,63,2,18545,14453,4092,0,2227,164,64,32,0.55,False
bursty_consumer_traffic,64,2,16744,13052,3692,0,2007,148,59,29,0.55,False
bursty_consumer_traffic,65,2,17894,13943,3951,0,2150,157,62,31,0.55,False
bursty_consumer_traffic,66,2,19883,15493,4390,0,2386,175,70,34,0.55,False
bursty_consumer_traffic,67,2,17785,13861,3924,0,2135,156,62,31,0.55,False
bursty_consumer_traffic,68,2,16458,12824,3634,0,1978,146,58,29,0.55,False
bursty_consumer_traffic,69,2,17921,13968,3953,0,2148,159,63,31,0.55,False
bursty_consumer_traffic,70,2,19376,15101,4275,0,2323,170,67,34,0.55,False
bursty_consumer_traffic,71,2,21269,16575,4694,0,2556,186,74,37,0.55,False
bursty_consumer_traffic,72,3,49371,38475,10896,0,5922,436,172,86,0.55,False
bursty_consumer_traffic,73,3,20487,15965,4522,0,2462,180,71,35,0.55,False
bursty_consumer_traffic,74,3,62802,48943,13859,0,7539,554,218,109,0.55,False
bursty_consumer_traffic,75,3,19518,15209,4309,0,2344,172,68,33,0.55,False
bursty_consumer_traffic,76,3,27341,21305,6036,0,3284,241,95,47,0.55,False
bursty_consumer_traffic,77,3,27954,21778,6176,0,3358,247,98,49,0.55,False
bursty_consumer_traffic,78,3,34279,26722,7557,0,4109,302,120,60,0.55,False
bursty_consumer_traffic,79,3,15620,12169,3451,0,1876,138,55,27,0.55,False
bursty_consumer_traffic,80,3,16460,12828,3632,0,1974,145,57,29,0.55,False
bursty_consumer_traffic,81,3,18073,14081,3992,0,2172,158,63,31,0.55,False
bursty_consumer_traffic,82,3,30820,24022,6798,0,3696,270,107,54,0.55,False
bursty_consumer_traffic,83,3,27184,21187,5997,0,3260,239,94,47,0.55,False
bursty_consumer_traffic,84,3,37506,29229,8277,0,4500,329,131,65,0.55,False
bursty_consumer_traffic,85,3,49488,38566,10922,0,5936,437,172,86,0.55,False
bursty_consumer_traffic,86,3,40841,31836,9005,0,4895,361,143,71,0.55,False
bursty_consumer_traffic,87,3,35612,27755,7857,0,4276,314,124,62,0.55,False
bursty_consumer_traffic,88,3,16459,12829,3630,0,1973,145,57,29,0.55,False
bursty_consumer_traffic,89,3,60410,47087,13323,0,7247,530,210,104,0.55,False
bursty_consumer_traffic,90,3,28246,22016,6230,0,3388,248,98,49,0.55,False
bursty_consumer_traffic,91,3,42622,33217,9405,0,5113,377,148,74,0.55,False
bursty_consumer_traffic,92,3,17716,13809,3907,0,2126,156,62,31,0.55,False
bursty_consumer_traffic,93,3,68566,53436,15130,0,8235,602,238,118,0.55,False
bursty_consumer_traffic,94,3,61607,48017,13590,0,7391,541,216,107,0.55,False
bursty_consumer_traffic,95,3,20493,15969,4524,0,2462,180,71,36,0.55,False
bursty_consumer_traffic,96,4,21649,16870,4779,0,2601,191,76,37,0.55,False
bursty_consumer_traffic,97,4,30030,23407,6623,0,3600,265,104,52,0.55,False
bursty_consumer_traffic,98,4,30383,23681,6702,0,3646,268,106,53,0.55,False
bursty_consumer_traffic,99,4,23620,18401,5219,0,2838,209,83,41,0.55,False
bursty_consumer_traffic,100,4,22912,17856,5056,0,2748,201,80,40,0.55,False
bursty_consumer_traffic,101,4,15434,12027,3407,0,1851,136,54,27,0.55,False
bursty_consumer_traffic,102,4,51443,40090,11353,0,6176,452,178,89,0.55,False
bursty_consumer_traffic,103,4,49139,38301,10838,0,5892,431,172,85,0.55,False
bursty_consumer_traffic,104,4,16498,12860,3638,0,1980,145,58,28,0.55,False
bursty_consumer_traffic,105,4,18434,14361,4073,0,2216,162,64,32,0.55,False
bursty_consumer_traffic,106,4,21522,16777,4745,0,2584,190,74,37,0.55,False
bursty_consumer_traffic,107,4,59479,46356,13123,0,7132,524,207,103,0.55,False
bursty_consumer_traffic,108,4,34670,27018,7652,0,4164,305,121,61,0.55,False
bursty_consumer_traffic,109,4,20528,15997,4531,0,2466,180,71,36,0.55,False
bursty_consumer_traffic,110,4,19774,15407,4367,0,2377,175,69,34,0.55,False
bursty_consumer_traffic,111,4,38223,29793,8430,0,4584,337,133,66,0.55,False
bursty_consumer_traffic,112,4,19985,15575,4410,0,2396,176,70,35,0.55,False
bursty_consumer_traffic,113,4,15894,12384,3510,0,1910,139,55,27,0.55,False
bursty_consumer_traffic,114,4,24797,19327,5470,0,2973,219,86,43,0.55,False
bursty_consumer_traffic,115,4,17047,13289,3758,0,2047,149,59,29,0.55,False
bursty_consumer_traffic,116,4,16806,13096,3710,0,2019,147,58,29,0.55,False
bursty_consumer_traffic,117,4,32297,25164,7133,0,3880,285,112,56,0.55,False
bursty_consumer_traffic,118,4,54714,42637,12077,0,6568,483,191,94,0.55,False
bursty_consumer_traffic,119,4,23235,18107,5128,0,2792,204,81,41,0.55,False
bursty_consumer_traffic,120,5,38592,30084,8508,0,4627,339,135,67,0.55,False
bursty_consumer_traffic,121,5,20443,15935,4508,0,2450,180,71,36,0.55,False
bursty_consumer_traffic,122,5,49703,38741,10962,0,5966,436,173,87,0.55,False
bursty_consumer_traffic,123,5,20181,15727,4454,0,2425,177,70,35,0.55,False
bursty_consumer_traffic,124,5,79736,62146,17590,0,9565,700,279,138,0.55,False
bursty_consumer_traffic,125,5,15391,12000,3391,0,1845,135,54,27,0.55,False
bursty_consumer_traffic,126,5,49079,38250,10829,0,5894,433,170,84,0.55,False
bursty_consumer_traffic,127,5,41752,32547,9205,0,5005,366,145,72,0.55,False
bursty_consumer_traffic,128,5,16779,13081,3698,0,2013,147,58,29,0.55,False
bursty_consumer_traffic,129,5,73470,57258,16212,0,8817,646,255,127,0.55,False
bursty_consumer_traffic,130,5,73944,57627,16317,0,8874,653,258,128,0.55,False
bursty_consumer_traffic,131,5,20539,16004,4535,0,2464,182,72,36,0.55,False
bursty_consumer_traffic,132,5,23495,18314,5181,0,2817,207,82,40,0.55,False
bursty_consumer_traffic,133,5,86007,67032,18975,0,10324,757,299,149,0.55,False
bursty_consumer_traffic,134,5,77572,60463,17109,0,9309,683,272,134,0.55,False
bursty_consumer_traffic,135,5,18350,14303,4047,0,2201,162,64,32,0.55,False
bursty_consumer_traffic,136,5,58558,45642,12916,0,7023,516,205,102,0.55,False
bursty_consumer_traffic,137,5,37105,28915,8190,0,4458,327,130,65,0.55,False
bursty_consumer_traffic,138,5,15000,11689,3311,0,1802,132,52,26,0.55,False
bursty_consumer_traffic,139,5,22447,17496,4951,0,2695,198,78,39,0.55,False
bursty_consumer_traffic,140,5,17560,13683,3877,0,2109,155,61,31,0.55,False
bursty_consumer_traffic,141,5,18425,14360,4065,0,2212,162,64,32,0.55,False
bursty_consumer_traffic,142,5,29656,23109,6547,0,3562,261,104,51,0.55,False
bursty_consumer_traffic,143,5,21063,16414,4649,0,2528,186,73,37,0.55,False
bursty_consumer_traffic,144,6,43508,33918,9590,0,5216,381,151,75,0.55,False
bursty_consumer_traffic,145,6,20472,15952,4520,0,2459,180,71,35,0.55,False
bursty_consumer_traffic,146,6,25355,19758,5597,0,3043,222,89,44,0.55,False
bursty_consumer_traffic,147,6,18119,14120,3999,0,2175,159,63,31,0.55,False
bursty_consumer_traffic,148,6,16459,12825,3634,0,1978,144,57,29,0.55,False
bursty_consumer_traffic,149,6,15399,12004,3395,0,1847,135,53,26,0.55,False
bursty_consumer_traffic,150,6,51602,40212,11390,0,6197,454,179,89,0.55,False
bursty_consumer_traffic,151,6,15391,11994,3397,0,1850,136,53,26,0.55,False
bursty_consumer_traffic,152,6,16466,12835,3631,0,1974,145,58,29,0.55,False
bursty_consumer_traffic,153,6,18219,14196,4023,0,2188,160,63,32,0.55,False
bursty_consumer_traffic,154,6,19375,15097,4278,0,2327,171,68,34,0.55,False
bursty_consumer_traffic,155,6,77682,60547,17135,0,9319,682,271,135,0.55,False
bursty_consumer_traffic,156,6,82984,64670,18314,0,9965,731,290,145,0.55,False
bursty_consumer_traffic,157,6,22718,17705,5013,0,2728,201,79,40,0.55,False
bursty_consumer_traffic,158,6,24712,19261,5451,0,2966,218,85,42,0.55,False
bursty_consumer_traffic,159,6,66984,52214,14770,0,8036,589,232,116,0.55,False
bursty_consumer_traffic,160,6,25195,19638,5557,0,3026,221,88,43,0.55,False
bursty_consumer_traffic,161,6,18834,14678,4156,0,2261,166,66,33,0.55,False
bursty_consumer_traffic,162,6,15375,11981,3394,0,1848,135,54,26,0.55,False
bursty_consumer_traffic,163,6,17944,13983,3961,0,2152,159,63,31,0.55,False
bursty_consumer_traffic,164,6,16458,12827,3631,0,1976,144,57,29,0.55,False
bursty_consumer_traffic,165,6,47802,37260,10542,0,5732,420,167,83,0.55,False
bursty_consumer_traffic,166,6,19467,15173,4294,0,2336,172,67,33,0.55,False
bursty_consumer_traffic,167,6,20578,16039,4539,0,2469,182,71,35,0.55,False
low_volume_enterprise_deployment,0,0,10,10,0,0,0,0,0,0,0.25,True
