case_id,target_class,regime,best_winning_strategy,current_measured_evidence,current_superiority_claim,label,request_volume_per_day,update_interval_days,utilization,fallback_rate,software_runtime_savings,programmable_accelerator_efficiency,physicalized_per_request_savings,optimized_software_total,programmable_accelerator_total,physicalized_total,best_programmable_baseline_total,margin_vs_best_programmable,minimum_physicalized_savings_to_tie,maximum_allowable_update_frequency_per_day,minimum_utilization_needed,blocker_class,status_matches_expected
small_keyword_or_policy_classifier__extreme_counterfactual,small_keyword_or_policy_classifier,extreme_counterfactual,physicalized_target,False,False,counterfactual_not_current_evidence,90000000.0,1440.0,0.96,0.0,0.1,0.6,0.86,63180000.104167,42126250.277778,5903835.416667,42126250.277778,-36222414.861111,0.000019,12074.138981,0.000155,counterfactual_label_required,True
decoder_dense_weights__calibrated,decoder_dense_weights,calibrated,programmable_accelerator,False,False,best_programmable_baseline,4000000.0,14.0,0.42,0.22,0.42,0.34,0.04,12992010.714286,7630314.285714,9181315.085714,7630314.285714,1551000.8,0.301090,no_finite_tie,no_finite_tie,anti_target_mechanism,True
decoder_dense_weights__favorable_plausible,decoder_dense_weights,favorable_plausible,programmable_accelerator,False,False,best_programmable_baseline,12000000.0,30.0,0.68,0.12,0.28,0.4,0.09,48384005.0,26888836.862745,27604909.490196,26888836.862745,716072.627451,0.120272,no_finite_tie,no_finite_tie,anti_target_mechanism,True
decoder_dense_weights__extreme_counterfactual,decoder_dense_weights,extreme_counterfactual,physicalized_target,False,False,counterfactual_not_current_evidence,70000000.0,365.0,0.96,0.0,0.1,0.6,0.88,352800000.410959,235206251.09589,28282660.273973,235206251.09589,-206923590.821918,0.000223,2178.145801,0.000232,counterfactual_label_required,True
attention_kv_or_dynamic_context__calibrated,attention_kv_or_dynamic_context,calibrated,programmable_accelerator,False,False,high_update_blocked,4000000.0,1.0,0.42,0.22,0.42,0.34,0.03,9744150.0,5726685.714286,6991141.104762,5726685.714286,1264455.390476,0.313805,no_finite_tie,no_finite_tie,high_update_cadence,True
attention_kv_or_dynamic_context__favorable_plausible,attention_kv_or_dynamic_context,favorable_plausible,programmable_accelerator,False,False,best_programmable_baseline,12000000.0,30.0,0.68,0.12,0.28,0.4,0.07,36288005.0,20168836.862745,21051137.333333,20168836.862745,882300.470588,0.119733,no_finite_tie,no_finite_tie,anti_target_mechanism,True
attention_kv_or_dynamic_context__extreme_counterfactual,attention_kv_or_dynamic_context,extreme_counterfactual,physicalized_target,False,False,counterfactual_not_current_evidence,70000000.0,365.0,0.96,0.0,0.1,0.6,0.74,264600000.410959,176406251.09589,45906849.543379,176406251.09589,-130499401.552511,0.000207,1535.289817,0.000260,counterfactual_label_required,True
tenant_adapter_or_lora__calibrated,tenant_adapter_or_lora,calibrated,programmable_accelerator,False,False,best_programmable_baseline,4000000.0,7.0,0.42,0.22,0.42,0.34,0.04,4872021.428571,2870342.857143,3447650.895238,2870342.857143,577308.038095,0.299152,no_finite_tie,no_finite_tie,anti_target_mechanism,True
tenant_adapter_or_lora__favorable_plausible,tenant_adapter_or_lora,favorable_plausible,programmable_accelerator,False,False,best_programmable_baseline,12000000.0,30.0,0.68,0.12,0.28,0.4,0.08,18144005.0,10088836.862745,10442069.568627,10088836.862745,353232.705882,0.119822,no_finite_tie,no_finite_tie,anti_target_mechanism,True
tenant_adapter_or_lora__extreme_counterfactual,tenant_adapter_or_lora,extreme_counterfactual,physicalized_target,False,False,counterfactual_not_current_evidence,70000000.0,365.0,0.96,0.0,0.1,0.6,0.8,132300000.410959,88206251.09589,17662842.922374,88206251.09589,-70543408.173516,0.000188,1763.587944,0.000249,counterfactual_label_required,True
training_optimizer_state__calibrated,training_optimizer_state,calibrated,programmable_accelerator,False,False,high_update_blocked,4000000.0,0.1,0.42,0.22,0.42,0.34,0.02,8817500.0,5186285.714286,7639939.2,5186285.714286,2453653.485714,0.628690,no_finite_tie,no_finite_tie,high_update_cadence,True
training_optimizer_state__favorable_plausible,training_optimizer_state,favorable_plausible,programmable_accelerator,False,False,best_programmable_baseline,12000000.0,30.0,0.68,0.12,0.28,0.4,0.04,32832005.0,18248836.862745,19596668.470588,18248836.862745,1347831.607843,0.123971,no_finite_tie,no_finite_tie,anti_target_mechanism,True
training_optimizer_state__extreme_counterfactual,training_optimizer_state,extreme_counterfactual,physicalized_target,False,False,counterfactual_not_current_evidence,70000000.0,365.0,0.96,0.0,0.1,0.6,0.6,239400000.410959,159606251.09589,63894078.767123,159606251.09589,-95712172.328767,0.000300,797.604176,0.000439,counterfactual_label_required,True
zero_volume_control,small_keyword_or_policy_classifier,special_control,optimized_software_runtime,False,False,zero_volume_blocked,0.0,365.0,0.9,0.0,0.1,0.6,0.9,0.410959,6667.762557,2119.330289,0.410959,2118.91933,no_finite_tie,no_finite_tie,no_finite_tie,zero_volume,True
all_fallback_control,fixed_feature_extractor,special_control,programmable_accelerator,False,False,all_fallback_blocked,20000000.0,365.0,0.9,1.0,0.1,0.6,0.9,20700000.410959,13806667.762557,20702128.91933,13806667.762557,6895461.156773,no_finite_tie,no_finite_tie,no_finite_tie,all_fallback,True
high_update_target_control,tenant_adapter_or_lora,special_control,programmable_accelerator,False,False,high_update_blocked,40000000.0,1.0,0.9,0.02,0.1,0.6,0.9,75600150.0,50407066.666667,6498755.555556,50407066.666667,-43908311.111111,0.011024,1098.707778,0.000114,high_update_cadence,True
high_software_savings_control,embedding_lookup_or_static_table,special_control,optimized_software_runtime,False,False,best_programmable_baseline,40000000.0,365.0,0.9,0.02,0.72,0.35,0.0,15120000.410959,18906667.762557,15442242.770167,15120000.410959,322242.359209,0.021747,no_finite_tie,no_finite_tie,software_savings_compress_margin,True
