workload_class,baseline_option,tested_option,dc001_setting,dc002_setting,option_before,option_after,collapse_reason,claim_updates,evidence_label
batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_medium,DC002_pathological_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_high,DC002_local_like_p50,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_high,DC002_moderate_p95,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_high,DC002_tail_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
batch summarization/offline inference control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_high,DC002_pathological_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_local_like_p50,C,B,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_moderate_p95,C,B,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_tail_p99,C,B,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_local_like_p50,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_moderate_p95,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_local_like_p50,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_moderate_p95,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_local_like_p50,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_moderate_p95,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
code-agent loop,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_local_like_p50,C,B,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_moderate_p95,C,B,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_tail_p99,C,B,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_local_like_p50,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_moderate_p95,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_local_like_p50,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_moderate_p95,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_local_like_p50,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_moderate_p95,C,B,synthetic net value changes option after energy/contention charges,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
multi-agent branch/merge,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_zero_energy,DC002_local_like_p50,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_zero_energy,DC002_moderate_p95,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_zero_energy,DC002_tail_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_zero_energy,DC002_pathological_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_equal_tier_low,DC002_local_like_p50,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_equal_tier_low,DC002_moderate_p95,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_equal_tier_low,DC002_tail_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_equal_tier_low,DC002_pathological_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_medium,DC002_local_like_p50,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_medium,DC002_moderate_p95,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_medium,DC002_tail_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_medium,DC002_pathological_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_high,DC002_local_like_p50,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_high,DC002_moderate_p95,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_high,DC002_tail_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
single-turn chat control,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,DC001_memory_gap_high,DC002_pathological_p99,A,A,no synthetic collapse under this sweep,CL-012 stays speculative; ,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_local_like_p50,C,C,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_moderate_p95,C,C,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_tail_p99,C,B,DC-001 zero removes energy/dollar evidence; retained-value-only claim is not economic support,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_zero_energy,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_local_like_p50,C,C,no synthetic collapse under this sweep,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_moderate_p95,C,C,no synthetic collapse under this sweep,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_equal_tier_low,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_local_like_p50,C,C,no synthetic collapse under this sweep,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_moderate_p95,C,C,no synthetic collapse under this sweep,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_medium,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_local_like_p50,C,C,no synthetic collapse under this sweep,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_moderate_p95,C,C,no synthetic collapse under this sweep,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_tail_p99,C,B,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
verification-heavy,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,DC001_memory_gap_high,DC002_pathological_p99,C,A,DC-002 tail contention exceeds retained-value margin,CL-012 stays speculative; CL-004 contention sensitivity updated; CL-005 DAG/contention sensitivity updated,synthetic_sensitivity
