threshold_id,workload_class,object_class,placement_tier,latency_percentile,contention_setting,benefit_margin,collapse_threshold,decision,evidence_label
DC002-RAG-B-p50,RAG,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p50,0.5,10.8,10.8,warm_tier_helps,synthetic_sensitivity
DC002-batch summarization/offline inference control-B-p99_pathological,batch summarization/offline inference control,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-batch summarization/offline inference control-C-p50,batch summarization/offline inference control,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p50,0.5,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-batch summarization/offline inference control-C-p95,batch summarization/offline inference control,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p95,2.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-batch summarization/offline inference control-C-p99,batch summarization/offline inference control,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99,8.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-batch summarization/offline inference control-C-p99_pathological,batch summarization/offline inference control,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-code-agent loop-B-p50,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p50,0.5,31.8,31.8,warm_tier_helps,synthetic_sensitivity
DC002-code-agent loop-B-p95,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p95,2.0,31.8,31.8,warm_tier_helps,synthetic_sensitivity
DC002-code-agent loop-B-p99,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99,8.0,31.8,31.8,warm_tier_helps,synthetic_sensitivity
DC002-code-agent loop-B-p99_pathological,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,31.8,31.8,downgrade_warm_tier,synthetic_sensitivity
DC002-code-agent loop-C-p50,code-agent loop,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p50,0.5,29.8,18.625,warm_tier_helps,synthetic_sensitivity
DC002-code-agent loop-C-p95,code-agent loop,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p95,2.0,29.8,18.625,warm_tier_helps,synthetic_sensitivity
DC002-code-agent loop-C-p99,code-agent loop,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99,8.0,29.8,18.625,warm_tier_helps,synthetic_sensitivity
DC002-code-agent loop-C-p99_pathological,code-agent loop,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,29.8,18.625,downgrade_warm_tier,synthetic_sensitivity
DC002-multi-agent branch/merge-B-p50,multi-agent branch/merge,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p50,0.5,50.0,50.0,warm_tier_helps,synthetic_sensitivity
DC002-multi-agent branch/merge-B-p95,multi-agent branch/merge,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p95,2.0,50.0,50.0,warm_tier_helps,synthetic_sensitivity
DC002-multi-agent branch/merge-B-p99,multi-agent branch/merge,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99,8.0,50.0,50.0,warm_tier_helps,synthetic_sensitivity
DC002-multi-agent branch/merge-B-p99_pathological,multi-agent branch/merge,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,50.0,50.0,downgrade_warm_tier,synthetic_sensitivity
DC002-multi-agent branch/merge-C-p50,multi-agent branch/merge,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p50,0.5,48.8,30.5,warm_tier_helps,synthetic_sensitivity
DC002-multi-agent branch/merge-C-p95,multi-agent branch/merge,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p95,2.0,48.8,30.5,warm_tier_helps,synthetic_sensitivity
DC002-multi-agent branch/merge-C-p99,multi-agent branch/merge,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99,8.0,48.8,30.5,warm_tier_helps,synthetic_sensitivity
DC002-multi-agent branch/merge-C-p99_pathological,multi-agent branch/merge,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,48.8,30.5,downgrade_warm_tier,synthetic_sensitivity
DC002-single-turn chat control-B-p50,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p50,0.5,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-single-turn chat control-B-p95,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p95,2.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-single-turn chat control-B-p99,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99,8.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-single-turn chat control-B-p99_pathological,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-single-turn chat control-C-p50,single-turn chat control,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p50,0.5,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-single-turn chat control-C-p95,single-turn chat control,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p95,2.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-single-turn chat control-C-p99,single-turn chat control,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99,8.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-single-turn chat control-C-p99_pathological,single-turn chat control,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-verification-heavy-B-p50,verification-heavy,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p50,0.5,30.6,30.6,warm_tier_helps,synthetic_sensitivity
DC002-verification-heavy-B-p95,verification-heavy,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p95,2.0,30.6,30.6,warm_tier_helps,synthetic_sensitivity
DC002-verification-heavy-B-p99,verification-heavy,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99,8.0,30.6,30.6,warm_tier_helps,synthetic_sensitivity
DC002-verification-heavy-B-p99_pathological,verification-heavy,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,30.6,30.6,downgrade_warm_tier,synthetic_sensitivity
DC002-verification-heavy-C-p50,verification-heavy,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p50,0.5,33.8,21.125,warm_tier_helps,synthetic_sensitivity
DC002-verification-heavy-C-p95,verification-heavy,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p95,2.0,33.8,21.125,warm_tier_helps,synthetic_sensitivity
DC002-verification-heavy-C-p99,verification-heavy,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99,8.0,33.8,21.125,warm_tier_helps,synthetic_sensitivity
DC002-verification-heavy-C-p99_pathological,verification-heavy,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,33.8,21.125,downgrade_warm_tier,synthetic_sensitivity
