sensitivity_case_id,source_fixture_id,skew_ms,jitter_ms,collector_overhead_pct,skew_tolerance_ms,jitter_tolerance_ms,observer_perturbation_budget_pct,threshold_crossed_if_valid,threshold_replay_status,interpretability
timebase-sensitivity-083,valid-dc002-rag-c,75,0,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-084,valid-dc002-rag-c,75,0,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-085,valid-dc002-rag-c,75,0,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-086,valid-dc002-rag-c,75,10,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-087,valid-dc002-rag-c,75,10,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-088,valid-dc002-rag-c,75,10,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-089,valid-dc002-rag-c,75,10,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-090,valid-dc002-rag-c,75,10,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-091,valid-dc002-rag-c,75,25,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-092,valid-dc002-rag-c,75,25,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-093,valid-dc002-rag-c,75,25,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-094,valid-dc002-rag-c,75,25,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-095,valid-dc002-rag-c,75,25,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-096,valid-dc002-rag-c,75,35,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-097,valid-dc002-rag-c,75,35,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-098,valid-dc002-rag-c,75,35,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-099,valid-dc002-rag-c,75,35,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-100,valid-dc002-rag-c,75,35,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-101,valid-dc002-rag-c,100,0,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-102,valid-dc002-rag-c,100,0,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-103,valid-dc002-rag-c,100,0,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-104,valid-dc002-rag-c,100,0,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-105,valid-dc002-rag-c,100,0,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-106,valid-dc002-rag-c,100,10,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-107,valid-dc002-rag-c,100,10,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-108,valid-dc002-rag-c,100,10,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-109,valid-dc002-rag-c,100,10,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-110,valid-dc002-rag-c,100,10,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-111,valid-dc002-rag-c,100,25,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-112,valid-dc002-rag-c,100,25,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-113,valid-dc002-rag-c,100,25,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-114,valid-dc002-rag-c,100,25,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-115,valid-dc002-rag-c,100,25,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-116,valid-dc002-rag-c,100,35,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-117,valid-dc002-rag-c,100,35,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-118,valid-dc002-rag-c,100,35,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-119,valid-dc002-rag-c,100,35,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-120,valid-dc002-rag-c,100,35,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
