scenario_id,workload_class,architecture_option,bytes_moved_proxy,bytes_retained_proxy,recompute_proxy,energy_per_byte_setting,dollar_per_byte_setting,cxl_latency_setting,net_energy_proxy,net_dollar_proxy,decision,evidence_label
RAG|A|DC001_memory_gap_high|DC002_tail_p99,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_tail_p99,0.0,3.7125,keep_option_A,synthetic_sensitivity
RAG|A|DC001_memory_gap_high|DC002_pathological_p99,RAG,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_pathological_p99,0.0,3.7125,keep_option_A,synthetic_sensitivity
RAG|B|DC001_zero_energy|DC002_local_like_p50,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_zero_energy,dollar_linked_zero_energy,DC002_local_like_p50,9.4,9.4,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_zero_energy|DC002_moderate_p95,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_zero_energy,dollar_linked_zero_energy,DC002_moderate_p95,7.9,7.9,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_zero_energy|DC002_tail_p99,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_zero_energy,dollar_linked_zero_energy,DC002_tail_p99,1.9,1.9,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_zero_energy|DC002_pathological_p99,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_zero_energy,dollar_linked_zero_energy,DC002_pathological_p99,-990.1,-990.1,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|B|DC001_equal_tier_low|DC002_local_like_p50,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_local_like_p50,9.5224,9.9865,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_equal_tier_low|DC002_moderate_p95,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_moderate_p95,8.0224,8.4865,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_equal_tier_low|DC002_tail_p99,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_tail_p99,2.0224,2.4865,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_equal_tier_low|DC002_pathological_p99,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_pathological_p99,-989.9776,-989.5135,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|B|DC001_memory_gap_medium|DC002_local_like_p50,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_local_like_p50,9.7265,10.9639,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_memory_gap_medium|DC002_moderate_p95,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_moderate_p95,8.2265,9.4639,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_memory_gap_medium|DC002_tail_p99,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_tail_p99,2.2265,3.4639,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_memory_gap_medium|DC002_pathological_p99,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_pathological_p99,-989.7735,-988.5361,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|B|DC001_memory_gap_high|DC002_local_like_p50,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_local_like_p50,10.1347,12.9189,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_memory_gap_high|DC002_moderate_p95,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_moderate_p95,8.6347,11.4189,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_memory_gap_high|DC002_tail_p99,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_tail_p99,2.6347,5.4189,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|B|DC001_memory_gap_high|DC002_pathological_p99,RAG,B_memory_object_aware_runtime,12.075,1304.0,10.8,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_pathological_p99,-989.3653,-986.5811,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|C|DC001_zero_energy|DC002_local_like_p50,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_zero_energy,dollar_linked_zero_energy,DC002_local_like_p50,6.2,6.2,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|C|DC001_zero_energy|DC002_moderate_p95,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_zero_energy,dollar_linked_zero_energy,DC002_moderate_p95,3.8,3.8,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|C|DC001_zero_energy|DC002_tail_p99,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_zero_energy,dollar_linked_zero_energy,DC002_tail_p99,-5.8,-5.8,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|C|DC001_zero_energy|DC002_pathological_p99,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_zero_energy,dollar_linked_zero_energy,DC002_pathological_p99,-1593.0,-1593.0,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|C|DC001_equal_tier_low|DC002_local_like_p50,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_local_like_p50,6.3966,6.7703,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|C|DC001_equal_tier_low|DC002_moderate_p95,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_moderate_p95,3.9966,4.3703,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|C|DC001_equal_tier_low|DC002_tail_p99,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_tail_p99,-5.6034,-5.2297,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|C|DC001_equal_tier_low|DC002_pathological_p99,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_pathological_p99,-1592.8034,-1592.4297,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|C|DC001_memory_gap_medium|DC002_local_like_p50,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_local_like_p50,6.7243,7.7209,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|C|DC001_memory_gap_medium|DC002_moderate_p95,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_moderate_p95,4.3243,5.3209,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|C|DC001_memory_gap_medium|DC002_tail_p99,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_tail_p99,-5.2757,-4.2791,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|C|DC001_memory_gap_medium|DC002_pathological_p99,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_pathological_p99,-1592.4757,-1591.4791,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|C|DC001_memory_gap_high|DC002_local_like_p50,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_local_like_p50,7.3796,9.622,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|C|DC001_memory_gap_high|DC002_moderate_p95,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_moderate_p95,4.9796,7.222,support_under_synthetic_sensitivity,synthetic_sensitivity
RAG|C|DC001_memory_gap_high|DC002_tail_p99,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_tail_p99,-4.6204,-2.378,collapse_to_A_economics_nonpositive,synthetic_sensitivity
RAG|C|DC001_memory_gap_high|DC002_pathological_p99,RAG,C_trajectory_dag_memory_fabric,18.975,1304.0,8.8,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_pathological_p99,-1591.8204,-1589.578,collapse_to_A_economics_nonpositive,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_zero_energy|DC002_local_like_p50,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_local_like_p50,0.0,0.0,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_zero_energy|DC002_moderate_p95,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_moderate_p95,0.0,0.0,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_zero_energy|DC002_tail_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_tail_p99,0.0,0.0,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_zero_energy|DC002_pathological_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_pathological_p99,0.0,0.0,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_equal_tier_low|DC002_local_like_p50,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_local_like_p50,0.0,0.7425,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_equal_tier_low|DC002_moderate_p95,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_moderate_p95,0.0,0.7425,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_equal_tier_low|DC002_tail_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_tail_p99,0.0,0.7425,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_equal_tier_low|DC002_pathological_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_pathological_p99,0.0,0.7425,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_memory_gap_medium|DC002_local_like_p50,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_local_like_p50,0.0,1.98,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_memory_gap_medium|DC002_moderate_p95,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_moderate_p95,0.0,1.98,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_memory_gap_medium|DC002_tail_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_tail_p99,0.0,1.98,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_memory_gap_medium|DC002_pathological_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_pathological_p99,0.0,1.98,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_memory_gap_high|DC002_local_like_p50,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_local_like_p50,0.0,4.455,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_memory_gap_high|DC002_moderate_p95,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_moderate_p95,0.0,4.455,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_memory_gap_high|DC002_tail_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_tail_p99,0.0,4.455,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|A|DC001_memory_gap_high|DC002_pathological_p99,batch summarization/offline inference control,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_pathological_p99,0.0,4.455,keep_option_A,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_zero_energy|DC002_local_like_p50,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_local_like_p50,-1.4,-1.4,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_zero_energy|DC002_moderate_p95,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_moderate_p95,-2.9,-2.9,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_zero_energy|DC002_tail_p99,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_tail_p99,-8.9,-8.9,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_zero_energy|DC002_pathological_p99,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_pathological_p99,-1000.9,-1000.9,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_equal_tier_low|DC002_local_like_p50,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_local_like_p50,-0.6593,-0.6815,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_equal_tier_low|DC002_moderate_p95,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_moderate_p95,-2.1593,-2.1815,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_equal_tier_low|DC002_tail_p99,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_tail_p99,-8.1593,-8.1815,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_equal_tier_low|DC002_pathological_p99,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_pathological_p99,-1000.1593,-1000.1815,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_memory_gap_medium|DC002_local_like_p50,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_local_like_p50,0.5753,0.516,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_memory_gap_medium|DC002_moderate_p95,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_moderate_p95,-0.9247,-0.984,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_memory_gap_medium|DC002_tail_p99,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_tail_p99,-6.9247,-6.984,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_memory_gap_medium|DC002_pathological_p99,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_pathological_p99,-998.9247,-998.984,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_memory_gap_high|DC002_local_like_p50,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_local_like_p50,3.0445,2.9111,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_memory_gap_high|DC002_moderate_p95,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_moderate_p95,1.5445,1.4111,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_memory_gap_high|DC002_tail_p99,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_tail_p99,-4.4555,-4.5889,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|B|DC001_memory_gap_high|DC002_pathological_p99,batch summarization/offline inference control,B_memory_object_aware_runtime,52.29,969.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_pathological_p99,-996.4555,-996.5889,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_zero_energy|DC002_local_like_p50,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_local_like_p50,-2.6,-2.6,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_zero_energy|DC002_moderate_p95,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_moderate_p95,-5.0,-5.0,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_zero_energy|DC002_tail_p99,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_tail_p99,-14.6,-14.6,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_zero_energy|DC002_pathological_p99,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_pathological_p99,-1601.8,-1601.8,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_equal_tier_low|DC002_local_like_p50,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_local_like_p50,-1.4329,-1.8935,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_equal_tier_low|DC002_moderate_p95,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_moderate_p95,-3.8329,-4.2935,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_equal_tier_low|DC002_tail_p99,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_tail_p99,-13.4329,-13.8935,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_equal_tier_low|DC002_pathological_p99,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_equal_tier_low,dollar_linked_equal_tier_low,DC002_pathological_p99,-1600.6329,-1601.0935,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_memory_gap_medium|DC002_local_like_p50,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_local_like_p50,0.5124,-0.7159,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_memory_gap_medium|DC002_moderate_p95,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_moderate_p95,-1.8876,-3.1159,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_memory_gap_medium|DC002_tail_p99,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_tail_p99,-11.4876,-12.7159,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_memory_gap_medium|DC002_pathological_p99,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_memory_gap_medium,dollar_linked_memory_gap_medium,DC002_pathological_p99,-1598.6876,-1599.9159,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_memory_gap_high|DC002_local_like_p50,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_local_like_p50,4.4029,1.6392,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_memory_gap_high|DC002_moderate_p95,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_moderate_p95,2.0029,-0.7608,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_memory_gap_high|DC002_tail_p99,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_tail_p99,-7.5971,-10.3608,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
batch summarization/offline inference control|C|DC001_memory_gap_high|DC002_pathological_p99,batch summarization/offline inference control,C_trajectory_dag_memory_fabric,82.17,969.0,0.0,DC001_memory_gap_high,dollar_linked_memory_gap_high,DC002_pathological_p99,-1594.7971,-1597.5608,collapse_to_A_no_non_kv_retained_value,synthetic_sensitivity
code-agent loop|A|DC001_zero_energy|DC002_local_like_p50,code-agent loop,A_conventional_request_model_kv_serving,0.0,0.0,0.0,DC001_zero_energy,dollar_linked_zero_energy,DC002_local_like_p50,0.0,0.0,keep_option_A,synthetic_sensitivity
