workload_class,object_class,strategy,valid,invalid_reason,object_count,total_size,capacity_pressure,reuse_pressure,correctness_sensitive_share,provenance_need,provenance_coverage,bytes_saved_proxy,transfer_avoided_proxy,queue_relief_proxy,representation_preservation_benefit_proxy,reconstruction_cost_proxy,metadata_cost_proxy,provenance_risk_proxy,correctness_loss_risk_proxy,net_compression_value,architecture_option,evidence_label
code-agent loop,tool output,lossy_summarize,false,lossy_without_replay_safe_pointer,3,220.0,0.913778,0.694444,1.0,0.92,0.5625,0.176,0.201667,0.205147,0.0,0.278889,0.24096,0.181125,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,trajectory log,lossy_summarize,false,lossy_without_replay_safe_pointer,2,85.0,0.917028,0.816667,1.0,0.92,0.363636,0.068,0.212905,0.187507,0.0,0.303333,0.24096,0.263455,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,verifier state,lossy_summarize,false,lossy_without_replay_safe_pointer,2,120.0,0.888083,0.725,1.0,0.92,0.461538,0.096,0.19459,0.19208,0.0,0.285,0.24096,0.222923,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,911.0,1.152689,0.7,0.0,0.2,0.0,0.7288,0.309694,0.295437,0.0,0.21,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,27.0,0.9366,0.85,0.0,0.2,0.0,0.0216,0.210749,0.179928,0.0,0.24,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,branch state,lossy_summarize,false,lossy_without_replay_safe_pointer,4,274.0,0.963228,0.908333,1.0,0.92,0.285714,0.2192,0.274571,0.212203,0.0,0.321667,0.24096,0.295714,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,durable workspace,lossy_summarize,false,lossy_without_replay_safe_pointer,4,352.0,0.933544,0.725,1.0,0.92,0.565217,0.2816,0.231594,0.222395,0.0,0.285,0.24096,0.18,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,tool output,lossy_summarize,false,lossy_without_replay_safe_pointer,3,237.0,0.942933,0.877778,1.0,0.92,0.473684,0.1896,0.25819,0.207368,0.0,0.315556,0.24096,0.217895,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,trajectory log,lossy_summarize,false,lossy_without_replay_safe_pointer,4,156.0,0.936883,0.908333,1.0,0.92,0.347826,0.1248,0.250991,0.196784,0.0,0.321667,0.24096,0.27,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,verifier state,lossy_summarize,false,lossy_without_replay_safe_pointer,3,168.0,0.911067,0.816667,1.0,0.92,0.428571,0.1344,0.227817,0.198352,0.0,0.303333,0.24096,0.236572,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,912.0,1.152933,0.7,0.0,0.2,0.0,0.7296,0.309848,0.295568,0.0,0.21,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
single-turn chat control,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,22.0,0.417878,0.483333,0.0,0.2,0.0,0.0176,0.119306,0.064027,0.0,0.166667,0.1776,0.09,0.0,-999.0,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,908.0,0.639456,0.7,0.0,0.2,0.0,0.7264,0.309232,0.105373,0.0,0.21,0.1776,0.09,0.0,-999.0,A_conventional_request_model_kv_serving,synthetic
verification-heavy,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,26.0,0.923856,0.85,0.0,0.2,0.0,0.0208,0.210562,0.179797,0.0,0.24,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,branch state,lossy_summarize,false,lossy_without_replay_safe_pointer,3,212.0,0.921822,0.755556,1.0,0.92,0.315789,0.1696,0.218084,0.204101,0.0,0.291111,0.24096,0.283263,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,tool output,lossy_summarize,false,lossy_without_replay_safe_pointer,3,232.0,0.917544,0.694444,1.0,0.92,0.5625,0.1856,0.2035,0.206715,0.0,0.278889,0.24096,0.181125,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,trajectory log,lossy_summarize,false,lossy_without_replay_safe_pointer,3,122.0,0.902322,0.755556,1.0,0.92,0.4,0.0976,0.203124,0.192341,0.0,0.291111,0.24096,0.2484,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,verifier state,lossy_summarize,false,lossy_without_replay_safe_pointer,4,220.0,0.872528,0.5875,1.0,0.92,0.521739,0.176,0.17061,0.205147,0.0,0.2575,0.24096,0.198,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
verification-heavy,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,909.0,1.1497,0.7,0.0,0.2,0.0,0.7272,0.309386,0.295176,0.0,0.21,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
