risk_id,object_class,workload_class,architecture_option,risk_class,required_fields,failure_condition,impact,detectability,mitigation_hook,claim_type,source_or_artifact_refs
SR-011,KV cache,code-agent loop,C_trajectory_dag_memory_fabric,leakage,object_id; object_class; tenant_scope,KV cache reused outside authorized isolation boundary,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-012,KV cache,code-agent loop,C_trajectory_dag_memory_fabric,cross-tenant aliasing,object_id; object_class; tenant_scope,cache salt or tenant scope differs between producer and consumer,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-013,KV cache,multi-agent branch/merge,C_trajectory_dag_memory_fabric,leakage,object_id; object_class; tenant_scope,KV cache reused outside authorized isolation boundary,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-014,KV cache,multi-agent branch/merge,C_trajectory_dag_memory_fabric,cross-tenant aliasing,object_id; object_class; tenant_scope,cache salt or tenant scope differs between producer and consumer,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-015,KV cache,single-turn chat control,A_conventional_request_model_kv_serving,leakage,object_id; object_class; tenant_scope,KV cache reused outside authorized isolation boundary,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-016,KV cache,single-turn chat control,A_conventional_request_model_kv_serving,cross-tenant aliasing,object_id; object_class; tenant_scope,cache salt or tenant scope differs between producer and consumer,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-017,KV cache,verification-heavy,C_trajectory_dag_memory_fabric,leakage,object_id; object_class; tenant_scope,KV cache reused outside authorized isolation boundary,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-018,KV cache,verification-heavy,C_trajectory_dag_memory_fabric,cross-tenant aliasing,object_id; object_class; tenant_scope,cache salt or tenant scope differs between producer and consumer,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-019,prefix cache,RAG,B_memory_object_aware_runtime,leakage,object_id; source_version; cache_salt; tenant_scope,prefix cache reused outside authorized isolation boundary,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-020,prefix cache,RAG,B_memory_object_aware_runtime,cross-tenant aliasing,object_id; source_version; cache_salt; tenant_scope,cache salt or tenant scope differs between producer and consumer,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-021,prefix cache,RAG,B_memory_object_aware_runtime,stale reuse,object_id; source_version; cache_salt; tenant_scope,source_version changed or invalidation_signal not none before reuse,medium,trace_detectable,source_version_and_invalidation_check,sourced_from_calibration,M-TRACE-1; M-CALIB-1 DC-004
SR-022,prefix cache,code-agent loop,C_trajectory_dag_memory_fabric,leakage,object_id; source_version; cache_salt; tenant_scope,prefix cache reused outside authorized isolation boundary,high,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-023,prefix cache,code-agent loop,C_trajectory_dag_memory_fabric,cross-tenant aliasing,object_id; source_version; cache_salt; tenant_scope,cache salt or tenant scope differs between producer and consumer,high,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-024,prefix cache,code-agent loop,C_trajectory_dag_memory_fabric,stale reuse,object_id; source_version; cache_salt; tenant_scope,source_version changed or invalidation_signal not none before reuse,high,trace_detectable,source_version_and_invalidation_check,sourced_from_calibration,M-TRACE-1; M-CALIB-1 DC-004
SR-025,prefix cache,multi-agent branch/merge,C_trajectory_dag_memory_fabric,leakage,object_id; source_version; cache_salt; tenant_scope,prefix cache reused outside authorized isolation boundary,high,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-026,prefix cache,multi-agent branch/merge,C_trajectory_dag_memory_fabric,cross-tenant aliasing,object_id; source_version; cache_salt; tenant_scope,cache salt or tenant scope differs between producer and consumer,high,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-027,prefix cache,multi-agent branch/merge,C_trajectory_dag_memory_fabric,stale reuse,object_id; source_version; cache_salt; tenant_scope,source_version changed or invalidation_signal not none before reuse,high,trace_detectable,source_version_and_invalidation_check,sourced_from_calibration,M-TRACE-1; M-CALIB-1 DC-004
SR-028,prefix cache,single-turn chat control,A_conventional_request_model_kv_serving,leakage,object_id; source_version; cache_salt; tenant_scope,prefix cache reused outside authorized isolation boundary,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-029,prefix cache,single-turn chat control,A_conventional_request_model_kv_serving,cross-tenant aliasing,object_id; source_version; cache_salt; tenant_scope,cache salt or tenant scope differs between producer and consumer,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-030,prefix cache,single-turn chat control,A_conventional_request_model_kv_serving,stale reuse,object_id; source_version; cache_salt; tenant_scope,source_version changed or invalidation_signal not none before reuse,low,trace_detectable,source_version_and_invalidation_check,sourced_from_calibration,M-TRACE-1; M-CALIB-1 DC-004
SR-031,retrieved context,RAG,B_memory_object_aware_runtime,stale reuse,provenance_id; source_version; invalidation_signal,source_version changed or invalidation_signal not none before reuse,high,trace_detectable,source_version_and_invalidation_check,sourced_from_calibration,M-TRACE-1; M-CALIB-1 DC-004
SR-032,retrieved context,RAG,B_memory_object_aware_runtime,provenance forgery,provenance_id; source_version; invalidation_signal,"provenance_id missing, unverifiable, or mismatched to source_version",high,trace_detectable,provenance_pointer_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
SR-033,retrieved context,RAG,B_memory_object_aware_runtime,cache poisoning,provenance_id; source_version; invalidation_signal,cache entry is inserted or reused from untrusted provenance,high,requires_new_tenant_or_trust_field,provenance_pointer_validation,sourced_from_calibration,M-CALIB-1 DC-004; M-PROTO-1
SR-034,tool output,RAG,B_memory_object_aware_runtime,provenance forgery,provenance_id; trajectory_node_id; source_version,"provenance_id missing, unverifiable, or mismatched to source_version",high,trace_detectable,provenance_pointer_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
SR-035,tool output,RAG,B_memory_object_aware_runtime,replay ambiguity,provenance_id; trajectory_node_id; source_version,"trajectory, branch, or parent lineage is missing before replay",high,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-036,tool output,RAG,B_memory_object_aware_runtime,unsafe summary-pointer recovery,provenance_id; trajectory_node_id; source_version,summary_plus_pointer lacks recoverable raw/provenance pointer,high,trace_detectable,downgrade_to_exact_or_option_fallback,derived,M-COMP-1; M-PROTO-1
SR-037,tool output,code-agent loop,C_trajectory_dag_memory_fabric,provenance forgery,provenance_id; trajectory_node_id; source_version,"provenance_id missing, unverifiable, or mismatched to source_version",critical,trace_detectable,provenance_pointer_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
SR-038,tool output,code-agent loop,C_trajectory_dag_memory_fabric,replay ambiguity,provenance_id; trajectory_node_id; source_version,"trajectory, branch, or parent lineage is missing before replay",high,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-039,tool output,code-agent loop,C_trajectory_dag_memory_fabric,unsafe summary-pointer recovery,provenance_id; trajectory_node_id; source_version,summary_plus_pointer lacks recoverable raw/provenance pointer,high,trace_detectable,downgrade_to_exact_or_option_fallback,derived,M-COMP-1; M-PROTO-1
SR-040,tool output,multi-agent branch/merge,C_trajectory_dag_memory_fabric,provenance forgery,provenance_id; trajectory_node_id; source_version,"provenance_id missing, unverifiable, or mismatched to source_version",critical,trace_detectable,provenance_pointer_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
SR-041,tool output,multi-agent branch/merge,C_trajectory_dag_memory_fabric,replay ambiguity,provenance_id; trajectory_node_id; source_version,"trajectory, branch, or parent lineage is missing before replay",high,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-042,tool output,multi-agent branch/merge,C_trajectory_dag_memory_fabric,unsafe summary-pointer recovery,provenance_id; trajectory_node_id; source_version,summary_plus_pointer lacks recoverable raw/provenance pointer,high,trace_detectable,downgrade_to_exact_or_option_fallback,derived,M-COMP-1; M-PROTO-1
SR-043,tool output,verification-heavy,C_trajectory_dag_memory_fabric,provenance forgery,provenance_id; trajectory_node_id; source_version,"provenance_id missing, unverifiable, or mismatched to source_version",critical,trace_detectable,provenance_pointer_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
SR-044,tool output,verification-heavy,C_trajectory_dag_memory_fabric,replay ambiguity,provenance_id; trajectory_node_id; source_version,"trajectory, branch, or parent lineage is missing before replay",high,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-045,tool output,verification-heavy,C_trajectory_dag_memory_fabric,unsafe summary-pointer recovery,provenance_id; trajectory_node_id; source_version,summary_plus_pointer lacks recoverable raw/provenance pointer,high,trace_detectable,downgrade_to_exact_or_option_fallback,derived,M-COMP-1; M-PROTO-1
SR-046,intermediate scratch,batch summarization/offline inference control,A_conventional_request_model_kv_serving,leakage,object_id; lifetime_boundary,intermediate scratch reused outside authorized isolation boundary,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-047,intermediate scratch,single-turn chat control,A_conventional_request_model_kv_serving,leakage,object_id; lifetime_boundary,intermediate scratch reused outside authorized isolation boundary,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-048,branch state,code-agent loop,C_trajectory_dag_memory_fabric,replay ambiguity,branch_id; trajectory_node_id; merge_state,"trajectory, branch, or parent lineage is missing before replay",high,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-049,branch state,code-agent loop,C_trajectory_dag_memory_fabric,cross-tenant aliasing,branch_id; trajectory_node_id; merge_state,cache salt or tenant scope differs between producer and consumer,high,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-050,branch state,multi-agent branch/merge,C_trajectory_dag_memory_fabric,replay ambiguity,branch_id; trajectory_node_id; merge_state,"trajectory, branch, or parent lineage is missing before replay",high,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-051,branch state,multi-agent branch/merge,C_trajectory_dag_memory_fabric,cross-tenant aliasing,branch_id; trajectory_node_id; merge_state,cache salt or tenant scope differs between producer and consumer,high,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-052,branch state,verification-heavy,C_trajectory_dag_memory_fabric,replay ambiguity,branch_id; trajectory_node_id; merge_state,"trajectory, branch, or parent lineage is missing before replay",high,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-053,branch state,verification-heavy,C_trajectory_dag_memory_fabric,cross-tenant aliasing,branch_id; trajectory_node_id; merge_state,cache salt or tenant scope differs between producer and consumer,high,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-054,verifier state,code-agent loop,C_trajectory_dag_memory_fabric,verifier tampering,verifier_id; trajectory_node_id; merge_state,verifier result or evidence hash mismatches branch candidate,critical,requires_new_verifier_evidence_field,verifier_evidence_hash,derived,M-TRACE-1 verifier_id; M-PROTO-1
SR-055,verifier state,code-agent loop,C_trajectory_dag_memory_fabric,replay ambiguity,verifier_id; trajectory_node_id; merge_state,"trajectory, branch, or parent lineage is missing before replay",critical,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-056,verifier state,multi-agent branch/merge,C_trajectory_dag_memory_fabric,verifier tampering,verifier_id; trajectory_node_id; merge_state,verifier result or evidence hash mismatches branch candidate,critical,requires_new_verifier_evidence_field,verifier_evidence_hash,derived,M-TRACE-1 verifier_id; M-PROTO-1
SR-057,verifier state,multi-agent branch/merge,C_trajectory_dag_memory_fabric,replay ambiguity,verifier_id; trajectory_node_id; merge_state,"trajectory, branch, or parent lineage is missing before replay",critical,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-058,verifier state,verification-heavy,C_trajectory_dag_memory_fabric,verifier tampering,verifier_id; trajectory_node_id; merge_state,verifier result or evidence hash mismatches branch candidate,critical,requires_new_verifier_evidence_field,verifier_evidence_hash,derived,M-TRACE-1 verifier_id; M-PROTO-1
SR-059,verifier state,verification-heavy,C_trajectory_dag_memory_fabric,replay ambiguity,verifier_id; trajectory_node_id; merge_state,"trajectory, branch, or parent lineage is missing before replay",critical,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-060,trajectory log,code-agent loop,C_trajectory_dag_memory_fabric,replay ambiguity,trajectory_node_id; parent_object_id; provenance_id,"trajectory, branch, or parent lineage is missing before replay",critical,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-061,trajectory log,code-agent loop,C_trajectory_dag_memory_fabric,provenance forgery,trajectory_node_id; parent_object_id; provenance_id,"provenance_id missing, unverifiable, or mismatched to source_version",critical,trace_detectable,provenance_pointer_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
SR-062,trajectory log,code-agent loop,C_trajectory_dag_memory_fabric,deletion/audit conflict,trajectory_node_id; parent_object_id; provenance_id,object needed for audit but subject to deletion/retention expiry,critical,deferred,retention_ttl_or_legal_hold_policy,speculative,M-CALIB-1 deferred legal/compliance evidence
SR-063,trajectory log,multi-agent branch/merge,C_trajectory_dag_memory_fabric,replay ambiguity,trajectory_node_id; parent_object_id; provenance_id,"trajectory, branch, or parent lineage is missing before replay",critical,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-064,trajectory log,multi-agent branch/merge,C_trajectory_dag_memory_fabric,provenance forgery,trajectory_node_id; parent_object_id; provenance_id,"provenance_id missing, unverifiable, or mismatched to source_version",critical,trace_detectable,provenance_pointer_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
SR-065,trajectory log,multi-agent branch/merge,C_trajectory_dag_memory_fabric,deletion/audit conflict,trajectory_node_id; parent_object_id; provenance_id,object needed for audit but subject to deletion/retention expiry,critical,deferred,retention_ttl_or_legal_hold_policy,speculative,M-CALIB-1 deferred legal/compliance evidence
SR-066,trajectory log,verification-heavy,C_trajectory_dag_memory_fabric,replay ambiguity,trajectory_node_id; parent_object_id; provenance_id,"trajectory, branch, or parent lineage is missing before replay",critical,trace_detectable,trajectory_lineage_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
SR-067,trajectory log,verification-heavy,C_trajectory_dag_memory_fabric,provenance forgery,trajectory_node_id; parent_object_id; provenance_id,"provenance_id missing, unverifiable, or mismatched to source_version",critical,trace_detectable,provenance_pointer_validation,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
SR-068,trajectory log,verification-heavy,C_trajectory_dag_memory_fabric,deletion/audit conflict,trajectory_node_id; parent_object_id; provenance_id,object needed for audit but subject to deletion/retention expiry,critical,deferred,retention_ttl_or_legal_hold_policy,speculative,M-CALIB-1 deferred legal/compliance evidence
SR-069,durable workspace,code-agent loop,C_trajectory_dag_memory_fabric,retention overrun,durability_horizon; provenance_id; source_version,durability_horizon expired without legal/audit hold,critical,requires_new_retention_hold_field,retention_ttl_or_legal_hold_policy,derived,M-TRACE-1 durability_horizon; M-CALIB-1 DC-003
SR-070,durable workspace,code-agent loop,C_trajectory_dag_memory_fabric,deletion/audit conflict,durability_horizon; provenance_id; source_version,object needed for audit but subject to deletion/retention expiry,critical,deferred,retention_ttl_or_legal_hold_policy,speculative,M-CALIB-1 deferred legal/compliance evidence
SR-071,durable workspace,code-agent loop,C_trajectory_dag_memory_fabric,unsafe summary-pointer recovery,durability_horizon; provenance_id; source_version,summary_plus_pointer lacks recoverable raw/provenance pointer,critical,trace_detectable,downgrade_to_exact_or_option_fallback,derived,M-COMP-1; M-PROTO-1
SR-072,durable workspace,multi-agent branch/merge,C_trajectory_dag_memory_fabric,retention overrun,durability_horizon; provenance_id; source_version,durability_horizon expired without legal/audit hold,critical,requires_new_retention_hold_field,retention_ttl_or_legal_hold_policy,derived,M-TRACE-1 durability_horizon; M-CALIB-1 DC-003
SR-073,durable workspace,multi-agent branch/merge,C_trajectory_dag_memory_fabric,deletion/audit conflict,durability_horizon; provenance_id; source_version,object needed for audit but subject to deletion/retention expiry,critical,deferred,retention_ttl_or_legal_hold_policy,speculative,M-CALIB-1 deferred legal/compliance evidence
SR-074,durable workspace,multi-agent branch/merge,C_trajectory_dag_memory_fabric,unsafe summary-pointer recovery,durability_horizon; provenance_id; source_version,summary_plus_pointer lacks recoverable raw/provenance pointer,critical,trace_detectable,downgrade_to_exact_or_option_fallback,derived,M-COMP-1; M-PROTO-1
SR-075,semantic cache entry,RAG,B_memory_object_aware_runtime,stale reuse,provenance_id; source_version; invalidation_signal; cache_salt,source_version changed or invalidation_signal not none before reuse,high,trace_detectable,source_version_and_invalidation_check,sourced_from_calibration,M-TRACE-1; M-CALIB-1 DC-004
SR-076,semantic cache entry,RAG,B_memory_object_aware_runtime,cache poisoning,provenance_id; source_version; invalidation_signal; cache_salt,cache entry is inserted or reused from untrusted provenance,critical,requires_new_tenant_or_trust_field,provenance_pointer_validation,sourced_from_calibration,M-CALIB-1 DC-004; M-PROTO-1
SR-077,semantic cache entry,RAG,B_memory_object_aware_runtime,cross-tenant aliasing,provenance_id; source_version; invalidation_signal; cache_salt,cache salt or tenant scope differs between producer and consumer,high,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
