workload_class,object_id,object_class,selected_option,baseline_option,action,tier,compression_strategy,validation_required,security_decision,constraint_binding,net_plan_value,safe_reuse_credit,raw_reuse_credit,validation_overhead,queue_overhead,contention_penalty,compression_risk,evidence_label
code-agent loop,code-agent_loop:weights:1,weights,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,compress_or_pointer_preserve,CPU DRAM,lossless_compress,true,safe_reuse,capacity,26.078,48.274,50.43,2.156,9.16,0.0,6.4,synthetic_planning
code-agent loop,code-agent_loop:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,overhead_dominated_reuse,validation_overhead,-1.110721,0.0,0.186667,0.1264,0.5725,0.0,0.411821,synthetic_planning
code-agent loop,code-agent_loop:prefix_cache:1,prefix cache,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,keep_hot,CPU DRAM,lossless_compress,true,safe_reuse,value_positive,22.14172,26.43822,27.22222,0.784,2.8625,0.25,0.0,synthetic_planning
code-agent loop,code-agent_loop:KV_cache:1,KV cache,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,queueing_overhead,-6.313178,0.0,2.566669,0.9948,4.0075,0.0,2.882747,synthetic_planning
code-agent loop,code-agent_loop:branch_state:1,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-5.0294,0.0,28.753332,0.8219,1.7175,0.15,1.2,synthetic_planning
code-agent loop,code-agent_loop:trajectory_log:1,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,24.573334,0.8341,1.7175,0.15,1.2,synthetic_planning
code-agent loop,code-agent_loop:branch_state:2,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-4.9494,0.0,25.333332,0.7419,1.7175,0.15,1.2,synthetic_planning
code-agent loop,code-agent_loop:trajectory_log:2,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,20.254,0.8241,1.7175,0.15,1.2,synthetic_planning
code-agent loop,code-agent_loop:tool_output:1,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,17.36,0.6402,1.7175,0.15,1.2,synthetic_planning
code-agent loop,code-agent_loop:verifier_state:1,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-5.3725,0.0,21.913333,1.165,1.7175,0.15,1.2,synthetic_planning
code-agent loop,code-agent_loop:verifier_state:1,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,2.491111,0.395,0.5725,0.05,0.4,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:1,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,3.757778,0.3356,0.5725,0.05,0.4,synthetic_planning
code-agent loop,code-agent_loop:verifier_state:2,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,2.491111,0.335,0.5725,0.05,0.4,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:2,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,4.18,0.3358,0.5725,0.05,0.4,synthetic_planning
code-agent loop,code-agent_loop:tool_output:2,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,13.875556,0.4368,1.145,0.1,0.8,synthetic_planning
code-agent loop,code-agent_loop:tool_output:3,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,10.235556,0.4568,1.145,0.1,0.8,synthetic_planning
code-agent loop,code-agent_loop:verifier_state:2,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-3.535,0.0,15.622222,0.73,1.145,0.1,0.8,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:1,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,20.815556,0.6212,1.145,0.1,0.8,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:2,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,16.255556,0.6412,1.145,0.1,0.8,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:3,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,4.602222,0.356,0.5725,0.05,0.4,synthetic_planning
code-agent loop,code-agent_loop:durable_workspace:3,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,8.317778,0.3356,0.5725,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:weights:1,weights,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,compress_or_pointer_preserve,CPU DRAM,lossless_compress,true,safe_reuse,capacity,26.4,45.39,47.28,1.89,6.9,0.0,6.0,synthetic_planning
verification-heavy,verification-heavy:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,overhead_dominated_reuse,validation_overhead,-1.025266,0.0,0.186667,0.1564,0.46,0.0,0.408866,synthetic_planning
verification-heavy,verification-heavy:KV_cache:1,KV cache,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,queueing_overhead,-5.104993,0.0,2.566669,0.7948,3.22,0.0,2.862062,synthetic_planning
verification-heavy,verification-heavy:branch_state:1,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-4.6719,0.0,28.753332,0.8019,1.38,0.15,1.2,synthetic_planning
verification-heavy,verification-heavy:trajectory_log:1,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,24.573334,0.8841,1.38,0.15,1.2,synthetic_planning
verification-heavy,verification-heavy:branch_state:2,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-4.6619,0.0,25.333332,0.7919,1.38,0.15,1.2,synthetic_planning
verification-heavy,verification-heavy:trajectory_log:2,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,18.43,0.8741,1.38,0.15,1.2,synthetic_planning
verification-heavy,verification-heavy:tool_output:1,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,19.693334,0.6602,1.38,0.15,1.2,synthetic_planning
verification-heavy,verification-heavy:verifier_state:1,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-4.965,0.0,21.913333,1.095,1.38,0.15,1.2,synthetic_planning
verification-heavy,verification-heavy:verifier_state:1,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,2.491111,0.355,0.46,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:tool_output:3,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,compress_or_pointer_preserve,CPU DRAM,summary_plus_pointer,true,safe_reuse,compression_unsafe,0.900978,2.274378,2.457778,0.1834,0.46,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:verifier_state:2,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,1.743778,0.395,0.46,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:branch_state:3,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-3.1346,0.0,19.168888,0.5546,0.92,0.1,0.8,synthetic_planning
verification-heavy,verification-heavy:trajectory_log:3,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,16.255556,0.5394,0.92,0.1,0.8,synthetic_planning
verification-heavy,verification-heavy:tool_output:2,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,13.875556,0.4368,0.92,0.1,0.8,synthetic_planning
verification-heavy,verification-heavy:verifier_state:2,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,5.911111,0.335,0.46,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:tool_output:3,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,14.715556,0.3768,0.92,0.1,0.8,synthetic_planning
verification-heavy,verification-heavy:verifier_state:3,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,2.491111,0.375,0.46,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:verifier_state:4,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,2.491111,0.365,0.46,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:verifier_state:2,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-1.665,0.0,9.711111,0.375,0.46,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:verifier_state:3,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-1.675,0.0,9.331111,0.385,0.46,0.05,0.4,synthetic_planning
verification-heavy,verification-heavy:verifier_state:4,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-1.685,0.0,5.151111,0.395,0.46,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:weights:1,weights,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,compress_or_pointer_preserve,CPU DRAM,lossless_compress,true,safe_reuse,capacity,29.549,54.412,56.73,2.318,10.305,0.0,7.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,overhead_dominated_reuse,validation_overhead,-1.11701,0.0,0.186667,0.1364,0.5725,0.0,0.40811,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:prefix_cache:1,prefix cache,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,keep_hot,CPU DRAM,lossless_compress,true,safe_reuse,value_positive,25.020731,30.134531,31.033331,0.8988,3.435,0.3,0.0,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:KV_cache:1,KV cache,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,queueing_overhead,-6.853944,0.0,2.933336,0.9712,4.58,0.0,3.26488,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:branch_state:1,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-6.6992,0.0,39.097776,1.0892,2.29,0.2,1.6,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:1,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,33.651112,1.1288,2.29,0.2,1.6,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:branch_state:2,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-6.7092,0.0,32.574443,1.0992,2.29,0.2,1.6,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:2,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,30.231112,1.1388,2.29,0.2,1.6,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:tool_output:1,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,27.471112,0.8736,2.29,0.2,1.6,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:1,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-5.2825,0.0,21.913333,1.075,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:1,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,2.491111,0.345,0.5725,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:1,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,3.757778,0.3656,0.5725,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:2,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,2.491111,0.375,0.5725,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:2,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,4.18,0.3058,0.5725,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:branch_state:3,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-4.9594,0.0,26.409999,0.7519,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:3,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,25.333334,0.8341,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:branch_state:4,branch state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-5.0194,0.0,26.093332,0.8119,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:4,trajectory log,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,21.913334,0.8941,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:tool_output:2,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,21.653334,0.6702,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:tool_output:3,tool output,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,18.013334,0.6302,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:2,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-5.2825,0.0,25.333333,1.075,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:1,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,31.793334,1.0368,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:2,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,27.233334,0.9968,1.7175,0.15,1.2,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:3,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,2.491111,0.335,0.5725,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:3,durable workspace,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-1.7385,0.0,4.602222,0.336,0.5725,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:4,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,safe_reuse,contention_tail,0.0,0.0,5.024444,0.3362,0.5725,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:1,verifier state,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,9.711111,0.365,0.5725,0.05,0.4,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:3,verifier state,B_memory_object_aware_runtime,C_trajectory_dag_memory_fabric,offload_cold,NVMe_or_durable_store,summary_plus_pointer,true,downgraded_reuse,security_gate,-3.545,0.0,19.042222,0.74,1.145,0.1,0.8,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:3,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,19.295556,0.6712,1.145,0.1,0.8,synthetic_planning
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:4,durable workspace,A_conventional_request_model_kv_serving,C_trajectory_dag_memory_fabric,recompute_or_drop,not_retained,none,true,denied_reuse,security_gate,0.0,0.0,14.735556,0.6912,1.145,0.1,0.8,synthetic_planning
