workload_class,time_step,event_type,object_id,object_class,size_units,tier,created_at,last_seen_at,lifetime,reuse_count,reuse_distance,correctness_sensitive,provenance_id,source_version,invalidation_signal,trajectory_node_id,branch_id,verifier_id,durability_horizon,merge_state,active,placement_decision,retention_decision,compression_strategy,eviction_decision,runtime_architecture_option,evidence_label
single-turn chat control,10,object_update,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,32.0,CPU DRAM,4,10,6,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,13,object_access,single-turn_chat_control:weights:1,weights,908.0,HBM/GPU memory,1,13,12,2,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,18,object_access,single-turn_chat_control:weights:1,weights,908.0,HBM/GPU memory,1,18,17,3,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,18,object_access,single-turn_chat_control:prefix_cache:1,prefix cache,44.0,CPU DRAM,2,18,16,1,15.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,18,object_access,single-turn_chat_control:KV_cache:1,KV cache,22.0,HBM/GPU memory,3,18,15,2,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,23,object_access,single-turn_chat_control:weights:1,weights,908.0,HBM/GPU memory,1,23,22,4,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,24,object_evict,single-turn_chat_control:weights:1,weights,908.0,HBM/GPU memory,1,24,23,4,5.0,false,,synthetic_v2,none,,,,0,,false,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,evict_after_trace_use,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,24,object_evict,single-turn_chat_control:prefix_cache:1,prefix cache,44.0,CPU DRAM,2,24,22,1,15.0,false,,synthetic_v2,none,,,,0,,false,place:CPU DRAM,retain_baseline_serving_state,keep_hot,evict_after_trace_use,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,24,object_evict,single-turn_chat_control:KV_cache:1,KV cache,22.0,HBM/GPU memory,3,24,21,2,10.0,false,,synthetic_v2,none,,,,0,,false,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,evict_after_trace_use,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,24,object_evict,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,32.0,CPU DRAM,4,24,20,0,0.0,false,,synthetic_v2,none,,,,0,,false,place:CPU DRAM,retain_baseline_serving_state,keep_hot,evict_after_trace_use,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,1,object_create,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,1,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,2,object_place,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,2,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,3,object_create,batch_summarization_offline_inference_control:KV_cache:1,KV cache,31.0,HBM/GPU memory,3,3,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,4,object_place,batch_summarization_offline_inference_control:KV_cache:1,KV cache,31.0,HBM/GPU memory,3,4,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,4,object_create,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,27.0,CPU DRAM,4,4,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,5,object_place,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,27.0,CPU DRAM,4,5,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,8,object_access,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,8,7,1,6.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,8,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,31.0,HBM/GPU memory,3,8,5,1,4.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,10,object_update,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,30.0,CPU DRAM,4,10,6,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,13,object_access,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,13,12,2,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,18,object_access,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,18,17,3,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,18,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,31.0,HBM/GPU memory,3,18,15,2,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,23,object_access,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,23,22,4,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,28,object_access,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,28,27,5,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,28,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,31.0,HBM/GPU memory,3,28,25,3,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,33,object_access,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,33,32,6,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,38,object_access,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,38,37,7,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,38,object_access,batch_summarization_offline_inference_control:KV_cache:1,KV cache,31.0,HBM/GPU memory,3,38,35,4,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,38,object_evict,batch_summarization_offline_inference_control:weights:1,weights,908.0,HBM/GPU memory,1,38,37,7,5.0,false,,synthetic_v2,none,,,,0,,false,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,evict_after_trace_use,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,38,object_evict,batch_summarization_offline_inference_control:KV_cache:1,KV cache,31.0,HBM/GPU memory,3,38,35,4,10.0,false,,synthetic_v2,none,,,,0,,false,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,evict_after_trace_use,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,38,object_evict,batch_summarization_offline_inference_control:intermediate_scratch:1,intermediate scratch,30.0,CPU DRAM,4,38,34,0,0.0,false,,synthetic_v2,none,,,,0,,false,place:CPU DRAM,retain_baseline_serving_state,keep_hot,evict_after_trace_use,A_conventional_request_model_kv_serving,synthetic
RAG,1,object_create,rag:weights:1,weights,906.0,HBM/GPU memory,1,1,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_object_metadata,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,2,object_place,rag:weights:1,weights,906.0,HBM/GPU memory,1,2,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_object_metadata,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,2,object_create,rag:prefix_cache:1,prefix cache,45.0,CPU DRAM,2,2,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_object_metadata,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,3,object_place,rag:prefix_cache:1,prefix cache,45.0,CPU DRAM,2,3,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_object_metadata,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,3,object_create,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,3,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_object_metadata,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,4,object_place,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,4,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_object_metadata,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,8,object_create,rag:semantic_cache_entry:1,semantic cache entry,50.0,CPU DRAM,8,8,0,0,0.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,8,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,8,7,1,6.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,8,object_access,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,8,5,1,4.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,9,object_place,rag:semantic_cache_entry:1,semantic cache entry,50.0,CPU DRAM,8,9,1,0,0.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,9,object_create,rag:retrieved_context:1,retrieved context,58.0,CPU DRAM,9,9,0,0,0.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,10,object_place,rag:retrieved_context:1,retrieved context,58.0,CPU DRAM,9,10,1,0,0.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,12,semantic_cache_lookup,rag:semantic_cache_entry:1,semantic cache entry,50.0,CPU DRAM,8,12,4,0,4.0,true,prov:corpus:v1,corpus:v1,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,13,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,13,12,2,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,16,semantic_cache_insert,rag:semantic_cache_entry:1,semantic cache entry,50.0,CPU DRAM,8,16,8,0,4.0,true,prov:corpus:v1,corpus:v1,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,18,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,18,17,3,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,18,object_access,rag:prefix_cache:1,prefix cache,45.0,CPU DRAM,2,18,16,1,15.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,18,object_access,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,18,15,2,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,18,object_access,rag:semantic_cache_entry:1,semantic cache entry,50.0,CPU DRAM,8,18,10,1,9.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,18,object_access,rag:retrieved_context:1,retrieved context,58.0,CPU DRAM,9,18,9,1,8.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,20,object_create,rag:tool_output:2,tool output,71.0,CPU DRAM,20,20,0,0,0.0,true,prov:tool:1,synthetic_v2,none,rag:tool-node:1,,,60,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,21,object_place,rag:tool_output:2,tool output,71.0,CPU DRAM,20,21,1,0,0.0,true,prov:tool:1,synthetic_v2,none,rag:tool-node:1,,,60,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,21,tool_call_result,rag:tool_output:2,tool output,71.0,CPU DRAM,20,21,1,0,0.0,true,prov:tool:1,tool:v1,none,rag:tool-node:1,,,60,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,23,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,23,22,4,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,24,object_create,rag:tool_output:1,tool output,71.0,CPU DRAM,24,24,0,0,0.0,true,prov:retriever:1,synthetic_v2,none,rag-node-1,,,60,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,25,object_place,rag:tool_output:1,tool output,71.0,CPU DRAM,24,25,1,0,0.0,true,prov:retriever:1,synthetic_v2,none,rag-node-1,,,60,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,26,tool_call_result,rag:tool_output:1,tool output,71.0,CPU DRAM,24,26,2,0,0.0,true,prov:retriever:1,retriever:v1,none,rag-node-1,,,60,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,28,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,28,27,5,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,28,object_access,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,28,25,3,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,30,object_create,rag:tool_output:3,tool output,74.0,CPU DRAM,30,30,0,0,0.0,true,prov:workspace:1,synthetic_v2,none,rag:workspace-node:1,,,60,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,31,object_place,rag:tool_output:3,tool output,74.0,CPU DRAM,30,31,1,0,0.0,true,prov:workspace:1,synthetic_v2,none,rag:workspace-node:1,,,60,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,31,workspace_write,rag:tool_output:3,tool output,74.0,CPU DRAM,30,31,1,0,0.0,true,prov:workspace:1,workspace:v1,none,rag:workspace-node:1,,,120,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,33,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,33,32,6,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,33,object_access,rag:prefix_cache:1,prefix cache,45.0,CPU DRAM,2,33,31,2,15.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,33,object_access,rag:semantic_cache_entry:1,semantic cache entry,50.0,CPU DRAM,8,33,25,2,15.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,33,object_access,rag:retrieved_context:1,retrieved context,58.0,CPU DRAM,9,33,24,2,15.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,38,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,38,37,7,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,38,object_access,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,38,35,4,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,43,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,43,42,8,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,48,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,48,47,9,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,48,object_access,rag:prefix_cache:1,prefix cache,45.0,CPU DRAM,2,48,46,3,15.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,48,object_access,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,48,45,5,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,48,object_access,rag:semantic_cache_entry:1,semantic cache entry,50.0,CPU DRAM,8,48,40,3,15.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,48,object_access,rag:retrieved_context:1,retrieved context,58.0,CPU DRAM,9,48,39,3,15.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,53,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,53,52,10,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,58,object_access,rag:weights:1,weights,906.0,HBM/GPU memory,1,58,57,11,5.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,58,object_access,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,58,55,6,10.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,B_memory_object_aware_runtime,synthetic
RAG,58,object_evict,rag:prefix_cache:1,prefix cache,45.0,CPU DRAM,2,58,56,3,15.0,false,,synthetic_v2,none,,,,0,,false,place:CPU DRAM,retain_reuse_candidate,lossless_compress,evict_after_trace_use,B_memory_object_aware_runtime,synthetic
RAG,58,object_evict,rag:KV_cache:1,KV cache,29.0,HBM/GPU memory,3,58,55,6,10.0,false,,synthetic_v2,none,,,,0,,false,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,evict_after_trace_use,B_memory_object_aware_runtime,synthetic
RAG,58,object_evict,rag:semantic_cache_entry:1,semantic cache entry,50.0,CPU DRAM,8,58,50,3,15.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,false,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,evict_after_trace_use,B_memory_object_aware_runtime,synthetic
RAG,58,object_evict,rag:retrieved_context:1,retrieved context,58.0,CPU DRAM,9,58,49,3,15.0,true,prov:corpus:v1,synthetic_v2,none,,,,0,,false,place:CPU DRAM,retain_with_provenance_pointer,summary_plus_pointer,evict_after_trace_use,B_memory_object_aware_runtime,synthetic
code-agent loop,1,object_create,code-agent_loop:weights:1,weights,911.0,HBM/GPU memory,1,1,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,pending_reuse_or_trace_end,C_trajectory_dag_memory_fabric,synthetic
