grid_id,metric_direction,effect_size,threshold_value,sigma,sample_count,drift_fraction,ci_lower,ci_upper,threshold_status
effect-5.5-sigma-1.6-n-64-drift-0.02,higher_is_better,5.5,5.5,1.6,64,0.02,5.108,5.892,statistically_indeterminate
effect-5.5-sigma-1.6-n-64-drift-0.12,higher_is_better,5.5,5.5,1.6,64,0.12,5.108,5.892,statistically_indeterminate
effect-6.5-sigma-0.2-n-4-drift-0.02,higher_is_better,6.5,5.5,0.2,4,0.02,6.304,6.696,statistically_indeterminate
effect-6.5-sigma-0.2-n-4-drift-0.12,higher_is_better,6.5,5.5,0.2,4,0.12,6.304,6.696,statistically_indeterminate
effect-6.5-sigma-0.2-n-16-drift-0.02,higher_is_better,6.5,5.5,0.2,16,0.02,6.402,6.598,robust_pass
effect-6.5-sigma-0.2-n-16-drift-0.12,higher_is_better,6.5,5.5,0.2,16,0.12,6.402,6.598,statistically_indeterminate
effect-6.5-sigma-0.2-n-64-drift-0.02,higher_is_better,6.5,5.5,0.2,64,0.02,6.451,6.549,robust_pass
effect-6.5-sigma-0.2-n-64-drift-0.12,higher_is_better,6.5,5.5,0.2,64,0.12,6.451,6.549,statistically_indeterminate
effect-6.5-sigma-0.8-n-4-drift-0.02,higher_is_better,6.5,5.5,0.8,4,0.02,5.716,7.284,statistically_indeterminate
effect-6.5-sigma-0.8-n-4-drift-0.12,higher_is_better,6.5,5.5,0.8,4,0.12,5.716,7.284,statistically_indeterminate
effect-6.5-sigma-0.8-n-16-drift-0.02,higher_is_better,6.5,5.5,0.8,16,0.02,6.108,6.892,robust_pass
effect-6.5-sigma-0.8-n-16-drift-0.12,higher_is_better,6.5,5.5,0.8,16,0.12,6.108,6.892,statistically_indeterminate
effect-6.5-sigma-0.8-n-64-drift-0.02,higher_is_better,6.5,5.5,0.8,64,0.02,6.304,6.696,robust_pass
effect-6.5-sigma-0.8-n-64-drift-0.12,higher_is_better,6.5,5.5,0.8,64,0.12,6.304,6.696,statistically_indeterminate
effect-6.5-sigma-1.6-n-4-drift-0.02,higher_is_better,6.5,5.5,1.6,4,0.02,4.932,8.068,statistically_indeterminate
effect-6.5-sigma-1.6-n-4-drift-0.12,higher_is_better,6.5,5.5,1.6,4,0.12,4.932,8.068,statistically_indeterminate
effect-6.5-sigma-1.6-n-16-drift-0.02,higher_is_better,6.5,5.5,1.6,16,0.02,5.716,7.284,robust_pass
effect-6.5-sigma-1.6-n-16-drift-0.12,higher_is_better,6.5,5.5,1.6,16,0.12,5.716,7.284,statistically_indeterminate
effect-6.5-sigma-1.6-n-64-drift-0.02,higher_is_better,6.5,5.5,1.6,64,0.02,6.108,6.892,robust_pass
effect-6.5-sigma-1.6-n-64-drift-0.12,higher_is_better,6.5,5.5,1.6,64,0.12,6.108,6.892,statistically_indeterminate
effect-8.0-sigma-0.2-n-4-drift-0.02,higher_is_better,8.0,5.5,0.2,4,0.02,7.804,8.196,statistically_indeterminate
effect-8.0-sigma-0.2-n-4-drift-0.12,higher_is_better,8.0,5.5,0.2,4,0.12,7.804,8.196,statistically_indeterminate
effect-8.0-sigma-0.2-n-16-drift-0.02,higher_is_better,8.0,5.5,0.2,16,0.02,7.902,8.098,robust_pass
effect-8.0-sigma-0.2-n-16-drift-0.12,higher_is_better,8.0,5.5,0.2,16,0.12,7.902,8.098,statistically_indeterminate
effect-8.0-sigma-0.2-n-64-drift-0.02,higher_is_better,8.0,5.5,0.2,64,0.02,7.951,8.049,robust_pass
effect-8.0-sigma-0.2-n-64-drift-0.12,higher_is_better,8.0,5.5,0.2,64,0.12,7.951,8.049,statistically_indeterminate
effect-8.0-sigma-0.8-n-4-drift-0.02,higher_is_better,8.0,5.5,0.8,4,0.02,7.216,8.784,statistically_indeterminate
effect-8.0-sigma-0.8-n-4-drift-0.12,higher_is_better,8.0,5.5,0.8,4,0.12,7.216,8.784,statistically_indeterminate
effect-8.0-sigma-0.8-n-16-drift-0.02,higher_is_better,8.0,5.5,0.8,16,0.02,7.608,8.392,robust_pass
effect-8.0-sigma-0.8-n-16-drift-0.12,higher_is_better,8.0,5.5,0.8,16,0.12,7.608,8.392,statistically_indeterminate
effect-8.0-sigma-0.8-n-64-drift-0.02,higher_is_better,8.0,5.5,0.8,64,0.02,7.804,8.196,robust_pass
effect-8.0-sigma-0.8-n-64-drift-0.12,higher_is_better,8.0,5.5,0.8,64,0.12,7.804,8.196,statistically_indeterminate
effect-8.0-sigma-1.6-n-4-drift-0.02,higher_is_better,8.0,5.5,1.6,4,0.02,6.432,9.568,statistically_indeterminate
effect-8.0-sigma-1.6-n-4-drift-0.12,higher_is_better,8.0,5.5,1.6,4,0.12,6.432,9.568,statistically_indeterminate
effect-8.0-sigma-1.6-n-16-drift-0.02,higher_is_better,8.0,5.5,1.6,16,0.02,7.216,8.784,robust_pass
effect-8.0-sigma-1.6-n-16-drift-0.12,higher_is_better,8.0,5.5,1.6,16,0.12,7.216,8.784,statistically_indeterminate
effect-8.0-sigma-1.6-n-64-drift-0.02,higher_is_better,8.0,5.5,1.6,64,0.02,7.608,8.392,robust_pass
effect-8.0-sigma-1.6-n-64-drift-0.12,higher_is_better,8.0,5.5,1.6,64,0.12,7.608,8.392,statistically_indeterminate
