workload_class,object_class,strategy,valid,invalid_reason,object_count,total_size,capacity_pressure,reuse_pressure,correctness_sensitive_share,provenance_need,provenance_coverage,bytes_saved_proxy,transfer_avoided_proxy,queue_relief_proxy,representation_preservation_benefit_proxy,reconstruction_cost_proxy,metadata_cost_proxy,provenance_risk_proxy,correctness_loss_risk_proxy,net_compression_value,architecture_option,evidence_label
RAG,tool output,summary_plus_pointer,true,,3,216.0,0.721133,0.0,1.0,1.0,1.0,0.1392,0.0,0.165648,0.7,0.196,0.468,0.0,0.064,0.23803,B_memory_object_aware_runtime,synthetic
RAG,tool output,offload_full,true,,3,216.0,0.721133,0.0,1.0,1.0,1.0,0.1968,0.0,0.107184,0.0,0.315,0.279,0.0,0.0,-0.344897,B_memory_object_aware_runtime,synthetic
RAG,tool output,recompute_on_demand,true,,3,216.0,0.721133,0.0,1.0,1.0,1.0,0.2112,0.0,0.087696,0.0,0.504,0.124,0.0,0.192,-0.580001,B_memory_object_aware_runtime,synthetic
RAG,weights,keep_hot,true,,1,906.0,0.948967,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,B_memory_object_aware_runtime,synthetic
RAG,weights,lossless_compress,true,,1,906.0,0.948967,0.7,0.0,0.2,0.0,0.382533,0.21063,0.21056,0.0,0.1575,0.111,0.0,0.0,0.515702,B_memory_object_aware_runtime,synthetic
RAG,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,906.0,0.948967,0.7,0.0,0.2,0.0,0.7248,0.308924,0.294784,0.0,0.21,0.1776,0.09,0.0,-999.0,B_memory_object_aware_runtime,synthetic
RAG,weights,summary_plus_pointer,true,,1,906.0,0.948967,0.7,0.0,0.2,0.0,0.583867,0.252756,0.238635,0.0,0.294,0.3624,0.016,0.0,0.373061,B_memory_object_aware_runtime,synthetic
RAG,weights,offload_full,true,,1,906.0,0.948967,0.7,0.0,0.2,0.0,0.825467,0.154462,0.154411,0.0,0.4725,0.1998,0.006,0.0,0.413913,B_memory_object_aware_runtime,synthetic
RAG,weights,recompute_on_demand,true,,1,906.0,0.948967,0.7,0.0,0.2,0.0,0.885867,0.084252,0.126336,0.0,0.756,0.0888,0.032,0.0,0.174446,B_memory_object_aware_runtime,synthetic
batch summarization/offline inference control,KV cache,keep_hot,true,,1,31.0,0.455078,0.85,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,KV cache,lossless_compress,true,,1,31.0,0.455078,0.85,0.0,0.2,0.0,0.013089,0.144203,0.046033,0.0,0.18,0.111,0.0,0.0,-0.094808,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,31.0,0.455078,0.85,0.0,0.2,0.0,0.0248,0.211497,0.064447,0.0,0.24,0.1776,0.09,0.0,-999.0,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,KV cache,summary_plus_pointer,true,,1,31.0,0.455078,0.85,0.0,0.2,0.0,0.019978,0.173043,0.052171,0.0,0.336,0.3624,0.016,0.0,-0.480094,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,KV cache,offload_full,true,,1,31.0,0.455078,0.85,0.0,0.2,0.0,0.028244,0.105748,0.033758,0.0,0.54,0.1998,0.006,0.0,-0.59344,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,KV cache,recompute_on_demand,true,,1,31.0,0.455078,0.85,0.0,0.2,0.0,0.030311,0.057681,0.02762,0.0,0.864,0.0888,0.032,0.0,-0.885705,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,intermediate scratch,keep_hot,true,,1,27.0,0.4516,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,intermediate scratch,lossless_compress,true,,1,27.0,0.4516,0.0,0.0,0.2,0.0,0.0114,0.0,0.0459,0.0,0.0525,0.111,0.0,0.0,-0.112452,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,intermediate scratch,lossy_summarize,true,,1,27.0,0.4516,0.0,0.0,0.2,0.0,0.0216,0.0,0.06426,0.0,0.07,0.1776,0.09,0.0,-0.263585,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,intermediate scratch,summary_plus_pointer,true,,1,27.0,0.4516,0.0,0.0,0.2,0.0,0.0174,0.0,0.05202,0.0,0.098,0.3624,0.016,0.0,-0.416522,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,intermediate scratch,offload_full,true,,1,27.0,0.4516,0.0,0.0,0.2,0.0,0.0246,0.0,0.03366,0.0,0.1575,0.1998,0.006,0.0,-0.318531,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,intermediate scratch,recompute_on_demand,true,,1,27.0,0.4516,0.0,0.0,0.2,0.0,0.0264,0.0,0.02754,0.0,0.252,0.0888,0.032,0.0,-0.333338,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,weights,keep_hot,true,,1,908.0,0.674456,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,weights,lossless_compress,true,,1,908.0,0.674456,0.7,0.0,0.2,0.0,0.383378,0.21084,0.075267,0.0,0.1575,0.111,0.0,0.0,0.276178,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,908.0,0.674456,0.7,0.0,0.2,0.0,0.7264,0.309232,0.105373,0.0,0.21,0.1776,0.09,0.0,-999.0,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,weights,summary_plus_pointer,true,,1,908.0,0.674456,0.7,0.0,0.2,0.0,0.585156,0.253008,0.085302,0.0,0.294,0.3624,0.016,0.0,0.060572,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,weights,offload_full,true,,1,908.0,0.674456,0.7,0.0,0.2,0.0,0.827289,0.154616,0.055196,0.0,0.4725,0.1998,0.006,0.0,0.089482,A_conventional_request_model_kv_serving,synthetic
batch summarization/offline inference control,weights,recompute_on_demand,true,,1,908.0,0.674456,0.7,0.0,0.2,0.0,0.887822,0.084336,0.04516,0.0,0.756,0.0888,0.032,0.0,-0.148507,A_conventional_request_model_kv_serving,synthetic
code-agent loop,KV cache,keep_hot,true,,1,21.0,0.935133,0.85,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,KV cache,lossless_compress,true,,1,21.0,0.935133,0.85,0.0,0.2,0.0,0.008867,0.142928,0.12796,0.0,0.18,0.111,0.0,0.0,-0.011821,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,21.0,0.935133,0.85,0.0,0.2,0.0,0.0168,0.209627,0.179144,0.0,0.24,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,KV cache,summary_plus_pointer,true,,1,21.0,0.935133,0.85,0.0,0.2,0.0,0.013533,0.171513,0.145021,0.0,0.336,0.3624,0.016,0.0,-0.38521,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,KV cache,offload_full,true,,1,21.0,0.935133,0.85,0.0,0.2,0.0,0.019133,0.104814,0.093837,0.0,0.54,0.1998,0.006,0.0,-0.529257,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,KV cache,recompute_on_demand,true,,1,21.0,0.935133,0.85,0.0,0.2,0.0,0.020533,0.057171,0.076776,0.0,0.864,0.0888,0.032,0.0,-0.831652,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,branch state,keep_hot,true,,2,149.0,0.930172,0.816667,1.0,0.92,0.285714,0.0,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.03012,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,branch state,lossless_compress,true,,2,149.0,0.930172,0.816667,1.0,0.92,0.285714,0.062911,0.153003,0.139907,0.0,0.2275,0.1506,0.0,0.0,-0.026673,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,branch state,lossy_summarize,false,lossy_without_replay_safe_pointer,2,149.0,0.930172,0.816667,1.0,0.92,0.285714,0.1192,0.224404,0.195869,0.0,0.303333,0.24096,0.295714,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,branch state,summary_plus_pointer,true,,2,149.0,0.930172,0.816667,1.0,0.92,0.285714,0.096022,0.183603,0.158561,0.664,0.424667,0.45744,0.052571,0.06208,0.098723,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,branch state,offload_full,true,,2,149.0,0.930172,0.816667,1.0,0.92,0.285714,0.135756,0.112202,0.102598,0.0,0.6825,0.27108,0.019714,0.0,-0.632218,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,branch state,recompute_on_demand,true,,2,149.0,0.930172,0.816667,1.0,0.92,0.285714,0.145689,0.061201,0.083944,0.0,1.092,0.12048,0.105143,0.18624,-1.223202,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,durable workspace,keep_hot,true,,3,256.0,0.900078,0.572222,1.0,0.92,0.666667,0.0,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.03012,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,durable workspace,lossless_compress,true,,3,256.0,0.900078,0.572222,1.0,0.92,0.666667,0.108089,0.11639,0.149893,0.0,0.190833,0.1506,0.0,0.0,0.022138,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,durable workspace,lossy_summarize,false,lossy_without_replay_safe_pointer,3,256.0,0.900078,0.572222,1.0,0.92,0.666667,0.2048,0.170705,0.209851,0.0,0.254444,0.24096,0.138,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,durable workspace,summary_plus_pointer,true,,3,256.0,0.900078,0.572222,1.0,0.92,0.666667,0.164978,0.139668,0.169879,0.664,0.356222,0.45744,0.024533,0.06208,0.221764,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,durable workspace,offload_full,true,,3,256.0,0.900078,0.572222,1.0,0.92,0.666667,0.233244,0.085353,0.109922,0.1656,0.5725,0.27108,0.0092,0.0,-0.281967,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,durable workspace,recompute_on_demand,true,,3,256.0,0.900078,0.572222,1.0,0.92,0.666667,0.250311,0.046556,0.089936,0.0,0.916,0.12048,0.049067,0.18624,-0.909995,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,prefix cache,keep_hot,true,,1,41.0,0.940022,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,prefix cache,lossless_compress,true,,1,41.0,0.940022,1.0,0.0,0.2,0.0,0.017311,0.17115,0.129827,0.0,0.2025,0.111,0.0,0.0,0.003749,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,prefix cache,lossy_summarize,true,,1,41.0,0.940022,1.0,0.0,0.2,0.0,0.0328,0.25102,0.181757,0.0,0.27,0.1776,0.09,0.0,-0.07399,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,prefix cache,summary_plus_pointer,true,,1,41.0,0.940022,1.0,0.0,0.2,0.0,0.026422,0.20538,0.147137,0.0,0.378,0.3624,0.016,0.0,-0.379046,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,prefix cache,offload_full,true,,1,41.0,0.940022,1.0,0.0,0.2,0.0,0.037356,0.12551,0.095206,0.0,0.6075,0.1998,0.006,0.0,-0.557469,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,prefix cache,recompute_on_demand,true,,1,41.0,0.940022,1.0,0.0,0.2,0.0,0.040089,0.06846,0.077896,0.0,0.972,0.0888,0.032,0.0,-0.90876,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,tool output,keep_hot,true,,3,220.0,0.913778,0.694444,1.0,0.92,0.5625,0.0,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.03012,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,tool output,lossless_compress,true,,3,220.0,0.913778,0.694444,1.0,0.92,0.5625,0.092889,0.1375,0.146533,0.0,0.209167,0.1506,0.0,0.0,0.009146,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,tool output,lossy_summarize,false,lossy_without_replay_safe_pointer,3,220.0,0.913778,0.694444,1.0,0.92,0.5625,0.176,0.201667,0.205147,0.0,0.278889,0.24096,0.181125,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,tool output,summary_plus_pointer,true,,3,220.0,0.913778,0.694444,1.0,0.92,0.5625,0.141778,0.165,0.166071,0.664,0.390444,0.45744,0.0322,0.06208,0.18246,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,tool output,offload_full,true,,3,220.0,0.913778,0.694444,1.0,0.92,0.5625,0.200444,0.100833,0.107458,0.0,0.6275,0.27108,0.012075,0.0,-0.519202,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,tool output,recompute_on_demand,true,,3,220.0,0.913778,0.694444,1.0,0.92,0.5625,0.215111,0.055,0.08792,0.0,1.004,0.12048,0.0644,0.18624,-1.035636,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,trajectory log,keep_hot,true,,2,85.0,0.917028,0.816667,1.0,0.92,0.363636,0.0,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.03012,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,trajectory log,lossless_compress,true,,2,85.0,0.917028,0.816667,1.0,0.92,0.363636,0.035889,0.145163,0.133933,0.0,0.2275,0.1506,0.0,0.0,-0.066093,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,trajectory log,lossy_summarize,false,lossy_without_replay_safe_pointer,2,85.0,0.917028,0.816667,1.0,0.92,0.363636,0.068,0.212905,0.187507,0.0,0.303333,0.24096,0.263455,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,trajectory log,summary_plus_pointer,true,,2,85.0,0.917028,0.816667,1.0,0.92,0.363636,0.054778,0.174195,0.151791,0.664,0.424667,0.45744,0.046836,0.06208,0.049196,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,trajectory log,offload_full,true,,2,85.0,0.917028,0.816667,1.0,0.92,0.363636,0.077444,0.106453,0.098218,0.1656,0.6825,0.27108,0.017564,0.0,-0.529855,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,trajectory log,recompute_on_demand,true,,2,85.0,0.917028,0.816667,1.0,0.92,0.363636,0.083111,0.058065,0.08036,0.0,1.092,0.12048,0.093673,0.18624,-1.277753,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,verifier state,keep_hot,true,,2,120.0,0.888083,0.725,1.0,0.92,0.461538,0.0,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.03012,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,verifier state,lossless_compress,true,,2,120.0,0.888083,0.725,1.0,0.92,0.461538,0.050667,0.132675,0.1372,0.0,0.21375,0.1506,0.0,0.0,-0.049479,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,verifier state,lossy_summarize,false,lossy_without_replay_safe_pointer,2,120.0,0.888083,0.725,1.0,0.92,0.461538,0.096,0.19459,0.19208,0.0,0.285,0.24096,0.222923,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,verifier state,summary_plus_pointer,true,,2,120.0,0.888083,0.725,1.0,0.92,0.461538,0.077333,0.15921,0.155493,0.664,0.399,0.45744,0.039631,0.06208,0.089231,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,verifier state,offload_full,true,,2,120.0,0.888083,0.725,1.0,0.92,0.461538,0.109333,0.097295,0.100613,0.0,0.64125,0.27108,0.014862,0.0,-0.632186,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,verifier state,recompute_on_demand,true,,2,120.0,0.888083,0.725,1.0,0.92,0.461538,0.117333,0.05307,0.08232,0.0,1.026,0.12048,0.079262,0.18624,-1.17239,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,weights,keep_hot,true,,1,911.0,1.152689,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,weights,lossless_compress,true,,1,911.0,1.152689,0.7,0.0,0.2,0.0,0.384644,0.211155,0.211027,0.0,0.1575,0.111,0.0,0.0,0.597057,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,weights,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,911.0,1.152689,0.7,0.0,0.2,0.0,0.7288,0.309694,0.295437,0.0,0.21,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,weights,summary_plus_pointer,true,,1,911.0,1.152689,0.7,0.0,0.2,0.0,0.587089,0.253386,0.239164,0.0,0.294,0.3624,0.016,0.0,0.49688,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,weights,offload_full,true,,1,911.0,1.152689,0.7,0.0,0.2,0.0,0.830022,0.154847,0.154753,0.0,0.4725,0.1998,0.006,0.0,0.588057,C_trajectory_dag_memory_fabric,synthetic
code-agent loop,weights,recompute_on_demand,true,,1,911.0,1.152689,0.7,0.0,0.2,0.0,0.890756,0.084462,0.126616,0.0,0.756,0.0888,0.032,0.0,0.361042,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,KV cache,keep_hot,true,,1,27.0,0.9366,0.85,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0,-0.0222,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,KV cache,lossless_compress,true,,1,27.0,0.9366,0.85,0.0,0.2,0.0,0.0114,0.143693,0.12852,0.0,0.18,0.111,0.0,0.0,-0.00811,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,KV cache,lossy_summarize,false,lossy_changes_exact_model_or_continuation_state,1,27.0,0.9366,0.85,0.0,0.2,0.0,0.0216,0.210749,0.179928,0.0,0.24,0.1776,0.09,0.0,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,KV cache,summary_plus_pointer,true,,1,27.0,0.9366,0.85,0.0,0.2,0.0,0.0174,0.172431,0.145656,0.0,0.336,0.3624,0.016,0.0,-0.380016,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,KV cache,offload_full,true,,1,27.0,0.9366,0.85,0.0,0.2,0.0,0.0246,0.105374,0.094248,0.0,0.54,0.1998,0.006,0.0,-0.523137,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,KV cache,recompute_on_demand,true,,1,27.0,0.9366,0.85,0.0,0.2,0.0,0.0264,0.057477,0.077112,0.0,0.864,0.0888,0.032,0.0,-0.825485,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,branch state,keep_hot,true,,4,274.0,0.963228,0.908333,1.0,0.92,0.285714,0.0,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.03012,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,branch state,lossless_compress,true,,4,274.0,0.963228,0.908333,1.0,0.92,0.285714,0.115689,0.187207,0.151573,0.0,0.24125,0.1506,0.0,0.0,0.058366,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,branch state,lossy_summarize,false,lossy_without_replay_safe_pointer,4,274.0,0.963228,0.908333,1.0,0.92,0.285714,0.2192,0.274571,0.212203,0.0,0.321667,0.24096,0.295714,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,branch state,summary_plus_pointer,true,,4,274.0,0.963228,0.908333,1.0,0.92,0.285714,0.176578,0.224649,0.171783,0.664,0.450333,0.45744,0.052571,0.06208,0.208092,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,branch state,offload_full,true,,4,274.0,0.963228,0.908333,1.0,0.92,0.285714,0.249644,0.137285,0.111154,0.0,0.72375,0.27108,0.019714,0.0,-0.52564,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,branch state,recompute_on_demand,true,,4,274.0,0.963228,0.908333,1.0,0.92,0.285714,0.267911,0.074883,0.090944,0.0,1.158,0.12048,0.105143,0.18624,-1.145976,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,durable workspace,keep_hot,true,,4,352.0,0.933544,0.725,1.0,0.92,0.565217,0.0,0.0,0.0,0.0,0.0,0.03012,0.0,0.0,-0.03012,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,durable workspace,lossless_compress,true,,4,352.0,0.933544,0.725,1.0,0.92,0.565217,0.148622,0.157905,0.158853,0.0,0.21375,0.1506,0.0,0.0,0.091154,C_trajectory_dag_memory_fabric,synthetic
multi-agent branch/merge,durable workspace,lossy_summarize,false,lossy_without_replay_safe_pointer,4,352.0,0.933544,0.725,1.0,0.92,0.565217,0.2816,0.231594,0.222395,0.0,0.285,0.24096,0.18,0.8536,-999.0,C_trajectory_dag_memory_fabric,synthetic
