case_id,case_type,source_fixture_id,measurement_run_id,bundle_id,collector_id,schema_version,evidence_label,clock_domain_id,clock_sync_source,clock_sync_status,interval_id,interval_start_ms,interval_end_ms,byte_interval_start_ms,byte_interval_end_ms,power_interval_start_ms,power_interval_end_ms,latency_interval_start_ms,latency_interval_end_ms,queue_interval_start_ms,queue_interval_end_ms,security_interval_start_ms,security_interval_end_ms,sampling_period_ms,sampling_jitter_ms,max_cross_source_skew_ms,skew_tolerance_ms,jitter_tolerance_ms,workload_label_sampled_at_ms,workload_label_max_age_ms,collector_overhead_pct,observer_perturbation_budget_pct,counter_sequence_start,counter_sequence_end,counter_reset_observed,clock_drift_ppm,clock_drift_tolerance_ppm,expected_blocked_reason,notes
invalid-inconsistent-sampling-period,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,333,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,inconsistent_sampling_period,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-zero-sampling-period,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,non_positive_sampling_period,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-negative-jitter,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,-1,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,negative_sampling_jitter,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-stale-workload-label,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,700,200,1.5,5.0,1000,1020,false,4,25,stale_workload_label,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-missing-overhead-estimate,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,,5.0,1000,1020,false,4,25,missing_collector_overhead_estimate,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-overhead-above-budget,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,5.0,5.0,1000,1020,false,4,25,observer_overhead_above_budget,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-negative-overhead,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,-0.1,5.0,1000,1020,false,4,25,negative_collector_overhead,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-counter-reset-inside-interval,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,5,true,4,25,counter_reset_inside_interval,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-clock-drift-across-bundle,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,40,25,clock_drift_across_bundle,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-negative-clock-drift,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,-1,25,negative_clock_drift,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-fixture-attempted-production-calibration,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,production_target,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,fixture_attempted_production_calibration,"malformed timing must become measurement_invalid, not a threshold miss"
