object_id,run_id,workload_class,object_class,birth_time,end_time,lifetime,size_units,evicted,evidence_label
verification-heavy:verifier_state:2,verification-heavy,verification-heavy,verifier state,37,78,41,59,true,synthetic
verification-heavy:verifier_state:3,verification-heavy,verification-heavy,verifier state,48,78,30,53,true,synthetic
verification-heavy:verifier_state:4,verification-heavy,verification-heavy,verifier state,59,78,19,57,true,synthetic
multi-agent_branch_merge:weights:1,multi-agent_branch_merge,multi-agent branch/merge,weights,1,95,94,912,false,synthetic
multi-agent_branch_merge:prefix_cache:1,multi-agent_branch_merge,multi-agent branch/merge,prefix cache,2,93,91,46,true,synthetic
multi-agent_branch_merge:KV_cache:1,multi-agent_branch_merge,multi-agent branch/merge,KV cache,3,93,90,27,true,synthetic
multi-agent_branch_merge:branch_state:1,multi-agent_branch_merge,multi-agent branch/merge,branch state,13,93,80,67,true,synthetic
multi-agent_branch_merge:trajectory_log:1,multi-agent_branch_merge,multi-agent branch/merge,trajectory log,14,95,81,47,false,synthetic
multi-agent_branch_merge:tool_output:1,multi-agent_branch_merge,multi-agent branch/merge,tool output,20,95,75,79,false,synthetic
multi-agent_branch_merge:branch_state:2,multi-agent_branch_merge,multi-agent branch/merge,branch state,22,93,71,71,true,synthetic
multi-agent_branch_merge:trajectory_log:2,multi-agent_branch_merge,multi-agent branch/merge,trajectory log,23,95,72,36,false,synthetic
multi-agent_branch_merge:verifier_state:1,multi-agent_branch_merge,multi-agent branch/merge,verifier state,26,93,67,57,true,synthetic
multi-agent_branch_merge:durable_workspace:1,multi-agent_branch_merge,multi-agent branch/merge,durable workspace,30,95,65,87,false,synthetic
multi-agent_branch_merge:branch_state:3,multi-agent_branch_merge,multi-agent branch/merge,branch state,31,93,62,66,true,synthetic
multi-agent_branch_merge:trajectory_log:3,multi-agent_branch_merge,multi-agent branch/merge,trajectory log,32,95,63,38,false,synthetic
multi-agent_branch_merge:tool_output:2,multi-agent_branch_merge,multi-agent branch/merge,tool output,33,95,62,78,false,synthetic
multi-agent_branch_merge:verifier_state:2,multi-agent_branch_merge,multi-agent branch/merge,verifier state,37,93,56,56,true,synthetic
multi-agent_branch_merge:branch_state:4,multi-agent_branch_merge,multi-agent branch/merge,branch state,40,93,53,70,true,synthetic
multi-agent_branch_merge:trajectory_log:4,multi-agent_branch_merge,multi-agent branch/merge,trajectory log,41,95,54,35,false,synthetic
multi-agent_branch_merge:durable_workspace:2,multi-agent_branch_merge,multi-agent branch/merge,durable workspace,42,95,53,92,false,synthetic
multi-agent_branch_merge:tool_output:3,multi-agent_branch_merge,multi-agent branch/merge,tool output,46,95,49,80,false,synthetic
multi-agent_branch_merge:verifier_state:3,multi-agent_branch_merge,multi-agent branch/merge,verifier state,48,93,45,55,true,synthetic
multi-agent_branch_merge:durable_workspace:3,multi-agent_branch_merge,multi-agent branch/merge,durable workspace,54,95,41,81,false,synthetic
multi-agent_branch_merge:durable_workspace:4,multi-agent_branch_merge,multi-agent branch/merge,durable workspace,66,95,29,92,false,synthetic
