workload_class,scheduling_unit,dominant_object_class,missing_fields,failure_mode,wrong_decision_risk
multi-agent branch/merge run,kernel,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,kernel cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
single-turn chat control,request,prefix cache,object_class,request misses required fields object_class for prefix cache,evict_or_recompute_state_without_observing_its_lifetime_boundary
single-turn chat control,job,prefix cache,object_class,job misses required fields object_class for prefix cache,evict_or_recompute_state_without_observing_its_lifetime_boundary
single-turn chat control,kernel,prefix cache,object_class,kernel misses required fields object_class for prefix cache,evict_or_recompute_state_without_observing_its_lifetime_boundary
verification-heavy agent,memory_object,verifier state,branch_fanout;branch_survival;verifier_delay,memory_object cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
verification-heavy agent,context_segment,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;verifier_delay,context_segment cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
verification-heavy agent,cache_page,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;recompute_cost;verifier_delay,cache_page cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
verification-heavy agent,model,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;recompute_cost;reuse_probability;verifier_delay,model cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
verification-heavy agent,job,verifier state,branch_fanout;branch_survival;correctness_sensitive;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,job cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
verification-heavy agent,request,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,request cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
verification-heavy agent,kernel,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,kernel cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
