trace_id,run_id,workload_class,time_step,event_type,object_id,object_class,size_units,tier,parent_object_id,trajectory_node_id,branch_id,provenance_id,reuse_distance,reuse_probability_hint,correctness_sensitive,recompute_cost_hint,loss_cost_hint,durability_horizon,verifier_id,merge_state,source_version,invalidation_signal,evidence_label
trace-v2-rag,rag,RAG,9,object_place,rag:semantic_cache_entry:1,semantic cache entry,45,remote object store,,,,prov:corpus:v1,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,9,object_create,rag:retrieved_context:1,retrieved context,58,CPU DRAM,rag:semantic_cache_entry:1,,,prov:corpus:v1,,0.72,true,18,55,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,10,object_place,rag:retrieved_context:1,retrieved context,55,CPU DRAM,,,,prov:corpus:v1,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,12,semantic_cache_lookup,rag:semantic_cache_entry:1,semantic cache entry,45,remote object store,,,,prov:corpus:v1,4,0.81,true,30,90,,,,corpus:v1,none,synthetic
trace-v2-rag,rag,RAG,13,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,16,semantic_cache_insert,rag:semantic_cache_entry:1,semantic cache entry,45,remote object store,,,,prov:corpus:v1,,0.81,true,,,,,,corpus:v1,none,synthetic
trace-v2-rag,rag,RAG,18,tool_call_start,,,,,,rag:tool-node:1,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-rag,rag,RAG,18,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,18,object_access,rag:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,18,object_access,rag:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,18,object_access,rag:semantic_cache_entry:1,semantic cache entry,45,remote object store,,,,,9,0.75,true,15,45,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,18,object_access,rag:retrieved_context:1,retrieved context,55,CPU DRAM,,,,,8,0.75,true,18,55,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,20,object_create,rag:tool_output:2,tool output,71,durable workspace,,rag:tool-node:1,,prov:tool:1,,0.72,true,23,70,60,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,21,object_place,rag:tool_output:2,tool output,70,durable workspace,,rag:tool-node:1,,prov:tool:1,,,true,,,60,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,21,tool_call_result,rag:tool_output:2,tool output,70,durable workspace,,rag:tool-node:1,,prov:tool:1,,,true,,,60,,,tool:v1,none,synthetic
trace-v2-rag,rag,RAG,22,tool_call_start,,,,,,rag-node-1,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-rag,rag,RAG,23,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,24,object_create,rag:tool_output:1,tool output,71,durable workspace,rag:retrieved_context:1,rag-node-1,,prov:retriever:1,,0.72,true,23,70,60,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,25,object_place,rag:tool_output:1,tool output,70,durable workspace,,rag-node-1,,prov:retriever:1,,,true,,,60,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,26,tool_call_result,rag:tool_output:1,tool output,70,durable workspace,,rag-node-1,,prov:retriever:1,,,true,,,60,,,retriever:v1,none,synthetic
trace-v2-rag,rag,RAG,28,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,28,object_access,rag:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,30,object_create,rag:tool_output:3,tool output,74,durable workspace,,rag:workspace-node:1,,prov:workspace:1,,0.72,true,23,70,60,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,31,object_place,rag:tool_output:3,tool output,70,durable workspace,,rag:workspace-node:1,,prov:workspace:1,,,true,,,60,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,31,workspace_write,rag:tool_output:3,tool output,70,durable workspace,,rag:workspace-node:1,,prov:workspace:1,,,true,,,120,,,workspace:v1,none,synthetic
trace-v2-rag,rag,RAG,33,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,33,object_access,rag:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,33,object_access,rag:semantic_cache_entry:1,semantic cache entry,45,remote object store,,,,,15,0.75,true,15,45,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,33,object_access,rag:retrieved_context:1,retrieved context,55,CPU DRAM,,,,,15,0.75,true,18,55,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,38,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,38,object_access,rag:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,43,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,48,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,48,object_access,rag:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,48,object_access,rag:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,48,object_access,rag:semantic_cache_entry:1,semantic cache entry,45,remote object store,,,,,15,0.75,true,15,45,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,48,object_access,rag:retrieved_context:1,retrieved context,55,CPU DRAM,,,,,15,0.75,true,18,55,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,53,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,58,object_access,rag:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,58,object_access,rag:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,58,object_evict,rag:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,58,object_evict,rag:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,58,object_evict,rag:semantic_cache_entry:1,semantic cache entry,45,remote object store,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,58,object_evict,rag:retrieved_context:1,retrieved context,55,CPU DRAM,,,,,,,true,,,,,,synthetic_v2,none,synthetic
trace-v2-rag,rag,RAG,60,run_end,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,0,run_start,,,,,,,,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,1,object_create,code-agent_loop:weights:1,weights,911,HBM/GPU memory,,,,,,0.72,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,2,object_place,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,2,object_create,code-agent_loop:prefix_cache:1,prefix cache,41,CPU DRAM,,,,,,0.72,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,3,object_place,code-agent_loop:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,3,object_create,code-agent_loop:KV_cache:1,KV cache,21,HBM/GPU memory,,,,,,0.25,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,4,object_place,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,,,false,,,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,8,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,6,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,8,object_access,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,4,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,12,branch_fork,,,,,,code-agent_loop:node:1,code-agent_loop:branch:1,,,,,,,,,forked,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,13,object_create,code-agent_loop:branch_state:1,branch state,73,CPU DRAM,code-agent_loop:KV_cache:1,code-agent_loop:node:1,code-agent_loop:branch:1,prov:code-agent_loop:branch:1,,0.72,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,13,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,14,object_place,code-agent_loop:branch_state:1,branch state,65,CPU DRAM,,code-agent_loop:node:1,code-agent_loop:branch:1,prov:code-agent_loop:branch:1,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,14,object_create,code-agent_loop:trajectory_log:1,trajectory log,38,NVMe,code-agent_loop:KV_cache:1,code-agent_loop:node:1,code-agent_loop:branch:1,prov:code-agent_loop:branch:1,,0.72,true,11,35,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,15,object_place,code-agent_loop:trajectory_log:1,trajectory log,35,NVMe,,code-agent_loop:node:1,code-agent_loop:branch:1,prov:code-agent_loop:branch:1,,,true,,,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,18,tool_call_start,,,,,,code-agent_loop:tool-node:1,code-agent_loop:branch:1,,,,,,,,,,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,18,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,18,object_access,code-agent_loop:prefix_cache:1,prefix cache,40,CPU DRAM,,,,,15,0.75,false,13,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,18,object_access,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,20,object_create,code-agent_loop:tool_output:1,tool output,72,durable workspace,,code-agent_loop:tool-node:1,code-agent_loop:branch:1,prov:tool:1,,0.72,true,23,70,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,21,branch_fork,,,,,,code-agent_loop:node:2,code-agent_loop:branch:2,,,,,,,,,forked,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,21,object_place,code-agent_loop:tool_output:1,tool output,70,durable workspace,,code-agent_loop:tool-node:1,code-agent_loop:branch:1,prov:tool:1,,,true,,,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,21,tool_call_result,code-agent_loop:tool_output:1,tool output,70,durable workspace,,code-agent_loop:tool-node:1,code-agent_loop:branch:1,prov:tool:1,,,true,,,85,,,tool:v1,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,22,object_create,code-agent_loop:branch_state:2,branch state,76,CPU DRAM,code-agent_loop:KV_cache:1,code-agent_loop:node:2,code-agent_loop:branch:2,prov:code-agent_loop:branch:2,,0.72,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,23,object_place,code-agent_loop:branch_state:2,branch state,65,CPU DRAM,,code-agent_loop:node:2,code-agent_loop:branch:2,prov:code-agent_loop:branch:2,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,23,object_create,code-agent_loop:trajectory_log:2,trajectory log,47,NVMe,code-agent_loop:KV_cache:1,code-agent_loop:node:2,code-agent_loop:branch:2,prov:code-agent_loop:branch:2,,0.72,true,11,35,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,23,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,24,object_place,code-agent_loop:trajectory_log:2,trajectory log,35,NVMe,,code-agent_loop:node:2,code-agent_loop:branch:2,prov:code-agent_loop:branch:2,,,true,,,170,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,25,verifier_start,,,,,,code-agent_loop:verify-node:1,code-agent_loop:branch:1,,,,,,,,code-agent_loop:verifier:1,,synthetic_v2,,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,26,object_create,code-agent_loop:verifier_state:1,verifier state,62,CPU DRAM,,code-agent_loop:verify-node:1,code-agent_loop:branch:1,prov:code-agent_loop:verifier:1,,0.72,true,16,50,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,27,object_place,code-agent_loop:verifier_state:1,verifier state,50,CPU DRAM,,code-agent_loop:verify-node:1,code-agent_loop:branch:1,prov:code-agent_loop:verifier:1,,,true,,,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,28,object_access,code-agent_loop:weights:1,weights,900,HBM/GPU memory,,,,,5,0.75,false,300,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,28,object_access,code-agent_loop:KV_cache:1,KV cache,20,HBM/GPU memory,,,,,10,0.75,false,6,0,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,28,object_access,code-agent_loop:branch_state:1,branch state,65,CPU DRAM,,,,,14,0.75,true,21,65,0,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,28,object_access,code-agent_loop:trajectory_log:1,trajectory log,35,NVMe,,,,,13,0.75,true,11,35,85,,,synthetic_v2,none,synthetic
trace-v2-code-agent_loop,code-agent_loop,code-agent loop,28,object_access,code-agent_loop:branch_state:2,branch state,65,CPU DRAM,,,,,5,0.75,true,21,65,0,,,synthetic_v2,none,synthetic
