scenario_id,workload_class,representative_object,trend_family,hbm_capacity_multiplier,hbm_bandwidth_multiplier,cxl_p99_latency_multiplier,nvme_remote_latency_multiplier,energy_per_byte_multiplier,recompute_cost_multiplier,validation_security_overhead_multiplier,reuse_probability,branch_fanout,durable_state_lifetime,verification_loop_count,retained_state_value,movement_cost,contention_penalty,recompute_alternative,validation_security_overhead,memory_centric_advantage,option_preferred,conclusion_label,reason,planner_net_value_context,security_safe_hit_rate_context,cxl_p99_collapse_threshold_context,energy_sensitivity_collapse_rate_context,pilot_options_context,evidence_boundary,production_ready
low_cxl_zero_reuse,verification-heavy agent,verifier state,control,1,1,0.01,1,1,1,1,0,4,8,3,0.0,6.8108,1.7653,5.4926,2.5067,-16.5752,A,measurement_required,zero_or_negative_memory_centric_advantage,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
pathological_cxl_tail,verification-heavy agent,verifier state,hardware_A_sufficient,1,1,60,2,1,1,1,0.6,3,6,2,122.2206,6.8108,29.5516,5.4926,2.0267,78.3391,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_validation_security,verification-heavy agent,verifier state,control,1,1,0.5,1,1,2,12,0.8,5,10,4,404.0229,6.8108,2.5016,2.7463,35.84,356.1243,B,synthetic_supported,validation_security_overhead_downgrade,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_prefix_tool_reuse,verification-heavy agent,verifier state,workload_B_compelling,1,1,0.7,1,1,2,1,0.85,1,4,1,149.0705,6.8108,1.0857,2.7463,1.5467,136.8811,B,synthetic_supported,object_reuse_value_exceeds_costs,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
branch_durable_verifier_growth,verification-heavy agent,verifier state,workload_C_compelling,1,1,0.6,0.7,1,2.5,1,0.78,5,14,5,533.5152,6.8108,2.5179,2.197,3.4667,518.5228,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
long_lived_workspace,verification-heavy agent,verifier state,workload_B_compelling,1.5,1,0.8,0.5,1,1.5,1.2,0.65,2,20,1,173.7172,5.5495,2.497,3.6617,1.856,160.153,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,-1.2877,0.4833,25.8625,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
control_zero_reuse_branch,multi-agent branch/merge run,branch state,control,1,1,1,1,1,1,1,0,0,0,0,0.0,13.2431,0.1391,12.9,1.0865,-27.3687,A,falsified_under_assumption,zero_or_negative_memory_centric_advantage,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
large_hbm_fast_bandwidth,multi-agent branch/merge run,branch state,hardware_A_sufficient,8,4,0.5,0.8,0.35,0.45,1,0.1,0,1,0,3.6526,0.5955,0.2456,28.6667,1.0865,-26.9416,A,falsified_under_assumption,zero_or_negative_memory_centric_advantage,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
cheap_recompute,multi-agent branch/merge run,branch state,hardware_A_sufficient,2,2,0.8,1,0.5,0.25,1,0.2,1,2,1,6.5297,2.3911,0.5911,51.6,1.5754,-49.6279,A,falsified_under_assumption,zero_or_negative_memory_centric_advantage,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
low_cxl_zero_reuse,multi-agent branch/merge run,branch state,control,1,1,0.01,1,1,1,1,0,4,8,3,0.0,13.2431,1.7634,12.9,2.5533,-30.4598,A,falsified_under_assumption,zero_or_negative_memory_centric_advantage,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
pathological_cxl_tail,multi-agent branch/merge run,branch state,hardware_A_sufficient,1,1,60,2,1,1,1,0.6,3,6,2,68.5647,13.2431,19.9319,12.9,2.0643,20.4253,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_validation_security,multi-agent branch/merge run,branch state,control,1,1,0.5,1,1,2,12,0.8,5,10,4,226.6533,13.2431,2.3938,6.45,36.5061,168.0603,B,synthetic_supported,validation_security_overhead_downgrade,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
high_prefix_tool_reuse,multi-agent branch/merge run,branch state,workload_B_compelling,1,1,0.7,1,1,2,1,0.85,1,4,1,83.6272,13.2431,1.0122,6.45,1.5754,61.3465,B,synthetic_supported,object_reuse_value_exceeds_costs,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
branch_durable_verifier_growth,multi-agent branch/merge run,branch state,workload_C_compelling,1,1,0.6,0.7,1,2.5,1,0.78,5,14,5,299.2973,13.2431,2.3885,5.16,3.5311,274.9746,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
long_lived_workspace,multi-agent branch/merge run,branch state,workload_B_compelling,1.5,1,0.8,0.5,1,1.5,1.2,0.65,2,20,1,97.4538,10.7907,2.3908,8.6,1.8905,73.7818,C,contract_ready,trajectory_branch_durable_value_exceeds_costs,7.3631,0.404,40.25,0.5104,A;B;C,synthetic_trend_sensitivity_not_measured_evidence,false
