"reuse_probability","transfer_cost_ratio","recompute_cost_ratio","branch_fanout","verifier_delay","durability_horizon","correctness_loss_multiplier","net_memory_centric_benefit","dominant_benefit_driver"
"0.","0.","10.","4","0","0","1.","-4.","no_material_benefit"
"0.","0.","10.","4","0","0","3.","-4.","no_material_benefit"
"0.","0.","10.","4","0","8","0.","-16.","no_material_benefit"
"0.","0.","10.","4","0","8","1.","-8.","no_material_benefit"
"0.","0.","10.","4","0","8","3.","8.000000000000004","correctness_sensitive_retention"
"0.","0.","10.","4","4","0","0.","-8.","no_material_benefit"
"0.","0.","10.","4","4","0","1.","0.","no_material_benefit"
"0.","0.","10.","4","4","0","3.","16.000000000000004","correctness_sensitive_retention"
"0.","0.","10.","4","4","8","0.","-24.","no_material_benefit"
"0.","0.","10.","4","4","8","1.","-16.","no_material_benefit"
"0.","0.","10.","4","4","8","3.","3.552713678800501*^-15","no_material_benefit"
"0.","0.","30.","1","0","0","0.","-1.","no_material_benefit"
"0.","0.","30.","1","0","0","1.","-1.","no_material_benefit"
"0.","0.","30.","1","0","0","3.","-1.","no_material_benefit"
"0.","0.","30.","1","0","8","0.","-4.","no_material_benefit"
"0.","0.","30.","1","0","8","1.","4.","correctness_sensitive_retention"
"0.","0.","30.","1","0","8","3.","20.000000000000004","correctness_sensitive_retention"
"0.","0.","30.","1","4","0","0.","-2.","no_material_benefit"
"0.","0.","30.","1","4","0","1.","6.","correctness_sensitive_retention"
"0.","0.","30.","1","4","0","3.","22.000000000000004","correctness_sensitive_retention"
"0.","0.","30.","1","4","8","0.","-6.","no_material_benefit"
"0.","0.","30.","1","4","8","1.","2.","correctness_sensitive_retention"
"0.","0.","30.","1","4","8","3.","18.000000000000004","correctness_sensitive_retention"
"0.","0.","30.","4","0","0","0.","-4.","no_material_benefit"
"0.","0.","30.","4","0","0","1.","-4.","no_material_benefit"
"0.","0.","30.","4","0","0","3.","-4.","no_material_benefit"
"0.","0.","30.","4","0","8","0.","-16.","no_material_benefit"
"0.","0.","30.","4","0","8","1.","-8.","no_material_benefit"
"0.","0.","30.","4","0","8","3.","8.000000000000004","correctness_sensitive_retention"
"0.","0.","30.","4","4","0","0.","-8.","no_material_benefit"
"0.","0.","30.","4","4","0","1.","0.","no_material_benefit"
"0.","0.","30.","4","4","0","3.","16.000000000000004","correctness_sensitive_retention"
"0.","0.","30.","4","4","8","0.","-24.","no_material_benefit"
"0.","0.","30.","4","4","8","1.","-16.","no_material_benefit"
"0.","0.","30.","4","4","8","3.","3.552713678800501*^-15","no_material_benefit"
"0.","2.","0.","1","0","0","0.","1.","transfer_avoidance"
"0.","2.","0.","1","0","0","1.","1.","transfer_avoidance"
"0.","2.","0.","1","0","0","3.","1.","transfer_avoidance"
"0.","2.","0.","1","0","8","0.","0.","no_material_benefit"
"0.","2.","0.","1","0","8","1.","8.","correctness_sensitive_retention"
"0.","2.","0.","1","0","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","0.","1","4","0","0.","2.","transfer_avoidance"
"0.","2.","0.","1","4","0","1.","10.","correctness_sensitive_retention"
"0.","2.","0.","1","4","0","3.","26.000000000000004","correctness_sensitive_retention"
"0.","2.","0.","1","4","8","0.","0.","no_material_benefit"
"0.","2.","0.","1","4","8","1.","8.","correctness_sensitive_retention"
"0.","2.","0.","1","4","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","0.","4","0","0","0.","4.","transfer_avoidance"
"0.","2.","0.","4","0","0","1.","4.","transfer_avoidance"
"0.","2.","0.","4","0","0","3.","4.","transfer_avoidance"
"0.","2.","0.","4","0","8","0.","0.","no_material_benefit"
"0.","2.","0.","4","0","8","1.","8.","transfer_avoidance"
"0.","2.","0.","4","0","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","0.","4","4","0","0.","8.","transfer_avoidance"
"0.","2.","0.","4","4","0","1.","16.","transfer_avoidance"
"0.","2.","0.","4","4","0","3.","32.","correctness_sensitive_retention"
"0.","2.","0.","4","4","8","0.","0.","no_material_benefit"
"0.","2.","0.","4","4","8","1.","8.","transfer_avoidance"
"0.","2.","0.","4","4","8","3.","24.000000000000004","transfer_avoidance"
"0.","2.","10.","1","0","0","0.","1.","transfer_avoidance"
"0.","2.","10.","1","0","0","1.","1.","transfer_avoidance"
"0.","2.","10.","1","0","0","3.","1.","transfer_avoidance"
"0.","2.","10.","1","0","8","0.","0.","no_material_benefit"
"0.","2.","10.","1","0","8","1.","8.","correctness_sensitive_retention"
"0.","2.","10.","1","0","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","10.","1","4","0","0.","2.","transfer_avoidance"
"0.","2.","10.","1","4","0","1.","10.","correctness_sensitive_retention"
"0.","2.","10.","1","4","0","3.","26.000000000000004","correctness_sensitive_retention"
"0.","2.","10.","1","4","8","0.","0.","no_material_benefit"
"0.","2.","10.","1","4","8","1.","8.","correctness_sensitive_retention"
"0.","2.","10.","1","4","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","10.","4","0","0","0.","4.","transfer_avoidance"
"0.","2.","10.","4","0","0","1.","4.","transfer_avoidance"
"0.","2.","10.","4","0","0","3.","4.","transfer_avoidance"
"0.","2.","10.","4","0","8","0.","0.","no_material_benefit"
"0.","2.","10.","4","0","8","1.","8.","transfer_avoidance"
"0.","2.","10.","4","0","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","10.","4","4","0","0.","8.","transfer_avoidance"
"0.","2.","10.","4","4","0","1.","16.","transfer_avoidance"
"0.","2.","10.","4","4","0","3.","32.","correctness_sensitive_retention"
"0.","2.","10.","4","4","8","0.","0.","no_material_benefit"
"0.","2.","10.","4","4","8","1.","8.","transfer_avoidance"
"0.","2.","10.","4","4","8","3.","24.000000000000004","transfer_avoidance"
"0.","2.","30.","1","0","0","0.","1.","transfer_avoidance"
"0.","2.","30.","1","0","0","1.","1.","transfer_avoidance"
"0.","2.","30.","1","0","0","3.","1.","transfer_avoidance"
"0.","2.","30.","1","0","8","0.","0.","no_material_benefit"
"0.","2.","30.","1","0","8","1.","8.","correctness_sensitive_retention"
"0.","2.","30.","1","0","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","30.","1","4","0","0.","2.","transfer_avoidance"
"0.","2.","30.","1","4","0","1.","10.","correctness_sensitive_retention"
"0.","2.","30.","1","4","0","3.","26.000000000000004","correctness_sensitive_retention"
"0.","2.","30.","1","4","8","0.","0.","no_material_benefit"
"0.","2.","30.","1","4","8","1.","8.","correctness_sensitive_retention"
"0.","2.","30.","1","4","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","30.","4","0","0","0.","4.","transfer_avoidance"
"0.","2.","30.","4","0","0","1.","4.","transfer_avoidance"
"0.","2.","30.","4","0","0","3.","4.","transfer_avoidance"
"0.","2.","30.","4","0","8","0.","0.","no_material_benefit"
"0.","2.","30.","4","0","8","1.","8.","transfer_avoidance"
"0.","2.","30.","4","0","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.","2.","30.","4","4","0","0.","8.","transfer_avoidance"
"0.","2.","30.","4","4","0","1.","16.","transfer_avoidance"
"0.","2.","30.","4","4","0","3.","32.","correctness_sensitive_retention"
"0.","2.","30.","4","4","8","0.","0.","no_material_benefit"
"0.","2.","30.","4","4","8","1.","8.","transfer_avoidance"
"0.","2.","30.","4","4","8","3.","24.000000000000004","transfer_avoidance"
"0.","6.","0.","1","0","0","0.","5.","transfer_avoidance"
"0.","6.","0.","1","0","0","1.","5.","transfer_avoidance"
"0.","6.","0.","1","0","0","3.","5.","transfer_avoidance"
"0.","6.","0.","1","0","8","0.","8.","transfer_avoidance"
"0.","6.","0.","1","0","8","1.","16.","transfer_avoidance"
"0.","6.","0.","1","0","8","3.","32.","correctness_sensitive_retention"
"0.","6.","0.","1","4","0","0.","10.","transfer_avoidance"
"0.","6.","0.","1","4","0","1.","18.","transfer_avoidance"
"0.","6.","0.","1","4","0","3.","34.","correctness_sensitive_retention"
"0.","6.","0.","1","4","8","0.","12.","transfer_avoidance"
"0.","6.","0.","1","4","8","1.","20.","transfer_avoidance"
"0.","6.","0.","1","4","8","3.","36.","correctness_sensitive_retention"
"0.","6.","0.","4","0","0","0.","20.","transfer_avoidance"
"0.","6.","0.","4","0","0","1.","20.","transfer_avoidance"
"0.","6.","0.","4","0","0","3.","20.","transfer_avoidance"
"0.","6.","0.","4","0","8","0.","32.","transfer_avoidance"
"0.","6.","0.","4","0","8","1.","40.","transfer_avoidance"
"0.","6.","0.","4","0","8","3.","56.","transfer_avoidance"
"0.","6.","0.","4","4","0","0.","40.","transfer_avoidance"
"0.","6.","0.","4","4","0","1.","48.","transfer_avoidance"
"0.","6.","0.","4","4","0","3.","64.","transfer_avoidance"
"0.","6.","0.","4","4","8","0.","48.","transfer_avoidance"
"0.","6.","0.","4","4","8","1.","56.","transfer_avoidance"
"0.","6.","0.","4","4","8","3.","72.","transfer_avoidance"
"0.","6.","10.","1","0","0","0.","5.","transfer_avoidance"
"0.","6.","10.","1","0","0","1.","5.","transfer_avoidance"
"0.","6.","10.","1","0","0","3.","5.","transfer_avoidance"
"0.","6.","10.","1","0","8","0.","8.","transfer_avoidance"
"0.","6.","10.","1","0","8","1.","16.","transfer_avoidance"
"0.","6.","10.","1","0","8","3.","32.","correctness_sensitive_retention"
"0.","6.","10.","1","4","0","0.","10.","transfer_avoidance"
"0.","6.","10.","1","4","0","1.","18.","transfer_avoidance"
"0.","6.","10.","1","4","0","3.","34.","correctness_sensitive_retention"
"0.","6.","10.","1","4","8","0.","12.","transfer_avoidance"
"0.","6.","10.","1","4","8","1.","20.","transfer_avoidance"
"0.","6.","10.","1","4","8","3.","36.","correctness_sensitive_retention"
"0.","6.","10.","4","0","0","0.","20.","transfer_avoidance"
"0.","6.","10.","4","0","0","1.","20.","transfer_avoidance"
"0.","6.","10.","4","0","0","3.","20.","transfer_avoidance"
"0.","6.","10.","4","0","8","0.","32.","transfer_avoidance"
"0.","6.","10.","4","0","8","1.","40.","transfer_avoidance"
"0.","6.","10.","4","0","8","3.","56.","transfer_avoidance"
"0.","6.","10.","4","4","0","0.","40.","transfer_avoidance"
"0.","6.","10.","4","4","0","1.","48.","transfer_avoidance"
"0.","6.","10.","4","4","0","3.","64.","transfer_avoidance"
"0.","6.","10.","4","4","8","0.","48.","transfer_avoidance"
"0.","6.","10.","4","4","8","1.","56.","transfer_avoidance"
"0.","6.","10.","4","4","8","3.","72.","transfer_avoidance"
"0.","6.","30.","1","0","0","0.","5.","transfer_avoidance"
"0.","6.","30.","1","0","0","1.","5.","transfer_avoidance"
"0.","6.","30.","1","0","0","3.","5.","transfer_avoidance"
"0.","6.","30.","1","0","8","0.","8.","transfer_avoidance"
"0.","6.","30.","1","0","8","1.","16.","transfer_avoidance"
"0.","6.","30.","1","0","8","3.","32.","correctness_sensitive_retention"
"0.","6.","30.","1","4","0","0.","10.","transfer_avoidance"
"0.","6.","30.","1","4","0","1.","18.","transfer_avoidance"
"0.","6.","30.","1","4","0","3.","34.","correctness_sensitive_retention"
"0.","6.","30.","1","4","8","0.","12.","transfer_avoidance"
"0.","6.","30.","1","4","8","1.","20.","transfer_avoidance"
"0.","6.","30.","1","4","8","3.","36.","correctness_sensitive_retention"
"0.","6.","30.","4","0","0","0.","20.","transfer_avoidance"
"0.","6.","30.","4","0","0","1.","20.","transfer_avoidance"
"0.","6.","30.","4","0","0","3.","20.","transfer_avoidance"
"0.","6.","30.","4","0","8","0.","32.","transfer_avoidance"
"0.","6.","30.","4","0","8","1.","40.","transfer_avoidance"
"0.","6.","30.","4","0","8","3.","56.","transfer_avoidance"
"0.","6.","30.","4","4","0","0.","40.","transfer_avoidance"
"0.","6.","30.","4","4","0","1.","48.","transfer_avoidance"
"0.","6.","30.","4","4","0","3.","64.","transfer_avoidance"
"0.","6.","30.","4","4","8","0.","48.","transfer_avoidance"
"0.","6.","30.","4","4","8","1.","56.","transfer_avoidance"
"0.","6.","30.","4","4","8","3.","72.","transfer_avoidance"
"0.3","0.","0.","1","0","0","0.","-1.","no_material_benefit"
"0.3","0.","0.","1","0","0","1.","-1.","no_material_benefit"
"0.3","0.","0.","1","0","0","3.","-1.","no_material_benefit"
"0.3","0.","0.","1","0","8","0.","-4.","no_material_benefit"
"0.3","0.","0.","1","0","8","1.","4.","correctness_sensitive_retention"
"0.3","0.","0.","1","0","8","3.","20.000000000000004","correctness_sensitive_retention"
"0.3","0.","0.","1","4","0","0.","-2.","no_material_benefit"
"0.3","0.","0.","1","4","0","1.","6.","correctness_sensitive_retention"
"0.3","0.","0.","1","4","0","3.","22.000000000000004","correctness_sensitive_retention"
"0.3","0.","0.","1","4","8","0.","-6.","no_material_benefit"
"0.3","0.","0.","1","4","8","1.","2.","correctness_sensitive_retention"
"0.3","0.","0.","1","4","8","3.","18.000000000000004","correctness_sensitive_retention"
"0.3","0.","0.","4","0","0","0.","-4.","no_material_benefit"
"0.3","0.","0.","4","0","0","1.","-4.","no_material_benefit"
"0.3","0.","0.","4","0","0","3.","-4.","no_material_benefit"
"0.3","0.","0.","4","0","8","0.","-16.","no_material_benefit"
"0.3","0.","0.","4","0","8","1.","-8.","no_material_benefit"
"0.3","0.","0.","4","0","8","3.","8.000000000000004","correctness_sensitive_retention"
"0.3","0.","0.","4","4","0","0.","-8.","no_material_benefit"
"0.3","0.","0.","4","4","0","1.","0.","no_material_benefit"
"0.3","0.","0.","4","4","0","3.","16.000000000000004","correctness_sensitive_retention"
"0.3","0.","0.","4","4","8","0.","-24.","no_material_benefit"
"0.3","0.","0.","4","4","8","1.","-16.","no_material_benefit"
"0.3","0.","0.","4","4","8","3.","3.552713678800501*^-15","no_material_benefit"
"0.3","0.","10.","1","0","0","0.","2.","recompute_avoidance"
"0.3","0.","10.","1","0","0","1.","2.","recompute_avoidance"
"0.3","0.","10.","1","0","0","3.","2.","recompute_avoidance"
"0.3","0.","10.","1","0","8","0.","-1.","no_material_benefit"
"0.3","0.","10.","1","0","8","1.","7.","correctness_sensitive_retention"
"0.3","0.","10.","1","0","8","3.","23.000000000000004","correctness_sensitive_retention"
"0.3","0.","10.","1","4","0","0.","1.","recompute_avoidance"
"0.3","0.","10.","1","4","0","1.","9.","correctness_sensitive_retention"
"0.3","0.","10.","1","4","0","3.","25.000000000000004","correctness_sensitive_retention"
"0.3","0.","10.","1","4","8","0.","-3.","no_material_benefit"
"0.3","0.","10.","1","4","8","1.","5.","correctness_sensitive_retention"
"0.3","0.","10.","1","4","8","3.","21.000000000000004","correctness_sensitive_retention"
"0.3","0.","10.","4","0","0","0.","-1.","no_material_benefit"
"0.3","0.","10.","4","0","0","1.","-1.","no_material_benefit"
"0.3","0.","10.","4","0","0","3.","-1.","no_material_benefit"
"0.3","0.","10.","4","0","8","0.","-13.","no_material_benefit"
"0.3","0.","10.","4","0","8","1.","-5.","no_material_benefit"
"0.3","0.","10.","4","0","8","3.","11.000000000000004","correctness_sensitive_retention"
"0.3","0.","10.","4","4","0","0.","-5.","no_material_benefit"
"0.3","0.","10.","4","4","0","1.","3.","residency_pressure"
"0.3","0.","10.","4","4","0","3.","19.000000000000004","correctness_sensitive_retention"
"0.3","0.","10.","4","4","8","0.","-21.","no_material_benefit"
"0.3","0.","10.","4","4","8","1.","-13.","no_material_benefit"
"0.3","0.","10.","4","4","8","3.","3.0000000000000036","residency_pressure"
"0.3","0.","30.","1","0","0","0.","8.","recompute_avoidance"
"0.3","0.","30.","1","0","0","1.","8.","recompute_avoidance"
"0.3","0.","30.","1","0","0","3.","8.","recompute_avoidance"
"0.3","0.","30.","1","0","8","0.","5.","recompute_avoidance"
"0.3","0.","30.","1","0","8","1.","13.","recompute_avoidance"
"0.3","0.","30.","1","0","8","3.","29.000000000000004","correctness_sensitive_retention"
"0.3","0.","30.","1","4","0","0.","7.","recompute_avoidance"
"0.3","0.","30.","1","4","0","1.","15.","recompute_avoidance"
"0.3","0.","30.","1","4","0","3.","31.000000000000004","correctness_sensitive_retention"
"0.3","0.","30.","1","4","8","0.","3.","recompute_avoidance"
"0.3","0.","30.","1","4","8","1.","11.","recompute_avoidance"
"0.3","0.","30.","1","4","8","3.","27.000000000000004","correctness_sensitive_retention"
"0.3","0.","30.","4","0","0","0.","5.","recompute_avoidance"
"0.3","0.","30.","4","0","0","1.","5.","recompute_avoidance"
"0.3","0.","30.","4","0","0","3.","5.","recompute_avoidance"
"0.3","0.","30.","4","0","8","0.","-7.","no_material_benefit"
"0.3","0.","30.","4","0","8","1.","1.","residency_pressure"
"0.3","0.","30.","4","0","8","3.","17.000000000000004","correctness_sensitive_retention"
"0.3","0.","30.","4","4","0","0.","1.","recompute_avoidance"
"0.3","0.","30.","4","4","0","1.","9.","recompute_avoidance"
"0.3","0.","30.","4","4","0","3.","25.000000000000004","correctness_sensitive_retention"
"0.3","0.","30.","4","4","8","0.","-15.","no_material_benefit"
"0.3","0.","30.","4","4","8","1.","-7.","no_material_benefit"
"0.3","0.","30.","4","4","8","3.","9.000000000000004","residency_pressure"
"0.3","2.","0.","1","0","0","0.","1.","transfer_avoidance"
"0.3","2.","0.","1","0","0","1.","1.","transfer_avoidance"
"0.3","2.","0.","1","0","0","3.","1.","transfer_avoidance"
"0.3","2.","0.","1","0","8","0.","0.","no_material_benefit"
"0.3","2.","0.","1","0","8","1.","8.","correctness_sensitive_retention"
"0.3","2.","0.","1","0","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.3","2.","0.","1","4","0","0.","2.","transfer_avoidance"
"0.3","2.","0.","1","4","0","1.","10.","correctness_sensitive_retention"
"0.3","2.","0.","1","4","0","3.","26.000000000000004","correctness_sensitive_retention"
"0.3","2.","0.","1","4","8","0.","0.","no_material_benefit"
"0.3","2.","0.","1","4","8","1.","8.","correctness_sensitive_retention"
"0.3","2.","0.","1","4","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.3","2.","0.","4","0","0","0.","4.","transfer_avoidance"
"0.3","2.","0.","4","0","0","1.","4.","transfer_avoidance"
"0.3","2.","0.","4","0","0","3.","4.","transfer_avoidance"
"0.3","2.","0.","4","0","8","0.","0.","no_material_benefit"
"0.3","2.","0.","4","0","8","1.","8.","transfer_avoidance"
"0.3","2.","0.","4","0","8","3.","24.000000000000004","correctness_sensitive_retention"
"0.3","2.","0.","4","4","0","0.","8.","transfer_avoidance"
"0.3","2.","0.","4","4","0","1.","16.","transfer_avoidance"
"0.3","2.","0.","4","4","0","3.","32.","correctness_sensitive_retention"
"0.3","2.","0.","4","4","8","0.","0.","no_material_benefit"
"0.3","2.","0.","4","4","8","1.","8.","transfer_avoidance"
"0.3","2.","0.","4","4","8","3.","24.000000000000004","transfer_avoidance"
"0.3","2.","10.","1","0","0","0.","4.","recompute_avoidance"
"0.3","2.","10.","1","0","0","1.","4.","recompute_avoidance"
"0.3","2.","10.","1","0","0","3.","4.","recompute_avoidance"
"0.3","2.","10.","1","0","8","0.","3.","transfer_avoidance"
"0.3","2.","10.","1","0","8","1.","11.","correctness_sensitive_retention"
"0.3","2.","10.","1","0","8","3.","27.000000000000004","correctness_sensitive_retention"
"0.3","2.","10.","1","4","0","0.","5.","transfer_avoidance"
"0.3","2.","10.","1","4","0","1.","13.","correctness_sensitive_retention"
"0.3","2.","10.","1","4","0","3.","29.000000000000004","correctness_sensitive_retention"
"0.3","2.","10.","1","4","8","0.","3.","transfer_avoidance"
"0.3","2.","10.","1","4","8","1.","11.","correctness_sensitive_retention"
"0.3","2.","10.","1","4","8","3.","27.000000000000004","correctness_sensitive_retention"
"0.3","2.","10.","4","0","0","0.","7.","transfer_avoidance"
"0.3","2.","10.","4","0","0","1.","7.","transfer_avoidance"
"0.3","2.","10.","4","0","0","3.","7.","transfer_avoidance"
"0.3","2.","10.","4","0","8","0.","3.","transfer_avoidance"
"0.3","2.","10.","4","0","8","1.","11.","transfer_avoidance"
"0.3","2.","10.","4","0","8","3.","27.000000000000004","correctness_sensitive_retention"
"0.3","2.","10.","4","4","0","0.","11.","transfer_avoidance"
"0.3","2.","10.","4","4","0","1.","19.","transfer_avoidance"
"0.3","2.","10.","4","4","0","3.","35.","correctness_sensitive_retention"
"0.3","2.","10.","4","4","8","0.","3.","transfer_avoidance"
"0.3","2.","10.","4","4","8","1.","11.","transfer_avoidance"
"0.3","2.","10.","4","4","8","3.","27.000000000000004","transfer_avoidance"
"0.3","2.","30.","1","0","0","0.","10.","recompute_avoidance"
"0.3","2.","30.","1","0","0","1.","10.","recompute_avoidance"
"0.3","2.","30.","1","0","0","3.","10.","recompute_avoidance"
"0.3","2.","30.","1","0","8","0.","9.","recompute_avoidance"
"0.3","2.","30.","1","0","8","1.","17.","recompute_avoidance"
"0.3","2.","30.","1","0","8","3.","33.","correctness_sensitive_retention"
"0.3","2.","30.","1","4","0","0.","11.","recompute_avoidance"
"0.3","2.","30.","1","4","0","1.","19.","recompute_avoidance"
"0.3","2.","30.","1","4","0","3.","35.","correctness_sensitive_retention"
"0.3","2.","30.","1","4","8","0.","9.","recompute_avoidance"
"0.3","2.","30.","1","4","8","1.","17.","recompute_avoidance"
"0.3","2.","30.","1","4","8","3.","33.","correctness_sensitive_retention"
"0.3","2.","30.","4","0","0","0.","13.","recompute_avoidance"
"0.3","2.","30.","4","0","0","1.","13.","recompute_avoidance"
"0.3","2.","30.","4","0","0","3.","13.","recompute_avoidance"
"0.3","2.","30.","4","0","8","0.","9.","transfer_avoidance"
"0.3","2.","30.","4","0","8","1.","17.","transfer_avoidance"
"0.3","2.","30.","4","0","8","3.","33.","correctness_sensitive_retention"
"0.3","2.","30.","4","4","0","0.","17.","transfer_avoidance"
"0.3","2.","30.","4","4","0","1.","25.","transfer_avoidance"
"0.3","2.","30.","4","4","0","3.","41.","correctness_sensitive_retention"
"0.3","2.","30.","4","4","8","0.","9.","transfer_avoidance"
"0.3","2.","30.","4","4","8","1.","17.","transfer_avoidance"
"0.3","2.","30.","4","4","8","3.","33.","transfer_avoidance"
"0.3","6.","0.","1","0","0","0.","5.","transfer_avoidance"
"0.3","6.","0.","1","0","0","1.","5.","transfer_avoidance"
"0.3","6.","0.","1","0","0","3.","5.","transfer_avoidance"
"0.3","6.","0.","1","0","8","0.","8.","transfer_avoidance"
"0.3","6.","0.","1","0","8","1.","16.","transfer_avoidance"
"0.3","6.","0.","1","0","8","3.","32.","correctness_sensitive_retention"
"0.3","6.","0.","1","4","0","0.","10.","transfer_avoidance"
"0.3","6.","0.","1","4","0","1.","18.","transfer_avoidance"
"0.3","6.","0.","1","4","0","3.","34.","correctness_sensitive_retention"
"0.3","6.","0.","1","4","8","0.","12.","transfer_avoidance"
"0.3","6.","0.","1","4","8","1.","20.","transfer_avoidance"
"0.3","6.","0.","1","4","8","3.","36.","correctness_sensitive_retention"
"0.3","6.","0.","4","0","0","0.","20.","transfer_avoidance"
"0.3","6.","0.","4","0","0","1.","20.","transfer_avoidance"
"0.3","6.","0.","4","0","0","3.","20.","transfer_avoidance"
"0.3","6.","0.","4","0","8","0.","32.","transfer_avoidance"
"0.3","6.","0.","4","0","8","1.","40.","transfer_avoidance"
"0.3","6.","0.","4","0","8","3.","56.","transfer_avoidance"
"0.3","6.","0.","4","4","0","0.","40.","transfer_avoidance"
"0.3","6.","0.","4","4","0","1.","48.","transfer_avoidance"
"0.3","6.","0.","4","4","0","3.","64.","transfer_avoidance"
"0.3","6.","0.","4","4","8","0.","48.","transfer_avoidance"
"0.3","6.","0.","4","4","8","1.","56.","transfer_avoidance"
"0.3","6.","0.","4","4","8","3.","72.","transfer_avoidance"
"0.3","6.","10.","1","0","0","0.","8.","transfer_avoidance"
"0.3","6.","10.","1","0","0","1.","8.","transfer_avoidance"
"0.3","6.","10.","1","0","0","3.","8.","transfer_avoidance"
"0.3","6.","10.","1","0","8","0.","11.","transfer_avoidance"
"0.3","6.","10.","1","0","8","1.","19.","transfer_avoidance"
"0.3","6.","10.","1","0","8","3.","35.","correctness_sensitive_retention"
"0.3","6.","10.","1","4","0","0.","13.","transfer_avoidance"
"0.3","6.","10.","1","4","0","1.","21.","transfer_avoidance"
"0.3","6.","10.","1","4","0","3.","37.","correctness_sensitive_retention"
"0.3","6.","10.","1","4","8","0.","15.","transfer_avoidance"
"0.3","6.","10.","1","4","8","1.","23.","transfer_avoidance"
"0.3","6.","10.","1","4","8","3.","39.","correctness_sensitive_retention"
"0.3","6.","10.","4","0","0","0.","23.","transfer_avoidance"
"0.3","6.","10.","4","0","0","1.","23.","transfer_avoidance"
"0.3","6.","10.","4","0","0","3.","23.","transfer_avoidance"
"0.3","6.","10.","4","0","8","0.","35.","transfer_avoidance"
"0.3","6.","10.","4","0","8","1.","43.","transfer_avoidance"
"0.3","6.","10.","4","0","8","3.","59.","transfer_avoidance"
"0.3","6.","10.","4","4","0","0.","43.","transfer_avoidance"
"0.3","6.","10.","4","4","0","1.","51.","transfer_avoidance"
"0.3","6.","10.","4","4","0","3.","67.","transfer_avoidance"
"0.3","6.","10.","4","4","8","0.","51.","transfer_avoidance"
"0.3","6.","10.","4","4","8","1.","59.","transfer_avoidance"
