kappa,eta,mechanism,classification,effective_A,sigma,q_loss_exponent,markov_q_2kappa_reproduced,variance_exponent,candidate_beta,proved_exponent_improvement
5.0,0.05,signed_cancellation_target,conditional_surface_theorem_target,9.0,0.25,0.45,False,1.2,0.3,False
5.0,0.05,stronger_surface_lemma33_target,conditional_stronger_input,7.0,0.25,0.35000000000000003,False,1.1,0.4,False
5.0,0.05,blocked_by_missing_surface_input,toy_only_insufficient,8.0,0.0,0.4,False,1.4,0.1,False
5.0,0.08,existing_markov_interpolation,paper_proved_baseline,10.0,0.0,0.8,True,1.8,0.0,False
5.0,0.08,coefficient_variation_target,conditional_surface_theorem_target,8.0,0.0,0.64,False,1.6400000000000001,0.16,False
5.0,0.08,direct_small_x_target,conditional_surface_theorem_target,10.0,0.35,0.8,False,1.4500000000000002,0.35,False
5.0,0.08,signed_cancellation_target,conditional_surface_theorem_target,9.0,0.25,0.72,False,1.47,0.33,False
5.0,0.08,stronger_surface_lemma33_target,conditional_stronger_input,7.0,0.25,0.56,False,1.31,0.49,False
5.0,0.08,blocked_by_missing_surface_input,toy_only_insufficient,8.0,0.0,0.64,False,1.6400000000000001,0.16,False
5.0,0.12,existing_markov_interpolation,paper_proved_baseline,10.0,0.0,1.2,True,2.2,0.0,False
5.0,0.12,coefficient_variation_target,conditional_surface_theorem_target,8.0,0.0,0.96,False,1.96,0.24,False
5.0,0.12,direct_small_x_target,conditional_surface_theorem_target,10.0,0.35,1.2,False,1.85,0.35,False
5.0,0.12,signed_cancellation_target,conditional_surface_theorem_target,9.0,0.25,1.08,False,1.83,0.37,False
5.0,0.12,stronger_surface_lemma33_target,conditional_stronger_input,7.0,0.25,0.84,False,1.5899999999999999,0.61,False
5.0,0.12,blocked_by_missing_surface_input,toy_only_insufficient,8.0,0.0,0.96,False,1.96,0.24,False
5.0,0.18,existing_markov_interpolation,paper_proved_baseline,10.0,0.0,1.7999999999999998,True,2.8,0.0,False
5.0,0.18,coefficient_variation_target,conditional_surface_theorem_target,8.0,0.0,1.44,False,2.44,0.36,False
5.0,0.18,direct_small_x_target,conditional_surface_theorem_target,10.0,0.35,1.7999999999999998,False,2.4499999999999997,0.35,False
5.0,0.18,signed_cancellation_target,conditional_surface_theorem_target,9.0,0.25,1.6199999999999999,False,2.37,0.43,False
5.0,0.18,stronger_surface_lemma33_target,conditional_stronger_input,7.0,0.25,1.26,False,2.01,0.79,False
5.0,0.18,blocked_by_missing_surface_input,toy_only_insufficient,8.0,0.0,1.44,False,2.44,0.36,False
8.0,0.02,existing_markov_interpolation,paper_proved_baseline,16.0,0.0,0.32,True,1.32,0.0,False
8.0,0.02,coefficient_variation_target,conditional_surface_theorem_target,14.0,0.0,0.28,False,1.28,0.04,False
8.0,0.02,direct_small_x_target,conditional_surface_theorem_target,16.0,0.35,0.32,False,0.9700000000000001,0.35,False
8.0,0.02,signed_cancellation_target,conditional_surface_theorem_target,15.0,0.25,0.3,False,1.05,0.27,False
8.0,0.02,stronger_surface_lemma33_target,conditional_stronger_input,13.0,0.25,0.26,False,1.01,0.31,False
8.0,0.02,blocked_by_missing_surface_input,toy_only_insufficient,14.0,0.0,0.28,False,1.28,0.04,False
8.0,0.05,existing_markov_interpolation,paper_proved_baseline,16.0,0.0,0.8,True,1.8,0.0,False
8.0,0.05,coefficient_variation_target,conditional_surface_theorem_target,14.0,0.0,0.7000000000000001,False,1.7000000000000002,0.1,False
8.0,0.05,direct_small_x_target,conditional_surface_theorem_target,16.0,0.35,0.8,False,1.4500000000000002,0.35,False
8.0,0.05,signed_cancellation_target,conditional_surface_theorem_target,15.0,0.25,0.75,False,1.5,0.3,False
8.0,0.05,stronger_surface_lemma33_target,conditional_stronger_input,13.0,0.25,0.65,False,1.4,0.4,False
8.0,0.05,blocked_by_missing_surface_input,toy_only_insufficient,14.0,0.0,0.7000000000000001,False,1.7000000000000002,0.1,False
8.0,0.08,existing_markov_interpolation,paper_proved_baseline,16.0,0.0,1.28,True,2.2800000000000002,0.0,False
8.0,0.08,coefficient_variation_target,conditional_surface_theorem_target,14.0,0.0,1.12,False,2.12,0.16,False
8.0,0.08,direct_small_x_target,conditional_surface_theorem_target,16.0,0.35,1.28,False,1.9300000000000002,0.35,False
8.0,0.08,signed_cancellation_target,conditional_surface_theorem_target,15.0,0.25,1.2,False,1.9500000000000002,0.33,False
8.0,0.08,stronger_surface_lemma33_target,conditional_stronger_input,13.0,0.25,1.04,False,1.79,0.49,False
8.0,0.08,blocked_by_missing_surface_input,toy_only_insufficient,14.0,0.0,1.12,False,2.12,0.16,False
8.0,0.12,existing_markov_interpolation,paper_proved_baseline,16.0,0.0,1.92,True,2.92,0.0,False
8.0,0.12,coefficient_variation_target,conditional_surface_theorem_target,14.0,0.0,1.68,False,2.6799999999999997,0.24,False
8.0,0.12,direct_small_x_target,conditional_surface_theorem_target,16.0,0.35,1.92,False,2.57,0.35,False
8.0,0.12,signed_cancellation_target,conditional_surface_theorem_target,15.0,0.25,1.7999999999999998,False,2.55,0.37,False
8.0,0.12,stronger_surface_lemma33_target,conditional_stronger_input,13.0,0.25,1.56,False,2.31,0.61,False
8.0,0.12,blocked_by_missing_surface_input,toy_only_insufficient,14.0,0.0,1.68,False,2.6799999999999997,0.24,False
8.0,0.18,existing_markov_interpolation,paper_proved_baseline,16.0,0.0,2.88,True,3.88,0.0,False
8.0,0.18,coefficient_variation_target,conditional_surface_theorem_target,14.0,0.0,2.52,False,3.52,0.36,False
8.0,0.18,direct_small_x_target,conditional_surface_theorem_target,16.0,0.35,2.88,False,3.53,0.35,False
8.0,0.18,signed_cancellation_target,conditional_surface_theorem_target,15.0,0.25,2.6999999999999997,False,3.4499999999999997,0.43,False
8.0,0.18,stronger_surface_lemma33_target,conditional_stronger_input,13.0,0.25,2.34,False,3.09,0.79,False
8.0,0.18,blocked_by_missing_surface_input,toy_only_insufficient,14.0,0.0,2.52,False,3.52,0.36,False
