grouping,classification,kappa,eta,A,A_offset,sigma,D,Lambda0_power,beta,markov_variance_exponent,grouped_variance_exponent,denominator_safe_regime,saving_survives_denominator,theorem_ready_spc_g,coefficient_variation_equivalent,near_zero_denominator_obstruction
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.08,4.5,1.5,0.3,0.5,20,-0.08000000000000002,1.48,1.56,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.08,4.5,1.5,0.3,1.0,20,-0.5800000000000001,1.48,2.06,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.12,4.5,1.5,0.3,0.0,20,0.48,1.72,1.24,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.12,4.5,1.5,0.3,0.25,20,0.22999999999999998,1.72,1.49,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.12,4.5,1.5,0.3,0.5,20,-0.020000000000000018,1.72,1.74,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.12,4.5,1.5,0.3,1.0,20,-0.52,1.72,2.24,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.18,4.5,1.5,0.3,0.0,20,0.5700000000000001,2.08,1.51,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.18,4.5,1.5,0.3,0.25,20,0.32000000000000006,2.08,1.76,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.18,4.5,1.5,0.3,0.5,20,0.07000000000000006,2.08,2.01,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,3.0,0.18,4.5,1.5,0.3,1.0,20,-0.42999999999999994,2.08,2.51,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.02,8.5,1.5,0.3,0.0,20,0.32999999999999996,1.2,0.87,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.02,8.5,1.5,0.3,0.25,20,0.07999999999999996,1.2,1.12,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.02,8.5,1.5,0.3,0.5,20,-0.17000000000000004,1.2,1.37,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.02,8.5,1.5,0.3,1.0,20,-0.67,1.2,1.87,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.05,8.5,1.5,0.3,0.0,20,0.375,1.5,1.125,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.05,8.5,1.5,0.3,0.25,20,0.125,1.5,1.375,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.05,8.5,1.5,0.3,0.5,20,-0.125,1.5,1.625,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.05,8.5,1.5,0.3,1.0,20,-0.625,1.5,2.125,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.08,8.5,1.5,0.3,0.0,20,0.42,1.8,1.3800000000000001,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.08,8.5,1.5,0.3,0.25,20,0.16999999999999998,1.8,1.6300000000000001,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.08,8.5,1.5,0.3,0.5,20,-0.08000000000000002,1.8,1.8800000000000001,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.08,8.5,1.5,0.3,1.0,20,-0.5800000000000001,1.8,2.38,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.12,8.5,1.5,0.3,0.0,20,0.48,2.2,1.7200000000000002,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.12,8.5,1.5,0.3,0.25,20,0.22999999999999998,2.2,1.9700000000000002,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.12,8.5,1.5,0.3,0.5,20,-0.020000000000000018,2.2,2.22,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.12,8.5,1.5,0.3,1.0,20,-0.52,2.2,2.72,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.18,8.5,1.5,0.3,0.0,20,0.5700000000000001,2.8,2.2299999999999995,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.18,8.5,1.5,0.3,0.25,20,0.32000000000000006,2.8,2.4799999999999995,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.18,8.5,1.5,0.3,0.5,20,0.07000000000000006,2.8,2.7299999999999995,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,5.0,0.18,8.5,1.5,0.3,1.0,20,-0.42999999999999994,2.8,3.2299999999999995,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.02,14.5,1.5,0.3,0.0,20,0.32999999999999996,1.32,0.9900000000000001,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.02,14.5,1.5,0.3,0.25,20,0.07999999999999996,1.32,1.2400000000000002,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.02,14.5,1.5,0.3,0.5,20,-0.17000000000000004,1.32,1.4900000000000002,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.02,14.5,1.5,0.3,1.0,20,-0.67,1.32,1.9900000000000002,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.05,14.5,1.5,0.3,0.0,20,0.375,1.8,1.425,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.05,14.5,1.5,0.3,0.25,20,0.125,1.8,1.675,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.05,14.5,1.5,0.3,0.5,20,-0.125,1.8,1.925,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.05,14.5,1.5,0.3,1.0,20,-0.625,1.8,2.425,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.08,14.5,1.5,0.3,0.0,20,0.42,2.2800000000000002,1.8600000000000003,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.08,14.5,1.5,0.3,0.25,20,0.16999999999999998,2.2800000000000002,2.1100000000000003,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.08,14.5,1.5,0.3,0.5,20,-0.08000000000000002,2.2800000000000002,2.3600000000000003,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.08,14.5,1.5,0.3,1.0,20,-0.5800000000000001,2.2800000000000002,2.8600000000000003,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.12,14.5,1.5,0.3,0.0,20,0.48,2.92,2.44,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.12,14.5,1.5,0.3,0.25,20,0.22999999999999998,2.92,2.69,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.12,14.5,1.5,0.3,0.5,20,-0.020000000000000018,2.92,2.94,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.12,14.5,1.5,0.3,1.0,20,-0.52,2.92,3.44,False,False,False,False,True
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.18,14.5,1.5,0.3,0.0,20,0.5700000000000001,3.88,3.3099999999999996,True,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.18,14.5,1.5,0.3,0.25,20,0.32000000000000006,3.88,3.5599999999999996,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.18,14.5,1.5,0.3,0.5,20,0.07000000000000006,3.88,3.8099999999999996,False,True,False,False,False
quotient_complex_profile_pointwise,underdetermined_surface_input,8.0,0.18,14.5,1.5,0.3,1.0,20,-0.42999999999999994,3.88,4.31,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.02,4.75,1.25,0.35,0.0,20,0.375,1.12,0.7450000000000001,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.02,4.75,1.25,0.35,0.25,20,0.125,1.12,0.9950000000000001,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.02,4.75,1.25,0.35,0.5,20,-0.125,1.12,1.245,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.02,4.75,1.25,0.35,1.0,20,-0.625,1.12,1.745,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.05,4.75,1.25,0.35,0.0,20,0.4125,1.3,0.8875000000000001,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.05,4.75,1.25,0.35,0.25,20,0.16249999999999998,1.3,1.1375000000000002,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.05,4.75,1.25,0.35,0.5,20,-0.08750000000000002,1.3,1.3875000000000002,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.05,4.75,1.25,0.35,1.0,20,-0.5875,1.3,1.8875000000000002,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.08,4.75,1.25,0.35,0.0,20,0.44999999999999996,1.48,1.03,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.08,4.75,1.25,0.35,0.25,20,0.19999999999999996,1.48,1.28,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.08,4.75,1.25,0.35,0.5,20,-0.050000000000000044,1.48,1.53,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.08,4.75,1.25,0.35,1.0,20,-0.55,1.48,2.0300000000000002,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.12,4.75,1.25,0.35,0.0,20,0.5,1.72,1.22,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.12,4.75,1.25,0.35,0.25,20,0.25,1.72,1.47,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.12,4.75,1.25,0.35,0.5,20,0.0,1.72,1.72,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.12,4.75,1.25,0.35,1.0,20,-0.5,1.72,2.2199999999999998,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.18,4.75,1.25,0.35,0.0,20,0.575,2.08,1.5050000000000001,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.18,4.75,1.25,0.35,0.25,20,0.32499999999999996,2.08,1.7550000000000001,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.18,4.75,1.25,0.35,0.5,20,0.07499999999999996,2.08,2.005,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,3.0,0.18,4.75,1.25,0.35,1.0,20,-0.42500000000000004,2.08,2.505,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.02,8.75,1.25,0.35,0.0,20,0.375,1.2,0.825,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.02,8.75,1.25,0.35,0.25,20,0.125,1.2,1.075,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.02,8.75,1.25,0.35,0.5,20,-0.125,1.2,1.325,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.02,8.75,1.25,0.35,1.0,20,-0.625,1.2,1.825,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.05,8.75,1.25,0.35,0.0,20,0.4125,1.5,1.0875,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.05,8.75,1.25,0.35,0.25,20,0.16249999999999998,1.5,1.3375,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.05,8.75,1.25,0.35,0.5,20,-0.08750000000000002,1.5,1.5875,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.05,8.75,1.25,0.35,1.0,20,-0.5875,1.5,2.0875,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.08,8.75,1.25,0.35,0.0,20,0.44999999999999996,1.8,1.35,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.08,8.75,1.25,0.35,0.25,20,0.19999999999999996,1.8,1.6,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.08,8.75,1.25,0.35,0.5,20,-0.050000000000000044,1.8,1.85,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.08,8.75,1.25,0.35,1.0,20,-0.55,1.8,2.35,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.12,8.75,1.25,0.35,0.0,20,0.5,2.2,1.7000000000000002,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.12,8.75,1.25,0.35,0.25,20,0.25,2.2,1.9500000000000002,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.12,8.75,1.25,0.35,0.5,20,0.0,2.2,2.2,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.12,8.75,1.25,0.35,1.0,20,-0.5,2.2,2.7,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.18,8.75,1.25,0.35,0.0,20,0.575,2.8,2.2249999999999996,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.18,8.75,1.25,0.35,0.25,20,0.32499999999999996,2.8,2.4749999999999996,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.18,8.75,1.25,0.35,0.5,20,0.07499999999999996,2.8,2.7249999999999996,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,5.0,0.18,8.75,1.25,0.35,1.0,20,-0.42500000000000004,2.8,3.2249999999999996,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.02,14.75,1.25,0.35,0.0,20,0.375,1.32,0.9450000000000001,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.02,14.75,1.25,0.35,0.25,20,0.125,1.32,1.195,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.02,14.75,1.25,0.35,0.5,20,-0.125,1.32,1.445,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.02,14.75,1.25,0.35,1.0,20,-0.625,1.32,1.945,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.05,14.75,1.25,0.35,0.0,20,0.4125,1.8,1.3875000000000002,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.05,14.75,1.25,0.35,0.25,20,0.16249999999999998,1.8,1.6375000000000002,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.05,14.75,1.25,0.35,0.5,20,-0.08750000000000002,1.8,1.8875000000000002,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.05,14.75,1.25,0.35,1.0,20,-0.5875,1.8,2.3875,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.08,14.75,1.25,0.35,0.0,20,0.44999999999999996,2.2800000000000002,1.8300000000000003,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.08,14.75,1.25,0.35,0.25,20,0.19999999999999996,2.2800000000000002,2.08,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.08,14.75,1.25,0.35,0.5,20,-0.050000000000000044,2.2800000000000002,2.33,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.08,14.75,1.25,0.35,1.0,20,-0.55,2.2800000000000002,2.83,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.12,14.75,1.25,0.35,0.0,20,0.5,2.92,2.42,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.12,14.75,1.25,0.35,0.25,20,0.25,2.92,2.67,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.12,14.75,1.25,0.35,0.5,20,0.0,2.92,2.92,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.12,14.75,1.25,0.35,1.0,20,-0.5,2.92,3.42,False,False,False,False,True
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.18,14.75,1.25,0.35,0.0,20,0.575,3.88,3.3049999999999997,True,True,True,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.18,14.75,1.25,0.35,0.25,20,0.32499999999999996,3.88,3.5549999999999997,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.18,14.75,1.25,0.35,0.5,20,0.07499999999999996,3.88,3.8049999999999997,False,True,False,False,False
surface_relation_kernel_grouping,surface_theorem_target,8.0,0.18,14.75,1.25,0.35,1.0,20,-0.42500000000000004,3.88,4.305,False,False,False,False,True
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,3.0,0.02,5.0,1.0,0.25,0.0,20,0.27,1.12,0.8500000000000001,True,True,False,False,False
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,3.0,0.02,5.0,1.0,0.25,0.25,20,0.020000000000000018,1.12,1.1,False,True,False,False,False
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,3.0,0.02,5.0,1.0,0.25,0.5,20,-0.22999999999999998,1.12,1.35,False,False,False,False,True
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,3.0,0.02,5.0,1.0,0.25,1.0,20,-0.73,1.12,1.85,False,False,False,False,True
diagonal_offdiagonal_relation_balance,underdetermined_surface_input,3.0,0.05,5.0,1.0,0.25,0.0,20,0.3,1.3,1.0,True,True,False,False,False
