L,canonical_key,conjugacy_class_multiplicity,pre_fold_pair_multiplicity,weight_unweighted,weight_exp_decay_theta_0_5,weight_length_inverse,V,count_a,count_b,C,n_power,conflict,primitive_power_pair_classes,diagonal_cyclic_pair_classes,primitive_nondiagonal_pair_classes,rank_two_after_diagonal_pair_classes,rank_proxy,coeff_order_1,coeff_order_2,coeff_order_3,coeff_order_4,notes
3,0a3;0b2;1a0;2b0;3a1,2,8,8,0.656679988991,1.33333333333,4,3,2,5,1,no,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a3;0b4;1a0;2b0;3a1;4b2,2,8,8,0.398296546943,0.888888888889,5,3,3,6,1,no,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0a3;1a0;1b2;2b0;3a1,2,24,24,1.19488964083,2.66666666667,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b0,1,4,4,1.47151776469,4,1,0,1,1,0,no,0,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b0,6,24,24,3.52440353607,8,1,0,1,1,0,yes,6,6,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b1;1a0,1,16,16,2.16536453179,4,2,1,1,2,0,yes,0,1,0,0,rank_two_noncyclic,-1,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b1;1a0;1b0,6,64,64,8.66145812714,16,2,1,2,3,1,yes,4,0,2,6,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b1;1a0;1b2;2b0,6,88,88,6.44832955276,13.3333333333,3,1,3,4,1,yes,4,0,2,6,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b1;1a0;2a1;2b0,2,48,48,3.94007993395,8,3,2,2,4,1,yes,0,0,2,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b1;1b0,1,4,4,0.541341132946,1,2,0,2,2,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b2;1a0;1b0;2a1,2,48,48,3.94007993395,8,3,2,2,4,1,yes,0,0,2,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b2;1a0;1b0;2b1,6,88,88,6.44832955276,13.3333333333,3,1,3,4,1,yes,4,0,2,6,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b2;1a0;2a1,1,36,36,1.79233446124,4,3,2,1,3,0,yes,0,1,0,0,rank_two_noncyclic,-2,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b2;1a0;2a1;2b0,6,120,120,7.52474885643,16,3,2,2,4,1,yes,4,0,2,6,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b2;1a0;2a1;2b1,2,72,72,3.58466892249,8,3,2,2,4,1,yes,0,0,2,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b2;1a0;2b1,1,36,36,1.79233446124,4,3,1,2,3,0,yes,0,1,0,0,rank_two_noncyclic,-2,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b2;1b0;2b1,1,4,4,0.199148273471,0.444444444444,3,0,3,3,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b3;1a0;1b2;2b0;3a1,2,72,72,3.58466892249,8,4,2,3,5,1,yes,0,0,2,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b3;1a0;1b2;2b0;3b1,2,72,72,3.58466892249,8,4,1,4,5,1,yes,0,0,2,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b3;1a0;2a1;2b0;3b1,2,72,72,3.58466892249,8,4,2,3,5,1,yes,0,0,2,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b3;1a0;2a1;2b0;3b2,2,24,24,1.19488964083,2.66666666667,4,2,3,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,0b3;1a0;2b0;3a1;3b2,2,24,24,1.19488964083,2.66666666667,4,2,3,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,1a0;1b0,1,16,16,2.16536453179,4,2,1,1,2,0,yes,0,1,0,0,rank_two_noncyclic,-1,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,1a0;1b2;2a1;2b0,2,72,72,3.58466892249,8,3,2,2,4,1,yes,0,0,2,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,1a0;1b2;2b0,1,36,36,1.79233446124,4,3,1,2,3,0,yes,0,1,0,0,rank_two_noncyclic,-2,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
3,1a0;2a1;2b0,1,36,36,1.79233446124,4,3,2,1,3,0,yes,0,1,0,0,rank_two_noncyclic,-2,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0,1,4,4,1.47151776469,4,1,1,0,1,0,no,0,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0,10,40,40,4.42266259244,10.6666666667,1,1,0,1,0,yes,10,10,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b0,2,8,8,2.94303552937,8,1,1,1,2,1,no,0,0,2,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b0,40,864,864,65.135512234,160,1,1,1,2,1,yes,0,0,40,40,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b1;1b0,2,8,8,1.78504128119,4,2,1,2,3,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b1;1b0,16,352,352,21.4875110583,56,2,1,2,3,1,yes,4,0,12,16,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b2;1a2;1b0,4,48,48,3.94007993395,12,3,2,2,4,1,yes,2,0,2,4,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b2;1b0;2a1,2,16,16,1.31335997798,4,3,2,2,4,1,yes,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b2;1b0;2b1,2,8,8,1.08268226589,2.66666666667,3,1,3,4,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b2;1b0;2b1,8,128,128,7.18607245096,21.3333333333,3,1,3,4,1,yes,4,0,4,8,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;0b2;1b0;2b3;3b1,2,8,8,0.656679988991,2,4,1,4,5,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a0;1a1;1b0,4,64,64,5.25343991193,16,2,2,1,3,1,yes,0,0,4,4,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b0;1a0,2,8,8,1.78504128119,4,2,2,1,3,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b0;1a0,16,352,352,21.4875110583,56,2,2,1,3,1,yes,4,0,12,16,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b1;1a0,8,176,176,10.1312954706,24,2,2,1,3,1,yes,4,0,4,8,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b2;1a0;2a3;3b1,2,16,16,0.796593093886,2,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b2;1a0;2b0,2,8,8,1.08268226589,2,3,2,2,4,1,no,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b2;1a0;2b0,8,128,128,6.37274475109,16,3,2,2,4,1,yes,8,0,0,8,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b2;1a0;2b1,2,24,24,1.97003996697,4,3,2,2,4,1,yes,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b2;1a0;2b3;3b1,2,32,32,1.59318618777,4,4,2,3,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b2;1a0;3a2;3b1,2,32,32,1.59318618777,4,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b3;1a0;2b0;3b2,2,8,8,0.656679988991,1.33333333333,4,2,3,5,1,no,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;0b3;1a0;2b0;3b4;4b2,2,8,8,0.398296546943,1,5,2,4,6,1,no,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;1a0,3,12,12,0.939637679889,2,2,2,0,2,0,yes,3,3,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;1a0;1b0,6,112,112,6.9449230951,16,2,2,1,3,1,yes,4,0,2,6,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;1a0;1b2;2b0,2,24,24,1.97003996697,4,3,2,2,4,1,yes,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;1a0;1b3;2a3;2b0,2,16,16,0.796593093886,2,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;1a0;1b3;2b0;3b2,2,32,32,1.59318618777,4,4,2,3,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;1a0;2a3;2b0;3b1,2,32,32,1.59318618777,4,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a1;1a0;2b0;3a2;3b1,2,32,32,1.59318618777,4,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b0;1a0;1b2,2,16,16,1.31335997798,4,3,2,2,4,1,yes,2,0,0,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b0;1a0;2a1,2,8,8,1.08268226589,2.66666666667,3,3,1,4,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b0;1a0;2a1,8,128,128,7.18607245096,21.3333333333,3,3,1,4,1,yes,4,0,4,8,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b0;1a0;2a3;3a1,2,8,8,0.656679988991,2,4,4,1,5,1,no,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b0;1a0;2b1,4,48,48,3.94007993395,12,3,2,2,4,1,yes,2,0,2,4,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b1;1a0;2a1,2,16,16,1.31335997798,2.66666666667,3,3,1,4,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b1;1a0;2a3;3a1,2,16,16,0.796593093886,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b1;1a0;2b0,2,64,64,3.18637237554,8,3,2,2,4,1,yes,0,0,2,2,rank_two_noncyclic,-1,-1,-1,-1,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b2;1a0;2a1,2,24,24,1.19488964083,2.66666666667,3,3,1,4,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b2;1a0;2a3;3a1,2,32,32,0.586100444439,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a1;3a4;4b1,2,16,16,0.483158134757,1.33333333333,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a1;3b1,2,24,24,1.19488964083,2.66666666667,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a1;3b2,2,32,32,0.966316269514,2.66666666667,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a1;3b4;4b1,2,32,32,0.966316269514,2.66666666667,5,3,3,6,1,yes,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a1;4a3;4b1,2,32,32,0.966316269514,2.66666666667,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a3;3a1,2,24,24,0.724737202136,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a4;3a5;4a1;5b1,2,16,16,0.29305022222,1,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a4;3b1;4a1,2,24,24,0.724737202136,2,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a4;3b4;4a1,2,32,32,0.586100444439,2,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a4;3b5;4a1;5b1,2,32,32,0.586100444439,2,6,4,3,7,1,yes,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;0b3;1a0;2a4;4a1;5a3;5b1,2,32,32,0.586100444439,2,6,5,2,7,1,yes,2,0,0,2,rank_two_noncyclic,-4,-4,-4,-4,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;1a0;1b0;2a1,2,16,16,1.31335997798,2.66666666667,3,3,1,4,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;1a0;1b0;2a3;3a1,2,16,16,0.796593093886,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;1a0;2a1,1,4,4,0.199148273471,0.444444444444,3,3,0,3,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;1a0;2a1;2b0,2,24,24,1.19488964083,2.66666666667,3,3,1,4,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;1a0;2a3;2b0;3a1,2,32,32,0.586100444439,2,4,4,1,5,1,yes,2,0,0,2,rank_two_noncyclic,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a2;1a0;2a3;3a1,1,4,4,0.0732625555549,0.25,4,4,0,4,0,yes,1,1,0,0,rank_one,0,0,0,0,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a3;0b2;1a0;2b0;3a1,2,8,8,0.656679988991,1.33333333333,4,3,2,5,1,no,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a3;0b2;1a0;2b0;3a4;4a1,2,8,8,0.398296546943,1,5,4,2,6,1,no,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a3;0b4;1a0;2b0;3a1;4b2,2,8,8,0.398296546943,0.888888888889,5,3,3,6,1,no,2,0,0,2,rank_two_noncyclic,-4,-2,2,10,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a3;0b4;1a0;2b0;3a1;4b5;5b2,2,8,8,0.241579067379,0.666666666667,6,3,4,7,1,no,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a3;0b4;1a0;2b0;3a5;4b2;5a1,2,8,8,0.241579067379,0.666666666667,6,4,3,7,1,no,2,0,0,2,rank_two_noncyclic,-6,0,12,36,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a3;0b4;1a0;2b0;3a5;4b6;5a1;6b2,2,8,8,0.14652511111,0.5,7,4,4,8,1,no,2,0,0,2,rank_two_noncyclic,-9,9,39,81,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a3;1a0;1b2;2b0;3a1,2,24,24,1.19488964083,2.66666666667,4,3,2,5,1,yes,2,0,0,2,rank_two_noncyclic,-2,-2,-2,-2,trace-like cyclic conjugacy pairs before folded skeleton aggregation
4,0a3;1a0;1b2;2b0;3a4;4a1,2,24,24,0.724737202136,2,5,4,2,6,1,yes,2,0,0,2,rank_two_noncyclic,-3,-3,-3,-3,trace-like cyclic conjugacy pairs before folded skeleton aggregation
