kappa,eta,A,A_offset_from_markov,sigma,denominator_loss_D,raw_beta_before_denominator,net_beta_after_denominator,saving_survives_denominator,near_zero_denominator_obstruction,paper_denominator_safe_regime
5.0,0.02,10.0,0.0,0.6,0.25,0.6,0.35,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.6,0.5,0.6,0.09999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.6,1.0,0.6,-0.4,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,10.0,0.0,0.6,2.0,0.6,-1.4,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.0,0.0,0.02,0.02,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.0,0.25,0.02,-0.23,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.0,0.5,0.02,-0.48,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.0,1.0,0.02,-0.98,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.0,2.0,0.02,-1.98,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.15,0.0,0.16999999999999998,0.16999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.15,0.25,0.16999999999999998,-0.08000000000000002,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.15,0.5,0.16999999999999998,-0.33,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.15,1.0,0.16999999999999998,-0.8300000000000001,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.15,2.0,0.16999999999999998,-1.83,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.35,0.0,0.37,0.37,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.35,0.25,0.37,0.12,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.35,0.5,0.37,-0.13,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.35,1.0,0.37,-0.63,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.35,2.0,0.37,-1.63,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.6,0.0,0.62,0.62,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.6,0.25,0.62,0.37,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.6,0.5,0.62,0.12,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.6,1.0,0.62,-0.38,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,9.0,1.0,0.6,2.0,0.62,-1.38,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.0,0.0,0.04,0.04,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.0,0.25,0.04,-0.21,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.0,0.5,0.04,-0.46,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.0,1.0,0.04,-0.96,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.0,2.0,0.04,-1.96,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.15,0.0,0.19,0.19,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.15,0.25,0.19,-0.06,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.15,0.5,0.19,-0.31,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.15,1.0,0.19,-0.81,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.15,2.0,0.19,-1.81,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.35,0.0,0.38999999999999996,0.38999999999999996,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.35,0.25,0.38999999999999996,0.13999999999999996,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.35,0.5,0.38999999999999996,-0.11000000000000004,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.35,1.0,0.38999999999999996,-0.6100000000000001,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.35,2.0,0.38999999999999996,-1.61,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.6,0.0,0.64,0.64,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.6,0.25,0.64,0.39,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.6,0.5,0.64,0.14,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.6,1.0,0.64,-0.36,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,8.0,2.0,0.6,2.0,0.64,-1.3599999999999999,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.0,0.0,0.06,0.06,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.0,0.25,0.06,-0.19,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.0,0.5,0.06,-0.44,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.0,1.0,0.06,-0.94,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.0,2.0,0.06,-1.94,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.15,0.0,0.21,0.21,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.15,0.25,0.21,-0.04000000000000001,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.15,0.5,0.21,-0.29000000000000004,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.15,1.0,0.21,-0.79,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.15,2.0,0.21,-1.79,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.35,0.0,0.41,0.41,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.35,0.25,0.41,0.15999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.35,0.5,0.41,-0.09000000000000002,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.35,1.0,0.41,-0.5900000000000001,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.35,2.0,0.41,-1.59,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.6,0.0,0.6599999999999999,0.6599999999999999,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.6,0.25,0.6599999999999999,0.4099999999999999,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.6,0.5,0.6599999999999999,0.15999999999999992,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.6,1.0,0.6599999999999999,-0.3400000000000001,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.02,7.0,3.0,0.6,2.0,0.6599999999999999,-1.34,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.0,0.0,0.0,0.0,False,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.0,0.25,0.0,-0.25,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.0,0.5,0.0,-0.5,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.0,1.0,0.0,-1.0,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.0,2.0,0.0,-2.0,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.15,0.0,0.15,0.15,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.15,0.25,0.15,-0.1,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.15,0.5,0.15,-0.35,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.15,1.0,0.15,-0.85,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.15,2.0,0.15,-1.85,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.35,0.0,0.35,0.35,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.35,0.25,0.35,0.09999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.35,0.5,0.35,-0.15000000000000002,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.35,1.0,0.35,-0.65,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.35,2.0,0.35,-1.65,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.6,0.0,0.6,0.6,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.6,0.25,0.6,0.35,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.6,0.5,0.6,0.09999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.6,1.0,0.6,-0.4,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,10.0,0.0,0.6,2.0,0.6,-1.4,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.0,0.0,0.05,0.05,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.0,0.25,0.05,-0.2,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.0,0.5,0.05,-0.45,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.0,1.0,0.05,-0.95,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.0,2.0,0.05,-1.95,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.15,0.0,0.2,0.2,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.15,0.25,0.2,-0.04999999999999999,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.15,0.5,0.2,-0.3,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.15,1.0,0.2,-0.8,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.15,2.0,0.2,-1.8,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.35,0.0,0.39999999999999997,0.39999999999999997,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.35,0.25,0.39999999999999997,0.14999999999999997,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.35,0.5,0.39999999999999997,-0.10000000000000003,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.35,1.0,0.39999999999999997,-0.6000000000000001,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.35,2.0,0.39999999999999997,-1.6,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.6,0.0,0.65,0.65,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.6,0.25,0.65,0.4,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.6,0.5,0.65,0.15000000000000002,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.6,1.0,0.65,-0.35,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,9.0,1.0,0.6,2.0,0.65,-1.35,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.0,0.0,0.1,0.1,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.0,0.25,0.1,-0.15,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.0,0.5,0.1,-0.4,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.0,1.0,0.1,-0.9,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.0,2.0,0.1,-1.9,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.15,0.0,0.25,0.25,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.15,0.25,0.25,0.0,False,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.15,0.5,0.25,-0.25,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.15,1.0,0.25,-0.75,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.15,2.0,0.25,-1.75,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.35,0.0,0.44999999999999996,0.44999999999999996,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.35,0.25,0.44999999999999996,0.19999999999999996,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.35,0.5,0.44999999999999996,-0.050000000000000044,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.35,1.0,0.44999999999999996,-0.55,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.35,2.0,0.44999999999999996,-1.55,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.6,0.0,0.7,0.7,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.6,0.25,0.7,0.44999999999999996,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.6,0.5,0.7,0.19999999999999996,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.6,1.0,0.7,-0.30000000000000004,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,8.0,2.0,0.6,2.0,0.7,-1.3,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.0,0.0,0.15000000000000002,0.15000000000000002,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.0,0.25,0.15000000000000002,-0.09999999999999998,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.0,0.5,0.15000000000000002,-0.35,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.0,1.0,0.15000000000000002,-0.85,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.0,2.0,0.15000000000000002,-1.85,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.15,0.0,0.30000000000000004,0.30000000000000004,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.15,0.25,0.30000000000000004,0.050000000000000044,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.15,0.5,0.30000000000000004,-0.19999999999999996,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.15,1.0,0.30000000000000004,-0.7,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.15,2.0,0.30000000000000004,-1.7,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.35,0.0,0.5,0.5,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.35,0.25,0.5,0.25,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.35,0.5,0.5,0.0,False,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.35,1.0,0.5,-0.5,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.35,2.0,0.5,-1.5,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.6,0.0,0.75,0.75,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.6,0.25,0.75,0.5,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.6,0.5,0.75,0.25,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.6,1.0,0.75,-0.25,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.05,7.0,3.0,0.6,2.0,0.75,-1.25,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.0,0.0,0.0,0.0,False,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.0,0.25,0.0,-0.25,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.0,0.5,0.0,-0.5,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.0,1.0,0.0,-1.0,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.0,2.0,0.0,-2.0,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.15,0.0,0.15,0.15,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.15,0.25,0.15,-0.1,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.15,0.5,0.15,-0.35,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.15,1.0,0.15,-0.85,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.15,2.0,0.15,-1.85,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.35,0.0,0.35,0.35,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.35,0.25,0.35,0.09999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.35,0.5,0.35,-0.15000000000000002,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.35,1.0,0.35,-0.65,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.35,2.0,0.35,-1.65,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.6,0.0,0.6,0.6,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.6,0.25,0.6,0.35,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.6,0.5,0.6,0.09999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.6,1.0,0.6,-0.4,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,10.0,0.0,0.6,2.0,0.6,-1.4,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.0,0.0,0.08,0.08,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.0,0.25,0.08,-0.16999999999999998,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.0,0.5,0.08,-0.42,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.0,1.0,0.08,-0.92,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.0,2.0,0.08,-1.92,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.15,0.0,0.22999999999999998,0.22999999999999998,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.15,0.25,0.22999999999999998,-0.020000000000000018,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.15,0.5,0.22999999999999998,-0.27,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.15,1.0,0.22999999999999998,-0.77,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.15,2.0,0.22999999999999998,-1.77,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.35,0.0,0.43,0.43,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.35,0.25,0.43,0.18,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.35,0.5,0.43,-0.07,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.35,1.0,0.43,-0.5700000000000001,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.35,2.0,0.43,-1.57,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.6,0.0,0.6799999999999999,0.6799999999999999,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.6,0.25,0.6799999999999999,0.42999999999999994,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.6,0.5,0.6799999999999999,0.17999999999999994,True,False,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.6,1.0,0.6799999999999999,-0.32000000000000006,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
5.0,0.08,9.0,1.0,0.6,2.0,0.6799999999999999,-1.32,False,True,"n >= q^kappa and Q_id(1/n) in [C^-1,C]"
