L,variant,weight_scheme,n_power,coefficient_order,num_terms,num_profiles,signed_coefficient_sum,coefficient_absolute_variation,weight_l1,m12_tv_bound_proxy,absolute_variation_bound_proxy,signed_bound_proxy,cancellation_ratio,theorem_bound_ratio,absolute_variation_bound_ratio,zero_av,notes
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,4,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_length_inverse,1,1,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_length_inverse,1,2,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_length_inverse,1,3,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_length_inverse,1,4,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_unweighted,1,1,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_unweighted,1,2,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_unweighted,1,3,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,rank_two_noncyclic_remainder,weight_unweighted,1,4,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,1,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,2,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,3,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,4,2,1,0,0,2.94303552937,2.94303552937,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,1,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,2,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,3,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,4,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,1,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,2,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,3,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,4,2,1,0,0,8,8,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_exp_decay_theta_0_5,0,1,2,2,0,0,2.94303552937,11.7721421175,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_exp_decay_theta_0_5,0,2,2,2,0,0,2.94303552937,47.0885684699,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_exp_decay_theta_0_5,0,3,2,2,0,0,2.94303552937,188.35427388,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_exp_decay_theta_0_5,0,4,2,2,0,0,2.94303552937,753.417095519,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_exp_decay_theta_0_5,1,1,8,4,-1.08268226589,1.08268226589,7.59580035764,30.3832014306,1.08268226589,1.08268226589,1,0.0356342391491,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_exp_decay_theta_0_5,1,2,8,4,-1.08268226589,1.08268226589,7.59580035764,121.532805722,1.08268226589,1.08268226589,1,0.00890855978728,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_exp_decay_theta_0_5,1,3,8,4,-1.08268226589,1.08268226589,7.59580035764,486.131222889,1.08268226589,1.08268226589,1,0.00222713994682,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_exp_decay_theta_0_5,1,4,8,4,-1.08268226589,1.08268226589,7.59580035764,1944.52489156,1.08268226589,1.08268226589,1,0.000556784986705,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_length_inverse,0,1,2,2,0,0,8,32,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_length_inverse,0,2,2,2,0,0,8,128,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_length_inverse,0,3,2,2,0,0,8,512,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_length_inverse,0,4,2,2,0,0,8,2048,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_length_inverse,1,1,8,4,-2,2,18,72,2,2,1,0.0277777777778,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_length_inverse,1,2,8,4,-2,2,18,288,2,2,1,0.00694444444444,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_length_inverse,1,3,8,4,-2,2,18,1152,2,2,1,0.00173611111111,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_length_inverse,1,4,8,4,-2,2,18,4608,2,2,1,0.000434027777778,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_unweighted,0,1,2,2,0,0,8,32,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_unweighted,0,2,2,2,0,0,8,128,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_unweighted,0,3,2,2,0,0,8,512,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_unweighted,0,4,2,2,0,0,8,2048,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_unweighted,1,1,8,4,-8,8,32,128,8,8,1,0.0625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_unweighted,1,2,8,4,-8,8,32,512,8,8,1,0.015625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_unweighted,1,3,8,4,-8,8,32,2048,8,8,1,0.00390625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,all_conflict_free,weight_unweighted,1,4,8,4,-8,8,32,8192,8,8,1,0.0009765625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,1,2,2,0,0,2.94303552937,11.7721421175,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,2,2,0,0,2.94303552937,47.0885684699,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,3,2,2,0,0,2.94303552937,188.35427388,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,4,2,2,0,0,2.94303552937,753.417095519,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_length_inverse,0,1,2,2,0,0,8,32,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_length_inverse,0,2,2,2,0,0,8,128,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_length_inverse,0,3,2,2,0,0,8,512,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_length_inverse,0,4,2,2,0,0,8,2048,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_unweighted,0,1,2,2,0,0,8,32,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_unweighted,0,2,2,2,0,0,8,128,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_unweighted,0,3,2,2,0,0,8,512,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,diagonal_cyclic_only,weight_unweighted,0,4,2,2,0,0,8,2048,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,1,2,1,0,0,2.94303552937,11.7721421175,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,2,1,0,0,2.94303552937,47.0885684699,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,3,2,1,0,0,2.94303552937,188.35427388,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,4,2,1,0,0,2.94303552937,753.417095519,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_length_inverse,1,1,2,1,0,0,8,32,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_length_inverse,1,2,2,1,0,0,8,128,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_length_inverse,1,3,2,1,0,0,8,512,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_length_inverse,1,4,2,1,0,0,8,2048,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_unweighted,1,1,2,1,0,0,8,32,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_unweighted,1,2,2,1,0,0,8,128,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_unweighted,1,3,2,1,0,0,8,512,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,primitive_non_diagonal,weight_unweighted,1,4,2,1,0,0,8,2048,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,1,8,4,-1.08268226589,1.08268226589,7.59580035764,30.3832014306,1.08268226589,1.08268226589,1,0.0356342391491,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,8,4,-1.08268226589,1.08268226589,7.59580035764,121.532805722,1.08268226589,1.08268226589,1,0.00890855978728,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,3,8,4,-1.08268226589,1.08268226589,7.59580035764,486.131222889,1.08268226589,1.08268226589,1,0.00222713994682,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,4,8,4,-1.08268226589,1.08268226589,7.59580035764,1944.52489156,1.08268226589,1.08268226589,1,0.000556784986705,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_length_inverse,1,1,8,4,-2,2,18,72,2,2,1,0.0277777777778,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_length_inverse,1,2,8,4,-2,2,18,288,2,2,1,0.00694444444444,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_length_inverse,1,3,8,4,-2,2,18,1152,2,2,1,0.00173611111111,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_length_inverse,1,4,8,4,-2,2,18,4608,2,2,1,0.000434027777778,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_unweighted,1,1,8,4,-8,8,32,128,8,8,1,0.0625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_unweighted,1,2,8,4,-8,8,32,512,8,8,1,0.015625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_unweighted,1,3,8,4,-8,8,32,2048,8,8,1,0.00390625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,rank_two_noncyclic_remainder,weight_unweighted,1,4,8,4,-8,8,32,8192,8,8,1,0.0009765625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,1,8,4,-1.08268226589,1.08268226589,7.59580035764,30.3832014306,1.08268226589,1.08268226589,1,0.0356342391491,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,2,8,4,-1.08268226589,1.08268226589,7.59580035764,121.532805722,1.08268226589,1.08268226589,1,0.00890855978728,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,3,8,4,-1.08268226589,1.08268226589,7.59580035764,486.131222889,1.08268226589,1.08268226589,1,0.00222713994682,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,4,8,4,-1.08268226589,1.08268226589,7.59580035764,1944.52489156,1.08268226589,1.08268226589,1,0.000556784986705,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,1,8,4,-2,2,18,72,2,2,1,0.0277777777778,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,2,8,4,-2,2,18,288,2,2,1,0.00694444444444,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,3,8,4,-2,2,18,1152,2,2,1,0.00173611111111,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,4,8,4,-2,2,18,4608,2,2,1,0.000434027777778,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,1,8,4,-8,8,32,128,8,8,1,0.0625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,2,8,4,-8,8,32,512,8,8,1,0.015625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,3,8,4,-8,8,32,2048,8,8,1,0.00390625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,4,8,4,-8,8,32,8192,8,8,1,0.0009765625,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
3,all_conflict_free,weight_exp_decay_theta_0_5,0,1,2,2,0,0,2.94303552937,26.4873197643,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
3,all_conflict_free,weight_exp_decay_theta_0_5,0,2,2,2,0,0,2.94303552937,238.385877879,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
3,all_conflict_free,weight_exp_decay_theta_0_5,0,3,2,2,0,0,2.94303552937,2145.47290091,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
3,all_conflict_free,weight_exp_decay_theta_0_5,0,4,2,2,0,0,2.94303552937,19309.2561082,0,0,,0,0,yes,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
3,all_conflict_free,weight_exp_decay_theta_0_5,1,1,18,9,-5.30258840963,5.30258840963,11.4728214144,103.255392729,5.30258840963,5.30258840963,1,0.0513541062551,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
3,all_conflict_free,weight_exp_decay_theta_0_5,1,2,18,9,-4.50599531574,4.50599531574,11.4728214144,929.298534562,4.50599531574,4.50599531574,1,0.00484881353855,1,no,record-level M11 terms grouped by fixed d=C-V before cancellation diagnostics
