kappa,alpha_W,target_type,target_label,rows,endpoint_support_rows,local_window_success_rows,min_required_beta_endpoint_support,median_required_beta_endpoint_support,max_required_beta_endpoint_support,support_invalid_rows,not_endpoint_beating_rows,conditional_success_rows,needs_more_numerator_saving_rows
5.0,0.004,coefficient_variation,CV A=2k-4,144,45,32,-0.928,0.016000000000000014,2.0,66,33,32,13
5.0,0.004,direct_small_x,direct A=2k-2 sigma=0.25,144,45,32,-0.928,0.016000000000000014,2.0,66,33,32,13
5.0,0.004,direct_small_x,direct sigma=0.25,144,45,28,-0.928,0.016000000000000014,2.0,66,33,28,17
5.0,0.004,direct_small_x,direct sigma=0.75,144,45,35,-0.928,0.016000000000000014,2.0,66,33,35,10
5.0,0.004,markov_baseline,baseline A=2k,144,45,21,-0.928,0.016000000000000014,2.0,66,33,21,24
5.0,0.004,stratified_weighted,stratified A=2k-4 W=q,144,45,28,-0.928,0.016000000000000014,2.0,66,33,28,17
5.0,0.004,stratified_weighted,stratified A=2k-4 W=q^-1,144,45,35,-0.928,0.016000000000000014,2.0,66,33,35,10
5.0,0.006,coefficient_variation,CV A=2k-2,144,36,21,-0.904,0.07000000000000006,2.0,66,42,21,15
5.0,0.006,coefficient_variation,CV A=2k-4,144,36,24,-0.904,0.07000000000000006,2.0,66,42,24,12
5.0,0.006,direct_small_x,direct A=2k-2 sigma=0.25,144,36,24,-0.904,0.07000000000000006,2.0,66,42,24,12
5.0,0.006,direct_small_x,direct sigma=0.25,144,36,21,-0.904,0.07000000000000006,2.0,66,42,21,15
5.0,0.006,direct_small_x,direct sigma=0.75,144,36,27,-0.904,0.07000000000000006,2.0,66,42,27,9
5.0,0.006,markov_baseline,baseline A=2k,144,36,15,-0.904,0.07000000000000006,2.0,66,42,15,21
5.0,0.006,stratified_weighted,stratified A=2k-4 W=q,144,36,21,-0.904,0.07000000000000006,2.0,66,42,21,15
5.0,0.006,stratified_weighted,stratified A=2k-4 W=q^-1,144,36,27,-0.904,0.07000000000000006,2.0,66,42,27,9
5.0,0.01,coefficient_variation,CV A=2k-2,144,21,10,-0.76,0.54,2.0,66,57,10,11
5.0,0.01,coefficient_variation,CV A=2k-4,144,21,11,-0.76,0.54,2.0,66,57,11,10
5.0,0.01,direct_small_x,direct A=2k-2 sigma=0.25,144,21,11,-0.76,0.54,2.0,66,57,11,10
5.0,0.01,direct_small_x,direct sigma=0.25,144,21,10,-0.76,0.54,2.0,66,57,10,11
5.0,0.01,direct_small_x,direct sigma=0.75,144,21,14,-0.76,0.54,2.0,66,57,14,7
5.0,0.01,markov_baseline,baseline A=2k,144,21,6,-0.76,0.54,2.0,66,57,6,15
5.0,0.01,stratified_weighted,stratified A=2k-4 W=q,144,21,10,-0.76,0.54,2.0,66,57,10,11
5.0,0.01,stratified_weighted,stratified A=2k-4 W=q^-1,144,21,14,-0.76,0.54,2.0,66,57,14,7
8.0,0.004,coefficient_variation,CV A=2k-2,144,45,15,-0.892,0.6160000000000001,3.5,66,33,15,30
8.0,0.004,coefficient_variation,CV A=2k-4,144,45,18,-0.892,0.6160000000000001,3.5,66,33,18,27
8.0,0.004,direct_small_x,direct A=2k-2 sigma=0.25,144,45,20,-0.892,0.6160000000000001,3.5,66,33,20,25
8.0,0.004,direct_small_x,direct sigma=0.25,144,45,15,-0.892,0.6160000000000001,3.5,66,33,15,30
8.0,0.004,direct_small_x,direct sigma=0.75,144,45,26,-0.892,0.6160000000000001,3.5,66,33,26,19
8.0,0.004,markov_baseline,baseline A=2k,144,45,15,-0.892,0.6160000000000001,3.5,66,33,15,30
8.0,0.004,stratified_weighted,stratified A=2k-4 W=q,144,45,15,-0.892,0.6160000000000001,3.5,66,33,15,30
8.0,0.004,stratified_weighted,stratified A=2k-4 W=q^-1,144,45,20,-0.892,0.6160000000000001,3.5,66,33,20,25
8.0,0.006,coefficient_variation,CV A=2k-2,144,36,10,-0.856,0.6700000000000002,3.5,66,42,10,26
8.0,0.006,coefficient_variation,CV A=2k-4,144,36,12,-0.856,0.6700000000000002,3.5,66,42,12,24
8.0,0.006,direct_small_x,direct A=2k-2 sigma=0.25,144,36,14,-0.856,0.6700000000000002,3.5,66,42,14,22
8.0,0.006,direct_small_x,direct sigma=0.25,144,36,10,-0.856,0.6700000000000002,3.5,66,42,10,26
8.0,0.006,direct_small_x,direct sigma=0.75,144,36,19,-0.856,0.6700000000000002,3.5,66,42,19,17
8.0,0.006,markov_baseline,baseline A=2k,144,36,10,-0.856,0.6700000000000002,3.5,66,42,10,26
8.0,0.006,stratified_weighted,stratified A=2k-4 W=q,144,36,10,-0.856,0.6700000000000002,3.5,66,42,10,26
8.0,0.006,stratified_weighted,stratified A=2k-4 W=q^-1,144,36,14,-0.856,0.6700000000000002,3.5,66,42,14,22
8.0,0.01,coefficient_variation,CV A=2k-2,144,21,3,-0.64,1.44,3.5,66,57,3,18
8.0,0.01,coefficient_variation,CV A=2k-4,144,21,3,-0.64,1.44,3.5,66,57,3,18
8.0,0.01,direct_small_x,direct A=2k-2 sigma=0.25,144,21,5,-0.64,1.44,3.5,66,57,5,16
8.0,0.01,direct_small_x,direct sigma=0.25,144,21,3,-0.64,1.44,3.5,66,57,3,18
8.0,0.01,direct_small_x,direct sigma=0.75,144,21,8,-0.64,1.44,3.5,66,57,8,13
8.0,0.01,markov_baseline,baseline A=2k,144,21,3,-0.64,1.44,3.5,66,57,3,18
8.0,0.01,stratified_weighted,stratified A=2k-4 W=q,144,21,3,-0.64,1.44,3.5,66,57,3,18
8.0,0.01,stratified_weighted,stratified A=2k-4 W=q^-1,144,21,5,-0.64,1.44,3.5,66,57,5,16
