regime,kappa,alpha_W,Delta_exponent_d,eta,beta_model,beta_model_parameter,endpoint_beating,support_valid,required_beta,hypothetical_beta,variance_exponent_no_beta,mean_exponent,chebyshev_success,local_window_success,theorem_plausibility_class
fixed_bulk_trace,3,0.004,0,0.1,constant,0.75,false,true,-0.4,0.75,1.6,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.1,constant,1.25,false,true,-0.4,1.25,1.6,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.1,linear,4,false,true,-0.4,0.4,1.6,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.1,linear,8,false,true,-0.4,0.8,1.6,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.1,linear,12,false,true,-0.4,1.2,1.6,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.1,saturation,0.5,false,true,-0.4,0.5,1.6,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.1,saturation,1,false,true,-0.4,1,1.6,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,no_new_saving,0,false,true,-0.1,0,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,constant,0.25,false,true,-0.1,0.25,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,constant,0.75,false,true,-0.1,0.75,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,constant,1.25,false,true,-0.1,1.25,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,linear,4,false,true,-0.1,0.6,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,linear,8,false,true,-0.1,1.2,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,linear,12,false,true,-0.1,1.8,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,saturation,0.5,false,true,-0.1,0.5,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.15,saturation,1,false,true,-0.1,1,1.9,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,no_new_saving,0,false,true,0.5,0,2.5,1,false,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,constant,0.25,false,true,0.5,0.25,2.5,1,false,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,constant,0.75,false,true,0.5,0.75,2.5,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,constant,1.25,false,true,0.5,1.25,2.5,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,linear,4,false,true,0.5,1,2.5,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,linear,8,false,true,0.5,2,2.5,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,linear,12,false,true,0.5,3,2.5,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,saturation,0.5,false,true,0.5,0.5,2.5,1,false,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0,0.25,saturation,1,false,true,0.5,1,2.5,1,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0,no_new_saving,0,false,false,-0.996,0,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0,constant,0.25,false,false,-0.996,0.25,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0,constant,0.75,false,false,-0.996,0.75,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0,constant,1.25,false,false,-0.996,1.25,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0,linear,4,false,false,-0.996,0,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0,linear,8,false,false,-0.996,0,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0,linear,12,false,false,-0.996,0,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0,saturation,0.5,false,false,-0.996,0,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0,saturation,1,false,false,-0.996,0,1,0.998,true,false,support_invalid
fixed_bulk_trace,3,0.004,0.002,0.002,no_new_saving,0,false,true,-0.984,0,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.002,constant,0.25,false,true,-0.984,0.25,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.002,constant,0.75,false,true,-0.984,0.75,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.002,constant,1.25,false,true,-0.984,1.25,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.002,linear,4,false,true,-0.984,0.008,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.002,linear,8,false,true,-0.984,0.016,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.002,linear,12,false,true,-0.984,0.024,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.002,saturation,0.5,false,true,-0.984,0.02,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.002,saturation,1,false,true,-0.984,0.02,1.012,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,no_new_saving,0,false,true,-0.972,0,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,constant,0.25,false,true,-0.972,0.25,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,constant,0.75,false,true,-0.972,0.75,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,constant,1.25,false,true,-0.972,1.25,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,linear,4,false,true,-0.972,0.016,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,linear,8,false,true,-0.972,0.032,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,linear,12,false,true,-0.972,0.048,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,saturation,0.5,false,true,-0.972,0.04,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.004,saturation,1,false,true,-0.972,0.04,1.024,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,no_new_saving,0,false,true,-0.96,0,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,constant,0.25,false,true,-0.96,0.25,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,constant,0.75,false,true,-0.96,0.75,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,constant,1.25,false,true,-0.96,1.25,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,linear,4,false,true,-0.96,0.024,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,linear,8,false,true,-0.96,0.048,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,linear,12,false,true,-0.96,0.072,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,saturation,0.5,false,true,-0.96,0.06,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.006,saturation,1,false,true,-0.96,0.06,1.036,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,no_new_saving,0,false,true,-0.948,0,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,constant,0.25,false,true,-0.948,0.25,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,constant,0.75,false,true,-0.948,0.75,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,constant,1.25,false,true,-0.948,1.25,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,linear,4,false,true,-0.948,0.032,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,linear,8,false,true,-0.948,0.064,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,linear,12,false,true,-0.948,0.096,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,saturation,0.5,false,true,-0.948,0.08,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.008,saturation,1,false,true,-0.948,0.08,1.048,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,no_new_saving,0,false,true,-0.936,0,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,constant,0.25,false,true,-0.936,0.25,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,constant,0.75,false,true,-0.936,0.75,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,constant,1.25,false,true,-0.936,1.25,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,linear,4,false,true,-0.936,0.04,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,linear,8,false,true,-0.936,0.08,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,linear,12,false,true,-0.936,0.12,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,saturation,0.5,false,true,-0.936,0.1,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.01,saturation,1,false,true,-0.936,0.1,1.06,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,no_new_saving,0,false,true,-0.876,0,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,constant,0.25,false,true,-0.876,0.25,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,constant,0.75,false,true,-0.876,0.75,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,constant,1.25,false,true,-0.876,1.25,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,linear,4,false,true,-0.876,0.08,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,linear,8,false,true,-0.876,0.16,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,linear,12,false,true,-0.876,0.24,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,saturation,0.5,false,true,-0.876,0.2,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.02,saturation,1,false,true,-0.876,0.2,1.12,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,no_new_saving,0,false,true,-0.696,0,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,constant,0.25,false,true,-0.696,0.25,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,constant,0.75,false,true,-0.696,0.75,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,constant,1.25,false,true,-0.696,1.25,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,linear,4,false,true,-0.696,0.2,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,linear,8,false,true,-0.696,0.4,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,linear,12,false,true,-0.696,0.6,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,saturation,0.5,false,true,-0.696,0.5,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.05,saturation,1,false,true,-0.696,0.5,1.3,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,no_new_saving,0,false,true,-0.516,0,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,constant,0.25,false,true,-0.516,0.25,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,constant,0.75,false,true,-0.516,0.75,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,constant,1.25,false,true,-0.516,1.25,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,linear,4,false,true,-0.516,0.32,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,linear,8,false,true,-0.516,0.64,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,linear,12,false,true,-0.516,0.96,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,saturation,0.5,false,true,-0.516,0.5,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.08,saturation,1,false,true,-0.516,0.8,1.48,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,no_new_saving,0,false,true,-0.396,0,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,constant,0.25,false,true,-0.396,0.25,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,constant,0.75,false,true,-0.396,0.75,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,constant,1.25,false,true,-0.396,1.25,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,linear,4,false,true,-0.396,0.4,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,linear,8,false,true,-0.396,0.8,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,linear,12,false,true,-0.396,1.2,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,saturation,0.5,false,true,-0.396,0.5,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.1,saturation,1,false,true,-0.396,1,1.6,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,no_new_saving,0,false,true,-0.096,0,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,constant,0.25,false,true,-0.096,0.25,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,constant,0.75,false,true,-0.096,0.75,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,constant,1.25,false,true,-0.096,1.25,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,linear,4,false,true,-0.096,0.6,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,linear,8,false,true,-0.096,1.2,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,linear,12,false,true,-0.096,1.8,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,saturation,0.5,false,true,-0.096,0.5,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.15,saturation,1,false,true,-0.096,1,1.9,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,no_new_saving,0,false,true,0.504,0,2.5,0.998,false,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,constant,0.25,false,true,0.504,0.25,2.5,0.998,false,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,constant,0.75,false,true,0.504,0.75,2.5,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,constant,1.25,false,true,0.504,1.25,2.5,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,linear,4,false,true,0.504,1,2.5,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,linear,8,false,true,0.504,2,2.5,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,linear,12,false,true,0.504,3,2.5,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,saturation,0.5,false,true,0.504,0.5,2.5,0.998,false,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.002,0.25,saturation,1,false,true,0.504,1,2.5,0.998,true,false,not_endpoint_beating
fixed_bulk_trace,3,0.004,0.004,0,no_new_saving,0,false,false,-0.992,0,1,0.996,true,false,support_invalid
