family,L,V,constraint_counts,log_coeff_order,log_coefficient,abs_log_coefficient,nearest_singularity_scale,mechanism_note
rank2_balanced_profile,3,5,3;3,2,-10,10,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,3,5,3;3,3,-82/3,82/3,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,3,5,3;3,4,-80,80,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,3,3,3;3,1,3,3,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,3,3,3;3,2,5/2,5/2,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,3,3,3;3,3,3,3,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,3,3,3;3,4,17/4,17/4,1/2,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,3,8,3;3;3;3,1,-16,16,1/7,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,3,8,3;3;3;3,2,-60,60,1/7,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,3,8,3;3;3;3,3,-748/3,748/3,1/7,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,3,8,3;3;3;3,4,-1152,1152,1/7,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,4,4,4,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,4,4,4,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,4,4,4,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,4,4,4,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,4,5,4,1,-4,4,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,4,5,4,2,-8,8,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,4,5,4,3,-64/3,64/3,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,4,5,4,4,-64,64,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,4,7,4;4,1,-9,9,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,4,7,4;4,2,-63/2,63/2,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,4,7,4;4,3,-123,123,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,4,7,4;4,4,-2079/4,2079/4,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,4,5,4;4,1,2,2,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,4,5,4;4,2,-1,1,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,4,5,4;4,3,-28/3,28/3,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,4,5,4;4,4,-79/2,79/2,1/4,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,4,12,4;4;4;4,1,-42,42,1/11,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,4,12,4;4;4;4,2,-225,225,1/11,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,4,12,4;4;4;4,3,-1404,1404,1/11,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,4,12,4;4;4;4,4,-19791/2,19791/2,1/11,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,5,5,5,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,5,5,5,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,5,5,5,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,5,5,5,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,5,6,5,1,-5,5,1/5,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,5,6,5,2,-25/2,25/2,1/5,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,5,6,5,3,-125/3,125/3,1/5,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,5,6,5,4,-625/4,625/4,1/5,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,5,9,5;5,1,-16,16,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,5,9,5;5,2,-72,72,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,5,9,5;5,3,-1096/3,1096/3,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,5,9,5;5,4,-2016,2016,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,5,7,5;5,1,-1,1,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,5,7,5;5,2,-31/2,31/2,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,5,7,5;5,3,-241/3,241/3,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,5,7,5;5,4,-1567/4,1567/4,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,5,16,5;5;5;5,1,-80,80,1/15,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,5,16,5;5;5;5,2,-560,560,1/15,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,5,16,5;5;5;5,3,-14000/3,14000/3,1/15,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,5,16,5;5;5;5,4,-44224,44224,1/15,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,6,6,6,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,6,6,6,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,6,6,6,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,6,6,6,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,6,7,6,1,-6,6,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,6,7,6,2,-18,18,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,6,7,6,3,-72,72,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,6,7,6,4,-324,324,1/6,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,6,11,6;6,1,-25,25,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,6,11,6;6,2,-275/2,275/2,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,6,11,6;6,3,-2575/3,2575/3,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,6,11,6;6,4,-23375/4,23375/4,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,6,9,6;6,1,-6,6,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,6,9,6;6,2,-47,47,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,6,9,6;6,3,-282,282,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,6,9,6;6,4,-3407/2,3407/2,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,6,20,6;6;6;6,1,-130,130,1/19,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,6,20,6;6;6;6,2,-1125,1125,1/19,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,6,20,6;6;6;6,3,-35200/3,35200/3,1/19,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,6,20,6;6;6;6,4,-279375/2,279375/2,1/19,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,7,7,7,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,7,7,7,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,7,7,7,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,7,7,7,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,7,8,7,1,-7,7,1/7,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,7,8,7,2,-49/2,49/2,1/7,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,7,8,7,3,-343/3,343/3,1/7,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,7,8,7,4,-2401/4,2401/4,1/7,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,7,13,7;7,1,-36,36,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,7,13,7;7,2,-234,234,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,7,13,7;7,3,-1734,1734,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,7,13,7;7,4,-14040,14040,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,7,11,7;7,1,-13,13,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,7,11,7;7,2,-203/2,203/2,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,7,11,7;7,3,-2143/3,2143/3,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,7,11,7;7,4,-20783/4,20783/4,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,7,24,7;7;7;7,1,-192,192,1/23,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,7,24,7;7;7;7,2,-1980,1980,1/23,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,7,24,7;7;7;7,3,-24804,24804,1/23,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,7,24,7;7;7;7,4,-355536,355536,1/23,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,8,8,8,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,8,8,8,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,8,8,8,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,8,8,8,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,8,9,8,1,-8,8,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,8,9,8,2,-32,32,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,8,9,8,3,-512/3,512/3,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,8,9,8,4,-1024,1024,1/8,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,8,15,8;8,1,-49,49,1/14,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,8,15,8;8,2,-735/2,735/2,1/14,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,8,15,8;8,3,-9457/3,9457/3,1/14,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,8,15,8;8,4,-118335/4,118335/4,1/14,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,8,13,8;8,1,-22,22,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,8,13,8;8,2,-185,185,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,8,13,8;8,3,-4516/3,4516/3,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,8,13,8;8,4,-25679/2,25679/2,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,8,28,8;8;8;8,1,-266,266,1/27,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,8,28,8;8;8;8,2,-3185,3185,1/27,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,8,28,8;8;8;8,3,-139748/3,139748/3,1/27,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,8,28,8;8;8;8,4,-1561679/2,1561679/2,1/27,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,9,9,9,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,9,9,9,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,9,9,9,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,9,9,9,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,9,10,9,1,-9,9,1/9,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,9,10,9,2,-81/2,81/2,1/9,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,9,10,9,3,-243,243,1/9,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,9,10,9,4,-6561/4,6561/4,1/9,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,9,17,9;9,1,-64,64,1/16,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,9,17,9;9,2,-544,544,1/16,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,9,17,9;9,3,-15904/3,15904/3,1/16,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,9,17,9;9,4,-56576,56576,1/16,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,9,15,9;9,1,-33,33,1/14,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,9,15,9;9,2,-607/2,607/2,1/14,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,9,15,9;9,3,-2811,2811,1/14,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,9,15,9;9,4,-110143/4,110143/4,1/14,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,9,32,9;9;9;9,1,-352,352,1/31,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,9,32,9;9;9;9,2,-4800,4800,1/31,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,9,32,9;9;9;9,3,-240832/3,240832/3,1/31,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,9,32,9;9;9;9,4,-1540608,1540608,1/31,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,10,10,10,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,10,10,10,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,10,10,10,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,10,10,10,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,10,11,10,1,-10,10,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,10,11,10,2,-50,50,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,10,11,10,3,-1000/3,1000/3,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,10,11,10,4,-2500,2500,1/10,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,10,19,10;10,1,-81,81,1/18,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,10,19,10;10,2,-1539/2,1539/2,1/18,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,10,19,10;10,3,-8397,8397,1/18,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,10,19,10;10,4,-401679/4,401679/4,1/18,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,10,17,10;10,1,-46,46,1/16,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,10,17,10;10,2,-463,463,1/16,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,10,17,10;10,3,-14446/3,14446/3,1/16,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,10,17,10;10,4,-106591/2,106591/2,1/16,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,10,36,10;10;10;10,1,-450,450,1/35,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,10,36,10;10;10;10,2,-6885,6885,1/35,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,10,36,10;10;10;10,3,-129600,129600,1/35,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,10,36,10;10;10;10,4,-5603823/2,5603823/2,1/35,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,11,11,11,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,11,11,11,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,11,11,11,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,11,11,11,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,11,12,11,1,-11,11,1/11,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,11,12,11,2,-121/2,121/2,1/11,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,11,12,11,3,-1331/3,1331/3,1/11,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,11,12,11,4,-14641/4,14641/4,1/11,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,11,21,11;11,1,-100,100,1/20,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,11,21,11;11,2,-1050,1050,1/20,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,11,21,11;11,3,-38050/3,38050/3,1/20,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,11,21,11;11,4,-168000,168000,1/20,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,11,19,11;11,1,-61,61,1/18,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,11,19,11;11,2,-1339/2,1339/2,1/18,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,11,19,11;11,3,-23191/3,23191/3,1/18,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,11,19,11;11,4,-381679/4,381679/4,1/18,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,11,40,11;11;11;11,1,-560,560,1/39,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,11,40,11;11;11;11,2,-9500,9500,1/39,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,11,40,11;11;11;11,3,-596300/3,596300/3,1/39,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,11,40,11;11;11;11,4,-4780000,4780000,1/39,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,12,12,12,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,12,12,12,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,12,12,12,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,12,12,12,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,12,13,12,1,-12,12,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,12,13,12,2,-72,72,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,12,13,12,3,-576,576,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,12,13,12,4,-5184,5184,1/12,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,12,23,12;12,1,-121,121,1/22,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,12,23,12;12,2,-2783/2,2783/2,1/22,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,12,23,12;12,3,-55297/3,55297/3,1/22,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,12,23,12;12,4,-1071455/4,1071455/4,1/22,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,12,21,12;12,1,-78,78,1/20,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,12,21,12;12,2,-929,929,1/20,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,12,21,12;12,3,-11796,11796,1/20,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,12,21,12;12,4,-321359/2,321359/2,1/20,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,12,44,12;12;12;12,1,-682,682,1/43,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,12,44,12;12;12;12,2,-12705,12705,1/43,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,12,44,12;12;12;12,3,-877492/3,877492/3,1/43,sum_B j^r - sum_A j^r over indices up to O(L)
rank4_delocalization_toy_s4,12,44,12;12;12;12,4,-15488847/2,15488847/2,1/43,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,13,13,13,1,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,13,13,13,2,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,13,13,13,3,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_cycle_profile,13,13,13,4,0,0,,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,13,14,13,1,-13,13,1/13,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,13,14,13,2,-169/2,169/2,1/13,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,13,14,13,3,-2197/3,2197/3,1/13,sum_B j^r - sum_A j^r over indices up to O(L)
single_label_path_profile,13,14,13,4,-28561/4,28561/4,1/13,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,13,25,13;13,1,-144,144,1/24,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,13,25,13;13,2,-1800,1800,1/24,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,13,25,13;13,3,-25944,25944,1/24,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_balanced_profile,13,25,13;13,4,-410400,410400,1/24,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,13,23,13;13,1,-97,97,1/22,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,13,23,13;13,2,-2495/2,2495/2,1/22,sum_B j^r - sum_A j^r over indices up to O(L)
rank2_deficit_k3,13,23,13;13,3,-51841/3,51841/3,1/22,sum_B j^r - sum_A j^r over indices up to O(L)
