k,n,mean_normalized_trace,tree_moment,mean_centered_trace,variance_centered_trace,std_centered_trace,trials,loglog_variance_slope_for_k,reference_slope_n_minus_1,reference_slope_n_minus_2,variance_status
3,320,0.23072916666666687,0,0.23072916666666687,0.010600939764492546,0.10296086520854682,24,-1.9357489158992287,-1.0,-2.0,compatible_with_n_minus_2_or_better
4,80,31.900000000000002,28,3.9000000000000017,1.1104891304347813,1.053797480749874,24,-1.716330188022104,-1.0,-2.0,compatible_with_n_minus_2_or_better
4,140,30.114285714285714,28,2.114285714285716,0.4954569653948509,0.7038870402236789,24,-1.716330188022104,-1.0,-2.0,compatible_with_n_minus_2_or_better
4,220,29.48030303030303,28,1.4803030303030311,0.16201700802491417,0.40251336378425273,24,-1.716330188022104,-1.0,-2.0,compatible_with_n_minus_2_or_better
4,320,28.952604166666674,28,0.9526041666666726,0.11618857563406372,0.3408644534621698,24,-1.716330188022104,-1.0,-2.0,compatible_with_n_minus_2_or_better
5,80,13.374999999999995,0,13.374999999999995,20.569673913043538,4.535380239080681,24,-2.013392662000061,-1.0,-2.0,compatible_with_n_minus_2_or_better
5,140,7.335714285714279,0,7.335714285714279,9.949299023957359,3.1542509449879472,24,-2.013392662000061,-1.0,-2.0,compatible_with_n_minus_2_or_better
5,220,5.283333333333332,0,5.283333333333332,3.5391783447119107,1.881270407121717,24,-2.013392662000061,-1.0,-2.0,compatible_with_n_minus_2_or_better
5,320,3.508593750000005,0,3.508593750000005,1.2553797978939931,1.1204373243934678,24,-2.013392662000061,-1.0,-2.0,compatible_with_n_minus_2_or_better
6,80,293.60937500000006,232,61.60937500000002,174.97591372282562,13.227846148289812,24,-1.7616289255516164,-1.0,-2.0,compatible_with_n_minus_2_or_better
6,140,265.90000000000003,232,33.90000000000002,76.11437444542983,8.724355245256227,24,-1.7616289255516164,-1.0,-2.0,compatible_with_n_minus_2_or_better
6,220,255.382196969697,232,23.382196969696977,24.25191145646172,4.924622976072556,24,-1.7616289255516164,-1.0,-2.0,compatible_with_n_minus_2_or_better
6,320,247.34322916666676,232,15.343229166666731,17.232842787591544,4.1512459319572415,24,-1.7616289255516164,-1.0,-2.0,compatible_with_n_minus_2_or_better
7,80,210.67916666666665,0,210.67916666666665,2797.024547101459,52.88690336086486,24,-2.0784864811198522,-1.0,-2.0,compatible_with_n_minus_2_or_better
7,140,118.22619047619038,0,118.22619047619038,1443.0690091688716,37.9877481455386,24,-2.0784864811198522,-1.0,-2.0,compatible_with_n_minus_2_or_better
7,220,81.8875,0,81.8875,467.57021784045503,21.623372027518165,24,-2.0784864811198522,-1.0,-2.0,compatible_with_n_minus_2_or_better
7,320,54.2468750000001,0,54.2468750000001,157.93327785325639,12.567150745226874,24,-2.0784864811198522,-1.0,-2.0,compatible_with_n_minus_2_or_better
8,80,3050.0750000000003,2092,958.0750000000004,28010.92288043465,167.36464047233707,24,-1.8344875809647523,-1.0,-2.0,compatible_with_n_minus_2_or_better
8,140,2625.1666666666665,2092,533.1666666666669,11293.322123631913,106.27004339714891,24,-1.8344875809647523,-1.0,-2.0,compatible_with_n_minus_2_or_better
8,220,2452.986363636364,2092,360.9863636363637,3544.015738411732,59.531636449972815,24,-1.8344875809647523,-1.0,-2.0,compatible_with_n_minus_2_or_better
8,320,2332.3255208333344,2092,240.32552083333437,2487.636983412751,49.87621661085322,24,-1.8344875809647523,-1.0,-2.0,compatible_with_n_minus_2_or_better
9,80,3331.1770833333335,0,3331.1770833333335,388491.33298460284,623.2907291020803,24,-2.1246584963648836,-1.0,-2.0,compatible_with_n_minus_2_or_better
9,140,1894.5994047619035,0,1894.5994047619035,211335.059174428,459.71193064181836,24,-2.1246584963648836,-1.0,-2.0,compatible_with_n_minus_2_or_better
9,220,1279.114015151515,0,1279.114015151515,64004.703729637375,252.99150920463197,24,-2.1246584963648836,-1.0,-2.0,compatible_with_n_minus_2_or_better
9,320,850.4752604166682,0,850.4752604166682,20748.805480567313,144.04445661172565,24,-2.1246584963648836,-1.0,-2.0,compatible_with_n_minus_2_or_better
10,80,34751.76666666667,19864,14887.766666666676,4474231.039492725,2115.2378210245593,24,-1.902885150486193,-1.0,-2.0,compatible_with_n_minus_2_or_better
10,140,28212.246428571427,19864,8348.24642857143,1663640.7116814211,1289.8219689869688,24,-1.902885150486193,-1.0,-2.0,compatible_with_n_minus_2_or_better
10,220,25428.647727272724,19864,5564.647727272725,519118.190673716,720.4985709033127,24,-1.902885150486193,-1.0,-2.0,compatible_with_n_minus_2_or_better
10,320,23606.233593750014,19864,3742.233593750014,359778.7145713994,599.8155671299298,24,-1.902885150486193,-1.0,-2.0,compatible_with_n_minus_2_or_better
