alpha_label,lambda_model,alpha_kind,alpha,lambda_power,energy_label,lambda_growth_exponent,set_volume_exponent_a,small_set_mass_exponent,small_set_bound_nontrivial,effective_support_exponent,support_fraction_exponent_vs_cover,classification
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,fixed_low_energy,0.0,0.75,0.738,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,fixed_low_energy,0.0,1.0,0.988,False,0.012,-0.988,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,bulk_fixed,0.0,-1.0,-1.012,True,0.012,-0.988,nontrivial_mass_delocalization
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,bulk_fixed,0.0,0.0,-0.012,True,0.012,-0.988,nontrivial_mass_delocalization
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,bulk_fixed,0.0,0.05,0.038000000000000006,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,bulk_fixed,0.0,0.1,0.08800000000000001,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,bulk_fixed,0.0,0.25,0.238,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,bulk_fixed,0.0,0.5,0.488,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,bulk_fixed,0.0,0.75,0.738,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,bulk_fixed,0.0,1.0,0.988,False,0.012,-0.988,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,mild_growth,0.05,-1.0,-0.862,True,-0.138,-1.138,nontrivial_mass_delocalization
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,mild_growth,0.05,0.0,0.138,False,-0.138,-1.138,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,mild_growth,0.05,0.05,0.18800000000000003,False,-0.138,-1.138,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,mild_growth,0.05,0.1,0.23800000000000004,False,-0.138,-1.138,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,mild_growth,0.05,0.25,0.388,False,-0.138,-1.138,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,mild_growth,0.05,0.5,0.638,False,-0.138,-1.138,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,mild_growth,0.05,0.75,0.888,False,-0.138,-1.138,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,mild_growth,0.05,1.0,1.138,False,-0.138,-1.138,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,high_growth,0.2,-1.0,-0.4119999999999999,True,-0.5880000000000001,-1.588,nontrivial_mass_delocalization
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,high_growth,0.2,0.0,0.5880000000000001,False,-0.5880000000000001,-1.588,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,high_growth,0.2,0.05,0.6380000000000001,False,-0.5880000000000001,-1.588,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,high_growth,0.2,0.1,0.6880000000000001,False,-0.5880000000000001,-1.588,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,high_growth,0.2,0.25,0.8380000000000001,False,-0.5880000000000001,-1.588,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,high_growth,0.2,0.5,1.088,False,-0.5880000000000001,-1.588,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,high_growth,0.2,0.75,1.338,False,-0.5880000000000001,-1.588,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,high_growth,0.2,1.0,1.588,False,-0.5880000000000001,-1.588,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,fixed_low_energy,0.0,-1.0,-1.024,True,0.024,-0.976,nontrivial_mass_delocalization
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,fixed_low_energy,0.0,0.0,-0.024,True,0.024,-0.976,nontrivial_mass_delocalization
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,fixed_low_energy,0.0,0.05,0.026000000000000002,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,fixed_low_energy,0.0,0.1,0.07600000000000001,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,fixed_low_energy,0.0,0.25,0.226,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,fixed_low_energy,0.0,0.5,0.476,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,fixed_low_energy,0.0,0.75,0.726,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,fixed_low_energy,0.0,1.0,0.976,False,0.024,-0.976,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,bulk_fixed,0.0,-1.0,-1.024,True,0.024,-0.976,nontrivial_mass_delocalization
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,bulk_fixed,0.0,0.0,-0.024,True,0.024,-0.976,nontrivial_mass_delocalization
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,bulk_fixed,0.0,0.05,0.026000000000000002,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,bulk_fixed,0.0,0.1,0.07600000000000001,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,bulk_fixed,0.0,0.25,0.226,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,bulk_fixed,0.0,0.5,0.476,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,bulk_fixed,0.0,0.75,0.726,False,0.024,-0.976,standard_interpolation
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,bulk_fixed,0.0,1.0,0.976,False,0.024,-0.976,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,mild_growth,0.05,-1.0,-0.994,True,-0.005999999999999998,-1.006,nontrivial_mass_delocalization
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,mild_growth,0.05,0.0,0.005999999999999998,False,-0.005999999999999998,-1.006,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,mild_growth,0.05,0.05,0.056,False,-0.005999999999999998,-1.006,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,mild_growth,0.05,0.1,0.10600000000000001,False,-0.005999999999999998,-1.006,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,mild_growth,0.05,0.25,0.256,False,-0.005999999999999998,-1.006,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,mild_growth,0.05,0.5,0.506,False,-0.005999999999999998,-1.006,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,mild_growth,0.05,0.75,0.756,False,-0.005999999999999998,-1.006,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,mild_growth,0.05,1.0,1.006,False,-0.005999999999999998,-1.006,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,high_growth,0.2,-1.0,-0.904,True,-0.096,-1.096,nontrivial_mass_delocalization
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,high_growth,0.2,0.0,0.096,False,-0.096,-1.096,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,high_growth,0.2,0.05,0.146,False,-0.096,-1.096,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,high_growth,0.2,0.1,0.196,False,-0.096,-1.096,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,high_growth,0.2,0.25,0.346,False,-0.096,-1.096,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,high_growth,0.2,0.5,0.596,False,-0.096,-1.096,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,high_growth,0.2,0.75,0.846,False,-0.096,-1.096,bookkeeping_only
remark_interpolation_representative,remark_lambda_1_over_4_plus_eps,proved_shape_distinct_alpha,0.012,0.3,high_growth,0.2,1.0,1.096,False,-0.096,-1.096,bookkeeping_only
