len_u,len_v,relation_class,basepoint_mode,representative_u,representative_v,base_vertices,base_c_a,base_c_b,base_exponent,base_partial_injection,exhaustive_quotient_check,quotient_templates_checked,partial_injection_failure_templates,max_admissible_quotient_exponent,proof_bound,passes_exponent_bound
2,4,generic,same,aa,aaab,5,5,1,-1,False,True,52,50,-1,0,True
2,4,generic,distinct,aa,aaab,6,5,1,0,True,True,203,194,0,0,True
2,4,shared_power,same,aa,aaaa,5,6,0,-1,False,True,52,50,0,0,True
2,4,shared_power,distinct,aa,aaaa,6,6,0,0,True,True,203,196,0,0,True
2,5,generic,same,aa,aaaab,6,6,1,-1,False,True,203,201,-1,0,True
2,5,generic,distinct,aa,aaaab,7,6,1,0,True,True,877,866,0,0,True
2,5,shared_power,same,aa,aaaaa,6,7,0,-1,False,True,203,202,0,0,True
2,5,shared_power,distinct,aa,aaaaa,7,7,0,0,True,True,877,873,0,0,True
2,6,generic,same,aa,aaaaab,7,7,1,-1,False,True,877,875,-1,0,True
2,6,generic,distinct,aa,aaaaab,8,7,1,0,True,True,4140,4127,0,0,True
2,6,shared_power,same,aa,aaaaaa,7,8,0,-1,False,True,877,875,0,0,True
2,6,shared_power,distinct,aa,aaaaaa,8,8,0,0,True,True,4140,4131,0,0,True
3,0,identity,same,aaa,id,0,0,0,-999,True,True,1,0,-999,-999,True
3,0,identity,distinct,aaa,id,0,0,0,-999,True,True,1,0,-999,-999,True
3,1,generic,same,aaa,b,3,3,1,-1,True,True,5,3,-1,0,True
3,1,generic,distinct,aaa,b,4,3,1,0,True,True,15,11,0,0,True
3,1,shared_power,same,aaa,a,3,4,0,-1,False,True,5,4,0,0,True
3,1,shared_power,distinct,aaa,a,4,4,0,0,True,True,15,13,0,0,True
3,2,generic,same,aaa,ab,4,4,1,-1,False,True,15,13,-1,0,True
3,2,generic,distinct,aaa,ab,5,4,1,0,True,True,52,46,0,0,True
3,2,shared_power,same,aaa,aa,4,5,0,-1,False,True,15,14,0,0,True
3,2,shared_power,distinct,aaa,aa,5,5,0,0,True,True,52,48,0,0,True
3,3,cyclic_conjugate,same,aab,aba,5,4,2,-1,False,True,52,48,-1,0,True
3,3,cyclic_conjugate,distinct,aab,aba,6,4,2,0,True,True,203,187,0,0,True
3,3,generic,same,aaa,aab,5,5,1,-1,False,True,52,50,-1,0,True
3,3,generic,distinct,aaa,aab,6,5,1,0,True,True,203,195,0,0,True
3,3,inverse,same,aaa,aaa,5,6,0,-1,False,True,52,50,0,0,True
3,3,inverse,distinct,aaa,aaa,6,6,0,0,True,True,203,197,0,0,True
3,4,generic,same,aaa,aaab,6,6,1,-1,False,True,203,201,-1,0,True
3,4,generic,distinct,aaa,aaab,7,6,1,0,True,True,877,867,0,0,True
3,4,shared_power,same,aaa,aaaa,6,7,0,-1,False,True,203,202,0,0,True
3,4,shared_power,distinct,aaa,aaaa,7,7,0,0,True,True,877,871,0,0,True
3,5,generic,same,aaa,aaaab,7,7,1,-1,False,True,877,875,-1,0,True
3,5,generic,distinct,aaa,aaaab,8,7,1,0,True,True,4140,4128,0,0,True
3,5,shared_power,same,aaa,aaaaa,7,8,0,-1,False,True,877,876,0,0,True
3,5,shared_power,distinct,aaa,aaaaa,8,8,0,0,True,True,4140,4136,0,0,True
3,6,generic,same,aaa,aaaaab,8,8,1,-1,False,True,4140,4138,-1,0,True
3,6,generic,distinct,aaa,aaaaab,9,8,1,0,True,True,21147,21133,0,0,True
3,6,shared_power,same,aaa,aaaaaa,8,9,0,-1,False,True,4140,4138,0,0,True
3,6,shared_power,distinct,aaa,aaaaaa,9,9,0,0,True,True,21147,21137,0,0,True
4,0,identity,same,aaaa,id,0,0,0,-999,True,True,1,0,-999,-999,True
4,0,identity,distinct,aaaa,id,0,0,0,-999,True,True,1,0,-999,-999,True
4,1,generic,same,aaaa,b,4,4,1,-1,True,True,15,12,-1,0,True
4,1,generic,distinct,aaaa,b,5,4,1,0,True,True,52,45,0,0,True
4,1,shared_power,same,aaaa,a,4,5,0,-1,False,True,15,14,0,0,True
4,1,shared_power,distinct,aaaa,a,5,5,0,0,True,True,52,49,0,0,True
4,2,generic,same,aaaa,ab,5,5,1,-1,False,True,52,49,-1,0,True
4,2,generic,distinct,aaaa,ab,6,5,1,0,True,True,203,193,0,0,True
4,2,shared_power,same,aaaa,aa,5,6,0,-1,False,True,52,50,0,0,True
4,2,shared_power,distinct,aaaa,aa,6,6,0,0,True,True,203,196,0,0,True
4,3,generic,same,aaaa,aab,6,6,1,-1,False,True,203,200,-1,0,True
4,3,generic,distinct,aaaa,aab,7,6,1,0,True,True,877,864,0,0,True
4,3,shared_power,same,aaaa,aaa,6,7,0,-1,False,True,203,202,0,0,True
4,3,shared_power,distinct,aaaa,aaa,7,7,0,0,True,True,877,871,0,0,True
4,4,cyclic_conjugate,same,aaab,aaba,7,6,2,-1,False,True,877,872,-1,0,True
4,4,cyclic_conjugate,distinct,aaab,aaba,8,6,2,0,True,True,4140,4110,0,0,True
4,4,generic,same,aaaa,aaab,7,7,1,-1,False,True,877,874,-1,0,True
4,4,generic,distinct,aaaa,aaab,8,7,1,0,True,True,4140,4124,0,0,True
4,4,inverse,same,aaaa,aaaa,7,8,0,-1,False,True,877,874,0,0,True
4,4,inverse,distinct,aaaa,aaaa,8,8,0,0,True,True,4140,4127,0,0,True
4,5,generic,same,aaaa,aaaab,8,8,1,-1,False,True,4140,4137,-1,0,True
4,5,generic,distinct,aaaa,aaaab,9,8,1,0,True,True,21147,21128,0,0,True
4,5,shared_power,same,aaaa,aaaaa,8,9,0,-1,False,True,4140,4139,0,0,True
4,5,shared_power,distinct,aaaa,aaaaa,9,9,0,0,True,True,21147,21141,0,0,True
4,6,generic,same,aaaa,aaaaab,9,9,1,-1,False,False,0,0,0,0,True
4,6,generic,distinct,aaaa,aaaaab,10,9,1,0,True,False,0,0,0,0,True
4,6,shared_power,same,aaaa,aaaaaa,9,10,0,-1,False,False,0,0,0,0,True
4,6,shared_power,distinct,aaaa,aaaaaa,10,10,0,0,True,False,0,0,0,0,True
5,0,identity,same,aaaaa,id,0,0,0,-999,True,True,1,0,-999,-999,True
5,0,identity,distinct,aaaaa,id,0,0,0,-999,True,True,1,0,-999,-999,True
5,1,generic,same,aaaaa,b,5,5,1,-1,True,True,52,50,-1,0,True
5,1,generic,distinct,aaaaa,b,6,5,1,0,True,True,203,197,0,0,True
5,1,shared_power,same,aaaaa,a,5,6,0,-1,False,True,52,51,0,0,True
5,1,shared_power,distinct,aaaaa,a,6,6,0,0,True,True,203,201,0,0,True
5,2,generic,same,aaaaa,ab,6,6,1,-1,False,True,203,201,-1,0,True
5,2,generic,distinct,aaaaa,ab,7,6,1,0,True,True,877,869,0,0,True
5,2,shared_power,same,aaaaa,aa,6,7,0,-1,False,True,203,202,0,0,True
5,2,shared_power,distinct,aaaaa,aa,7,7,0,0,True,True,877,873,0,0,True
5,3,generic,same,aaaaa,aab,7,7,1,-1,False,True,877,875,-1,0,True
5,3,generic,distinct,aaaaa,aab,8,7,1,0,True,True,4140,4130,0,0,True
5,3,shared_power,same,aaaaa,aaa,7,8,0,-1,False,True,877,876,0,0,True
5,3,shared_power,distinct,aaaaa,aaa,8,8,0,0,True,True,4140,4136,0,0,True
5,4,generic,same,aaaaa,aaab,8,8,1,-1,False,True,4140,4138,-1,0,True
5,4,generic,distinct,aaaaa,aaab,9,8,1,0,True,True,21147,21135,0,0,True
5,4,shared_power,same,aaaaa,aaaa,8,9,0,-1,False,True,4140,4139,0,0,True
5,4,shared_power,distinct,aaaaa,aaaa,9,9,0,0,True,True,21147,21141,0,0,True
5,5,cyclic_conjugate,same,aaaab,aaaba,9,8,2,-1,False,False,0,0,0,0,True
5,5,cyclic_conjugate,distinct,aaaab,aaaba,10,8,2,0,True,False,0,0,0,0,True
5,5,generic,same,aaaaa,aaaab,9,9,1,-1,False,False,0,0,0,0,True
5,5,generic,distinct,aaaaa,aaaab,10,9,1,0,True,False,0,0,0,0,True
5,5,inverse,same,aaaaa,aaaaa,9,10,0,-1,False,False,0,0,0,0,True
5,5,inverse,distinct,aaaaa,aaaaa,10,10,0,0,True,False,0,0,0,0,True
5,6,generic,same,aaaaa,aaaaab,10,10,1,-1,False,False,0,0,0,0,True
5,6,generic,distinct,aaaaa,aaaaab,11,10,1,0,True,False,0,0,0,0,True
5,6,shared_power,same,aaaaa,aaaaaa,10,11,0,-1,False,False,0,0,0,0,True
5,6,shared_power,distinct,aaaaa,aaaaaa,11,11,0,0,True,False,0,0,0,0,True
6,0,identity,same,aaaaaa,id,0,0,0,-999,True,True,1,0,-999,-999,True
6,0,identity,distinct,aaaaaa,id,0,0,0,-999,True,True,1,0,-999,-999,True
6,1,generic,same,aaaaaa,b,6,6,1,-1,True,True,203,199,-1,0,True
6,1,generic,distinct,aaaaaa,b,7,6,1,0,True,True,877,865,0,0,True
6,1,shared_power,same,aaaaaa,a,6,7,0,-1,False,True,203,202,0,0,True
6,1,shared_power,distinct,aaaaaa,a,7,7,0,0,True,True,877,873,0,0,True
6,2,generic,same,aaaaaa,ab,7,7,1,-1,False,True,877,873,-1,0,True
6,2,generic,distinct,aaaaaa,ab,8,7,1,0,True,True,4140,4124,0,0,True
6,2,shared_power,same,aaaaaa,aa,7,8,0,-1,False,True,877,875,0,0,True
6,2,shared_power,distinct,aaaaaa,aa,8,8,0,0,True,True,4140,4131,0,0,True
6,3,generic,same,aaaaaa,aab,8,8,1,-1,False,True,4140,4136,-1,0,True
6,3,generic,distinct,aaaaaa,aab,9,8,1,0,True,True,21147,21127,0,0,True
6,3,shared_power,same,aaaaaa,aaa,8,9,0,-1,False,True,4140,4138,0,0,True
6,3,shared_power,distinct,aaaaaa,aaa,9,9,0,0,True,True,21147,21137,0,0,True
6,4,generic,same,aaaaaa,aaab,9,9,1,-1,False,False,0,0,0,0,True
6,4,generic,distinct,aaaaaa,aaab,10,9,1,0,True,False,0,0,0,0,True
6,4,shared_power,same,aaaaaa,aaaa,9,10,0,-1,False,False,0,0,0,0,True
6,4,shared_power,distinct,aaaaaa,aaaa,10,10,0,0,True,False,0,0,0,0,True
6,5,generic,same,aaaaaa,aaaab,10,10,1,-1,False,False,0,0,0,0,True
6,5,generic,distinct,aaaaaa,aaaab,11,10,1,0,True,False,0,0,0,0,True
6,5,shared_power,same,aaaaaa,aaaaa,10,11,0,-1,False,False,0,0,0,0,True
6,5,shared_power,distinct,aaaaaa,aaaaa,11,11,0,0,True,False,0,0,0,0,True
6,6,cyclic_conjugate,same,aaaaab,aaaaba,11,10,2,-1,False,False,0,0,0,0,True
6,6,cyclic_conjugate,distinct,aaaaab,aaaaba,12,10,2,0,True,False,0,0,0,0,True
6,6,generic,same,aaaaaa,aaaaab,11,11,1,-1,False,False,0,0,0,0,True
6,6,generic,distinct,aaaaaa,aaaaab,12,11,1,0,True,False,0,0,0,0,True
6,6,inverse,same,aaaaaa,aaaaaa,11,12,0,-1,False,False,0,0,0,0,True
6,6,inverse,distinct,aaaaaa,aaaaaa,12,12,0,0,True,False,0,0,0,0,True
