kappa,eta,mechanism,classification,stratum_type,A,A_offset_from_markov,sigma,denominator_loss_D,Lambda0_power,candidate_beta,markov_variance_exponent,signed_variance_exponent,survives_absolute_values,coefficient_variation_equivalent,independent_signed_target,paper_proved_success
3.0,0.05,coefficient_sign_variation_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.15,0.0,20,0.25,1.3,1.05,False,True,False,False
3.0,0.05,coefficient_sign_variation_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.15,0.0,20,0.25,1.3,1.05,False,True,False,False
3.0,0.05,x_zero_only_cancellation,range_blocked,special_point,4.0,2.0,0.35,0.0,20,0.44999999999999996,1.3,0.8500000000000001,False,False,False,False
3.0,0.05,off_range_reciprocal_cancellation,range_blocked,reciprocal_boundary,4.0,2.0,0.35,0.0,20,0.44999999999999996,1.3,0.8500000000000001,False,False,False,False
3.0,0.05,near_zero_denominator_signed_saving,denominator_blocked,denominator,4.0,2.0,0.6,1.0,20,-0.30000000000000004,1.3,1.6,False,False,False,False
3.0,0.05,schreier_pairing_transfer,toy_only,toy,4.0,2.0,0.35,0.0,20,0.44999999999999996,1.3,0.8500000000000001,False,False,False,False
3.0,0.08,surface_signed_pointwise_grouping,surface_theorem_target,all_terms,4.5,1.5,0.35,0.0,20,0.47,1.48,1.01,True,False,True,False
3.0,0.08,surface_signed_pointwise_grouping,surface_theorem_target,fixed_d,4.5,1.5,0.35,0.0,20,0.47,1.48,1.01,True,False,True,False
3.0,0.08,surface_signed_pointwise_grouping,surface_theorem_target,fixed_length,4.5,1.5,0.35,0.0,20,0.47,1.48,1.01,True,False,True,False
3.0,0.08,surface_signed_pointwise_grouping,surface_theorem_target,primitive_power,4.5,1.5,0.35,0.0,20,0.47,1.48,1.01,True,False,True,False
3.0,0.08,surface_signed_pointwise_grouping,surface_theorem_target,quotient_complexity,4.5,1.5,0.35,0.0,20,0.47,1.48,1.01,True,False,True,False
3.0,0.08,diagonal_offdiagonal_signed_balance,surface_theorem_target,all_terms,5.0,1.0,0.25,0.0,20,0.33,1.48,1.15,True,False,True,False
3.0,0.08,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_d,5.0,1.0,0.25,0.0,20,0.33,1.48,1.15,True,False,True,False
3.0,0.08,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_length,5.0,1.0,0.25,0.0,20,0.33,1.48,1.15,True,False,True,False
3.0,0.08,diagonal_offdiagonal_signed_balance,surface_theorem_target,primitive_power,5.0,1.0,0.25,0.0,20,0.33,1.48,1.15,True,False,True,False
3.0,0.08,diagonal_offdiagonal_signed_balance,surface_theorem_target,quotient_complexity,5.0,1.0,0.25,0.0,20,0.33,1.48,1.15,True,False,True,False
3.0,0.08,oscillatory_transform_phase,surface_theorem_target,all_terms,5.0,1.0,0.35,0.0,20,0.43,1.48,1.05,True,False,True,False
3.0,0.08,oscillatory_transform_phase,surface_theorem_target,fixed_d,5.0,1.0,0.35,0.0,20,0.43,1.48,1.05,True,False,True,False
3.0,0.08,oscillatory_transform_phase,surface_theorem_target,fixed_length,5.0,1.0,0.35,0.0,20,0.43,1.48,1.05,True,False,True,False
3.0,0.08,oscillatory_transform_phase,surface_theorem_target,primitive_power,5.0,1.0,0.35,0.0,20,0.43,1.48,1.05,True,False,True,False
3.0,0.08,oscillatory_transform_phase,surface_theorem_target,quotient_complexity,5.0,1.0,0.35,0.0,20,0.43,1.48,1.05,True,False,True,False
3.0,0.08,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.0,0.0,20,0.16,1.48,1.32,False,True,False,False
3.0,0.08,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.0,0.0,20,0.16,1.48,1.32,False,True,False,False
3.0,0.08,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.0,0.0,20,0.16,1.48,1.32,False,True,False,False
3.0,0.08,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.0,0.0,20,0.16,1.48,1.32,False,True,False,False
3.0,0.08,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.0,0.0,20,0.16,1.48,1.32,False,True,False,False
3.0,0.08,coefficient_sign_variation_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.15,0.0,20,0.31,1.48,1.17,False,True,False,False
3.0,0.08,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.15,0.0,20,0.31,1.48,1.17,False,True,False,False
3.0,0.08,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.15,0.0,20,0.31,1.48,1.17,False,True,False,False
3.0,0.08,coefficient_sign_variation_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.15,0.0,20,0.31,1.48,1.17,False,True,False,False
3.0,0.08,coefficient_sign_variation_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.15,0.0,20,0.31,1.48,1.17,False,True,False,False
3.0,0.08,x_zero_only_cancellation,range_blocked,special_point,4.0,2.0,0.35,0.0,20,0.51,1.48,0.97,False,False,False,False
3.0,0.08,off_range_reciprocal_cancellation,range_blocked,reciprocal_boundary,4.0,2.0,0.35,0.0,20,0.51,1.48,0.97,False,False,False,False
3.0,0.08,near_zero_denominator_signed_saving,denominator_blocked,denominator,4.0,2.0,0.6,1.0,20,-0.24,1.48,1.72,False,False,False,False
3.0,0.08,schreier_pairing_transfer,toy_only,toy,4.0,2.0,0.35,0.0,20,0.51,1.48,0.97,False,False,False,False
3.0,0.12,surface_signed_pointwise_grouping,surface_theorem_target,all_terms,4.5,1.5,0.35,0.0,20,0.53,1.72,1.19,True,False,True,False
3.0,0.12,surface_signed_pointwise_grouping,surface_theorem_target,fixed_d,4.5,1.5,0.35,0.0,20,0.53,1.72,1.19,True,False,True,False
3.0,0.12,surface_signed_pointwise_grouping,surface_theorem_target,fixed_length,4.5,1.5,0.35,0.0,20,0.53,1.72,1.19,True,False,True,False
3.0,0.12,surface_signed_pointwise_grouping,surface_theorem_target,primitive_power,4.5,1.5,0.35,0.0,20,0.53,1.72,1.19,True,False,True,False
3.0,0.12,surface_signed_pointwise_grouping,surface_theorem_target,quotient_complexity,4.5,1.5,0.35,0.0,20,0.53,1.72,1.19,True,False,True,False
3.0,0.12,diagonal_offdiagonal_signed_balance,surface_theorem_target,all_terms,5.0,1.0,0.25,0.0,20,0.37,1.72,1.35,True,False,True,False
3.0,0.12,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_d,5.0,1.0,0.25,0.0,20,0.37,1.72,1.35,True,False,True,False
3.0,0.12,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_length,5.0,1.0,0.25,0.0,20,0.37,1.72,1.35,True,False,True,False
3.0,0.12,diagonal_offdiagonal_signed_balance,surface_theorem_target,primitive_power,5.0,1.0,0.25,0.0,20,0.37,1.72,1.35,True,False,True,False
3.0,0.12,diagonal_offdiagonal_signed_balance,surface_theorem_target,quotient_complexity,5.0,1.0,0.25,0.0,20,0.37,1.72,1.35,True,False,True,False
3.0,0.12,oscillatory_transform_phase,surface_theorem_target,all_terms,5.0,1.0,0.35,0.0,20,0.47,1.72,1.25,True,False,True,False
3.0,0.12,oscillatory_transform_phase,surface_theorem_target,fixed_d,5.0,1.0,0.35,0.0,20,0.47,1.72,1.25,True,False,True,False
3.0,0.12,oscillatory_transform_phase,surface_theorem_target,fixed_length,5.0,1.0,0.35,0.0,20,0.47,1.72,1.25,True,False,True,False
3.0,0.12,oscillatory_transform_phase,surface_theorem_target,primitive_power,5.0,1.0,0.35,0.0,20,0.47,1.72,1.25,True,False,True,False
3.0,0.12,oscillatory_transform_phase,surface_theorem_target,quotient_complexity,5.0,1.0,0.35,0.0,20,0.47,1.72,1.25,True,False,True,False
3.0,0.12,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.0,0.0,20,0.24,1.72,1.48,False,True,False,False
3.0,0.12,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.0,0.0,20,0.24,1.72,1.48,False,True,False,False
3.0,0.12,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.0,0.0,20,0.24,1.72,1.48,False,True,False,False
3.0,0.12,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.0,0.0,20,0.24,1.72,1.48,False,True,False,False
3.0,0.12,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.0,0.0,20,0.24,1.72,1.48,False,True,False,False
3.0,0.12,coefficient_sign_variation_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.15,0.0,20,0.39,1.72,1.33,False,True,False,False
3.0,0.12,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.15,0.0,20,0.39,1.72,1.33,False,True,False,False
3.0,0.12,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.15,0.0,20,0.39,1.72,1.33,False,True,False,False
3.0,0.12,coefficient_sign_variation_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.15,0.0,20,0.39,1.72,1.33,False,True,False,False
3.0,0.12,coefficient_sign_variation_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.15,0.0,20,0.39,1.72,1.33,False,True,False,False
3.0,0.12,x_zero_only_cancellation,range_blocked,special_point,4.0,2.0,0.35,0.0,20,0.59,1.72,1.13,False,False,False,False
3.0,0.12,off_range_reciprocal_cancellation,range_blocked,reciprocal_boundary,4.0,2.0,0.35,0.0,20,0.59,1.72,1.13,False,False,False,False
3.0,0.12,near_zero_denominator_signed_saving,denominator_blocked,denominator,4.0,2.0,0.6,1.0,20,-0.16000000000000003,1.72,1.88,False,False,False,False
3.0,0.12,schreier_pairing_transfer,toy_only,toy,4.0,2.0,0.35,0.0,20,0.59,1.72,1.13,False,False,False,False
3.0,0.18,surface_signed_pointwise_grouping,surface_theorem_target,all_terms,4.5,1.5,0.35,0.0,20,0.62,2.08,1.46,True,False,True,False
3.0,0.18,surface_signed_pointwise_grouping,surface_theorem_target,fixed_d,4.5,1.5,0.35,0.0,20,0.62,2.08,1.46,True,False,True,False
3.0,0.18,surface_signed_pointwise_grouping,surface_theorem_target,fixed_length,4.5,1.5,0.35,0.0,20,0.62,2.08,1.46,True,False,True,False
3.0,0.18,surface_signed_pointwise_grouping,surface_theorem_target,primitive_power,4.5,1.5,0.35,0.0,20,0.62,2.08,1.46,True,False,True,False
3.0,0.18,surface_signed_pointwise_grouping,surface_theorem_target,quotient_complexity,4.5,1.5,0.35,0.0,20,0.62,2.08,1.46,True,False,True,False
3.0,0.18,diagonal_offdiagonal_signed_balance,surface_theorem_target,all_terms,5.0,1.0,0.25,0.0,20,0.43,2.08,1.6500000000000001,True,False,True,False
3.0,0.18,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_d,5.0,1.0,0.25,0.0,20,0.43,2.08,1.6500000000000001,True,False,True,False
3.0,0.18,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_length,5.0,1.0,0.25,0.0,20,0.43,2.08,1.6500000000000001,True,False,True,False
3.0,0.18,diagonal_offdiagonal_signed_balance,surface_theorem_target,primitive_power,5.0,1.0,0.25,0.0,20,0.43,2.08,1.6500000000000001,True,False,True,False
3.0,0.18,diagonal_offdiagonal_signed_balance,surface_theorem_target,quotient_complexity,5.0,1.0,0.25,0.0,20,0.43,2.08,1.6500000000000001,True,False,True,False
3.0,0.18,oscillatory_transform_phase,surface_theorem_target,all_terms,5.0,1.0,0.35,0.0,20,0.53,2.08,1.55,True,False,True,False
3.0,0.18,oscillatory_transform_phase,surface_theorem_target,fixed_d,5.0,1.0,0.35,0.0,20,0.53,2.08,1.55,True,False,True,False
3.0,0.18,oscillatory_transform_phase,surface_theorem_target,fixed_length,5.0,1.0,0.35,0.0,20,0.53,2.08,1.55,True,False,True,False
3.0,0.18,oscillatory_transform_phase,surface_theorem_target,primitive_power,5.0,1.0,0.35,0.0,20,0.53,2.08,1.55,True,False,True,False
3.0,0.18,oscillatory_transform_phase,surface_theorem_target,quotient_complexity,5.0,1.0,0.35,0.0,20,0.53,2.08,1.55,True,False,True,False
3.0,0.18,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.0,0.0,20,0.36,2.08,1.7200000000000002,False,True,False,False
3.0,0.18,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.0,0.0,20,0.36,2.08,1.7200000000000002,False,True,False,False
3.0,0.18,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.0,0.0,20,0.36,2.08,1.7200000000000002,False,True,False,False
3.0,0.18,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.0,0.0,20,0.36,2.08,1.7200000000000002,False,True,False,False
3.0,0.18,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.0,0.0,20,0.36,2.08,1.7200000000000002,False,True,False,False
3.0,0.18,coefficient_sign_variation_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.15,0.0,20,0.51,2.08,1.57,False,True,False,False
3.0,0.18,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.15,0.0,20,0.51,2.08,1.57,False,True,False,False
3.0,0.18,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.15,0.0,20,0.51,2.08,1.57,False,True,False,False
3.0,0.18,coefficient_sign_variation_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.15,0.0,20,0.51,2.08,1.57,False,True,False,False
3.0,0.18,coefficient_sign_variation_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.15,0.0,20,0.51,2.08,1.57,False,True,False,False
3.0,0.18,x_zero_only_cancellation,range_blocked,special_point,4.0,2.0,0.35,0.0,20,0.71,2.08,1.37,False,False,False,False
3.0,0.18,off_range_reciprocal_cancellation,range_blocked,reciprocal_boundary,4.0,2.0,0.35,0.0,20,0.71,2.08,1.37,False,False,False,False
3.0,0.18,near_zero_denominator_signed_saving,denominator_blocked,denominator,4.0,2.0,0.6,1.0,20,-0.040000000000000036,2.08,2.12,False,False,False,False
3.0,0.18,schreier_pairing_transfer,toy_only,toy,4.0,2.0,0.35,0.0,20,0.71,2.08,1.37,False,False,False,False
5.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,all_terms,8.5,1.5,0.35,0.0,20,0.38,1.2,0.82,True,False,True,False
5.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,fixed_d,8.5,1.5,0.35,0.0,20,0.38,1.2,0.82,True,False,True,False
5.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,fixed_length,8.5,1.5,0.35,0.0,20,0.38,1.2,0.82,True,False,True,False
5.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,primitive_power,8.5,1.5,0.35,0.0,20,0.38,1.2,0.82,True,False,True,False
5.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,quotient_complexity,8.5,1.5,0.35,0.0,20,0.38,1.2,0.82,True,False,True,False
5.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,all_terms,9.0,1.0,0.25,0.0,20,0.27,1.2,0.9299999999999999,True,False,True,False
5.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_d,9.0,1.0,0.25,0.0,20,0.27,1.2,0.9299999999999999,True,False,True,False
5.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_length,9.0,1.0,0.25,0.0,20,0.27,1.2,0.9299999999999999,True,False,True,False
5.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,primitive_power,9.0,1.0,0.25,0.0,20,0.27,1.2,0.9299999999999999,True,False,True,False
5.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,quotient_complexity,9.0,1.0,0.25,0.0,20,0.27,1.2,0.9299999999999999,True,False,True,False
5.0,0.02,oscillatory_transform_phase,surface_theorem_target,all_terms,9.0,1.0,0.35,0.0,20,0.37,1.2,0.83,True,False,True,False
5.0,0.02,oscillatory_transform_phase,surface_theorem_target,fixed_d,9.0,1.0,0.35,0.0,20,0.37,1.2,0.83,True,False,True,False
5.0,0.02,oscillatory_transform_phase,surface_theorem_target,fixed_length,9.0,1.0,0.35,0.0,20,0.37,1.2,0.83,True,False,True,False
5.0,0.02,oscillatory_transform_phase,surface_theorem_target,primitive_power,9.0,1.0,0.35,0.0,20,0.37,1.2,0.83,True,False,True,False
5.0,0.02,oscillatory_transform_phase,surface_theorem_target,quotient_complexity,9.0,1.0,0.35,0.0,20,0.37,1.2,0.83,True,False,True,False
5.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,all_terms,8.0,2.0,0.0,0.0,20,0.04,1.2,1.16,False,True,False,False
5.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_d,8.0,2.0,0.0,0.0,20,0.04,1.2,1.16,False,True,False,False
5.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_length,8.0,2.0,0.0,0.0,20,0.04,1.2,1.16,False,True,False,False
5.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,primitive_power,8.0,2.0,0.0,0.0,20,0.04,1.2,1.16,False,True,False,False
5.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,quotient_complexity,8.0,2.0,0.0,0.0,20,0.04,1.2,1.16,False,True,False,False
5.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,all_terms,8.0,2.0,0.15,0.0,20,0.19,1.2,1.01,False,True,False,False
5.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_d,8.0,2.0,0.15,0.0,20,0.19,1.2,1.01,False,True,False,False
5.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_length,8.0,2.0,0.15,0.0,20,0.19,1.2,1.01,False,True,False,False
5.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,primitive_power,8.0,2.0,0.15,0.0,20,0.19,1.2,1.01,False,True,False,False
5.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,quotient_complexity,8.0,2.0,0.15,0.0,20,0.19,1.2,1.01,False,True,False,False
5.0,0.02,x_zero_only_cancellation,range_blocked,special_point,8.0,2.0,0.35,0.0,20,0.38999999999999996,1.2,0.81,False,False,False,False
5.0,0.02,off_range_reciprocal_cancellation,range_blocked,reciprocal_boundary,8.0,2.0,0.35,0.0,20,0.38999999999999996,1.2,0.81,False,False,False,False
5.0,0.02,near_zero_denominator_signed_saving,denominator_blocked,denominator,8.0,2.0,0.6,1.0,20,-0.36,1.2,1.56,False,False,False,False
5.0,0.02,schreier_pairing_transfer,toy_only,toy,8.0,2.0,0.35,0.0,20,0.38999999999999996,1.2,0.81,False,False,False,False
5.0,0.05,surface_signed_pointwise_grouping,surface_theorem_target,all_terms,8.5,1.5,0.35,0.0,20,0.425,1.5,1.075,True,False,True,False
