L,variant,weight_scheme,num_profiles,pair_classes,coefficient_order,aggregate_coefficient,weight_l1,m7_bound_proxy,weighted_aggregate_bound_proxy,notes
2,signed_diagonal_subtracted_proxy,weight_length_inverse,4,8,4,-2,18,256,4608,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_unweighted,4,8,1,-8,32,4,128,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_unweighted,4,8,2,-8,32,16,512,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_unweighted,4,8,3,-8,32,64,2048,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_unweighted,4,8,4,-8,32,256,8192,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,4,8,1,-1.08268226589,7.59580035764,4,30.3832014306,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,4,8,2,-1.08268226589,7.59580035764,16,121.532805722,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,4,8,3,-1.08268226589,7.59580035764,64,486.131222889,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,4,8,4,-1.08268226589,7.59580035764,256,1944.52489156,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_length_inverse,4,8,1,-2,18,4,72,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_length_inverse,4,8,2,-2,18,16,288,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_length_inverse,4,8,3,-2,18,64,1152,signed proxy is all conflict-free with diagonal/cyclic records removed
2,rank_two_noncyclic_remainder,weight_length_inverse,4,8,4,-2,18,256,4608,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_unweighted,11,20,1,-72,80,9,720,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_unweighted,11,20,2,-56,80,81,6480,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_unweighted,11,20,3,-24,80,729,58320,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_unweighted,11,20,4,40,80,6561,524880,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_exp_decay_theta_0_5,11,20,1,-5.30258840963,14.4158569437,9,129.742712493,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_exp_decay_theta_0_5,11,20,2,-4.50599531574,14.4158569437,81,1167.68441244,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_exp_decay_theta_0_5,11,20,3,-2.91280912797,14.4158569437,729,10509.159712,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_exp_decay_theta_0_5,11,20,4,0.273563247571,14.4158569437,6561,94582.4374078,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_length_inverse,11,20,1,-10.8888888889,34.8888888889,9,314,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_length_inverse,11,20,2,-9.11111111111,34.8888888889,81,2826,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_length_inverse,11,20,3,-5.55555555556,34.8888888889,729,25434,signed proxy is all conflict-free with diagonal/cyclic records removed
3,all_conflict_free,weight_length_inverse,11,20,4,1.55555555556,34.8888888889,6561,228906,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_unweighted,1,2,1,0,8,9,72,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_unweighted,1,2,2,0,8,81,648,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_unweighted,1,2,3,0,8,729,5832,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_unweighted,1,2,4,0,8,6561,52488,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,1,0,2.94303552937,9,26.4873197643,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,2,0,2.94303552937,81,238.385877879,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,3,0,2.94303552937,729,2145.47290091,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_exp_decay_theta_0_5,1,2,4,0,2.94303552937,6561,19309.2561082,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_length_inverse,1,2,1,0,8,9,72,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_length_inverse,1,2,2,0,8,81,648,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_length_inverse,1,2,3,0,8,729,5832,signed proxy is all conflict-free with diagonal/cyclic records removed
3,primitive_non_diagonal,weight_length_inverse,1,2,4,0,8,6561,52488,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_unweighted,2,2,1,0,8,9,72,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_unweighted,2,2,2,0,8,81,648,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_unweighted,2,2,3,0,8,729,5832,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_unweighted,2,2,4,0,8,6561,52488,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,1,0,2.94303552937,9,26.4873197643,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,2,0,2.94303552937,81,238.385877879,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,3,0,2.94303552937,729,2145.47290091,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,2,2,4,0,2.94303552937,6561,19309.2561082,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_length_inverse,2,2,1,0,8,9,72,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_length_inverse,2,2,2,0,8,81,648,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_length_inverse,2,2,3,0,8,729,5832,signed proxy is all conflict-free with diagonal/cyclic records removed
3,diagonal_cyclic_only,weight_length_inverse,2,2,4,0,8,6561,52488,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_unweighted,9,18,1,-72,72,9,648,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_unweighted,9,18,2,-56,72,81,5832,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_unweighted,9,18,3,-24,72,729,52488,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_unweighted,9,18,4,40,72,6561,472392,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,9,18,1,-5.30258840963,11.4728214144,9,103.255392729,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,9,18,2,-4.50599531574,11.4728214144,81,929.298534562,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,9,18,3,-2.91280912797,11.4728214144,729,8363.68681106,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,9,18,4,0.273563247571,11.4728214144,6561,75273.1812996,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_length_inverse,9,18,1,-10.8888888889,26.8888888889,9,242,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_length_inverse,9,18,2,-9.11111111111,26.8888888889,81,2178,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_length_inverse,9,18,3,-5.55555555556,26.8888888889,729,19602,signed proxy is all conflict-free with diagonal/cyclic records removed
3,signed_diagonal_subtracted_proxy,weight_length_inverse,9,18,4,1.55555555556,26.8888888889,6561,176418,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_unweighted,9,18,1,-72,72,9,648,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_unweighted,9,18,2,-56,72,81,5832,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_unweighted,9,18,3,-24,72,729,52488,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_unweighted,9,18,4,40,72,6561,472392,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,9,18,1,-5.30258840963,11.4728214144,9,103.255392729,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,9,18,2,-4.50599531574,11.4728214144,81,929.298534562,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,9,18,3,-2.91280912797,11.4728214144,729,8363.68681106,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,9,18,4,0.273563247571,11.4728214144,6561,75273.1812996,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_length_inverse,9,18,1,-10.8888888889,26.8888888889,9,242,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_length_inverse,9,18,2,-9.11111111111,26.8888888889,81,2178,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_length_inverse,9,18,3,-5.55555555556,26.8888888889,729,19602,signed proxy is all conflict-free with diagonal/cyclic records removed
3,rank_two_noncyclic_remainder,weight_length_inverse,9,18,4,1.55555555556,26.8888888889,6561,176418,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_unweighted,18,34,1,-288,136,16,2176,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_unweighted,18,34,2,-32,136,256,34816,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_unweighted,18,34,3,432,136,4096,557056,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_unweighted,18,34,4,1216,136,65536,8912896,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_exp_decay_theta_0_5,18,34,1,-11.9100424998,17.1554932615,16,274.487892183,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_exp_decay_theta_0_5,18,34,2,-5.57704859741,17.1554932615,256,4391.80627493,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_exp_decay_theta_0_5,18,34,3,6.20978854074,17.1554932615,4096,70268.9003989,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_exp_decay_theta_0_5,18,34,4,27.1460108171,17.1554932615,65536,1124302.40638,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_length_inverse,18,34,1,-29.3888888889,42.7222222222,16,683.555555556,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_length_inverse,18,34,2,-10.6111111111,42.7222222222,256,10936.8888889,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_length_inverse,18,34,3,23.9444444444,42.7222222222,4096,174990.222222,signed proxy is all conflict-free with diagonal/cyclic records removed
4,all_conflict_free,weight_length_inverse,18,34,4,84.0555555556,42.7222222222,65536,2799843.55556,signed proxy is all conflict-free with diagonal/cyclic records removed
4,primitive_non_diagonal,weight_unweighted,1,2,1,0,8,16,128,signed proxy is all conflict-free with diagonal/cyclic records removed
4,primitive_non_diagonal,weight_unweighted,1,2,2,0,8,256,2048,signed proxy is all conflict-free with diagonal/cyclic records removed
4,primitive_non_diagonal,weight_unweighted,1,2,3,0,8,4096,32768,signed proxy is all conflict-free with diagonal/cyclic records removed
