kappa,eta,model,family,classification,A,sigma,denominator_loss_D,Lambda0_power,q_loss_exponent,variance_exponent,markov_variance_exponent,saving_vs_markov,candidate_beta,baseline_q_2kappa_reproduced,paper_proved_success,claims_proved_exponent_improvement
3.0,0.05,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,4.5,0.35,0.0,20,0.225,0.8750000000000001,1.3,0.42499999999999993,0.425,False,False,False
3.0,0.05,stronger_lemma33_input,lemma33,conditional_stronger_input,3.0,0.35,0.0,20,0.15000000000000002,0.7999999999999999,1.3,0.5000000000000001,0.5,False,False,False
3.0,0.05,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,4.0,0.35,0.0,20,0.2,0.85,1.3,0.45000000000000007,0.44999999999999996,False,False,False
3.0,0.08,markov_baseline,markov,paper_proved_baseline,6.0,0.0,0.0,20,0.48,1.48,1.48,0.0,0.0,True,True,False
3.0,0.08,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,5.0,0.35,0.0,20,0.4,1.0499999999999998,1.48,0.43000000000000016,0.43,False,False,False
3.0,0.08,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,4.0,0.6,0.0,20,0.32,0.7200000000000001,1.48,0.7599999999999999,0.76,False,False,False
3.0,0.08,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,4.0,0.6,0.5,20,0.32,1.2200000000000002,1.48,0.2599999999999998,0.26,False,False,False
3.0,0.08,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,4.0,0.0,0.0,20,0.32,1.32,1.48,0.15999999999999992,0.16,False,False,False
3.0,0.08,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,4.5,0.35,0.0,20,0.36,1.0099999999999998,1.48,0.4700000000000002,0.47,False,False,False
3.0,0.08,stronger_lemma33_input,lemma33,conditional_stronger_input,3.0,0.35,0.0,20,0.24,0.89,1.48,0.59,0.59,False,False,False
3.0,0.08,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,4.0,0.35,0.0,20,0.32,0.9700000000000001,1.48,0.5099999999999999,0.51,False,False,False
3.0,0.12,markov_baseline,markov,paper_proved_baseline,6.0,0.0,0.0,20,0.72,1.72,1.72,0.0,0.0,True,True,False
3.0,0.12,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,5.0,0.35,0.0,20,0.6,1.25,1.72,0.47,0.47,False,False,False
3.0,0.12,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,4.0,0.6,0.0,20,0.48,0.88,1.72,0.84,0.84,False,False,False
3.0,0.12,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,4.0,0.6,0.5,20,0.48,1.38,1.72,0.3400000000000001,0.33999999999999997,False,False,False
3.0,0.12,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,4.0,0.0,0.0,20,0.48,1.48,1.72,0.24,0.24,False,False,False
3.0,0.12,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,4.5,0.35,0.0,20,0.54,1.19,1.72,0.53,0.53,False,False,False
3.0,0.12,stronger_lemma33_input,lemma33,conditional_stronger_input,3.0,0.35,0.0,20,0.36,1.0099999999999998,1.72,0.7100000000000002,0.71,False,False,False
3.0,0.12,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,4.0,0.35,0.0,20,0.48,1.13,1.72,0.5900000000000001,0.59,False,False,False
3.0,0.18,markov_baseline,markov,paper_proved_baseline,6.0,0.0,0.0,20,1.08,2.08,2.08,0.0,0.0,True,True,False
3.0,0.18,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,5.0,0.35,0.0,20,0.8999999999999999,1.5499999999999998,2.08,0.5300000000000002,0.53,False,False,False
3.0,0.18,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,4.0,0.6,0.0,20,0.72,1.12,2.08,0.96,0.96,False,False,False
3.0,0.18,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,4.0,0.6,0.5,20,0.72,1.62,2.08,0.45999999999999996,0.45999999999999996,False,False,False
3.0,0.18,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,4.0,0.0,0.0,20,0.72,1.72,2.08,0.3600000000000001,0.36,False,False,False
3.0,0.18,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,4.5,0.35,0.0,20,0.8099999999999999,1.46,2.08,0.6200000000000001,0.62,False,False,False
3.0,0.18,stronger_lemma33_input,lemma33,conditional_stronger_input,3.0,0.35,0.0,20,0.54,1.19,2.08,0.8900000000000001,0.89,False,False,False
3.0,0.18,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,4.0,0.35,0.0,20,0.72,1.37,2.08,0.71,0.71,False,False,False
5.0,0.02,markov_baseline,markov,paper_proved_baseline,10.0,0.0,0.0,20,0.2,1.2,1.2,0.0,0.0,True,True,False
5.0,0.02,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,9.0,0.35,0.0,20,0.18,0.83,1.2,0.37,0.37,False,False,False
5.0,0.02,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,8.0,0.6,0.0,20,0.16,0.5599999999999999,1.2,0.64,0.64,False,False,False
5.0,0.02,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,8.0,0.6,0.5,20,0.16,1.06,1.2,0.1399999999999999,0.14,False,False,False
5.0,0.02,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,8.0,0.0,0.0,20,0.16,1.16,1.2,0.040000000000000036,0.04,False,False,False
5.0,0.02,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,8.5,0.35,0.0,20,0.17,0.82,1.2,0.38,0.38,False,False,False
5.0,0.02,stronger_lemma33_input,lemma33,conditional_stronger_input,7.0,0.35,0.0,20,0.14,0.7900000000000001,1.2,0.4099999999999998,0.41,False,False,False
5.0,0.02,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,8.0,0.35,0.0,20,0.16,0.8099999999999999,1.2,0.39,0.38999999999999996,False,False,False
5.0,0.05,markov_baseline,markov,paper_proved_baseline,10.0,0.0,0.0,20,0.5,1.5,1.5,0.0,0.0,True,True,False
5.0,0.05,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,9.0,0.35,0.0,20,0.45,1.1,1.5,0.3999999999999999,0.39999999999999997,False,False,False
5.0,0.05,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,8.0,0.6,0.0,20,0.4,0.7999999999999999,1.5,0.7000000000000001,0.7,False,False,False
5.0,0.05,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,8.0,0.6,0.5,20,0.4,1.2999999999999998,1.5,0.20000000000000018,0.19999999999999996,False,False,False
5.0,0.05,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,8.0,0.0,0.0,20,0.4,1.4,1.5,0.10000000000000009,0.1,False,False,False
5.0,0.05,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,8.5,0.35,0.0,20,0.42500000000000004,1.0750000000000002,1.5,0.4249999999999998,0.425,False,False,False
5.0,0.05,stronger_lemma33_input,lemma33,conditional_stronger_input,7.0,0.35,0.0,20,0.35000000000000003,1.0,1.5,0.5,0.5,False,False,False
5.0,0.05,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,8.0,0.35,0.0,20,0.4,1.0499999999999998,1.5,0.4500000000000002,0.44999999999999996,False,False,False
5.0,0.08,markov_baseline,markov,paper_proved_baseline,10.0,0.0,0.0,20,0.8,1.8,1.8,0.0,0.0,True,True,False
5.0,0.08,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,9.0,0.35,0.0,20,0.72,1.37,1.8,0.42999999999999994,0.43,False,False,False
5.0,0.08,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,8.0,0.6,0.0,20,0.64,1.04,1.8,0.76,0.76,False,False,False
5.0,0.08,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,8.0,0.6,0.5,20,0.64,1.54,1.8,0.26,0.26,False,False,False
5.0,0.08,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,8.0,0.0,0.0,20,0.64,1.6400000000000001,1.8,0.15999999999999992,0.16,False,False,False
5.0,0.08,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,8.5,0.35,0.0,20,0.68,1.33,1.8,0.47,0.47,False,False,False
5.0,0.08,stronger_lemma33_input,lemma33,conditional_stronger_input,7.0,0.35,0.0,20,0.56,1.21,1.8,0.5900000000000001,0.59,False,False,False
5.0,0.08,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,8.0,0.35,0.0,20,0.64,1.29,1.8,0.51,0.51,False,False,False
5.0,0.12,markov_baseline,markov,paper_proved_baseline,10.0,0.0,0.0,20,1.2,2.2,2.2,0.0,0.0,True,True,False
5.0,0.12,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,9.0,0.35,0.0,20,1.08,1.73,2.2,0.4700000000000002,0.47,False,False,False
5.0,0.12,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,8.0,0.6,0.0,20,0.96,1.3599999999999999,2.2,0.8400000000000003,0.84,False,False,False
5.0,0.12,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,8.0,0.6,0.5,20,0.96,1.8599999999999999,2.2,0.3400000000000003,0.33999999999999997,False,False,False
5.0,0.12,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,8.0,0.0,0.0,20,0.96,1.96,2.2,0.2400000000000002,0.24,False,False,False
5.0,0.12,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,8.5,0.35,0.0,20,1.02,1.67,2.2,0.5300000000000002,0.53,False,False,False
5.0,0.12,stronger_lemma33_input,lemma33,conditional_stronger_input,7.0,0.35,0.0,20,0.84,1.4899999999999998,2.2,0.7100000000000004,0.71,False,False,False
5.0,0.12,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,8.0,0.35,0.0,20,0.96,1.6099999999999999,2.2,0.5900000000000003,0.59,False,False,False
5.0,0.18,markov_baseline,markov,paper_proved_baseline,10.0,0.0,0.0,20,1.7999999999999998,2.8,2.8,0.0,0.0,True,True,False
5.0,0.18,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,9.0,0.35,0.0,20,1.6199999999999999,2.27,2.8,0.5299999999999998,0.53,False,False,False
5.0,0.18,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,8.0,0.6,0.0,20,1.44,1.8399999999999999,2.8,0.96,0.96,False,False,False
5.0,0.18,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,8.0,0.6,0.5,20,1.44,2.34,2.8,0.45999999999999996,0.45999999999999996,False,False,False
5.0,0.18,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,8.0,0.0,0.0,20,1.44,2.44,2.8,0.3599999999999999,0.36,False,False,False
5.0,0.18,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,8.5,0.35,0.0,20,1.53,2.18,2.8,0.6199999999999997,0.62,False,False,False
5.0,0.18,stronger_lemma33_input,lemma33,conditional_stronger_input,7.0,0.35,0.0,20,1.26,1.9099999999999997,2.8,0.8900000000000001,0.89,False,False,False
5.0,0.18,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,8.0,0.35,0.0,20,1.44,2.09,2.8,0.71,0.71,False,False,False
8.0,0.02,markov_baseline,markov,paper_proved_baseline,16.0,0.0,0.0,20,0.32,1.32,1.32,0.0,0.0,True,True,False
8.0,0.02,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,15.0,0.35,0.0,20,0.3,0.9500000000000001,1.32,0.37,0.37,False,False,False
8.0,0.02,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,14.0,0.6,0.0,20,0.28,0.68,1.32,0.64,0.64,False,False,False
8.0,0.02,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,14.0,0.6,0.5,20,0.28,1.1800000000000002,1.32,0.1399999999999999,0.14,False,False,False
8.0,0.02,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,14.0,0.0,0.0,20,0.28,1.28,1.32,0.040000000000000036,0.04,False,False,False
8.0,0.02,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,14.5,0.35,0.0,20,0.29,0.9400000000000001,1.32,0.38,0.38,False,False,False
8.0,0.02,stronger_lemma33_input,lemma33,conditional_stronger_input,13.0,0.35,0.0,20,0.26,0.91,1.32,0.41000000000000003,0.41,False,False,False
8.0,0.02,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,14.0,0.35,0.0,20,0.28,0.93,1.32,0.39,0.38999999999999996,False,False,False
8.0,0.05,markov_baseline,markov,paper_proved_baseline,16.0,0.0,0.0,20,0.8,1.8,1.8,0.0,0.0,True,True,False
8.0,0.05,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,15.0,0.35,0.0,20,0.75,1.4,1.8,0.40000000000000013,0.39999999999999997,False,False,False
8.0,0.05,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,14.0,0.6,0.0,20,0.7000000000000001,1.1,1.8,0.7,0.7,False,False,False
8.0,0.05,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,14.0,0.6,0.5,20,0.7000000000000001,1.6,1.8,0.19999999999999996,0.19999999999999996,False,False,False
8.0,0.05,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,14.0,0.0,0.0,20,0.7000000000000001,1.7000000000000002,1.8,0.09999999999999987,0.1,False,False,False
8.0,0.05,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,14.5,0.35,0.0,20,0.7250000000000001,1.375,1.8,0.42500000000000004,0.425,False,False,False
8.0,0.05,stronger_lemma33_input,lemma33,conditional_stronger_input,13.0,0.35,0.0,20,0.65,1.2999999999999998,1.8,0.5000000000000002,0.5,False,False,False
8.0,0.05,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,14.0,0.35,0.0,20,0.7000000000000001,1.35,1.8,0.44999999999999996,0.44999999999999996,False,False,False
8.0,0.08,markov_baseline,markov,paper_proved_baseline,16.0,0.0,0.0,20,1.28,2.2800000000000002,2.2800000000000002,0.0,0.0,True,True,False
8.0,0.08,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,15.0,0.35,0.0,20,1.2,1.85,2.2800000000000002,0.43000000000000016,0.43,False,False,False
8.0,0.08,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,14.0,0.6,0.0,20,1.12,1.52,2.2800000000000002,0.7600000000000002,0.76,False,False,False
8.0,0.08,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,14.0,0.6,0.5,20,1.12,2.02,2.2800000000000002,0.26000000000000023,0.26,False,False,False
8.0,0.08,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,14.0,0.0,0.0,20,1.12,2.12,2.2800000000000002,0.16000000000000014,0.16,False,False,False
8.0,0.08,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,14.5,0.35,0.0,20,1.16,1.81,2.2800000000000002,0.4700000000000002,0.47,False,False,False
8.0,0.08,stronger_lemma33_input,lemma33,conditional_stronger_input,13.0,0.35,0.0,20,1.04,1.69,2.2800000000000002,0.5900000000000003,0.59,False,False,False
8.0,0.08,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,14.0,0.35,0.0,20,1.12,1.77,2.2800000000000002,0.5100000000000002,0.51,False,False,False
8.0,0.12,markov_baseline,markov,paper_proved_baseline,16.0,0.0,0.0,20,1.92,2.92,2.92,0.0,0.0,True,True,False
8.0,0.12,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,15.0,0.35,0.0,20,1.7999999999999998,2.4499999999999997,2.92,0.4700000000000002,0.47,False,False,False
8.0,0.12,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,14.0,0.6,0.0,20,1.68,2.0799999999999996,2.92,0.8400000000000003,0.84,False,False,False
8.0,0.12,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,14.0,0.6,0.5,20,1.68,2.5799999999999996,2.92,0.3400000000000003,0.33999999999999997,False,False,False
8.0,0.12,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,14.0,0.0,0.0,20,1.68,2.6799999999999997,2.92,0.2400000000000002,0.24,False,False,False
8.0,0.12,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,14.5,0.35,0.0,20,1.74,2.39,2.92,0.5299999999999998,0.53,False,False,False
8.0,0.12,stronger_lemma33_input,lemma33,conditional_stronger_input,13.0,0.35,0.0,20,1.56,2.21,2.92,0.71,0.71,False,False,False
8.0,0.12,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,14.0,0.35,0.0,20,1.68,2.3299999999999996,2.92,0.5900000000000003,0.59,False,False,False
8.0,0.18,markov_baseline,markov,paper_proved_baseline,16.0,0.0,0.0,20,2.88,3.88,3.88,0.0,0.0,True,True,False
8.0,0.18,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,15.0,0.35,0.0,20,2.6999999999999997,3.3499999999999996,3.88,0.5300000000000002,0.53,False,False,False
8.0,0.18,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,14.0,0.6,0.0,20,2.52,2.92,3.88,0.96,0.96,False,False,False
8.0,0.18,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,14.0,0.6,0.5,20,2.52,3.42,3.88,0.45999999999999996,0.45999999999999996,False,False,False
8.0,0.18,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,14.0,0.0,0.0,20,2.52,3.52,3.88,0.3599999999999999,0.36,False,False,False
8.0,0.18,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,14.5,0.35,0.0,20,2.61,3.26,3.88,0.6200000000000001,0.62,False,False,False
8.0,0.18,stronger_lemma33_input,lemma33,conditional_stronger_input,13.0,0.35,0.0,20,2.34,2.9899999999999998,3.88,0.8900000000000001,0.89,False,False,False
8.0,0.18,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,14.0,0.35,0.0,20,2.52,3.17,3.88,0.71,0.71,False,False,False
