L,variant,weight_scheme,n_power,num_profiles,pair_classes,weight_l1,coeff_order_1,coeff_order_2,coeff_order_3,coeff_order_4,notes
2,all_conflict_free,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,all_conflict_free,weight_exp_decay_theta_0_5,1,4,8,7.59580035764,-1.08268226589,-1.08268226589,-1.08268226589,-1.08268226589,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,all_conflict_free,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,all_conflict_free,weight_length_inverse,1,4,8,18,-2,-2,-2,-2,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,all_conflict_free,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,all_conflict_free,weight_unweighted,1,4,8,32,-8,-8,-8,-8,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,diagonal_cyclic_only,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,diagonal_cyclic_only,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,4,8,7.59580035764,-1.08268226589,-1.08268226589,-1.08268226589,-1.08268226589,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,rank_two_noncyclic_remainder,weight_length_inverse,1,4,8,18,-2,-2,-2,-2,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,rank_two_noncyclic_remainder,weight_unweighted,1,4,8,32,-8,-8,-8,-8,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,4,8,7.59580035764,-1.08268226589,-1.08268226589,-1.08268226589,-1.08268226589,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,4,8,18,-2,-2,-2,-2,record-level M11 pair data grouped by d=C-V before coefficient aggregation
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,4,8,32,-8,-8,-8,-8,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,all_conflict_free,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,all_conflict_free,weight_exp_decay_theta_0_5,1,9,18,11.4728214144,-5.30258840963,-4.50599531574,-2.91280912797,0.273563247571,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,all_conflict_free,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,all_conflict_free,weight_length_inverse,1,9,18,26.8888888889,-10.8888888889,-9.11111111111,-5.55555555556,1.55555555556,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,all_conflict_free,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,all_conflict_free,weight_unweighted,1,9,18,72,-72,-56,-24,40,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,diagonal_cyclic_only,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,diagonal_cyclic_only,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,9,18,11.4728214144,-5.30258840963,-4.50599531574,-2.91280912797,0.273563247571,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,rank_two_noncyclic_remainder,weight_length_inverse,1,9,18,26.8888888889,-10.8888888889,-9.11111111111,-5.55555555556,1.55555555556,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,rank_two_noncyclic_remainder,weight_unweighted,1,9,18,72,-72,-56,-24,40,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,9,18,11.4728214144,-5.30258840963,-4.50599531574,-2.91280912797,0.273563247571,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,signed_diagonal_subtracted_proxy,weight_length_inverse,1,9,18,26.8888888889,-10.8888888889,-9.11111111111,-5.55555555556,1.55555555556,record-level M11 pair data grouped by d=C-V before coefficient aggregation
3,signed_diagonal_subtracted_proxy,weight_unweighted,1,9,18,72,-72,-56,-24,40,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,all_conflict_free,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,all_conflict_free,weight_exp_decay_theta_0_5,1,16,32,14.2124577321,-11.9100424998,-5.57704859741,6.20978854074,27.1460108171,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,all_conflict_free,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,all_conflict_free,weight_length_inverse,1,16,32,34.7222222222,-29.3888888889,-10.6111111111,23.9444444444,84.0555555556,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,all_conflict_free,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,all_conflict_free,weight_unweighted,1,16,32,128,-288,-32,432,1216,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,diagonal_cyclic_only,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,diagonal_cyclic_only,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,16,32,14.2124577321,-11.9100424998,-5.57704859741,6.20978854074,27.1460108171,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,rank_two_noncyclic_remainder,weight_length_inverse,1,16,32,34.7222222222,-29.3888888889,-10.6111111111,23.9444444444,84.0555555556,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,rank_two_noncyclic_remainder,weight_unweighted,1,16,32,128,-288,-32,432,1216,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,16,32,14.2124577321,-11.9100424998,-5.57704859741,6.20978854074,27.1460108171,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,signed_diagonal_subtracted_proxy,weight_length_inverse,1,16,32,34.7222222222,-29.3888888889,-10.6111111111,23.9444444444,84.0555555556,record-level M11 pair data grouped by d=C-V before coefficient aggregation
4,signed_diagonal_subtracted_proxy,weight_unweighted,1,16,32,128,-288,-32,432,1216,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,all_conflict_free,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,all_conflict_free,weight_exp_decay_theta_0_5,1,25,50,16.0169067036,-19.1824613678,0.946974678714,30.8860981392,61.0987849859,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,all_conflict_free,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,all_conflict_free,weight_length_inverse,1,25,50,41.7088888889,-59.0422222222,24.3755555556,138.291111111,215.042222222,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,all_conflict_free,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,all_conflict_free,weight_unweighted,1,25,50,200,-800,800,2800,3392,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,2,2.94303552937,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,diagonal_cyclic_only,weight_length_inverse,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,diagonal_cyclic_only,weight_unweighted,0,2,2,8,0,0,0,0,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,25,50,16.0169067036,-19.1824613678,0.946974678714,30.8860981392,61.0987849859,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,rank_two_noncyclic_remainder,weight_length_inverse,1,25,50,41.7088888889,-59.0422222222,24.3755555556,138.291111111,215.042222222,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,rank_two_noncyclic_remainder,weight_unweighted,1,25,50,200,-800,800,2800,3392,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,25,50,16.0169067036,-19.1824613678,0.946974678714,30.8860981392,61.0987849859,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,signed_diagonal_subtracted_proxy,weight_length_inverse,1,25,50,41.7088888889,-59.0422222222,24.3755555556,138.291111111,215.042222222,record-level M11 pair data grouped by d=C-V before coefficient aggregation
5,signed_diagonal_subtracted_proxy,weight_unweighted,1,25,50,200,-800,800,2800,3392,record-level M11 pair data grouped by d=C-V before coefficient aggregation
