window_label,n,alpha_label,alpha_kind,alpha_W,alpha_R,epsilon,a,b,Delta,width_kind,regime,F_b_minus_F_a,main_term_proxy,endpoint_error_proxy,relative_error_proxy,main_term_n_exponent,endpoint_error_n_exponent,relative_error_n_exponent,fixed_relative_constant_proxy,density_at_a,statement,classification,decision
edge_fixed,1000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,423118.7791160863,427842.274969035,1.0111635221268511,1.0,0.95,-0.05,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,1000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,430837.1056451502,430970.4326230872,1.000309460295295,1.0,0.95,-0.05,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,1000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,499996.4200128537,1146217.098214416,2.292450610316269,1.0,0.95,-0.05,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,1000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,1999993.5526395903,1342712.9813946958,0.6713586549429542,1.0,0.95,-0.05,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,1000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,500000.0052083635,6326905.298562236,12.653810465313182,1.0,0.95,-0.05,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,1000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,4.031622776601684,0.03162277660168379,shrinking,outside_m34_scope,0.015811228246520592,31622.456493041183,1078981.3537212869,34.120731700863494,0.75,0.95,0.2,68.07981012189697,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,1000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.25,0.2816227766016838,0.03162277660168379,shrinking,outside_m34_scope,0.005551098280475624,11102.196560951248,249641.78360559628,22.485801096662147,0.625,0.95,0.325,44.865071550055916,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_fixed,1000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,423118.7791160863,53862.15121983464,0.12729794534847882,1.0,0.8,-0.2,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,1000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,430837.1056451502,54255.96293611311,0.1259314999223857,1.0,0.8,-0.2,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,1000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,499996.4200128537,144300.1832375101,0.2886024328610203,1.0,0.8,-0.2,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,1000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,1999993.5526395903,169037.54930236936,0.08451904711356378,1.0,0.8,-0.2,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,1000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,500000.0052083635,796510.1858375173,1.5930203550809763,1.0,0.8,-0.2,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,1000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,4.031622776601684,0.03162277660168379,shrinking,outside_m34_scope,0.015811228246520592,31622.456493041183,135835.7045051801,4.295545620722793,0.75,0.8,0.04999999999999999,68.07981012189697,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,1000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.25,0.2816227766016838,0.03162277660168379,shrinking,outside_m34_scope,0.005551098280475624,11102.196560951248,31428.03852267061,2.8307946405137168,0.625,0.8,0.175,44.865071550055916,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_fixed,100000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,42311877.91160863,76433490.8228616,1.8064310684232574,1.0,0.994,-0.006,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,100000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,43083710.56451502,76992332.30097586,1.7870404218245064,1.0,0.994,-0.006,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,100000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,49999642.001285374,204770260.4043028,4.095434531292017,1.0,0.994,-0.006,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,100000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,199999355.26395905,239874005.7854178,1.1993738953249735,1.0,0.994,-0.006,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,100000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,50000000.52083635,1130293770.3147047,22.605875170814862,1.0,0.994,-0.006,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,100000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,4.0,4.01,0.01,shrinking,outside_m34_scope,0.004999948496629658,999989.6993259316,192189388.49145097,192.19136819209348,0.75,0.994,0.244,214.65147567441116,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,100000000,theorem1_representative,proved_shape_representative,0.006,0.004,0.05,0.25,0.26,0.01,shrinking,outside_m34_scope,0.0010270920875595003,205418.41751190007,42681074.21402643,207.7762779549885,0.625,0.994,0.369,232.05768860856512,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_fixed,100000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,42311877.91160863,33984719.90165742,0.8031957355486086,1.0,0.95,-0.05,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,100000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,43083710.56451502,34233198.29638567,0.7945740477743604,1.0,0.95,-0.05,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,100000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,49999642.001285374,91047260.42354453,1.820958246485123,1.0,0.95,-0.05,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,100000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,199999355.26395905,106655483.22526255,0.5332791352477046,1.0,0.95,-0.05,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,100000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,50000000.52083635,502563951.7074644,10.051278929447859,1.0,0.95,-0.05,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,100000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,4.0,4.01,0.01,shrinking,outside_m34_scope,0.004999948496629658,999989.6993259316,85453411.39906672,85.45429163587261,0.75,0.95,0.2,214.65147567441116,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,100000000,improved_comparison,comparison_only_not_proved,0.05,0.033,0.05,0.25,0.26,0.01,shrinking,outside_m34_scope,0.0010270920875595003,205418.41751190007,18977340.12472565,92.38382981714031,0.625,0.95,0.325,232.05768860856512,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_fixed,100000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.25,0.75,0.5,fixed,edge_adjacent,0.21155938955804315,42311877.91160863,2144290.862205297,0.05067822483995664,1.0,0.8,-0.2,2.017536469970908,0.0,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
near_edge_fixed,100000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.26,0.76,0.5,fixed,edge_adjacent,0.21541855282257508,43083710.56451502,2159968.7890151413,0.050134233117658945,1.0,0.8,-0.2,1.9958797694340622,0.15210809644337234,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_fixed,100000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,4.5,0.5,fixed,bulk,0.24999821000642686,49999642.001285374,5744693.765903635,0.11489469796115645,1.0,0.8,-0.2,4.574040311691463,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
wide_bulk_fixed,100000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,6.0,2.0,fixed,bulk,0.9999967763197952,199999355.26395905,6729506.047006357,0.03364763870425862,1.0,0.8,-0.2,1.3395366240358728,0.4999948025437013,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
high_energy_fixed,100000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,100.0,100.5,0.5,fixed,high_energy,0.25000000260418176,50000000.52083635,31709641.640081435,0.6341928261954152,1.0,0.8,-0.2,25.247671162198234,0.5,fixed_window_count_asymptotic,theorem_level_corollary,advance_fixed_window_corollary
bulk_shrinking_excluded,100000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,4.0,4.01,0.01,shrinking,outside_m34_scope,0.004999948496629658,999989.6993259316,5391745.75331287,5.391801292500626,0.75,0.8,0.04999999999999999,214.65147567441116,0.4999948025437013,outside_m34_scope,requires_new_variance_input,exclude_from_m34
edge_shrinking_excluded,100000000,strong_comparison,comparison_only_not_proved,0.2,0.133,0.05,0.25,0.26,0.01,shrinking,outside_m34_scope,0.0010270920875595003,205418.41751190007,1197389.2130394336,5.829025593433304,0.625,0.8,0.175,232.05768860856512,0.0,outside_m34_scope,requires_new_variance_input,exclude_from_m34
