len_u,len_v,relation_class,reduced_pair_count,max_same_basepoint_exponent,max_distinct_basepoint_exponent,representative_same_basepoint_base_exponent,representative_distinct_basepoint_base_exponent,max_proof_exponent_bound,partial_injection_failures_in_base_templates,positive_exponent_obstruction,representative_u,representative_v,expectation_order_bound,covariance_order_bound,proof_status,audit_scope
2,2,cyclic_conjugate,16,0,0,-1,0,0,0,False,ab,AB,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,2,generic,104,0,0,-1,0,0,1,False,aa,ab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,2,inverse,24,0,0,-1,0,0,1,False,aa,aa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,3,generic,424,0,0,-1,0,0,1,False,aa,aab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,3,shared_power,8,0,0,-1,0,0,1,False,aa,aaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,4,generic,1272,0,0,-1,0,0,1,False,aa,aaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,4,shared_power,24,0,0,-1,0,0,1,False,aa,aaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,5,generic,3880,0,0,-1,0,0,1,False,aa,aaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,5,shared_power,8,0,0,-1,0,0,1,False,aa,aaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,6,generic,11640,0,0,-1,0,0,1,False,aa,aaaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
2,6,shared_power,24,0,0,-1,0,0,1,False,aa,aaaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,0,identity,36,-999,-999,-999,-999,-999,0,False,aaa,id,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
3,1,generic,136,0,0,-1,0,0,0,False,aaa,b,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,1,shared_power,8,0,0,-1,0,0,1,False,aaa,a,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,2,generic,424,0,0,-1,0,0,1,False,aaa,ab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,2,shared_power,8,0,0,-1,0,0,1,False,aaa,aa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,3,cyclic_conjugate,96,0,0,-1,0,0,1,False,aab,aba,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,3,generic,1128,0,0,-1,0,0,1,False,aaa,aab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,3,inverse,72,0,0,-1,0,0,1,False,aaa,aaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,4,generic,3880,0,0,-1,0,0,1,False,aaa,aaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,4,shared_power,8,0,0,-1,0,0,1,False,aaa,aaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,5,generic,11656,0,0,-1,0,0,1,False,aaa,aaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,5,shared_power,8,0,0,-1,0,0,1,False,aaa,aaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,6,generic,34936,0,0,-1,0,0,1,False,aaa,aaaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
3,6,shared_power,56,0,0,-1,0,0,1,False,aaa,aaaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,0,identity,108,-999,-999,-999,-999,-999,0,False,aaaa,id,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
4,1,generic,424,0,0,-1,0,0,0,False,aaaa,b,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,1,shared_power,8,0,0,-1,0,0,1,False,aaaa,a,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,2,generic,1272,0,0,-1,0,0,1,False,aaaa,ab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,2,shared_power,24,0,0,-1,0,0,1,False,aaaa,aa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,3,generic,3880,0,0,-1,0,0,1,False,aaaa,aab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,3,shared_power,8,0,0,-1,0,0,1,False,aaaa,aaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,4,cyclic_conjugate,448,0,0,-1,0,0,1,False,aaab,aaba,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,4,generic,11000,0,0,-1,0,0,1,False,aaaa,aaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,4,inverse,216,0,0,-1,0,0,1,False,aaaa,aaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,5,generic,34984,0,0,-1,0,0,1,False,aaaa,aaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,5,shared_power,8,0,0,-1,0,0,1,False,aaaa,aaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,6,generic,104952,0,0,-1,0,0,1,False,aaaa,aaaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
4,6,shared_power,24,0,0,-1,0,0,1,False,aaaa,aaaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,0,identity,324,-999,-999,-999,-999,-999,0,False,aaaaa,id,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
5,1,generic,1288,0,0,-1,0,0,0,False,aaaaa,b,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,1,shared_power,8,0,0,-1,0,0,1,False,aaaaa,a,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,2,generic,3880,0,0,-1,0,0,1,False,aaaaa,ab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,2,shared_power,8,0,0,-1,0,0,1,False,aaaaa,aa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,3,generic,11656,0,0,-1,0,0,1,False,aaaaa,aab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,3,shared_power,8,0,0,-1,0,0,1,False,aaaaa,aaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,4,generic,34984,0,0,-1,0,0,1,False,aaaaa,aaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,4,shared_power,8,0,0,-1,0,0,1,False,aaaaa,aaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,5,cyclic_conjugate,1920,0,0,-1,0,0,1,False,aaaab,aaaba,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,5,generic,102408,0,0,-1,0,0,1,False,aaaaa,aaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,5,inverse,648,0,0,-1,0,0,1,False,aaaaa,aaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,6,generic,314920,0,0,-1,0,0,1,False,aaaaa,aaaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
5,6,shared_power,8,0,0,-1,0,0,1,False,aaaaa,aaaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,0,identity,972,-999,-999,-999,-999,-999,0,False,aaaaaa,id,deterministic_zero_covariance,zero,deterministic_separation,deterministic_identity
6,1,generic,3880,0,0,-1,0,0,0,False,aaaaaa,b,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,1,shared_power,8,0,0,-1,0,0,1,False,aaaaaa,a,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,2,generic,11640,0,0,-1,0,0,1,False,aaaaaa,ab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,2,shared_power,24,0,0,-1,0,0,1,False,aaaaaa,aa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,3,generic,34936,0,0,-1,0,0,1,False,aaaaaa,aab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,3,shared_power,56,0,0,-1,0,0,1,False,aaaaaa,aaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,4,generic,104952,0,0,-1,0,0,1,False,aaaaaa,aaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,4,shared_power,24,0,0,-1,0,0,1,False,aaaaaa,aaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,5,generic,314920,0,0,-1,0,0,1,False,aaaaaa,aaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,5,shared_power,8,0,0,-1,0,0,1,False,aaaaaa,aaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,6,cyclic_conjugate,7072,0,0,-1,0,0,1,False,aaaaab,aaaaba,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,6,generic,935768,0,0,-1,0,0,1,False,aaaaaa,aaaaab,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
6,6,inverse,1944,0,0,-1,0,0,1,False,aaaaaa,aaaaaa,O(1),O(1),proved_by_conflict_free_outgoing_constraint_count,exhaustive_pair_counts_plus_representative_quotient_checks_general_bound_by_lemma
