n,g,epsilon,alpha_label,alpha_kind,alpha,energy_label,lambda,density,mean_spacing,rigidity_radius,cluster_envelope,normalized_envelope,classification
10000,2,0.05,theorem1_representative,proved_shape_representative,0.006,edge_delta_n_alpha,0.35,0.37941665830195415,0.00013178124604167513,0.5311747527244465,10503.266668757446,1.0503266668757445,edge_endpoint_equivalent
10000,2,0.05,theorem1_representative,proved_shape_representative,0.006,near_edge_fixed,0.26,0.15210809644337234,0.00032871360019033754,0.45106106541430724,3852.6833417758467,0.38526833417758466,rigidity_scale_cluster_bound
10000,2,0.05,theorem1_representative,proved_shape_representative,0.006,bulk_fixed,4.0,0.4999948025437013,0.00010000103950206528,2.0283037576350584,40564.62077801391,4.056462077801391,tautological_or_endpoint_only
10000,2,0.05,theorem1_representative,proved_shape_representative,0.006,high_energy,100.0,0.5,0.0001,11.912420080273751,238249.41153249168,23.824941153249167,high_energy_loss_dominated
10000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,edge_delta_n_alpha,0.35,0.37941665830195415,0.00013178124604167513,0.5410500286768961,10750.703844673948,1.0750703844673948,edge_endpoint_equivalent
10000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,near_edge_fixed,0.26,0.15210809644337234,0.00032871360019033754,0.459446916717528,3934.2646474769012,0.3934264647476901,rigidity_scale_cluster_bound
10000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,bulk_fixed,4.0,0.4999948025437013,0.00010000103950206528,2.066012739884875,41318.5929070853,4.1318592907085305,tautological_or_endpoint_only
10000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,high_energy,100.0,0.5,0.0001,12.133888504649773,242678.78020456916,24.267878020456916,high_energy_loss_dominated
10000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,edge_delta_n_alpha,0.35,0.37941665830195415,0.00013178124604167513,0.0889687368000916,1721.4559341520917,0.17214559341520916,hypothetical_comparison_only
10000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,near_edge_fixed,0.26,0.15210809644337234,0.00032871360019033754,0.07555015181685887,453.4795051214994,0.04534795051214994,hypothetical_comparison_only
10000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,bulk_fixed,4.0,0.4999948025437013,0.00010000103950206528,0.33972929292684945,6795.51155447186,0.679551155447186,hypothetical_comparison_only
10000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,high_energy,100.0,0.5,0.0001,1.99526231496888,39906.24796209627,3.990624796209627,hypothetical_comparison_only
100000,2,0.05,theorem1_representative,proved_shape_representative,0.006,edge_delta_n_alpha,0.3062341325190349,0.3160749768607589,1.581903145152379e-05,0.48677635826677573,83806.19554823046,0.8380619554823047,edge_endpoint_equivalent
100000,2,0.05,theorem1_representative,proved_shape_representative,0.006,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033754e-05,0.4448722755850887,37916.32760059863,0.3791632760059863,rigidity_scale_cluster_bound
100000,2,0.05,theorem1_representative,proved_shape_representative,0.006,bulk_fixed,4.0,0.4999948025437013,1.0000103950206528e-05,2.000474386784157,400072.7493771047,4.000727493771047,tautological_or_endpoint_only
100000,2,0.05,theorem1_representative,proved_shape_representative,0.006,high_energy,100.0,0.5,1e-05,11.748975549395297,2349796.20778719,23.4979620778719,high_energy_loss_dominated
100000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,edge_delta_n_alpha,0.3062341325190349,0.3160749768607589,1.581903145152379e-05,0.4981148362223374,86444.72629164706,0.8644472629164707,edge_endpoint_equivalent
100000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033754e-05,0.45523468206621376,38923.753031317356,0.38923753031317354,rigidity_scale_cluster_bound
100000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,bulk_fixed,4.0,0.4999948025437013,1.0000103950206528e-05,2.0470714212333663,409389.7312030597,4.093897312030597,tautological_or_endpoint_only
100000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,high_energy,100.0,0.5,1e-05,12.022644346174133,2404529.969423529,24.045299694235293,high_energy_loss_dominated
100000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,edge_delta_n_alpha,0.3062341325190349,0.3160749768607589,1.581903145152379e-05,0.05215902652161077,7475.1433675856315,0.07475143367585632,hypothetical_comparison_only
100000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033754e-05,0.04766892316544072,2616.908291166607,0.02616908291166607,hypothetical_comparison_only
100000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,bulk_fixed,4.0,0.4999948025437013,1.0000103950206528e-05,0.2143546925072586,42871.48483965461,0.42871484839654606,hypothetical_comparison_only
100000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,high_energy,100.0,0.5,1e-05,1.2589254117941673,251786.0928498774,2.517860928498774,hypothetical_comparison_only
1000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,edge_delta_n_alpha,0.2816227766016838,0.25349236266974967,1.9724460127084812e-06,0.4584767076935485,718597.3086167731,0.7185973086167731,edge_endpoint_equivalent
1000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033753e-06,0.4387683991356474,373226.6520892103,0.3732266520892103,rigidity_scale_cluster_bound
1000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,bulk_fixed,4.0,0.4999948025437013,1.0000103950206526e-06,1.9730268492158893,3945836.4963291856,3.9458364963291856,tautological_or_endpoint_only
1000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,high_energy,100.0,0.5,1e-06,11.587773561551263,23175549.088750333,23.175549088750333,high_energy_loss_dominated
1000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,edge_delta_n_alpha,0.2816227766016838,0.25349236266974967,1.9724460127084812e-06,0.47132152782033504,747031.7089631986,0.7470317089631986,edge_endpoint_equivalent
1000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033753e-06,0.45106106541430724,385169.3341775847,0.3851693341775847,rigidity_scale_cluster_bound
1000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,bulk_fixed,4.0,0.4999948025437013,1.0000103950206526e-06,2.0283037576350584,4056363.077801391,4.056363077801391,tautological_or_endpoint_only
1000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,high_energy,100.0,0.5,1e-06,11.912420080273751,23824842.153249167,23.82484215324917,high_energy_loss_dominated
1000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,edge_delta_n_alpha,0.2816227766016838,0.25349236266974967,1.9724460127084812e-06,0.031428038522670586,33159.48441724617,0.033159484417246164,hypothetical_comparison_only
1000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033753e-06,0.030077057174696845,15608.970738553482,0.015608970738553482,hypothetical_comparison_only
1000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,bulk_fixed,4.0,0.4999948025437013,1.0000103950206526e-06,0.13524866756124826,270495.51008849655,0.27049551008849654,hypothetical_comparison_only
1000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,high_energy,100.0,0.5,1e-06,0.7943282347242816,1588657.5356425422,1.588657535642542,hypothetical_comparison_only
10000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,edge_delta_n_alpha,0.26778279410038924,0.1980177364067302,2.5250263389184267e-07,0.43982556353999724,6483352.012275058,0.6483352012275058,edge_endpoint_equivalent
10000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033753e-07,0.432748271010736,3673843.9638677095,0.36738439638677095,rigidity_scale_cluster_bound
10000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,bulk_fixed,4.0,0.4999948025437013,1.0000103950206527e-07,1.945955905981215,38917058.070256926,3.8917058070256925,tautological_or_endpoint_only
10000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,high_energy,100.0,0.5,1e-07,11.428783347897719,228575677.48194048,22.857567748194047,high_energy_loss_dominated
10000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,edge_delta_n_alpha,0.26778279410038924,0.1980177364067302,2.5250263389184267e-07,0.45423486729136636,6791974.564810477,0.6791974564810477,edge_endpoint_equivalent
10000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033753e-07,0.44692571270986187,3811486.2245679763,0.38114862245679765,rigidity_scale_cluster_bound
10000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,bulk_fixed,4.0,0.4999948025437013,1.0000103950206527e-07,2.0097081570108535,40191805.402419,4.0191805402419005,tautological_or_endpoint_only
10000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,high_energy,100.0,0.5,1e-07,11.803206356517299,236064137.96635145,23.606413796635145,high_energy_loss_dominated
10000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,edge_delta_n_alpha,0.26778279410038924,0.1980177364067302,2.5250263389184267e-07,0.019287701127847126,149487.23212241282,0.014948723212241282,hypothetical_comparison_only
10000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033753e-07,0.018977340124725663,97845.83237866296,0.009784583237866296,hypothetical_comparison_only
10000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,bulk_fixed,4.0,0.4999948025437013,1.0000103950206527e-07,0.08533614012892966,1706706.0710044107,0.17067060710044107,hypothetical_comparison_only
10000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,high_energy,100.0,0.5,1e-07,0.5011872336272724,10023746.09020143,1.002374609020143,hypothetical_comparison_only
100000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,edge_delta_n_alpha,0.26,0.15210809644337234,3.2871360019033756e-08,0.4268107421402643,60464238.264791556,0.6046423826479156,edge_endpoint_equivalent
100000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033756e-08,0.4268107421402643,36162806.79920822,0.36162806799208214,rigidity_scale_cluster_bound
100000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,bulk_fixed,4.0,0.4999948025437013,1.0000103950206527e-08,1.9192563900121689,383831789.0564663,3.838317890564663,tautological_or_endpoint_only
100000000,2,0.05,theorem1_representative,proved_shape_representative,0.006,high_energy,100.0,0.5,1e-08,11.271974561755105,2254395007.284142,22.54395007284142,high_energy_loss_dominated
100000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,edge_delta_n_alpha,0.26,0.15210809644337234,3.2871360019033756e-08,0.44282827314689877,63820311.98659654,0.6382031198659655,edge_endpoint_equivalent
100000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033756e-08,0.44282827314689877,37716775.434596404,0.37716775434596406,rigidity_scale_cluster_bound
100000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,bulk_fixed,4.0,0.4999948025437013,1.0000103950206527e-08,1.9912830418779235,398233928.8042954,3.982339288042954,tautological_or_endpoint_only
100000000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,high_energy,100.0,0.5,1e-08,11.694993910198713,2338998880.498024,23.38998880498024,high_energy_loss_dominated
100000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,edge_delta_n_alpha,0.26,0.15210809644337234,3.2871360019033756e-08,0.011973892130394322,682212.5942277662,0.006822125942277661,hypothetical_comparison_only
100000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,near_edge_fixed,0.26,0.15210809644337234,3.2871360019033756e-08,0.011973892130394322,654338.6792322814,0.006543386792322814,hypothetical_comparison_only
100000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,bulk_fixed,4.0,0.4999948025437013,1.0000103950206527e-08,0.05384346436393911,10768582.227487938,0.10768582227487938,hypothetical_comparison_only
100000000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,high_energy,100.0,0.5,1e-08,0.3162277660168379,63245556.838598475,0.6324555683859847,hypothetical_comparison_only
