family,L,V,constraint_counts,constraint_total,coefficient_l1_norm_order_leq_8,max_abs_coefficient_order_leq_8,max_abs_derivative_order_leq_8,nearest_singularity_scale,normalized_expression_n,description
rank4_delocalization_toy_s3,9,33,9;9;9;9,36,859747418067329,821614918197760,33127513501733683200,1/32,n^(3)*(n)_33/((n)_9*(n)_9*(n)_9*(n)_9),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,9,32,9;9;9;9,36,314522620126561,297484345190912,11994568798097571840,1/31,n^(4)*(n)_32/((n)_9*(n)_9*(n)_9*(n)_9),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,10,10,10,10,1,1,1,,n^(0)*(n)_10/((n)_10),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,10,11,10,10,11,10,10,1/10,n^(-1)*(n)_11/((n)_10),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,10,19,10;10,20,270393283,221082129,8914031441280,1/18,n^(1)*(n)_19/((n)_10*(n)_10),two length-L labels sharing one vertex
rank2_deficit_k2,10,18,10;10,20,82278433,70560639,2845004964480,1/17,n^(2)*(n)_18/((n)_10*(n)_10),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,10,17,10;10,20,113775123,103242601,4162741672320,1/16,n^(3)*(n)_17/((n)_10*(n)_10),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,10,37,10;10;10;10,40,8392513373949925,8134622943014601,327987997062348712320,1/36,n^(3)*(n)_37/((n)_10*(n)_10*(n)_10*(n)_10),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,10,36,10;10;10;10,40,3677853826172053,3546891060956001,143010647577745960320,1/35,n^(4)*(n)_36/((n)_10*(n)_10*(n)_10*(n)_10),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,11,11,11,11,1,1,1,,n^(0)*(n)_11/((n)_11),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,11,12,11,11,12,11,11,1/11,n^(-1)*(n)_12/((n)_11),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,11,21,11;11,22,362321371,211438250,8525190240000,1/20,n^(1)*(n)_21/((n)_11*(n)_11),two length-L labels sharing one vertex
rank2_deficit_k2,11,20,11;11,22,644556151,598352750,24125582880000,1/19,n^(2)*(n)_20/((n)_11*(n)_11),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,11,19,11;11,22,176060405,133308351,5374992712320,1/18,n^(3)*(n)_19/((n)_11*(n)_11),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,11,41,11;11;11;11,44,60314652949611681,58943416578893000,2376598556460965760000,1/40,n^(3)*(n)_41/((n)_11*(n)_11*(n)_11*(n)_11),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,11,40,11;11;11;11,44,29814027122050041,29051511476361000,1171356942726875520000,1/39,n^(4)*(n)_40/((n)_11*(n)_11*(n)_11*(n)_11),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,12,12,12,12,1,1,1,,n^(0)*(n)_12/((n)_12),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,12,13,12,12,13,12,12,1/12,n^(-1)*(n)_13/((n)_12),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,12,23,12;12,24,4125216943,4003300609,161413080554880,1/22,n^(1)*(n)_23/((n)_12*(n)_12),two length-L labels sharing one vertex
rank2_deficit_k2,12,22,12;12,24,1582423459,1327617929,53529554897280,1/21,n^(2)*(n)_22/((n)_12*(n)_12),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,12,21,12;12,24,741725425,697591091,28126872789120,1/20,n^(3)*(n)_21/((n)_12*(n)_12),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,12,45,12;12;12;12,48,344997803445502373,338934297920817445,13665830892167359382400,1/44,n^(3)*(n)_45/((n)_12*(n)_12*(n)_12*(n)_12),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,12,44,12;12;12;12,48,186144825540176581,182534530587782813,7359792273299403020160,1/43,n^(4)*(n)_44/((n)_12*(n)_12*(n)_12*(n)_12),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,13,13,13,13,1,1,1,,n^(0)*(n)_13/((n)_13),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,13,14,13,13,14,13,13,1/13,n^(-1)*(n)_14/((n)_13),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,13,25,13;13,26,16930354849,15563308320,627512591462400,1/24,n^(1)*(n)_25/((n)_13*(n)_13),two length-L labels sharing one vertex
rank2_deficit_k2,13,24,13;13,26,2147481865,1482343776,59768101048320,1/23,n^(2)*(n)_24/((n)_13*(n)_13),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,13,23,13;13,26,3794555885,3555564839,143360374308480,1/22,n^(3)*(n)_23/((n)_13*(n)_13),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,13,49,13;13;13;13,52,1650972149345210401,1627813580101359552,65633443549686817136640,1/48,n^(3)*(n)_49/((n)_13*(n)_13*(n)_13*(n)_13),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,13,48,13;13;13;13,52,952675883600905969,938128044731232960,37825322763563312947200,1/47,n^(4)*(n)_48/((n)_13*(n)_13*(n)_13*(n)_13),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,14,14,14,14,1,1,1,,n^(0)*(n)_14/((n)_14),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,14,15,14,14,15,14,14,1/14,n^(-1)*(n)_15/((n)_14),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,14,27,14;14,28,33098764921,26890671431,1084231872097920,1/26,n^(1)*(n)_27/((n)_14*(n)_14),two length-L labels sharing one vertex
rank2_deficit_k2,14,26,14;14,28,20078595239,19545770881,788085481921920,1/25,n^(2)*(n)_26/((n)_14*(n)_14),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,14,25,14;14,28,7089438801,6027739119,243038441278080,1/24,n^(3)*(n)_25/((n)_14*(n)_14),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,14,53,14;14;14;14,56,6841475510110383429,6762990723514822745,272683785972117653078400,1/52,n^(3)*(n)_53/((n)_14*(n)_14*(n)_14*(n)_14),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,14,52,14;14;14;14,56,4164405270486405621,4112923150493636817,165833061427903436461440,1/51,n^(4)*(n)_52/((n)_14*(n)_14*(n)_14*(n)_14),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,15,15,15,15,1,1,1,,n^(0)*(n)_15/((n)_15),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,15,16,15,15,16,15,15,1/15,n^(-1)*(n)_16/((n)_15),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,15,29,15;15,30,55215907475,36332871134,1464941364122880,1/28,n^(1)*(n)_29/((n)_15*(n)_15),two length-L labels sharing one vertex
rank2_deficit_k2,15,28,15;15,30,71864157639,67594535386,2725411666763520,1/27,n^(2)*(n)_28/((n)_15*(n)_15),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,15,27,15;15,30,10670521293,8240470351,332255764552320,1/26,n^(3)*(n)_27/((n)_15*(n)_15),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,15,57,15;15;15;15,60,25171270367931190385,24930488893771569976,1005197312196869701432320,1/56,n^(3)*(n)_57/((n)_15*(n)_15*(n)_15*(n)_15),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,15,56,15;15;15;15,60,16004990536817933113,15841306968405196376,638721496966097517880320,1/55,n^(4)*(n)_56/((n)_15*(n)_15*(n)_15*(n)_15),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,16,16,16,16,1,1,1,,n^(0)*(n)_16/((n)_16),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,16,17,16,16,17,16,16,1/16,n^(-1)*(n)_17/((n)_16),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,16,31,16;16,32,477004419781,437871045375,17654960549520000,1/30,n^(1)*(n)_31/((n)_16*(n)_16),two length-L labels sharing one vertex
rank2_deficit_k2,16,30,16;16,32,133771423801,114652569375,4622791597200000,1/29,n^(2)*(n)_30/((n)_16*(n)_16),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,16,29,16;16,32,81819088867,79933848661,3222932778011520,1/28,n^(3)*(n)_29/((n)_16*(n)_16),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,16,61,16;16;16;16,64,83788325562117963781,83109348158374711125,3350968917745668352560000,1/60,n^(3)*(n)_61/((n)_16*(n)_16*(n)_16*(n)_16),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,16,60,16;16;16;16,64,55249937590175650021,54774297790643278125,2208499686918736974000000,1/59,n^(4)*(n)_60/((n)_16*(n)_16*(n)_16*(n)_16),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,17,17,17,17,1,1,1,,n^(0)*(n)_17/((n)_17),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,17,18,17,17,18,17,17,1/17,n^(-1)*(n)_18/((n)_17),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,17,33,17;17,34,1814369986561,1779191781376,71737012625080320,1/32,n^(1)*(n)_33/((n)_17*(n)_17),two length-L labels sharing one vertex
rank2_deficit_k2,17,32,17;17,34,128161836001,73181947904,2950696139489280,1/31,n^(2)*(n)_32/((n)_17*(n)_17),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,17,31,17;17,34,261483657157,249592345569,10063563373342080,1/30,n^(3)*(n)_31/((n)_17*(n)_17),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,17,65,17;17;17;17,68,256046718281400622593,254265678690744504320,10251992164810818414182400,1/64,n^(3)*(n)_65/((n)_17*(n)_17*(n)_17*(n)_17),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,17,64,17;17;17;17,68,174124246936090258881,172844208321319784448,6969078479515613708943360,1/63,n^(4)*(n)_64/((n)_17*(n)_17*(n)_17*(n)_17),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,18,18,18,18,1,1,1,,n^(0)*(n)_18/((n)_18),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,18,19,18,18,19,18,18,1/18,n^(-1)*(n)_19/((n)_18),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,18,35,18;18,36,5049129857731,4808822316065,193891715783740800,1/34,n^(1)*(n)_35/((n)_18*(n)_18),two length-L labels sharing one vertex
rank2_deficit_k2,18,34,18;18,36,1370065851777,1255710835199,50630260875223680,1/33,n^(2)*(n)_34/((n)_18*(n)_18),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,18,33,18;18,36,463074612807,410605649161,16555619774171520,1/32,n^(3)*(n)_33/((n)_18*(n)_18),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,18,69,18;18;18;18,72,726658158940197901541,722270589002228984137,29121950148569872640403840,1/68,n^(3)*(n)_69/((n)_18*(n)_18*(n)_18*(n)_18),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,18,68,18;18;18;18,72,507431502010300254229,504207580584860582945,20329649649181578704342400,1/67,n^(4)*(n)_68/((n)_18*(n)_18*(n)_18*(n)_18),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,19,19,19,19,1,1,1,,n^(0)*(n)_19/((n)_19),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,19,20,19,19,20,19,19,1/19,n^(-1)*(n)_20/((n)_19),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,19,37,19;19,38,9774364980439,8587757620134,346258387243802880,1/36,n^(1)*(n)_37/((n)_19*(n)_19),two length-L labels sharing one vertex
rank2_deficit_k2,19,36,19;19,38,5214821156119,5082758211294,204936811079374080,1/35,n^(2)*(n)_36/((n)_19*(n)_19),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,19,35,19;19,38,245824050389,142327858175,4083737622814080,1/34,n^(3)*(n)_35/((n)_19*(n)_19),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,19,73,19;19;19;19,76,1933149748534671676609,1922919784320439474920,77532125703800119628774400,1/72,n^(3)*(n)_73/((n)_19*(n)_19*(n)_19*(n)_19),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,19,72,19;19;19;19,76,1381382537970713677561,1373719104490658705352,55388354293063358999792640,1/71,n^(4)*(n)_72/((n)_19*(n)_19*(n)_19*(n)_19),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,20,20,20,20,1,1,1,,n^(0)*(n)_20/((n)_20),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,20,21,20,20,21,20,20,1/20,n^(-1)*(n)_21/((n)_20),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,20,39,20;20,40,7540656331647,3812822103241,137296240155607680,1/38,n^(1)*(n)_39/((n)_20*(n)_20),two length-L labels sharing one vertex
rank2_deficit_k2,20,38,20;20,40,14066201534831,13696288322489,552234345162756480,1/37,n^(2)*(n)_38/((n)_20*(n)_20),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,20,37,20;20,40,3574549741143,3275768034099,132078967134871680,1/36,n^(3)*(n)_37/((n)_20*(n)_20),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,20,77,20;20;20;20,80,4857846215860999743525,4835126764535965540901,194952311146090130609128320,1/76,n^(3)*(n)_77/((n)_20*(n)_20*(n)_20*(n)_20),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,20,76,20;20;20;20,80,3542169498925131711813,3524857963175975553501,142122273075255334317160320,1/75,n^(4)*(n)_76/((n)_20*(n)_20*(n)_20*(n)_20),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,21,21,21,21,1,1,1,,n^(0)*(n)_21/((n)_21),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,21,22,21,21,22,21,21,1/21,n^(-1)*(n)_22/((n)_21),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,21,41,21;21,42,62291445251121,50167360060000,2022747957619200000,1/40,n^(1)*(n)_41/((n)_21*(n)_21),two length-L labels sharing one vertex
rank2_deficit_k2,21,40,21;21,42,28083298111881,25931518508000,1045558826242560000,1/39,n^(2)*(n)_40/((n)_21*(n)_21),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,21,39,21;21,42,13620925096605,13233397950839,533570605377828480,1/38,n^(3)*(n)_39/((n)_21*(n)_21),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,21,81,21;21;21;21,84,11604353751204143650721,11556035755646176168000,465939361667653823093760000,1/80,n^(3)*(n)_81/((n)_21*(n)_21*(n)_21*(n)_21),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,21,80,21;21;21;21,84,8614187710416871375441,8576810634907030472000,345817004799451468631040000,1/79,n^(4)*(n)_80/((n)_21*(n)_21*(n)_21*(n)_21),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,22,22,22,22,1,1,1,,n^(0)*(n)_22/((n)_22),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,22,23,22,22,23,22,22,1/22,n^(-1)*(n)_23/((n)_22),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,22,43,22;22,44,306467620066441,274712945637879,11076425968119281280,1/42,n^(1)*(n)_43/((n)_22*(n)_22),two length-L labels sharing one vertex
rank2_deficit_k2,22,42,22;22,44,30919198322839,23251316086719,937493064616510080,1/41,n^(2)*(n)_42/((n)_22*(n)_22),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,22,41,22;22,44,35865031318627,35393366261231,1427060527652833920,1/40,n^(3)*(n)_41/((n)_22*(n)_22),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,22,85,22;22;22;22,88,26491856162214501341893,26393010423431630769945,1064166180272763352644182400,1/84,n^(3)*(n)_85/((n)_22*(n)_22*(n)_22*(n)_22),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,22,84,22;22;22;22,88,19981630939936453961461,19904128258718858159313,802534451391544360983500160,1/83,n^(4)*(n)_84/((n)_22*(n)_22*(n)_22*(n)_22),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,23,23,23,23,1,1,1,,n^(0)*(n)_23/((n)_23),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,23,24,23,23,24,23,23,1/23,n^(-1)*(n)_24/((n)_23),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,23,45,23;23,46,1075861548898291,999326963303570,40292863160399942400,1/44,n^(1)*(n)_45/((n)_23*(n)_23),two length-L labels sharing one vertex
rank2_deficit_k2,23,44,23;23,46,92568069115831,70220490029866,2831290158004197120,1/43,n^(2)*(n)_44/((n)_23*(n)_23),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,23,43,23;23,46,72589847897519,68919671963889,2778841173584004480,1/42,n^(3)*(n)_43/((n)_23*(n)_23),two length-L labels with fixed vertex deficit k=3
