d,eta,q_delta_exponent_eta_minus_d,support_valid_eta_ge_d,endpoint_beating_d_gt_alpha_w,transform_model,compatibility,growth_model,growth_rate_per_t,t_endpoint_n_eta,u_endpoint_t_delta,transform_envelope_endpoint,log10_transform_envelope_endpoint,net_log10_endpoint_after_growth,exponential_damping_exponent_if_any,m22_support_and_endpoint_conditions,success_row,verdict,note
0.004,0.008,0.004,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,1.24738351424,1.11686324778,0.798892382469,-0.0975117198695,0.292535159609,0.008,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.008,0.004,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,1.24738351424,1.11686324778,0.798892382469,-0.0975117198695,0.417133468331,0.008,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,1.31825673856,1.18032063565,1,0,0.286255813643,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,compact_support_only,compatible,reduced_word_family,0.72,1.31825673856,1.18032063565,1,0,0.412208371647,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,1.31825673856,1.18032063565,1,0,0.543886045922,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,1.31825673856,1.18032063565,0.00195810996906,-2.70816292151,-2.42190710787,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,1.31825673856,1.18032063565,0.00195810996906,-2.70816292151,-2.29595454987,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,1.31825673856,1.18032063565,0.00195810996906,-2.70816292151,-2.16427687559,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,1.31825673856,1.18032063565,0.00057384730729,-3.24120365189,-2.95494783825,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,1.31825673856,1.18032063565,0.00057384730729,-3.24120365189,-2.82899528025,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,1.31825673856,1.18032063565,0.00057384730729,-3.24120365189,-2.69731760597,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,1.31825673856,1.18032063565,0.788765500814,-0.103052092912,0.183203720732,0.01,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,1.31825673856,1.18032063565,0.788765500814,-0.103052092912,0.309156278735,0.01,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.01,0.006,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,1.31825673856,1.18032063565,0.788765500814,-0.103052092912,0.440833953011,0.01,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,1.73780082875,1.55596563161,1,0,0.377358655286,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,compact_support_only,compatible,reduced_word_family,0.72,1.73780082875,1.55596563161,1,0,0.543396463612,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,1.73780082875,1.55596563161,1,0,0.716981445044,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,1.73780082875,1.55596563161,0.000548984295732,-3.26044007882,-2.88308142353,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,1.73780082875,1.55596563161,0.000548984295732,-3.26044007882,-2.71704361521,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,1.73780082875,1.55596563161,0.000548984295732,-3.26044007882,-2.54345863377,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,1.73780082875,1.55596563161,0.000203446349451,-3.69155009852,-3.31419144324,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,1.73780082875,1.55596563161,0.000203446349451,-3.69155009852,-3.14815363491,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,1.73780082875,1.55596563161,0.000203446349451,-3.69155009852,-2.97456865348,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,1.73780082875,1.55596563161,0.731393142493,-0.135849115903,0.241509539383,0.02,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,1.73780082875,1.55596563161,0.731393142493,-0.135849115903,0.407547347709,0.02,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.02,0.016,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,1.73780082875,1.55596563161,0.731393142493,-0.135849115903,0.581132329141,0.02,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,3.98107170553,3.56451133426,1,0,0.864478736888,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,compact_support_only,compatible,reduced_word_family,0.72,3.98107170553,3.56451133426,1,0,1.24484938112,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,3.98107170553,3.56451133426,1,0,1.64250960009,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,3.98107170553,3.56451133426,5.30695837679e-06,-5.27515431859,-4.4106755817,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,3.98107170553,3.56451133426,5.30695837679e-06,-5.27515431859,-4.03030493747,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,3.98107170553,3.56451133426,5.30695837679e-06,-5.27515431859,-3.6326447185,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,3.98107170553,3.56451133426,3.23636206361e-06,-5.48994289824,-4.62546416135,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,3.98107170553,3.56451133426,3.23636206361e-06,-5.48994289824,-4.24509351712,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,3.98107170553,3.56451133426,3.23636206361e-06,-5.48994289824,-3.84743329815,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,3.98107170553,3.56451133426,0.488413494556,-0.31121234528,0.553266391608,0.05,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,3.98107170553,3.56451133426,0.488413494556,-0.31121234528,0.933637035839,0.05,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.05,0.046,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,3.98107170553,3.56451133426,0.488413494556,-0.31121234528,1.33129725481,0.05,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,9.12010839356,8.16582371359,1,0,1.98040637484,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,compact_support_only,compatible,reduced_word_family,0.72,9.12010839356,8.16582371359,1,0,2.85178517977,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,9.12010839356,8.16582371359,1,0,3.7627721122,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,9.12010839356,8.16582371359,2.00737263027e-08,-7.69737200158,-5.71696562674,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,9.12010839356,8.16582371359,2.00737263027e-08,-7.69737200158,-4.84558682181,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,9.12010839356,8.16582371359,2.00737263027e-08,-7.69737200158,-3.93459988938,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,9.12010839356,8.16582371359,1.59325392861e-08,-7.79771500197,-5.81730862713,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,9.12010839356,8.16582371359,1.59325392861e-08,-7.79771500197,-4.9459298222,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,9.12010839356,8.16582371359,1.59325392861e-08,-7.79771500197,-4.03494288978,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,9.12010839356,8.16582371359,0.193666143759,-0.712946294943,1.2674600799,0.08,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,9.12010839356,8.16582371359,0.193666143759,-0.712946294943,2.13883888483,0.08,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.08,0.076,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,9.12010839356,8.16582371359,0.193666143759,-0.712946294943,3.04982581726,0.08,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,27.5422870334,24.6603933723,1,0,5.9807316388,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,compact_support_only,compatible,reduced_word_family,0.72,27.5422870334,24.6603933723,1,0,8.61225355987,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,27.5422870334,24.6603933723,1,0,11.3633901137,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,27.5422870334,24.6603933723,5.31977815317e-12,-11.2741064784,-5.2933748396,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,27.5422870334,24.6603933723,5.31977815317e-12,-11.2741064784,-2.66185291853,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,27.5422870334,24.6603933723,5.31977815317e-12,-11.2741064784,0.08928363532,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,27.5422870334,24.6603933723,4.913227817e-12,-11.308633098,-5.3279014592,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,27.5422870334,24.6603933723,4.913227817e-12,-11.308633098,-2.69637953812,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,27.5422870334,24.6603933723,4.913227817e-12,-11.308633098,0.0547570157217,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,27.5422870334,24.6603933723,0.0070296970638,-2.15306338997,3.82766824883,0.12,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,27.5422870334,24.6603933723,0.0070296970638,-2.15306338997,6.4591901699,0.12,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.12,0.116,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,27.5422870334,24.6603933723,0.0070296970638,-2.15306338997,9.21032672375,0.12,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,83.1763771103,74.4731973906,1,0,18.0615208018,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,compact_support_only,compatible,reduced_word_family,0.72,83.1763771103,74.4731973906,1,0,26.0085899547,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,83.1763771103,74.4731973906,1,0,34.3168895235,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,smooth_schwartz_scaled,compatible,geodesic_after_selberg,0.5,83.1763771103,74.4731973906,0,-15.0223419927,3.03917880916,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,smooth_schwartz_scaled,compatible,reduced_word_family,0.72,83.1763771103,74.4731973906,0,-15.0223419927,10.986247962,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,smooth_schwartz_scaled,compatible,quotient_family_proxy,0.95,83.1763771103,74.4731973906,0,-15.0223419927,19.2945475308,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,geodesic_after_selberg,0.5,83.1763771103,74.4731973906,0,-15.0339274909,3.02759331099,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,reduced_word_family,0.72,83.1763771103,74.4731973906,0,-15.0339274909,10.9746624638,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,vanishing_moment_scaled,conditional_zero_mean_not_count_positive,quotient_family_proxy,0.95,83.1763771103,74.4731973906,0,-15.0339274909,19.2829620326,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,geodesic_after_selberg,0.5,83.1763771103,74.4731973906,3.1466795039e-07,-6.50214748866,11.5593733132,0.16,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,reduced_word_family,0.72,83.1763771103,74.4731973906,3.1466795039e-07,-6.50214748866,19.506442466,0.16,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.16,0.156,true,false,noncompact_gaussian_t_tail,incompatible_noncompact_geometric_tail,quotient_family_proxy,0.95,83.1763771103,74.4731973906,3.1466795039e-07,-6.50214748866,27.8147420348,0.16,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.24,0.236,true,false,compact_support_only,compatible,geodesic_after_selberg,0.5,758.577575029,679.203632617,1,0,164.723027465,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.24,0.236,true,false,compact_support_only,compatible,reduced_word_family,0.72,758.577575029,679.203632617,1,0,237.20115955,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
0.004,0.24,0.236,true,false,compact_support_only,compatible,quotient_family_proxy,0.95,758.577575029,679.203632617,1,0,312.973752184,0,false,false,not_endpoint_beating,d is not above the inherited endpoint-subtraction threshold
