n,Lambda,regime,Delta_exponent_d,Delta_lambda,delta_r_exact,delta_r_exponent,support_model,support_type,eta,support_R,support_exponent,R_delta_r,R_delta_exponent,asymptotic_R_delta,kernel,leakage_proxy,resolved_flag,small_leakage_flag,classification
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.004,1.05681750921,0.004,1.05681750921,0.004,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.006,1.08642562362,0.006,1.08642562362,0.006,goes_to_infinity,gaussian_fourier_tail,0.277290730183,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.006,1.08642562362,0.006,1.08642562362,0.006,goes_to_infinity,exponential_tail_proxy,0.337420408342,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.006,1.08642562362,0.006,1.08642562362,0.006,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.008,1.11686324778,0.008,1.11686324778,0.008,goes_to_infinity,gaussian_fourier_tail,0.264052800883,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.008,1.11686324778,0.008,1.11686324778,0.008,goes_to_infinity,exponential_tail_proxy,0.327304860341,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.008,1.11686324778,0.008,1.11686324778,0.008,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.01,1.1481536215,0.01,1.1481536215,0.01,goes_to_infinity,gaussian_fourier_tail,0.250905151382,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.01,1.1481536215,0.01,1.1481536215,0.01,goes_to_infinity,exponential_tail_proxy,0.317221940761,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.01,1.1481536215,0.01,1.1481536215,0.01,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.02,1.31825673856,0.02,1.31825673856,0.02,goes_to_infinity,gaussian_fourier_tail,0.187417717678,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.02,1.31825673856,0.02,1.31825673856,0.02,goes_to_infinity,exponential_tail_proxy,0.267601394781,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.02,1.31825673856,0.02,1.31825673856,0.02,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.05,1.99526231497,0.05,1.99526231497,0.05,goes_to_infinity,gaussian_fourier_tail,0.0460142777557,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.05,1.99526231497,0.05,1.99526231497,0.05,goes_to_infinity,exponential_tail_proxy,0.135977980428,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.05,1.99526231497,0.05,1.99526231497,0.05,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.1,3.98107170553,0.1,3.98107170553,0.1,goes_to_infinity,gaussian_fourier_tail,6.86052477328e-05,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.1,3.98107170553,0.1,3.98107170553,0.1,goes_to_infinity,exponential_tail_proxy,0.0186656245615,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.1,3.98107170553,0.1,3.98107170553,0.1,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.25,31.6227766017,0.25,31.6227766017,0.25,goes_to_infinity,gaussian_fourier_tail,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.25,31.6227766017,0.25,31.6227766017,0.25,goes_to_infinity,exponential_tail_proxy,1.84672666241e-14,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.25,31.6227766017,0.25,31.6227766017,0.25,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.5,1000,0.5,1000,0.5,goes_to_infinity,gaussian_fourier_tail,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.5,1000,0.5,1000,0.5,goes_to_infinity,exponential_tail_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.5,1000,0.5,1000,0.5,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,log_n,sub_polynomial,0,13.815510558,0,13.6259546468,-0.001,goes_to_zero,gaussian_fourier_tail,0,false,true,negative obstruction
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,log_n,sub_polynomial,0,13.815510558,0,13.6259546468,-0.001,goes_to_zero,exponential_tail_proxy,1.20871270258e-06,false,true,negative obstruction
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,log_n,sub_polynomial,0,13.815510558,0,13.6259546468,-0.001,goes_to_zero,compact_fejer_transition_proxy,0,false,true,negative obstruction
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0,1,0,0.986279485631,-0.001,goes_to_zero,gaussian_fourier_tail,0.323995983632,false,false,negative obstruction
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0,1,0,0.986279485631,-0.001,goes_to_zero,exponential_tail_proxy,0.372961722357,false,false,negative obstruction
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0,1,0,0.986279485631,-0.001,goes_to_zero,compact_fejer_transition_proxy,0.0137205143688,false,false,negative obstruction
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.002,1.02801629813,0.002,1.01391138574,0.001,goes_to_infinity,gaussian_fourier_tail,0.31062503797,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.002,1.02801629813,0.002,1.01391138574,0.001,goes_to_infinity,exponential_tail_proxy,0.362797161103,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.002,1.02801629813,0.002,1.01391138574,0.001,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.004,1.05681750921,0.004,1.04231742939,0.003,goes_to_infinity,gaussian_fourier_tail,0.297264534217,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.004,1.05681750921,0.004,1.04231742939,0.003,goes_to_infinity,exponential_tail_proxy,0.352636524067,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.004,1.05681750921,0.004,1.04231742939,0.003,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.006,1.08642562362,0.006,1.07151930524,0.005,goes_to_infinity,gaussian_fourier_tail,0.283935995065,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.006,1.08642562362,0.006,1.07151930524,0.005,goes_to_infinity,exponential_tail_proxy,0.342487778463,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.006,1.08642562362,0.006,1.07151930524,0.005,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.008,1.11686324778,0.008,1.10153930954,0.007,goes_to_infinity,gaussian_fourier_tail,0.270662005782,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.008,1.11686324778,0.008,1.10153930954,0.007,goes_to_infinity,exponential_tail_proxy,0.332359086225,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.008,1.11686324778,0.008,1.10153930954,0.007,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.01,1.1481536215,0.01,1.13240036324,0.009,goes_to_infinity,gaussian_fourier_tail,0.25746615223,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.01,1.1481536215,0.01,1.13240036324,0.009,goes_to_infinity,exponential_tail_proxy,0.322258789143,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.01,1.1481536215,0.01,1.13240036324,0.009,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.02,1.31825673856,0.02,1.30016957803,0.019,goes_to_infinity,gaussian_fourier_tail,0.19354285488,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.02,1.31825673856,0.02,1.30016957803,0.019,goes_to_infinity,exponential_tail_proxy,0.272485581547,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.02,1.31825673856,0.02,1.30016957803,0.019,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.05,1.99526231497,0.05,1.96788628971,0.049,goes_to_infinity,gaussian_fourier_tail,0.0490811226571,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.05,1.99526231497,0.05,1.96788628971,0.049,goes_to_infinity,exponential_tail_proxy,0.139751939358,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.05,1.99526231497,0.05,1.96788628971,0.049,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.1,3.98107170553,0.1,3.926449354,0.099,goes_to_infinity,gaussian_fourier_tail,8.62090341996e-05,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.1,3.98107170553,0.1,3.926449354,0.099,goes_to_infinity,exponential_tail_proxy,0.0197135442519,true,false,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.1,3.98107170553,0.1,3.926449354,0.099,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.25,31.6227766017,0.25,31.1888958409,0.249,goes_to_infinity,gaussian_fourier_tail,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.25,31.6227766017,0.25,31.1888958409,0.249,goes_to_infinity,exponential_tail_proxy,2.84993293087e-14,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.25,31.6227766017,0.25,31.1888958409,0.249,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.5,1000,0.5,986.279485631,0.499,goes_to_infinity,gaussian_fourier_tail,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.5,1000,0.5,986.279485631,0.499,goes_to_infinity,exponential_tail_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.002,0.972747223777,0.986279485631,0.001,n_eta,polynomial,0.5,1000,0.5,986.279485631,0.499,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,log_n,sub_polynomial,0,13.815510558,0,13.4389995403,-0.002,goes_to_zero,gaussian_fourier_tail,0,false,true,negative obstruction
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,log_n,sub_polynomial,0,13.815510558,0,13.4389995403,-0.002,goes_to_zero,exponential_tail_proxy,1.45719159415e-06,false,true,negative obstruction
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,log_n,sub_polynomial,0,13.815510558,0,13.4389995403,-0.002,goes_to_zero,compact_fejer_transition_proxy,0,false,true,negative obstruction
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0,1,0,0.972747223777,-0.002,goes_to_zero,gaussian_fourier_tail,0.330678948512,false,false,negative obstruction
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0,1,0,0.972747223777,-0.002,goes_to_zero,exponential_tail_proxy,0.378043041374,false,false,negative obstruction
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0,1,0,0.972747223777,-0.002,goes_to_zero,compact_fejer_transition_proxy,0.027252776223,false,false,negative obstruction
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.002,1.02801629813,0.002,1,0,stays_bounded,gaussian_fourier_tail,0.317310507863,true,false,fixed-quality only
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.002,1.02801629813,0.002,1,0,stays_bounded,exponential_tail_proxy,0.367879441171,true,false,fixed-quality only
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.002,1.02801629813,0.002,1,0,stays_bounded,compact_fejer_transition_proxy,0,true,true,fixed-quality only
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.004,1.05681750921,0.004,1.02801629813,0.002,goes_to_infinity,gaussian_fourier_tail,0.303942161204,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.004,1.05681750921,0.004,1.02801629813,0.002,goes_to_infinity,exponential_tail_proxy,0.357715858835,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.004,1.05681750921,0.004,1.02801629813,0.002,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.006,1.08642562362,0.006,1.05681750921,0.004,goes_to_infinity,gaussian_fourier_tail,0.290594881746,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.006,1.08642562362,0.006,1.05681750921,0.004,goes_to_infinity,exponential_tail_proxy,0.347560159112,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.006,1.08642562362,0.006,1.05681750921,0.004,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.008,1.11686324778,0.008,1.08642562362,0.006,goes_to_infinity,gaussian_fourier_tail,0.277290730183,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.008,1.11686324778,0.008,1.08642562362,0.006,goes_to_infinity,exponential_tail_proxy,0.337420408342,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.008,1.11686324778,0.008,1.08642562362,0.006,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.01,1.1481536215,0.01,1.11686324778,0.008,goes_to_infinity,gaussian_fourier_tail,0.264052800883,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.01,1.1481536215,0.01,1.11686324778,0.008,goes_to_infinity,exponential_tail_proxy,0.327304860341,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.01,1.1481536215,0.01,1.11686324778,0.008,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.02,1.31825673856,0.02,1.28233058266,0.018,goes_to_infinity,gaussian_fourier_tail,0.199726704066,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.02,1.31825673856,0.02,1.28233058266,0.018,goes_to_infinity,exponential_tail_proxy,0.277390066053,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.02,1.31825673856,0.02,1.28233058266,0.018,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.05,1.99526231497,0.05,1.94088587759,0.048,goes_to_infinity,gaussian_fourier_tail,0.052272121352,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.05,1.99526231497,0.05,1.94088587759,0.048,goes_to_infinity,exponential_tail_proxy,0.14357670204,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.05,1.99526231497,0.05,1.94088587759,0.048,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.1,3.98107170553,0.1,3.87257644922,0.098,goes_to_infinity,gaussian_fourier_tail,0.000107690880902,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.1,3.98107170553,0.1,3.87257644922,0.098,goes_to_infinity,exponential_tail_proxy,0.0208046980661,true,false,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.1,3.98107170553,0.1,3.87257644922,0.098,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.25,31.6227766017,0.25,30.7609681474,0.248,goes_to_infinity,gaussian_fourier_tail,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.25,31.6227766017,0.25,30.7609681474,0.248,goes_to_infinity,exponential_tail_proxy,4.37201129812e-14,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.25,31.6227766017,0.25,30.7609681474,0.248,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.5,1000,0.5,972.747223777,0.498,goes_to_infinity,gaussian_fourier_tail,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.5,1000,0.5,972.747223777,0.498,goes_to_infinity,exponential_tail_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.004,0.946237161366,0.972747223777,0.002,n_eta,polynomial,0.5,1000,0.5,972.747223777,0.498,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,log_n,sub_polynomial,0,13.815510558,0,13.254609554,-0.003,goes_to_zero,gaussian_fourier_tail,0,false,true,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,log_n,sub_polynomial,0,13.815510558,0,13.254609554,-0.003,goes_to_zero,exponential_tail_proxy,1.75225057393e-06,false,true,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,log_n,sub_polynomial,0,13.815510558,0,13.254609554,-0.003,goes_to_zero,compact_fejer_transition_proxy,0,false,true,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0,1,0,0.959400631516,-0.003,goes_to_zero,gaussian_fourier_tail,0.337356957092,false,false,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0,1,0,0.959400631516,-0.003,goes_to_zero,exponential_tail_proxy,0.383122448693,false,false,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0,1,0,0.959400631516,-0.003,goes_to_zero,compact_fejer_transition_proxy,0.0405993684841,false,false,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.002,1.02801629813,0.002,0.986279485631,-0.001,goes_to_zero,gaussian_fourier_tail,0.323995983632,false,false,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.002,1.02801629813,0.002,0.986279485631,-0.001,goes_to_zero,exponential_tail_proxy,0.372961722357,false,false,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.002,1.02801629813,0.002,0.986279485631,-0.001,goes_to_zero,compact_fejer_transition_proxy,0.0137205143688,false,false,negative obstruction
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.004,1.05681750921,0.004,1.01391138574,0.001,goes_to_infinity,gaussian_fourier_tail,0.31062503797,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.004,1.05681750921,0.004,1.01391138574,0.001,goes_to_infinity,exponential_tail_proxy,0.362797161103,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.004,1.05681750921,0.004,1.01391138574,0.001,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.006,1.08642562362,0.006,1.04231742939,0.003,goes_to_infinity,gaussian_fourier_tail,0.297264534217,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.006,1.08642562362,0.006,1.04231742939,0.003,goes_to_infinity,exponential_tail_proxy,0.352636524067,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.006,1.08642562362,0.006,1.04231742939,0.003,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.008,1.11686324778,0.008,1.07151930524,0.005,goes_to_infinity,gaussian_fourier_tail,0.283935995065,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.008,1.11686324778,0.008,1.07151930524,0.005,goes_to_infinity,exponential_tail_proxy,0.342487778463,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.008,1.11686324778,0.008,1.07151930524,0.005,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.01,1.1481536215,0.01,1.10153930954,0.007,goes_to_infinity,gaussian_fourier_tail,0.270662005782,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.01,1.1481536215,0.01,1.10153930954,0.007,goes_to_infinity,exponential_tail_proxy,0.332359086225,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.01,1.1481536215,0.01,1.10153930954,0.007,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.02,1.31825673856,0.02,1.26473634747,0.017,goes_to_infinity,gaussian_fourier_tail,0.205965855763,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.02,1.31825673856,0.02,1.26473634747,0.017,goes_to_infinity,exponential_tail_proxy,0.282313719055,true,false,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.02,1.31825673856,0.02,1.26473634747,0.017,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0.006,0.920449571753,0.959400631516,0.003,n_eta,polynomial,0.05,1.99526231497,0.05,1.91425592502,0.047,goes_to_infinity,gaussian_fourier_tail,0.0555874631025,true,false,small leakage asymptotically
