kappa,alpha_W,d,eta,mechanism,support_valid,endpoint_beating,required_beta,candidate_beta,conditional_success_if_new_surface_input_proved,paper_proved_success,failure_reason
5.0,0.006,0.02,0.18,stronger_surface_lemma33_target,True,True,0.8399999999999999,0.79,False,False,candidate_saving_too_small
5.0,0.006,0.05,0.02,existing_markov_interpolation,False,True,-0.7,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.05,0.02,coefficient_variation_target,False,True,-0.7,0.04,False,False,support_invalid_eta_lt_d
5.0,0.006,0.05,0.02,direct_small_x_target,False,True,-0.7,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.05,0.02,stronger_surface_lemma33_target,False,True,-0.7,0.31,False,False,support_invalid_eta_lt_d
5.0,0.006,0.05,0.05,existing_markov_interpolation,True,True,-0.4,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.05,0.05,coefficient_variation_target,True,True,-0.4,0.1,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.05,0.05,direct_small_x_target,True,True,-0.4,0.35,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.05,0.05,stronger_surface_lemma33_target,True,True,-0.4,0.4,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.05,0.08,existing_markov_interpolation,True,True,-0.09999999999999998,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.05,0.08,coefficient_variation_target,True,True,-0.09999999999999998,0.16,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.05,0.08,direct_small_x_target,True,True,-0.09999999999999998,0.35,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.05,0.08,stronger_surface_lemma33_target,True,True,-0.09999999999999998,0.49,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.05,0.12,existing_markov_interpolation,True,True,0.30000000000000004,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.05,0.12,coefficient_variation_target,True,True,0.30000000000000004,0.24,False,False,candidate_saving_too_small
5.0,0.006,0.05,0.12,direct_small_x_target,True,True,0.30000000000000004,0.35,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.05,0.12,stronger_surface_lemma33_target,True,True,0.30000000000000004,0.61,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.05,0.18,existing_markov_interpolation,True,True,0.8999999999999999,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.05,0.18,coefficient_variation_target,True,True,0.8999999999999999,0.36,False,False,candidate_saving_too_small
5.0,0.006,0.05,0.18,direct_small_x_target,True,True,0.8999999999999999,0.35,False,False,candidate_saving_too_small
5.0,0.006,0.05,0.18,stronger_surface_lemma33_target,True,True,0.8999999999999999,0.79,False,False,candidate_saving_too_small
5.0,0.006,0.08,0.02,existing_markov_interpolation,False,True,-0.64,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.08,0.02,coefficient_variation_target,False,True,-0.64,0.04,False,False,support_invalid_eta_lt_d
5.0,0.006,0.08,0.02,direct_small_x_target,False,True,-0.64,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.08,0.02,stronger_surface_lemma33_target,False,True,-0.64,0.31,False,False,support_invalid_eta_lt_d
5.0,0.006,0.08,0.05,existing_markov_interpolation,False,True,-0.33999999999999997,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.08,0.05,coefficient_variation_target,False,True,-0.33999999999999997,0.1,False,False,support_invalid_eta_lt_d
5.0,0.006,0.08,0.05,direct_small_x_target,False,True,-0.33999999999999997,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.08,0.05,stronger_surface_lemma33_target,False,True,-0.33999999999999997,0.4,False,False,support_invalid_eta_lt_d
5.0,0.006,0.08,0.08,existing_markov_interpolation,True,True,-0.039999999999999925,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.08,0.08,coefficient_variation_target,True,True,-0.039999999999999925,0.16,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.08,0.08,direct_small_x_target,True,True,-0.039999999999999925,0.35,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.08,0.08,stronger_surface_lemma33_target,True,True,-0.039999999999999925,0.49,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.08,0.12,existing_markov_interpolation,True,True,0.3599999999999999,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.08,0.12,coefficient_variation_target,True,True,0.3599999999999999,0.24,False,False,candidate_saving_too_small
5.0,0.006,0.08,0.12,direct_small_x_target,True,True,0.3599999999999999,0.35,False,False,candidate_saving_too_small
5.0,0.006,0.08,0.12,stronger_surface_lemma33_target,True,True,0.3599999999999999,0.61,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.08,0.18,existing_markov_interpolation,True,True,0.9599999999999997,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.08,0.18,coefficient_variation_target,True,True,0.9599999999999997,0.36,False,False,candidate_saving_too_small
5.0,0.006,0.08,0.18,direct_small_x_target,True,True,0.9599999999999997,0.35,False,False,candidate_saving_too_small
5.0,0.006,0.08,0.18,stronger_surface_lemma33_target,True,True,0.9599999999999997,0.79,False,False,candidate_saving_too_small
5.0,0.006,0.12,0.02,existing_markov_interpolation,False,True,-0.56,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.02,coefficient_variation_target,False,True,-0.56,0.04,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.02,direct_small_x_target,False,True,-0.56,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.02,stronger_surface_lemma33_target,False,True,-0.56,0.31,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.05,existing_markov_interpolation,False,True,-0.26,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.05,coefficient_variation_target,False,True,-0.26,0.1,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.05,direct_small_x_target,False,True,-0.26,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.05,stronger_surface_lemma33_target,False,True,-0.26,0.4,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.08,existing_markov_interpolation,False,True,0.040000000000000036,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.08,coefficient_variation_target,False,True,0.040000000000000036,0.16,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.08,direct_small_x_target,False,True,0.040000000000000036,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.08,stronger_surface_lemma33_target,False,True,0.040000000000000036,0.49,False,False,support_invalid_eta_lt_d
5.0,0.006,0.12,0.12,existing_markov_interpolation,True,True,0.43999999999999995,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.12,0.12,coefficient_variation_target,True,True,0.43999999999999995,0.24,False,False,candidate_saving_too_small
5.0,0.006,0.12,0.12,direct_small_x_target,True,True,0.43999999999999995,0.35,False,False,candidate_saving_too_small
5.0,0.006,0.12,0.12,stronger_surface_lemma33_target,True,True,0.43999999999999995,0.61,True,False,conditional_on_new_surface_group_theorem
5.0,0.006,0.12,0.18,existing_markov_interpolation,True,True,1.04,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.12,0.18,coefficient_variation_target,True,True,1.04,0.36,False,False,candidate_saving_too_small
5.0,0.006,0.12,0.18,direct_small_x_target,True,True,1.04,0.35,False,False,candidate_saving_too_small
5.0,0.006,0.12,0.18,stronger_surface_lemma33_target,True,True,1.04,0.79,False,False,candidate_saving_too_small
5.0,0.006,0.18,0.02,existing_markov_interpolation,False,True,-0.43999999999999995,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.02,coefficient_variation_target,False,True,-0.43999999999999995,0.04,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.02,direct_small_x_target,False,True,-0.43999999999999995,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.02,stronger_surface_lemma33_target,False,True,-0.43999999999999995,0.31,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.05,existing_markov_interpolation,False,True,-0.14,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.05,coefficient_variation_target,False,True,-0.14,0.1,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.05,direct_small_x_target,False,True,-0.14,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.05,stronger_surface_lemma33_target,False,True,-0.14,0.4,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.08,existing_markov_interpolation,False,True,0.16000000000000014,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.08,coefficient_variation_target,False,True,0.16000000000000014,0.16,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.08,direct_small_x_target,False,True,0.16000000000000014,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.08,stronger_surface_lemma33_target,False,True,0.16000000000000014,0.49,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.12,existing_markov_interpolation,False,True,0.56,0.0,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.12,coefficient_variation_target,False,True,0.56,0.24,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.12,direct_small_x_target,False,True,0.56,0.35,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.12,stronger_surface_lemma33_target,False,True,0.56,0.61,False,False,support_invalid_eta_lt_d
5.0,0.006,0.18,0.18,existing_markov_interpolation,True,True,1.1599999999999997,0.0,False,False,baseline_no_new_beta_saving
5.0,0.006,0.18,0.18,coefficient_variation_target,True,True,1.1599999999999997,0.36,False,False,candidate_saving_too_small
5.0,0.006,0.18,0.18,direct_small_x_target,True,True,1.1599999999999997,0.35,False,False,candidate_saving_too_small
5.0,0.006,0.18,0.18,stronger_surface_lemma33_target,True,True,1.1599999999999997,0.79,False,False,candidate_saving_too_small
