L,canonical_key,multiplicity,V,count_a,count_b,conflict,rank_proxy,cyclic_proxy,profile_expression,notes
3,0a2;0b1;1b0;2b2,8,3,1,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b2;1a0;1b0,8,3,2,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)/(n-0)*(n-1)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b2;1a0;1b1,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b2;1a0;2a1,24,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b2;1a0;2b1,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b2;1a1;1b0,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b2;1b0;2a1,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b2;1b0;2b1,24,3,1,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;1b0;2a3,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;1b0;3b2,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;1b1;2a3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;1b1;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;1b2;2a3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;1b2;3a1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;1b2;3a3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;1b2;3b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2a1;3a3,8,4,4,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2a1;3b1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2a1;3b2,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2a3;2b1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2a3;3a1,8,4,4,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2a3;3b1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2b0;3a1,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2b0;3b1,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2b1;3a1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2b1;3a3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2b1;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2b2;3a1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;2b2;3b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a0;3a1;3b2,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a1;1b0;2a3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a1;1b0;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a3;1b0;2a1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a3;1b0;2b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a3;1b0;2b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1a3;1b0;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2a1;3a3,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2a1;3b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2a1;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2a3;2b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2a3;3a1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2a3;3b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2b1;3a1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2b1;3a3,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2b1;3b2,8,4,1,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2b2;3a1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;2b2;3b1,8,4,1,4,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;0b3;1b0;3a1;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b0;2a1,24,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b0;2b1,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b0;2b2,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b1;2a1,8,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b1;2b0,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b1;2b2,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b2,4,3,2,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b2;2a1,8,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b2;2b0,24,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;1b2;2b1,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;2a1,4,3,3,0,yes,rank_one,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;2a1;2b0,24,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;2a1;2b1,8,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;2a1;2b2,8,3,3,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a0;2b1,4,3,2,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a1;1b0;2b1,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1a1;1b0;2b2,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1b0;2a1,4,3,2,1,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1b0;2a1;2b1,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1b0;2a1;2b2,8,3,2,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a2;1b0;2b1,4,3,1,2,yes,rank_two_noncyclic,yes,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b1;1a0;2b0;3a2,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b1;1a0;2b0;3b2,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b2;1a0;1b3;2b0,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b2;1a0;2b0;3a1,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b2;1a0;2b0;3b1,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b3;1a0;1b2;2b0,8,4,2,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b3;1a0;2a1;2b0,8,4,3,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;1b2;2b0;3a4,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;1b2;2b0;4b3,8,5,2,4,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2)*(n-3),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;1b3;2a4;2b0,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;1b3;2b0;4a2,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;1b3;2b0;4b2,8,5,2,4,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2)*(n-3),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2a1;2b0;3a4,8,5,4,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-3)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2a1;2b0;4b3,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2a4;2b0;3a1,8,5,4,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-3)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2a4;2b0;3b1,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2b0;3a1;4a2,8,5,4,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-3)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2b0;3a1;4b2,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2b0;3a2;4a1,8,5,4,2,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-3)*(n-0)*(n-1),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2b0;3a2;4b1,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2b0;3b1;4a2,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2b0;3b1;4b2,8,5,2,4,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2)*(n-3),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2b0;3b2;4a1,8,5,3,3,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-2)*(n-0)*(n-1)*(n-2),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;0b4;1a0;2b0;3b2;4b1,8,5,2,4,no,rank_two_noncyclic,no,(n-0)*(n-1)*(n-2)*(n-3)*(n-4)/(n-0)*(n-1)*(n-0)*(n-1)*(n-2)*(n-3),folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b1;2b0;3a2,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b1;2b0;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b2;2b0;3a1,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b2;2b0;3a2,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b2;2b0;3b1,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b2;2b0;3b3,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b3;2a1;2b0,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b3;2a2;2b0,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b3;2b0;3a2,8,4,3,2,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;1b3;2b0;3b2,8,4,2,3,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
3,0a3;1a0;2a1;2b0;3a2,8,4,4,1,yes,rank_two_noncyclic,no,conflict,folded two-loop skeleton from ordered reduced-word pairs
