row_id	severity	classification	reason	message
22	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M1.6' has no ledger events yet
23	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M2.T2' has no ledger events yet
24	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M1.8' has no ledger events yet
25	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M3.T4' has no ledger events yet
26	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M5.1' has no ledger events yet
27	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M3.T1' has no ledger events yet
28	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M4.A1–An' has no ledger events yet
29	warning	manager_artifact	plan table header parsed as a milestone by validator	plan milestone 'Milestone' has no ledger events yet
30	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M1.9' has no ledger events yet
31	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M3.T5' has no ledger events yet
32	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M2.T4' has no ledger events yet
33	warning	manager_artifact	plan timestamp warning caused by post-pivot plan/ledger bookkeeping	plan_of_record.md mtime is 4082s newer than the latest '_plan/' ledger event — possible silent edit
34	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/cycles/report_cycles_1-3_clone_1.md (no ledger event references it)
35	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/cycles/report_cycles_1-3_clone_1.pdf (no ledger event references it)
36	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/cycles/report_cycles_1-3_clone_2.md (no ledger event references it)
37	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/cycles/report_cycles_1-3_clone_2.pdf (no ledger event references it)
38	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/cycles/report_cycles_1-3_clone_3.md (no ledger event references it)
39	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/cycles/report_cycles_1-3_clone_3.pdf (no ledger event references it)
40	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/cycles/report_cycles_1-3_clone_6.md (no ledger event references it)
41	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/cycles/report_cycles_1-3_clone_6.pdf (no ledger event references it)
42	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/final/draft.md (no ledger event references it)
43	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/final/final_report.committed (no ledger event references it)
44	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/final/final_report.md (no ledger event references it)
45	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/final/final_report.pdf (no ledger event references it)
46	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/final/outline.md (no ledger event references it)
47	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	orphan artifact in managed path: reports/final/run_mode.json (no ledger event references it)
48	warning	active_phytograph	Track 1 / M1.3 reticulation artifact awaiting owning clone ledger event	orphan artifact in managed path: scripts/check_reticulation_handoff.py (no ledger event references it)
49	warning	active_phytograph	Track 1 / M1.3 reticulation artifact awaiting owning clone ledger event	orphan artifact in managed path: scripts/ingest_reticulation_sources.py (no ledger event references it)
50	warning	active_phytograph	M1.6 domestication source artifact awaiting owning clone ledger event	orphan artifact in managed path: scripts/m1_6_domestication/assertions.py (no ledger event references it)
51	warning	active_phytograph	M1.6 domestication source artifact awaiting owning clone ledger event	orphan artifact in managed path: scripts/m1_6_domestication/build_staging.py (no ledger event references it)
52	warning	active_phytograph	M1.6 domestication source artifact awaiting owning clone ledger event	orphan artifact in managed path: scripts/m1_6_domestication/probe_sources.sh (no ledger event references it)
53	warning	active_phytograph	Track 1 / M1.3 reticulation artifact awaiting owning clone ledger event	orphan artifact in managed path: scripts/plot_m1_3_scale_gap_closure.py (no ledger event references it)
54	warning	active_phytograph	Track 1 / M1.3 reticulation artifact awaiting owning clone ledger event	orphan artifact in managed path: scripts/reticulation_bulk_intake.py (no ledger event references it)
55	warning	active_phytograph	M1.6 domestication source artifact awaiting owning clone ledger event	orphan artifact in managed path: tests/m1_6_domestication/test_heldout_leakage.py (no ledger event references it)
56	warning	active_phytograph	M1.6 domestication source artifact awaiting owning clone ledger event	orphan artifact in managed path: tests/m1_6_domestication/test_license_compliance.py (no ledger event references it)
57	warning	active_phytograph	M1.6 domestication source artifact awaiting owning clone ledger event	orphan artifact in managed path: tests/m1_6_domestication/test_provenance_uniformity.py (no ledger event references it)
58	warning	active_phytograph	M1.6 domestication source artifact awaiting owning clone ledger event	orphan artifact in managed path: tests/m1_6_domestication/test_schema_conformance.py (no ledger event references it)
59	warning	active_phytograph	Track 1 / M1.3 reticulation artifact awaiting owning clone ledger event	orphan artifact in managed path: tests/test_reticulation_bulk_intake.py (no ledger event references it)
60	warning	active_phytograph	Track 1 / M1.3 reticulation artifact awaiting owning clone ledger event	orphan artifact in managed path: tests/test_reticulation_format_readiness.py (no ledger event references it)
61	warning	active_phytograph	Track 1 / M1.3 reticulation artifact awaiting owning clone ledger event	orphan artifact in managed path: tests/test_reticulation_staging.py (no ledger event references it)
62	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T014540Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
63	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T024541Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
64	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T034541Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
65	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T044542Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
66	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T054542Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
67	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T064542Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
68	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T074542Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
69	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T084543Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
70	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T094543Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
71	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T104543Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
72	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T114543Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
73	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T124544Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
74	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T134544Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
75	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T144545Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
76	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T154545Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
77	warning	manager_artifact	manager lifecycle artifact, not source staging evidence	ledger-tracked artifact missing: long-exposure/manager_assessments/manager_assessment_20260517T172823Z.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
78	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_10-12.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
79	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_10-12.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
80	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_13-15.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
81	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_13-15.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
82	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_16-18.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
83	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_16-18.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
84	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_19-21.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
85	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_19-21.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
86	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_22-24.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
87	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_22-24.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
88	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_25-27.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
89	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_25-27.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
90	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_28-30.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
91	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_28-30.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
92	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_31-33.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
93	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_31-33.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
94	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_34-36.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
95	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_34-36.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
96	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_37-39.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
97	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_37-39.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
98	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_40-42.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
99	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_40-42.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
100	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_43-45.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
101	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_43-45.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
102	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_46-48.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
103	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_46-48.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
104	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_49-51.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
105	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_49-51.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
106	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_52-54.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
107	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_52-54.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
108	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_55-57.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
109	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_55-57.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
110	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_58-60.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
111	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_58-60.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
112	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_61-63.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
113	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_61-63.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
114	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_64-66.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
115	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_64-66.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
116	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_67-69.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
117	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_67-69.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
118	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_70-72.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
119	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_70-72.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
120	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_73-75.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
121	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_73-75.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
122	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_76-77.md (referenced by an event but not on disk and no '_archive/*' event explains the move)
123	warning	legacy_prior_campaign	prior-campaign report artifact outside active PhytoGraph obligations	ledger-tracked artifact missing: reports/cycles/report_cycles_76-77.pdf (referenced by an event but not on disk and no '_archive/*' event explains the move)
