accepted_taxon_key	n_assertions	n_sources	n_compounds	n_papers	dominant_source	dominant_source_share
wfo:wfo-0000041928-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000042097-2025-12	374	1	240	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000043582-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000043654-2025-12	11	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000044299-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000044404-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000044669-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000044918-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000046195-2025-12	17	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000046201-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000046429-2025-12	8	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000047402-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000048092-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000050276-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000052471-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000059624-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000060218-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000061948-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000063421-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000063493-2025-12	16	1	13	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000065501-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000066428-2025-12	84	1	78	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000066476-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000066495-2025-12	57	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000067526-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000068428-2025-12	19	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000068556-2025-12	11	1	9	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000068600-2025-12	22	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000068926-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000069682-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000069925-2025-12	8	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000070109-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000070506-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000072190-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000072578-2025-12	31	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000075797-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000076245-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000076707-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000078296-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000078435-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000078635-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000078782-2025-12	101	1	101	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000078900-2025-12	340	1	239	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000080123-2025-12	68	1	28	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000080179-2025-12	16	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000080260-2025-12	20	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000080410-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000082156-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000083255-2025-12	263	1	230	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000084245-2025-12	12	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000084708-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000084908-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000085174-2025-12	41	1	15	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000085256-2025-12	1	1	1	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000085603-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000086061-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000086394-2025-12	10	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000090831-2025-12	43	1	43	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000092435-2025-12	17	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000092579-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000093680-2025-12	7	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000094848-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000095644-2025-12	14	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000095986-2025-12	379	1	212	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000096460-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000102333-2025-12	1	1	1	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000104449-2025-12	7	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000109185-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000111292-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000113984-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000114003-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000114080-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000114552-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000115024-2025-12	126	1	90	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000115588-2025-12	179	1	92	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000115756-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000115943-2025-12	113	1	51	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000117319-2025-12	17	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000117437-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000121162-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000121471-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000121813-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000122653-2025-12	13	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000123364-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000124228-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000125631-2025-12	23	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000126077-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000129780-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000129793-2025-12	43	1	22	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000129986-2025-12	18	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000130392-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000130677-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000130864-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000130944-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000132960-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000134589-2025-12	106	1	75	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000135188-2025-12	23	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000135717-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000137401-2025-12	27	1	9	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000137634-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000137899-2025-12	30	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000138448-2025-12	36	1	13	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000139062-2025-12	7	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000139178-2025-12	11	1	7	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000155221-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000155253-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000155276-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000155310-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000158928-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000166182-2025-12	1	1	1	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000169563-2025-12	19	1	19	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000169564-2025-12	7	1	3	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000169565-2025-12	31	1	16	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000169574-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000169589-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000169592-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000169912-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000171592-2025-12	36	1	10	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000173762-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000173835-2025-12	35	1	20	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000173860-2025-12	1	1	0	1	Native American Ethnobotany Database (Moerman), NAEB mirror	1.0
wfo:wfo-0000173869-2025-12	9	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000173948-2025-12	4	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000174031-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000174378-2025-12	210	1	167	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000176047-2025-12	7	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000176774-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000176915-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000176925-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000178539-2025-12	1	1	1	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000178691-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000178702-2025-12	195	1	64	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000178758-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000178782-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000181142-2025-12	7	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000182103-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000182165-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000182252-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000182389-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000182621-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000183531-2025-12	9	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000184271-2025-12	66	1	51	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185128-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185133-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185138-2025-12	21	1	19	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185470-2025-12	2	1	2	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185541-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185773-2025-12	115	1	90	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185943-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185960-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185962-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000185987-2025-12	13	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000186098-2025-12	2	1	1	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000186120-2025-12	3	1	3	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000186313-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000186489-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000186868-2025-12	1	1	1	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000189343-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000192434-2025-12	41	1	41	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000192568-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000192766-2025-12	27	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000193039-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000194208-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000195971-2025-12	9	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000196986-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000198270-2025-12	11	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000198331-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000198574-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000199754-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000199797-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000199807-2025-12	8	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000204086-2025-12	19	1	19	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000204118-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000204160-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000206639-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000206642-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000211610-2025-12	157	1	142	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000211883-2025-12	15	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000212016-2025-12	25	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000212115-2025-12	6	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000212280-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000212422-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000212572-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000212858-2025-12	5	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213034-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213118-2025-12	2	1	2	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213126-2025-12	2	1	2	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213155-2025-12	22	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213186-2025-12	3	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213207-2025-12	18	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213258-2025-12	2	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213330-2025-12	23	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213520-2025-12	3	1	2	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
wfo:wfo-0000213551-2025-12	1	1	0	1	Dr. Duke Phytochemical and Ethnobotanical Databases	1.0
