taxon_canonical_name	n_occurrences	occurrence_source	envelope_source	envelope_version	extraction_date	bio1_median	bio1_iqr_25	bio1_iqr_75	bio2_median	bio2_iqr_25	bio2_iqr_75	bio3_median	bio3_iqr_25	bio3_iqr_75	bio4_median	bio4_iqr_25	bio4_iqr_75	bio5_median	bio5_iqr_25	bio5_iqr_75	bio6_median	bio6_iqr_25	bio6_iqr_75	bio7_median	bio7_iqr_25	bio7_iqr_75	bio8_median	bio8_iqr_25	bio8_iqr_75	bio9_median	bio9_iqr_25	bio9_iqr_75	bio10_median	bio10_iqr_25	bio10_iqr_75	bio11_median	bio11_iqr_25	bio11_iqr_75	bio12_median	bio12_iqr_25	bio12_iqr_75	bio13_median	bio13_iqr_25	bio13_iqr_75	bio14_median	bio14_iqr_25	bio14_iqr_75	bio15_median	bio15_iqr_25	bio15_iqr_75	bio16_median	bio16_iqr_25	bio16_iqr_75	bio17_median	bio17_iqr_25	bio17_iqr_75	bio18_median	bio18_iqr_25	bio18_iqr_75	bio19_median	bio19_iqr_25	bio19_iqr_75	license	attribution
Annona cherimola	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Annona muricata	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Apium graveolens	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Arachis batizocoi	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Arachis cardenasii	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Arachis duranensis	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Arachis hypogaea	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Arachis ipaensis	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Arachis stenosperma	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Areca catechu	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Asparagus officinalis	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Avena barbata	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Avena fatua	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Avena sativa	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Avena sterilis	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Bactris gasipaes	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Bertholletia excelsa	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta corolliflora	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta lomatogona	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta macrocarpa	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta nana	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta patula	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta trigyna	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta vulgaris	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta vulgaris (sugar beet/chard/garden beet)	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Beta vulgaris subsp. maritima	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Borassus flabellifer	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Brassica carinata	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Brassica cretica	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
Brassica fruticulosa	0	PENDING_BARRIER_1_accession_coord_extraction	WorldClim_v2.1+CHELSA_v2.1	v2.1	2026-05-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CC-BY 4.0 (per-taxon summaries only; rasters NOT redistributed)	Fick & Hijmans 2017 WorldClim v2.1 + Karger et al. 2017 CHELSA v2.1
