failure_type,alpha,N,k_or_d,value,detail
finite_offset_window_not_closed,1,10,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,11,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,12,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,13,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,14,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,15,12,-1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,16,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,17,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,18,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,19,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,20,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,21,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,22,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,23,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,24,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,25,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,26,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,27,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,28,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,29,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,30,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,31,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,32,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,33,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,34,12,1,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,35,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,36,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
finite_offset_window_not_closed,1,37,12,0,"one-step diagonal update for d=WMax requires T_{N-1}(WMax+1), outside the tracked finite window"
