check,alpha,N,d,N_mod_5,d_mod_5,lhs,rhs,residual,comment
diagonal_one_step,0,4,2,4,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,3,4,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,4,4,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,5,4,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,6,4,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,7,4,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,8,4,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,9,4,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,10,4,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,11,4,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,4,12,4,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,0,0,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,1,0,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,2,0,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,3,0,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,4,0,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,5,0,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,6,0,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,7,0,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,8,0,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,9,0,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,10,0,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,11,0,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,5,12,0,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,0,1,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,1,1,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,2,1,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,3,1,3,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,4,1,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,5,1,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,6,1,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,7,1,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,8,1,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,9,1,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,10,1,0,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,11,1,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,6,12,1,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,0,2,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,1,2,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,2,2,2,2,2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,3,2,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,4,2,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,5,2,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,6,2,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,7,2,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,8,2,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,9,2,4,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,10,2,0,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,11,2,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,7,12,2,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,0,3,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,1,3,1,2,2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,2,3,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,3,3,3,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,4,3,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,5,3,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,6,3,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,7,3,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,8,3,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,9,3,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,10,3,0,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,11,3,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,8,12,3,2,2,2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,0,4,0,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,1,4,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,2,4,2,2,2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,3,4,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,4,4,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,5,4,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,6,4,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,7,4,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,8,4,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,9,4,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,10,4,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,11,4,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,9,12,4,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,0,0,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,1,0,1,2,2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,2,0,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,3,0,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,4,0,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,5,0,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,6,0,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,7,0,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,8,0,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,9,0,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,10,0,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,11,0,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,10,12,0,2,2,2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,0,1,0,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,1,1,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,2,1,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,3,1,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,4,1,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,5,1,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,6,1,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,7,1,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,8,1,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,9,1,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,10,1,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,11,1,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,11,12,1,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,0,2,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,1,2,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,2,2,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,3,2,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,4,2,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,5,2,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,6,2,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,7,2,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,8,2,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,9,2,4,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,10,2,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,11,2,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,12,12,2,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,0,3,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,1,3,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,2,3,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,3,3,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,4,3,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,5,3,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,6,3,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,7,3,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,8,3,3,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,9,3,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,10,3,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,11,3,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,13,12,3,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,0,4,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,1,4,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,2,4,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,3,4,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,4,4,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,5,4,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,6,4,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,7,4,2,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,8,4,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,9,4,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,10,4,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,11,4,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,14,12,4,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,0,0,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,1,0,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,2,0,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,3,0,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,4,0,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,5,0,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,6,0,1,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,7,0,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,8,0,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,9,0,4,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,10,0,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,11,0,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,15,12,0,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,0,1,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,1,1,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,2,1,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,3,1,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,4,1,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,5,1,0,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,6,1,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,7,1,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,8,1,3,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,9,1,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,10,1,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,11,1,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,16,12,1,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,0,2,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,1,2,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,2,2,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,3,2,3,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,4,2,4,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,5,2,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,6,2,1,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,7,2,2,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,8,2,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,9,2,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,10,2,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,11,2,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,17,12,2,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,0,3,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,1,3,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,2,3,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,3,3,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,4,3,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,5,3,0,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,6,3,1,-2,-2,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,7,3,2,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,8,3,3,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,9,3,4,-1,-1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,10,3,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,11,3,1,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,18,12,3,2,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,19,0,4,0,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,19,1,4,1,1,1,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
diagonal_one_step,0,19,2,4,2,0,0,0,T_N(d)=T_{N-1}(d+1)-h_{N-1}(d)+source
