alpha,weight,partition,length,allowed_residues,multiplicity_vector,runner_counts,allowed_count_difference,quotient_sum,max_part
0,12,4 1 1 1 1 1 1 1 1,9,1 4,1:0:8;4:0:1,0 8 0 0 1,7,0,4
0,12,1 1 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:12,0 12 0 0 0,12,0,1
0,13,11 1 1,3,1 4,1:0:2;1:2:1,0 3 0 0 0,3,2,11
0,13,9 4,2,1 4,4:0:1;4:1:1,0 0 0 0 2,-2,1,9
0,13,9 1 1 1 1,5,1 4,1:0:4;4:1:1,0 4 0 0 1,3,1,9
0,13,6 6 1,3,1 4,1:0:1;1:1:2,0 3 0 0 0,3,2,6
0,13,6 4 1 1 1,5,1 4,1:0:3;1:1:1;4:0:1,0 4 0 0 1,3,1,6
0,13,6 1 1 1 1 1 1 1,8,1 4,1:0:7;1:1:1,0 8 0 0 0,8,1,6
0,13,4 4 4 1,4,1 4,1:0:1;4:0:3,0 1 0 0 3,-2,0,4
0,13,4 4 1 1 1 1 1,7,1 4,1:0:5;4:0:2,0 5 0 0 2,3,0,4
0,13,4 1 1 1 1 1 1 1 1 1,10,1 4,1:0:9;4:0:1,0 9 0 0 1,8,0,4
0,13,1 1 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:13,0 13 0 0 0,13,0,1
0,14,14,1,1 4,4:2:1,0 0 0 0 1,-1,2,14
0,14,11 1 1 1,4,1 4,1:0:3;1:2:1,0 4 0 0 0,4,2,11
0,14,9 4 1,3,1 4,1:0:1;4:0:1;4:1:1,0 1 0 0 2,-1,1,9
0,14,9 1 1 1 1 1,6,1 4,1:0:5;4:1:1,0 5 0 0 1,4,1,9
0,14,6 6 1 1,4,1 4,1:0:2;1:1:2,0 4 0 0 0,4,2,6
0,14,6 4 4,3,1 4,1:1:1;4:0:2,0 1 0 0 2,-1,1,6
0,14,6 4 1 1 1 1,6,1 4,1:0:4;1:1:1;4:0:1,0 5 0 0 1,4,1,6
0,14,6 1 1 1 1 1 1 1 1,9,1 4,1:0:8;1:1:1,0 9 0 0 0,9,1,6
0,14,4 4 4 1 1,5,1 4,1:0:2;4:0:3,0 2 0 0 3,-1,0,4
0,14,4 4 1 1 1 1 1 1,8,1 4,1:0:6;4:0:2,0 6 0 0 2,4,0,4
0,14,4 1 1 1 1 1 1 1 1 1 1,11,1 4,1:0:10;4:0:1,0 10 0 0 1,9,0,4
0,14,1 1 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:14,0 14 0 0 0,14,0,1
0,15,14 1,2,1 4,1:0:1;4:2:1,0 1 0 0 1,0,2,14
0,15,11 4,2,1 4,1:2:1;4:0:1,0 1 0 0 1,0,2,11
0,15,11 1 1 1 1,5,1 4,1:0:4;1:2:1,0 5 0 0 0,5,2,11
0,15,9 6,2,1 4,1:1:1;4:1:1,0 1 0 0 1,0,2,9
0,15,9 4 1 1,4,1 4,1:0:2;4:0:1;4:1:1,0 2 0 0 2,0,1,9
0,15,9 1 1 1 1 1 1,7,1 4,1:0:6;4:1:1,0 6 0 0 1,5,1,9
0,15,6 6 1 1 1,5,1 4,1:0:3;1:1:2,0 5 0 0 0,5,2,6
0,15,6 4 4 1,4,1 4,1:0:1;1:1:1;4:0:2,0 2 0 0 2,0,1,6
0,15,6 4 1 1 1 1 1,7,1 4,1:0:5;1:1:1;4:0:1,0 6 0 0 1,5,1,6
0,15,6 1 1 1 1 1 1 1 1 1,10,1 4,1:0:9;1:1:1,0 10 0 0 0,10,1,6
0,15,4 4 4 1 1 1,6,1 4,1:0:3;4:0:3,0 3 0 0 3,0,0,4
0,15,4 4 1 1 1 1 1 1 1,9,1 4,1:0:7;4:0:2,0 7 0 0 2,5,0,4
0,15,4 1 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:11;4:0:1,0 11 0 0 1,10,0,4
0,15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:15,0 15 0 0 0,15,0,1
0,16,16,1,1 4,1:3:1,0 1 0 0 0,1,3,16
0,16,14 1 1,3,1 4,1:0:2;4:2:1,0 2 0 0 1,1,2,14
0,16,11 4 1,3,1 4,1:0:1;1:2:1;4:0:1,0 2 0 0 1,1,2,11
0,16,11 1 1 1 1 1,6,1 4,1:0:5;1:2:1,0 6 0 0 0,6,2,11
0,16,9 6 1,3,1 4,1:0:1;1:1:1;4:1:1,0 2 0 0 1,1,2,9
0,16,9 4 1 1 1,5,1 4,1:0:3;4:0:1;4:1:1,0 3 0 0 2,1,1,9
0,16,9 1 1 1 1 1 1 1,8,1 4,1:0:7;4:1:1,0 7 0 0 1,6,1,9
0,16,6 6 4,3,1 4,1:1:2;4:0:1,0 2 0 0 1,1,2,6
0,16,6 6 1 1 1 1,6,1 4,1:0:4;1:1:2,0 6 0 0 0,6,2,6
0,16,6 4 4 1 1,5,1 4,1:0:2;1:1:1;4:0:2,0 3 0 0 2,1,1,6
0,16,6 4 1 1 1 1 1 1,8,1 4,1:0:6;1:1:1;4:0:1,0 7 0 0 1,6,1,6
0,16,6 1 1 1 1 1 1 1 1 1 1,11,1 4,1:0:10;1:1:1,0 11 0 0 0,11,1,6
0,16,4 4 4 4,4,1 4,4:0:4,0 0 0 0 4,-4,0,4
0,16,4 4 4 1 1 1 1,7,1 4,1:0:4;4:0:3,0 4 0 0 3,1,0,4
0,16,4 4 1 1 1 1 1 1 1 1,10,1 4,1:0:8;4:0:2,0 8 0 0 2,6,0,4
0,16,4 1 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:12;4:0:1,0 12 0 0 1,11,0,4
0,16,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:16,0 16 0 0 0,16,0,1
0,17,16 1,2,1 4,1:0:1;1:3:1,0 2 0 0 0,2,3,16
0,17,14 1 1 1,4,1 4,1:0:3;4:2:1,0 3 0 0 1,2,2,14
0,17,11 6,2,1 4,1:1:1;1:2:1,0 2 0 0 0,2,3,11
0,17,11 4 1 1,4,1 4,1:0:2;1:2:1;4:0:1,0 3 0 0 1,2,2,11
0,17,11 1 1 1 1 1 1,7,1 4,1:0:6;1:2:1,0 7 0 0 0,7,2,11
0,17,9 6 1 1,4,1 4,1:0:2;1:1:1;4:1:1,0 3 0 0 1,2,2,9
0,17,9 4 4,3,1 4,4:0:2;4:1:1,0 0 0 0 3,-3,1,9
0,17,9 4 1 1 1 1,6,1 4,1:0:4;4:0:1;4:1:1,0 4 0 0 2,2,1,9
0,17,9 1 1 1 1 1 1 1 1,9,1 4,1:0:8;4:1:1,0 8 0 0 1,7,1,9
0,17,6 6 4 1,4,1 4,1:0:1;1:1:2;4:0:1,0 3 0 0 1,2,2,6
0,17,6 6 1 1 1 1 1,7,1 4,1:0:5;1:1:2,0 7 0 0 0,7,2,6
0,17,6 4 4 1 1 1,6,1 4,1:0:3;1:1:1;4:0:2,0 4 0 0 2,2,1,6
0,17,6 4 1 1 1 1 1 1 1,9,1 4,1:0:7;1:1:1;4:0:1,0 8 0 0 1,7,1,6
0,17,6 1 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:11;1:1:1,0 12 0 0 0,12,1,6
0,17,4 4 4 4 1,5,1 4,1:0:1;4:0:4,0 1 0 0 4,-3,0,4
0,17,4 4 4 1 1 1 1 1,8,1 4,1:0:5;4:0:3,0 5 0 0 3,2,0,4
0,17,4 4 1 1 1 1 1 1 1 1 1,11,1 4,1:0:9;4:0:2,0 9 0 0 2,7,0,4
0,17,4 1 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:13;4:0:1,0 13 0 0 1,12,0,4
0,17,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,17,1 4,1:0:17,0 17 0 0 0,17,0,1
0,18,16 1 1,3,1 4,1:0:2;1:3:1,0 3 0 0 0,3,3,16
0,18,14 4,2,1 4,4:0:1;4:2:1,0 0 0 0 2,-2,2,14
0,18,14 1 1 1 1,5,1 4,1:0:4;4:2:1,0 4 0 0 1,3,2,14
0,18,11 6 1,3,1 4,1:0:1;1:1:1;1:2:1,0 3 0 0 0,3,3,11
0,18,11 4 1 1 1,5,1 4,1:0:3;1:2:1;4:0:1,0 4 0 0 1,3,2,11
0,18,11 1 1 1 1 1 1 1,8,1 4,1:0:7;1:2:1,0 8 0 0 0,8,2,11
0,18,9 9,2,1 4,4:1:2,0 0 0 0 2,-2,2,9
0,18,9 6 1 1 1,5,1 4,1:0:3;1:1:1;4:1:1,0 4 0 0 1,3,2,9
0,18,9 4 4 1,4,1 4,1:0:1;4:0:2;4:1:1,0 1 0 0 3,-2,1,9
0,18,9 4 1 1 1 1 1,7,1 4,1:0:5;4:0:1;4:1:1,0 5 0 0 2,3,1,9
0,18,9 1 1 1 1 1 1 1 1 1,10,1 4,1:0:9;4:1:1,0 9 0 0 1,8,1,9
0,18,6 6 6,3,1 4,1:1:3,0 3 0 0 0,3,3,6
0,18,6 6 4 1 1,5,1 4,1:0:2;1:1:2;4:0:1,0 4 0 0 1,3,2,6
0,18,6 6 1 1 1 1 1 1,8,1 4,1:0:6;1:1:2,0 8 0 0 0,8,2,6
0,18,6 4 4 4,4,1 4,1:1:1;4:0:3,0 1 0 0 3,-2,1,6
0,18,6 4 4 1 1 1 1,7,1 4,1:0:4;1:1:1;4:0:2,0 5 0 0 2,3,1,6
0,18,6 4 1 1 1 1 1 1 1 1,10,1 4,1:0:8;1:1:1;4:0:1,0 9 0 0 1,8,1,6
0,18,6 1 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:12;1:1:1,0 13 0 0 0,13,1,6
0,18,4 4 4 4 1 1,6,1 4,1:0:2;4:0:4,0 2 0 0 4,-2,0,4
0,18,4 4 4 1 1 1 1 1 1,9,1 4,1:0:6;4:0:3,0 6 0 0 3,3,0,4
0,18,4 4 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:10;4:0:2,0 10 0 0 2,8,0,4
0,18,4 1 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:14;4:0:1,0 14 0 0 1,13,0,4
0,18,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,18,1 4,1:0:18,0 18 0 0 0,18,0,1
0,19,19,1,1 4,4:3:1,0 0 0 0 1,-1,3,19
0,19,16 1 1 1,4,1 4,1:0:3;1:3:1,0 4 0 0 0,4,3,16
0,19,14 4 1,3,1 4,1:0:1;4:0:1;4:2:1,0 1 0 0 2,-1,2,14
0,19,14 1 1 1 1 1,6,1 4,1:0:5;4:2:1,0 5 0 0 1,4,2,14
0,19,11 6 1 1,4,1 4,1:0:2;1:1:1;1:2:1,0 4 0 0 0,4,3,11
0,19,11 4 4,3,1 4,1:2:1;4:0:2,0 1 0 0 2,-1,2,11
0,19,11 4 1 1 1 1,6,1 4,1:0:4;1:2:1;4:0:1,0 5 0 0 1,4,2,11
0,19,11 1 1 1 1 1 1 1 1,9,1 4,1:0:8;1:2:1,0 9 0 0 0,9,2,11
0,19,9 9 1,3,1 4,1:0:1;4:1:2,0 1 0 0 2,-1,2,9
0,19,9 6 4,3,1 4,1:1:1;4:0:1;4:1:1,0 1 0 0 2,-1,2,9
0,19,9 6 1 1 1 1,6,1 4,1:0:4;1:1:1;4:1:1,0 5 0 0 1,4,2,9
0,19,9 4 4 1 1,5,1 4,1:0:2;4:0:2;4:1:1,0 2 0 0 3,-1,1,9
0,19,9 4 1 1 1 1 1 1,8,1 4,1:0:6;4:0:1;4:1:1,0 6 0 0 2,4,1,9
0,19,9 1 1 1 1 1 1 1 1 1 1,11,1 4,1:0:10;4:1:1,0 10 0 0 1,9,1,9
0,19,6 6 6 1,4,1 4,1:0:1;1:1:3,0 4 0 0 0,4,3,6
0,19,6 6 4 1 1 1,6,1 4,1:0:3;1:1:2;4:0:1,0 5 0 0 1,4,2,6
0,19,6 6 1 1 1 1 1 1 1,9,1 4,1:0:7;1:1:2,0 9 0 0 0,9,2,6
0,19,6 4 4 4 1,5,1 4,1:0:1;1:1:1;4:0:3,0 2 0 0 3,-1,1,6
0,19,6 4 4 1 1 1 1 1,8,1 4,1:0:5;1:1:1;4:0:2,0 6 0 0 2,4,1,6
0,19,6 4 1 1 1 1 1 1 1 1 1,11,1 4,1:0:9;1:1:1;4:0:1,0 10 0 0 1,9,1,6
0,19,6 1 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:13;1:1:1,0 14 0 0 0,14,1,6
0,19,4 4 4 4 1 1 1,7,1 4,1:0:3;4:0:4,0 3 0 0 4,-1,0,4
0,19,4 4 4 1 1 1 1 1 1 1,10,1 4,1:0:7;4:0:3,0 7 0 0 3,4,0,4
0,19,4 4 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:11;4:0:2,0 11 0 0 2,9,0,4
0,19,4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:15;4:0:1,0 15 0 0 1,14,0,4
0,19,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,19,1 4,1:0:19,0 19 0 0 0,19,0,1
0,20,19 1,2,1 4,1:0:1;4:3:1,0 1 0 0 1,0,3,19
0,20,16 4,2,1 4,1:3:1;4:0:1,0 1 0 0 1,0,3,16
0,20,16 1 1 1 1,5,1 4,1:0:4;1:3:1,0 5 0 0 0,5,3,16
0,20,14 6,2,1 4,1:1:1;4:2:1,0 1 0 0 1,0,3,14
0,20,14 4 1 1,4,1 4,1:0:2;4:0:1;4:2:1,0 2 0 0 2,0,2,14
0,20,14 1 1 1 1 1 1,7,1 4,1:0:6;4:2:1,0 6 0 0 1,5,2,14
0,20,11 9,2,1 4,1:2:1;4:1:1,0 1 0 0 1,0,3,11
0,20,11 6 1 1 1,5,1 4,1:0:3;1:1:1;1:2:1,0 5 0 0 0,5,3,11
0,20,11 4 4 1,4,1 4,1:0:1;1:2:1;4:0:2,0 2 0 0 2,0,2,11
0,20,11 4 1 1 1 1 1,7,1 4,1:0:5;1:2:1;4:0:1,0 6 0 0 1,5,2,11
0,20,11 1 1 1 1 1 1 1 1 1,10,1 4,1:0:9;1:2:1,0 10 0 0 0,10,2,11
0,20,9 9 1 1,4,1 4,1:0:2;4:1:2,0 2 0 0 2,0,2,9
0,20,9 6 4 1,4,1 4,1:0:1;1:1:1;4:0:1;4:1:1,0 2 0 0 2,0,2,9
0,20,9 6 1 1 1 1 1,7,1 4,1:0:5;1:1:1;4:1:1,0 6 0 0 1,5,2,9
0,20,9 4 4 1 1 1,6,1 4,1:0:3;4:0:2;4:1:1,0 3 0 0 3,0,1,9
0,20,9 4 1 1 1 1 1 1 1,9,1 4,1:0:7;4:0:1;4:1:1,0 7 0 0 2,5,1,9
0,20,9 1 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:11;4:1:1,0 11 0 0 1,10,1,9
0,20,6 6 6 1 1,5,1 4,1:0:2;1:1:3,0 5 0 0 0,5,3,6
0,20,6 6 4 4,4,1 4,1:1:2;4:0:2,0 2 0 0 2,0,2,6
0,20,6 6 4 1 1 1 1,7,1 4,1:0:4;1:1:2;4:0:1,0 6 0 0 1,5,2,6
0,20,6 6 1 1 1 1 1 1 1 1,10,1 4,1:0:8;1:1:2,0 10 0 0 0,10,2,6
0,20,6 4 4 4 1 1,6,1 4,1:0:2;1:1:1;4:0:3,0 3 0 0 3,0,1,6
0,20,6 4 4 1 1 1 1 1 1,9,1 4,1:0:6;1:1:1;4:0:2,0 7 0 0 2,5,1,6
0,20,6 4 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:10;1:1:1;4:0:1,0 11 0 0 1,10,1,6
0,20,6 1 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:14;1:1:1,0 15 0 0 0,15,1,6
0,20,4 4 4 4 4,5,1 4,4:0:5,0 0 0 0 5,-5,0,4
0,20,4 4 4 4 1 1 1 1,8,1 4,1:0:4;4:0:4,0 4 0 0 4,0,0,4
0,20,4 4 4 1 1 1 1 1 1 1 1,11,1 4,1:0:8;4:0:3,0 8 0 0 3,5,0,4
0,20,4 4 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:12;4:0:2,0 12 0 0 2,10,0,4
0,20,4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,17,1 4,1:0:16;4:0:1,0 16 0 0 1,15,0,4
0,20,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,20,1 4,1:0:20,0 20 0 0 0,20,0,1
0,21,21,1,1 4,1:4:1,0 1 0 0 0,1,4,21
0,21,19 1 1,3,1 4,1:0:2;4:3:1,0 2 0 0 1,1,3,19
0,21,16 4 1,3,1 4,1:0:1;1:3:1;4:0:1,0 2 0 0 1,1,3,16
0,21,16 1 1 1 1 1,6,1 4,1:0:5;1:3:1,0 6 0 0 0,6,3,16
0,21,14 6 1,3,1 4,1:0:1;1:1:1;4:2:1,0 2 0 0 1,1,3,14
0,21,14 4 1 1 1,5,1 4,1:0:3;4:0:1;4:2:1,0 3 0 0 2,1,2,14
0,21,14 1 1 1 1 1 1 1,8,1 4,1:0:7;4:2:1,0 7 0 0 1,6,2,14
0,21,11 9 1,3,1 4,1:0:1;1:2:1;4:1:1,0 2 0 0 1,1,3,11
0,21,11 6 4,3,1 4,1:1:1;1:2:1;4:0:1,0 2 0 0 1,1,3,11
0,21,11 6 1 1 1 1,6,1 4,1:0:4;1:1:1;1:2:1,0 6 0 0 0,6,3,11
0,21,11 4 4 1 1,5,1 4,1:0:2;1:2:1;4:0:2,0 3 0 0 2,1,2,11
0,21,11 4 1 1 1 1 1 1,8,1 4,1:0:6;1:2:1;4:0:1,0 7 0 0 1,6,2,11
0,21,11 1 1 1 1 1 1 1 1 1 1,11,1 4,1:0:10;1:2:1,0 11 0 0 0,11,2,11
0,21,9 9 1 1 1,5,1 4,1:0:3;4:1:2,0 3 0 0 2,1,2,9
0,21,9 6 6,3,1 4,1:1:2;4:1:1,0 2 0 0 1,1,3,9
0,21,9 6 4 1 1,5,1 4,1:0:2;1:1:1;4:0:1;4:1:1,0 3 0 0 2,1,2,9
0,21,9 6 1 1 1 1 1 1,8,1 4,1:0:6;1:1:1;4:1:1,0 7 0 0 1,6,2,9
0,21,9 4 4 4,4,1 4,4:0:3;4:1:1,0 0 0 0 4,-4,1,9
0,21,9 4 4 1 1 1 1,7,1 4,1:0:4;4:0:2;4:1:1,0 4 0 0 3,1,1,9
0,21,9 4 1 1 1 1 1 1 1 1,10,1 4,1:0:8;4:0:1;4:1:1,0 8 0 0 2,6,1,9
0,21,9 1 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:12;4:1:1,0 12 0 0 1,11,1,9
0,21,6 6 6 1 1 1,6,1 4,1:0:3;1:1:3,0 6 0 0 0,6,3,6
0,21,6 6 4 4 1,5,1 4,1:0:1;1:1:2;4:0:2,0 3 0 0 2,1,2,6
0,21,6 6 4 1 1 1 1 1,8,1 4,1:0:5;1:1:2;4:0:1,0 7 0 0 1,6,2,6
0,21,6 6 1 1 1 1 1 1 1 1 1,11,1 4,1:0:9;1:1:2,0 11 0 0 0,11,2,6
0,21,6 4 4 4 1 1 1,7,1 4,1:0:3;1:1:1;4:0:3,0 4 0 0 3,1,1,6
0,21,6 4 4 1 1 1 1 1 1 1,10,1 4,1:0:7;1:1:1;4:0:2,0 8 0 0 2,6,1,6
0,21,6 4 1 1 1 1 1 1 1 1 1 1 1,13,1 4,1:0:11;1:1:1;4:0:1,0 12 0 0 1,11,1,6
0,21,6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,16,1 4,1:0:15;1:1:1,0 16 0 0 0,16,1,6
0,21,4 4 4 4 4 1,6,1 4,1:0:1;4:0:5,0 1 0 0 5,-4,0,4
0,21,4 4 4 4 1 1 1 1 1,9,1 4,1:0:5;4:0:4,0 5 0 0 4,1,0,4
0,21,4 4 4 1 1 1 1 1 1 1 1 1,12,1 4,1:0:9;4:0:3,0 9 0 0 3,6,0,4
0,21,4 4 1 1 1 1 1 1 1 1 1 1 1 1 1,15,1 4,1:0:13;4:0:2,0 13 0 0 2,11,0,4
0,21,4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,18,1 4,1:0:17;4:0:1,0 17 0 0 1,16,0,4
0,21,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,21,1 4,1:0:21,0 21 0 0 0,21,0,1
0,22,21 1,2,1 4,1:0:1;1:4:1,0 2 0 0 0,2,4,21
0,22,19 1 1 1,4,1 4,1:0:3;4:3:1,0 3 0 0 1,2,3,19
0,22,16 6,2,1 4,1:1:1;1:3:1,0 2 0 0 0,2,4,16
0,22,16 4 1 1,4,1 4,1:0:2;1:3:1;4:0:1,0 3 0 0 1,2,3,16
0,22,16 1 1 1 1 1 1,7,1 4,1:0:6;1:3:1,0 7 0 0 0,7,3,16
0,22,14 6 1 1,4,1 4,1:0:2;1:1:1;4:2:1,0 3 0 0 1,2,3,14
0,22,14 4 4,3,1 4,4:0:2;4:2:1,0 0 0 0 3,-3,2,14
0,22,14 4 1 1 1 1,6,1 4,1:0:4;4:0:1;4:2:1,0 4 0 0 2,2,2,14
0,22,14 1 1 1 1 1 1 1 1,9,1 4,1:0:8;4:2:1,0 8 0 0 1,7,2,14
0,22,11 11,2,1 4,1:2:2,0 2 0 0 0,2,4,11
0,22,11 9 1 1,4,1 4,1:0:2;1:2:1;4:1:1,0 3 0 0 1,2,3,11
0,22,11 6 4 1,4,1 4,1:0:1;1:1:1;1:2:1;4:0:1,0 3 0 0 1,2,3,11
0,22,11 6 1 1 1 1 1,7,1 4,1:0:5;1:1:1;1:2:1,0 7 0 0 0,7,3,11
0,22,11 4 4 1 1 1,6,1 4,1:0:3;1:2:1;4:0:2,0 4 0 0 2,2,2,11
0,22,11 4 1 1 1 1 1 1 1,9,1 4,1:0:7;1:2:1;4:0:1,0 8 0 0 1,7,2,11
0,22,11 1 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:11;1:2:1,0 12 0 0 0,12,2,11
0,22,9 9 4,3,1 4,4:0:1;4:1:2,0 0 0 0 3,-3,2,9
0,22,9 9 1 1 1 1,6,1 4,1:0:4;4:1:2,0 4 0 0 2,2,2,9
0,22,9 6 6 1,4,1 4,1:0:1;1:1:2;4:1:1,0 3 0 0 1,2,3,9
0,22,9 6 4 1 1 1,6,1 4,1:0:3;1:1:1;4:0:1;4:1:1,0 4 0 0 2,2,2,9
0,22,9 6 1 1 1 1 1 1 1,9,1 4,1:0:7;1:1:1;4:1:1,0 8 0 0 1,7,2,9
0,22,9 4 4 4 1,5,1 4,1:0:1;4:0:3;4:1:1,0 1 0 0 4,-3,1,9
0,22,9 4 4 1 1 1 1 1,8,1 4,1:0:5;4:0:2;4:1:1,0 5 0 0 3,2,1,9
0,22,9 4 1 1 1 1 1 1 1 1 1,11,1 4,1:0:9;4:0:1;4:1:1,0 9 0 0 2,7,1,9
0,22,9 1 1 1 1 1 1 1 1 1 1 1 1 1,14,1 4,1:0:13;4:1:1,0 13 0 0 1,12,1,9
0,22,6 6 6 4,4,1 4,1:1:3;4:0:1,0 3 0 0 1,2,3,6
0,22,6 6 6 1 1 1 1,7,1 4,1:0:4;1:1:3,0 7 0 0 0,7,3,6
0,22,6 6 4 4 1 1,6,1 4,1:0:2;1:1:2;4:0:2,0 4 0 0 2,2,2,6
0,22,6 6 4 1 1 1 1 1 1,9,1 4,1:0:6;1:1:2;4:0:1,0 8 0 0 1,7,2,6
0,22,6 6 1 1 1 1 1 1 1 1 1 1,12,1 4,1:0:10;1:1:2,0 12 0 0 0,12,2,6
0,22,6 4 4 4 4,5,1 4,1:1:1;4:0:4,0 1 0 0 4,-3,1,6
0,22,6 4 4 4 1 1 1 1,8,1 4,1:0:4;1:1:1;4:0:3,0 5 0 0 3,2,1,6
