"alpha","N","n","S","exponent","failure_type","candidate_n","candidate_S","detail"
0,5,4,"{}",16,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,5,4,"{5}",21,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,5,5,"{}",25,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{}",0,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2}",2,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{3}",3,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{4}",4,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{5}",5,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{6}",6,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;3}",5,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;4}",6,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;5}",7,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;6}",8,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{3;4}",7,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{3;5}",8,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{3;6}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{4;5}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{4;6}",10,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{5;6}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;3;4}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;3;5}",10,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;3;6}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;4;5}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;4;6}",12,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;5;6}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{3;4;5}",12,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{3;4;6}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{3;5;6}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{4;5;6}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;3;4;5}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;3;4;6}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;3;5;6}",16,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;4;5;6}",17,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{3;4;5;6}",18,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,0,"{2;3;4;5;6}",20,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{}",4,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{3}",7,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{4}",8,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{5}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{6}",10,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{3;4}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{3;5}",12,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{3;6}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{4;5}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{4;6}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{5;6}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{3;4;5}",16,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{3;4;6}",17,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{3;5;6}",18,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{4;5;6}",19,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,2,"{3;4;5;6}",22,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,3,"{}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,3,"{4}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,3,"{5}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,3,"{6}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,3,"{4;5}",18,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,3,"{4;6}",19,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,3,"{5;6}",20,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,3,"{4;5;6}",24,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,4,"{}",16,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,4,"{5}",21,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,4,"{6}",22,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,4,"{5;6}",27,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,5,"{}",25,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,5,"{6}",31,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,6,6,"{}",36,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{}",0,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2}",2,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3}",3,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{4}",4,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{5}",5,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{6}",6,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{7}",7,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3}",5,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;4}",6,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;5}",7,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;6}",8,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;7}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;4}",7,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;5}",8,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;6}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;7}",10,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{4;5}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{4;6}",10,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{4;7}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{5;6}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{5;7}",12,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{6;7}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;4}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;5}",10,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;6}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;7}",12,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;4;5}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;4;6}",12,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;4;7}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;5;6}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;5;7}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;6;7}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;4;5}",12,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;4;6}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;4;7}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;5;6}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;5;7}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;6;7}",16,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{4;5;6}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{4;5;7}",16,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{4;6;7}",17,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{5;6;7}",18,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;4;5}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;4;6}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;4;7}",16,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;5;6}",16,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;5;7}",17,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;6;7}",18,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;4;5;6}",17,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;4;5;7}",18,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;4;6;7}",19,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;5;6;7}",20,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;4;5;6}",18,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;4;5;7}",19,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;4;6;7}",20,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;5;6;7}",21,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{4;5;6;7}",22,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;4;5;6}",20,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;4;5;7}",21,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;4;6;7}",22,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;5;6;7}",23,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;4;5;6;7}",24,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{3;4;5;6;7}",25,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,0,"{2;3;4;5;6;7}",27,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{}",4,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{3}",7,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{4}",8,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{5}",9,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{6}",10,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{7}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{3;4}",11,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{3;5}",12,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{3;6}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{3;7}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{4;5}",13,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{4;6}",14,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{4;7}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
0,7,2,"{5;6}",15,"no_local_absorb_release_move","","","hard-filter found no boundary move"
