"check","r","k","residual"
"series_ladder",11,40,0
"series_ladder",12,0,0
"series_ladder",12,1,0
"series_ladder",12,2,0
"series_ladder",12,3,0
"series_ladder",12,4,0
"series_ladder",12,5,0
"series_ladder",12,6,0
"series_ladder",12,7,0
"series_ladder",12,8,0
"series_ladder",12,9,0
"series_ladder",12,10,0
"series_ladder",12,11,0
"series_ladder",12,12,0
"series_ladder",12,13,0
"series_ladder",12,14,0
"series_ladder",12,15,0
"series_ladder",12,16,0
"series_ladder",12,17,0
"series_ladder",12,18,0
"series_ladder",12,19,0
"series_ladder",12,20,0
"series_ladder",12,21,0
"series_ladder",12,22,0
"series_ladder",12,23,0
"series_ladder",12,24,0
"series_ladder",12,25,0
"series_ladder",12,26,0
"series_ladder",12,27,0
"series_ladder",12,28,0
"series_ladder",12,29,0
"series_ladder",12,30,0
"series_ladder",12,31,0
"series_ladder",12,32,0
"series_ladder",12,33,0
"series_ladder",12,34,0
"series_ladder",12,35,0
"series_ladder",12,36,0
"series_ladder",12,37,0
"series_ladder",12,38,0
"series_ladder",12,39,0
"series_ladder",12,40,0
