"alpha","N","j","exponent","target_sign","signed_coefficient","object_count","canonical_object"
0,12,-2,11,1,1,19,"n=0,S={11}"
0,12,-1,3,-1,-1,3,"n=0,S={3}"
0,12,0,0,1,1,1,"n=0,S={}"
0,12,1,2,-1,-1,1,"n=0,S={2}"
0,12,2,9,1,1,13,"n=0,S={9}"
0,12,3,21,-1,-2,88,"n=0,S={9;12}"
0,12,4,38,1,-1,233,"n=0,S={5;10;11;12}"
1,0,-2,13,1,0,0,"none"
1,0,-1,4,-1,0,0,"none"
1,0,0,0,1,1,1,"n=0,S={}"
1,0,1,1,-1,0,0,"none"
1,0,2,7,1,0,0,"none"
1,1,-3,27,-1,0,0,"none"
1,1,-2,13,1,0,0,"none"
1,1,-1,4,-1,0,0,"none"
1,1,0,0,1,1,1,"n=0,S={}"
1,1,1,1,-1,-1,1,"n=0,S={1}"
1,1,2,7,1,0,0,"none"
1,1,3,18,-1,0,0,"none"
1,2,-3,27,-1,0,0,"none"
1,2,-2,13,1,0,0,"none"
1,2,-1,4,-1,-1,1,"n=1,S={2}"
1,2,0,0,1,1,1,"n=0,S={}"
1,2,1,1,-1,-1,1,"n=0,S={1}"
1,2,2,7,1,0,0,"none"
1,2,3,18,-1,0,0,"none"
1,2,4,34,1,0,0,"none"
1,3,-3,27,-1,0,0,"none"
1,3,-2,13,1,0,0,"none"
1,3,-1,4,-1,0,2,"n=0,S={1;3}"
1,3,0,0,1,1,1,"n=0,S={}"
1,3,1,1,-1,-1,1,"n=0,S={1}"
1,3,2,7,1,1,1,"n=1,S={2;3}"
1,3,3,18,-1,0,0,"none"
1,3,4,34,1,0,0,"none"
1,4,-3,27,-1,0,0,"none"
1,4,-2,13,1,1,1,"n=2,S={3;4}"
1,4,-1,4,-1,-1,3,"n=0,S={4}"
1,4,0,0,1,1,1,"n=0,S={}"
1,4,1,1,-1,-1,1,"n=0,S={1}"
1,4,2,7,1,1,3,"n=0,S={3;4}"
1,4,3,18,-1,0,0,"none"
1,4,4,34,1,0,0,"none"
1,5,-3,27,-1,0,0,"none"
1,5,-2,13,1,1,3,"n=0,S={1;3;4;5}"
1,5,-1,4,-1,-1,3,"n=0,S={4}"
1,5,0,0,1,1,1,"n=0,S={}"
1,5,1,1,-1,-1,1,"n=0,S={1}"
1,5,2,7,1,1,5,"n=0,S={2;5}"
1,5,3,18,-1,-1,1,"n=2,S={3;4;5}"
1,5,4,34,1,0,0,"none"
1,6,-3,27,-1,-1,1,"n=3,S={4;5;6}"
1,6,-2,13,1,0,8,"n=0,S={2;5;6}"
1,6,-1,4,-1,-1,3,"n=0,S={4}"
1,6,0,0,1,1,1,"n=0,S={}"
1,6,1,1,-1,-1,1,"n=0,S={1}"
1,6,2,7,1,2,6,"n=0,S={1;6}"
1,6,3,18,-1,-1,5,"n=0,S={3;4;5;6}"
1,6,4,34,1,0,0,"none"
1,7,-3,27,-1,-1,5,"n=0,S={2;3;4;5;6;7}"
1,7,-2,13,1,0,14,"n=0,S={6;7}"
1,7,-1,4,-1,-1,3,"n=0,S={4}"
1,7,0,0,1,1,1,"n=0,S={}"
1,7,1,1,-1,-1,1,"n=0,S={1}"
1,7,2,7,1,1,7,"n=0,S={7}"
1,7,3,18,-1,0,14,"n=0,S={5;6;7}"
1,7,4,34,1,1,1,"n=3,S={4;5;6;7}"
1,8,-3,27,-1,-1,17,"n=0,S={1;5;6;7;8}"
1,8,-2,13,1,0,18,"n=0,S={5;8}"
1,8,-1,4,-1,-1,3,"n=0,S={4}"
1,8,0,0,1,1,1,"n=0,S={}"
1,8,1,1,-1,-1,1,"n=0,S={1}"
1,8,2,7,1,1,7,"n=0,S={7}"
1,8,3,18,-1,0,24,"n=0,S={3;7;8}"
1,8,4,34,1,1,5,"n=0,S={1;3;4;5;6;7;8}"
1,9,-3,27,-1,-1,41,"n=0,S={3;7;8;9}"
1,9,-2,13,1,1,21,"n=0,S={4;9}"
1,9,-1,4,-1,-1,3,"n=0,S={4}"
1,9,0,0,1,1,1,"n=0,S={}"
1,9,1,1,-1,-1,1,"n=0,S={1}"
1,9,2,7,1,1,7,"n=0,S={7}"
1,9,3,18,-1,-1,35,"n=0,S={1;8;9}"
1,9,4,34,1,1,25,"n=0,S={4;6;7;8;9}"
1,10,-3,27,-1,-1,73,"n=0,S={8;9;10}"
1,10,-2,13,1,1,23,"n=0,S={3;10}"
1,10,-1,4,-1,-1,3,"n=0,S={4}"
1,10,0,0,1,1,1,"n=0,S={}"
1,10,1,1,-1,-1,1,"n=0,S={1}"
1,10,2,7,1,1,7,"n=0,S={7}"
1,10,3,18,-1,-1,43,"n=0,S={8;10}"
1,10,4,34,1,0,68,"n=0,S={7;8;9;10}"
1,11,-3,27,-1,0,108,"n=0,S={6;10;11}"
1,11,-2,13,1,1,25,"n=0,S={2;11}"
1,11,-1,4,-1,-1,3,"n=0,S={4}"
1,11,0,0,1,1,1,"n=0,S={}"
1,11,1,1,-1,-1,1,"n=0,S={1}"
1,11,2,7,1,1,7,"n=0,S={7}"
1,11,3,18,-1,-2,50,"n=0,S={7;11}"
1,11,4,34,1,0,130,"n=0,S={4;9;10;11}"
1,12,-3,27,-1,0,142,"n=0,S={4;11;12}"
1,12,-2,13,1,2,26,"n=0,S={1;12}"
1,12,-1,4,-1,-1,3,"n=0,S={4}"
1,12,0,0,1,1,1,"n=0,S={}"
1,12,1,1,-1,-1,1,"n=0,S={1}"
1,12,2,7,1,1,7,"n=0,S={7}"
1,12,3,18,-1,-2,56,"n=0,S={6;12}"
1,12,4,34,1,0,206,"n=0,S={1;10;11;12}"
