"alpha","N","exponent","signed_coefficient","positive_count","negative_count","is_pentagonal_exponent","pentagonal_j_values"
0,2,35,0,0,0,false,""
0,2,36,0,0,0,false,""
0,2,37,0,0,0,false,""
0,2,38,0,0,0,true,"4"
0,2,39,0,0,0,false,""
0,2,40,0,0,0,false,""
0,3,0,1,1,0,true,"0"
0,3,1,0,1,1,false,""
0,3,2,-1,0,1,true,"1"
0,3,3,-1,1,2,true,"-1"
0,3,4,1,2,1,false,""
0,3,5,1,1,0,false,""
0,3,6,0,1,1,false,""
0,3,7,-1,0,1,false,""
0,3,8,0,0,0,false,""
0,3,9,1,1,0,true,"2"
0,3,10,0,0,0,false,""
0,3,11,0,0,0,true,"-2"
0,3,12,0,0,0,false,""
0,3,13,0,0,0,false,""
0,3,14,0,0,0,false,""
0,3,15,0,0,0,false,""
0,3,16,0,0,0,false,""
0,3,17,0,0,0,false,""
0,3,18,0,0,0,false,""
0,3,19,0,0,0,false,""
0,3,20,0,0,0,false,""
0,3,21,0,0,0,true,"3"
0,3,22,0,0,0,false,""
0,3,23,0,0,0,false,""
0,3,24,0,0,0,true,"-3"
0,3,25,0,0,0,false,""
0,3,26,0,0,0,false,""
0,3,27,0,0,0,false,""
0,3,28,0,0,0,false,""
0,3,29,0,0,0,false,""
0,3,30,0,0,0,false,""
0,3,31,0,0,0,false,""
0,3,32,0,0,0,false,""
0,3,33,0,0,0,false,""
0,3,34,0,0,0,false,""
0,3,35,0,0,0,false,""
0,3,36,0,0,0,false,""
0,3,37,0,0,0,false,""
0,3,38,0,0,0,true,"4"
0,3,39,0,0,0,false,""
0,3,40,0,0,0,false,""
0,4,0,1,1,0,true,"0"
0,4,1,0,1,1,false,""
0,4,2,-1,0,1,true,"1"
0,4,3,-1,1,2,true,"-1"
0,4,4,0,2,2,false,""
0,4,5,1,2,1,false,""
0,4,6,1,2,1,false,""
0,4,7,0,2,2,false,""
0,4,8,-1,1,2,false,""
0,4,9,0,1,1,true,"2"
0,4,10,0,1,1,false,""
0,4,11,1,1,0,true,"-2"
0,4,12,0,0,0,false,""
0,4,13,-1,0,1,false,""
0,4,14,0,0,0,false,""
0,4,15,0,0,0,false,""
0,4,16,1,1,0,false,""
0,4,17,0,0,0,false,""
0,4,18,0,0,0,false,""
0,4,19,0,0,0,false,""
0,4,20,0,0,0,false,""
0,4,21,0,0,0,true,"3"
0,4,22,0,0,0,false,""
0,4,23,0,0,0,false,""
0,4,24,0,0,0,true,"-3"
0,4,25,0,0,0,false,""
0,4,26,0,0,0,false,""
0,4,27,0,0,0,false,""
0,4,28,0,0,0,false,""
0,4,29,0,0,0,false,""
0,4,30,0,0,0,false,""
0,4,31,0,0,0,false,""
0,4,32,0,0,0,false,""
0,4,33,0,0,0,false,""
0,4,34,0,0,0,false,""
0,4,35,0,0,0,false,""
0,4,36,0,0,0,false,""
0,4,37,0,0,0,false,""
0,4,38,0,0,0,true,"4"
0,4,39,0,0,0,false,""
0,4,40,0,0,0,false,""
0,5,0,1,1,0,true,"0"
0,5,1,0,1,1,false,""
0,5,2,-1,0,1,true,"1"
0,5,3,-1,1,2,true,"-1"
0,5,4,0,2,2,false,""
0,5,5,0,2,2,false,""
0,5,6,1,3,2,false,""
0,5,7,1,3,2,false,""
0,5,8,0,3,3,false,""
0,5,9,0,3,3,true,"2"
0,5,10,-1,2,3,false,""
0,5,11,0,2,2,true,"-2"
0,5,12,0,2,2,false,""
0,5,13,0,2,2,false,""
0,5,14,0,1,1,false,""
0,5,15,0,1,1,false,""
0,5,16,0,1,1,false,""
0,5,17,0,0,0,false,""
0,5,18,1,1,0,false,""
0,5,19,0,0,0,false,""
0,5,20,0,0,0,false,""
0,5,21,-1,0,1,true,"3"
0,5,22,0,0,0,false,""
0,5,23,0,0,0,false,""
0,5,24,0,0,0,true,"-3"
0,5,25,1,1,0,false,""
0,5,26,0,0,0,false,""
0,5,27,0,0,0,false,""
0,5,28,0,0,0,false,""
0,5,29,0,0,0,false,""
0,5,30,0,0,0,false,""
0,5,31,0,0,0,false,""
0,5,32,0,0,0,false,""
0,5,33,0,0,0,false,""
0,5,34,0,0,0,false,""
0,5,35,0,0,0,false,""
0,5,36,0,0,0,false,""
0,5,37,0,0,0,false,""
0,5,38,0,0,0,true,"4"
0,5,39,0,0,0,false,""
0,5,40,0,0,0,false,""
0,6,0,1,1,0,true,"0"
0,6,1,0,1,1,false,""
0,6,2,-1,0,1,true,"1"
0,6,3,-1,1,2,true,"-1"
0,6,4,0,2,2,false,""
0,6,5,0,2,2,false,""
0,6,6,0,3,3,false,""
0,6,7,1,4,3,false,""
0,6,8,1,4,3,false,""
0,6,9,1,5,4,true,"2"
0,6,10,-1,4,5,false,""
0,6,11,0,4,4,true,"-2"
0,6,12,-1,4,5,false,""
0,6,13,-1,4,5,false,""
0,6,14,0,4,4,false,""
0,6,15,0,4,4,false,""
0,6,16,1,4,3,false,""
0,6,17,0,2,2,false,""
0,6,18,1,3,2,false,""
0,6,19,0,2,2,false,""
0,6,20,0,1,1,false,""
0,6,21,-1,1,2,true,"3"
0,6,22,0,1,1,false,""
0,6,23,0,0,0,false,""
0,6,24,-1,0,1,true,"-3"
0,6,25,1,1,0,false,""
0,6,26,0,0,0,false,""
0,6,27,1,1,0,false,""
0,6,28,0,0,0,false,""
0,6,29,0,0,0,false,""
0,6,30,0,0,0,false,""
0,6,31,-1,0,1,false,""
0,6,32,0,0,0,false,""
0,6,33,0,0,0,false,""
0,6,34,0,0,0,false,""
0,6,35,0,0,0,false,""
0,6,36,1,1,0,false,""
0,6,37,0,0,0,false,""
0,6,38,0,0,0,true,"4"
0,6,39,0,0,0,false,""
0,6,40,0,0,0,false,""
0,7,0,1,1,0,true,"0"
0,7,1,0,1,1,false,""
0,7,2,-1,0,1,true,"1"
0,7,3,-1,1,2,true,"-1"
0,7,4,0,2,2,false,""
0,7,5,0,2,2,false,""
0,7,6,0,3,3,false,""
0,7,7,0,4,4,false,""
0,7,8,1,5,4,false,""
0,7,9,2,6,4,true,"2"
0,7,10,0,6,6,false,""
0,7,11,0,6,6,true,"-2"
0,7,12,-1,6,7,false,""
0,7,13,-1,7,8,false,""
0,7,14,-1,7,8,false,""
0,7,15,-1,7,8,false,""
0,7,16,0,8,8,false,""
0,7,17,1,7,6,false,""
0,7,18,1,7,6,false,""
0,7,19,1,7,6,false,""
0,7,20,1,6,5,false,""
0,7,21,-1,5,6,true,"3"
0,7,22,0,5,5,false,""
0,7,23,-1,3,4,false,""
0,7,24,-1,2,3,true,"-3"
0,7,25,0,3,3,false,""
0,7,26,0,2,2,false,""
0,7,27,1,2,1,false,""
0,7,28,1,2,1,false,""
0,7,29,0,1,1,false,""
0,7,30,0,0,0,false,""
0,7,31,0,1,1,false,""
0,7,32,-1,0,1,false,""
0,7,33,0,0,0,false,""
0,7,34,-1,0,1,false,""
0,7,35,0,0,0,false,""
0,7,36,1,1,0,false,""
0,7,37,0,0,0,false,""
0,7,38,1,1,0,true,"4"
0,7,39,0,0,0,false,""
0,7,40,0,0,0,false,""
0,8,0,1,1,0,true,"0"
0,8,1,0,1,1,false,""
0,8,2,-1,0,1,true,"1"
0,8,3,-1,1,2,true,"-1"
0,8,4,0,2,2,false,""
0,8,5,0,2,2,false,""
0,8,6,0,3,3,false,""
0,8,7,0,4,4,false,""
0,8,8,0,5,5,false,""
0,8,9,2,7,5,true,"2"
0,8,10,1,7,6,false,""
0,8,11,1,8,7,true,"-2"
0,8,12,-1,8,9,false,""
0,8,13,-1,9,10,false,""
0,8,14,-1,10,11,false,""
0,8,15,-1,11,12,false,""
0,8,16,-1,12,13,false,""
0,8,17,-1,11,12,false,""
0,8,18,1,13,12,false,""
0,8,19,1,13,12,false,""
0,8,20,2,13,11,false,""
0,8,21,0,13,13,true,"3"
0,8,22,1,13,12,false,""
0,8,23,0,11,11,false,""
0,8,24,-1,10,11,true,"-3"
0,8,25,-1,9,10,false,""
0,8,26,-1,8,9,false,""
0,8,27,0,8,8,false,""
0,8,28,0,7,7,false,""
0,8,29,1,7,6,false,""
0,8,30,0,5,5,false,""
0,8,31,1,5,4,false,""
0,8,32,0,3,3,false,""
0,8,33,0,3,3,false,""
0,8,34,-1,2,3,false,""
0,8,35,-1,1,2,false,""
0,8,36,0,2,2,false,""
0,8,37,0,1,1,false,""
0,8,38,1,1,0,true,"4"
0,8,39,0,1,1,false,""
0,8,40,1,1,0,false,""
0,9,0,1,1,0,true,"0"
0,9,1,0,1,1,false,""
0,9,2,-1,0,1,true,"1"
0,9,3,-1,1,2,true,"-1"
0,9,4,0,2,2,false,""
0,9,5,0,2,2,false,""
0,9,6,0,3,3,false,""
0,9,7,0,4,4,false,""
0,9,8,0,5,5,false,""
0,9,9,1,7,6,true,"2"
0,9,10,1,8,7,false,""
0,9,11,2,9,7,true,"-2"
0,9,12,0,10,10,false,""
0,9,13,-1,11,12,false,""
0,9,14,-1,12,13,false,""
0,9,15,-1,14,15,false,""
0,9,16,-1,16,17,false,""
0,9,17,-1,16,17,false,""
0,9,18,-1,18,19,false,""
0,9,19,0,19,19,false,""
0,9,20,1,20,19,false,""
0,9,21,1,22,21,true,"3"
0,9,22,2,23,21,false,""
0,9,23,1,22,21,false,""
0,9,24,0,22,22,true,"-3"
0,9,25,0,22,22,false,""
0,9,26,0,20,20,false,""
0,9,27,-1,20,21,false,""
0,9,28,-1,19,20,false,""
0,9,29,-1,18,19,false,""
0,9,30,0,18,18,false,""
0,9,31,0,17,17,false,""
0,9,32,0,14,14,false,""
0,9,33,1,14,13,false,""
0,9,34,0,12,12,false,""
0,9,35,0,10,10,false,""
0,9,36,0,10,10,false,""
0,9,37,0,8,8,false,""
0,9,38,0,7,7,true,"4"
0,9,39,0,6,6,false,""
0,9,40,0,5,5,false,""
0,10,0,1,1,0,true,"0"
0,10,1,0,1,1,false,""
0,10,2,-1,0,1,true,"1"
0,10,3,-1,1,2,true,"-1"
0,10,4,0,2,2,false,""
0,10,5,0,2,2,false,""
0,10,6,0,3,3,false,""
0,10,7,0,4,4,false,""
0,10,8,0,5,5,false,""
0,10,9,1,7,6,true,"2"
0,10,10,0,8,8,false,""
0,10,11,2,10,8,true,"-2"
0,10,12,1,11,10,false,""
0,10,13,0,13,13,false,""
0,10,14,-1,14,15,false,""
0,10,15,-1,16,17,false,""
0,10,16,-1,19,20,false,""
0,10,17,-1,20,21,false,""
0,10,18,-1,23,24,false,""
0,10,19,-1,25,26,false,""
0,10,20,0,27,27,false,""
0,10,21,-1,29,30,true,"3"
0,10,22,2,33,31,false,""
0,10,23,2,34,32,false,""
0,10,24,1,35,34,true,"-3"
0,10,25,1,37,36,false,""
0,10,26,1,37,36,false,""
0,10,27,0,37,37,false,""
0,10,28,0,38,38,false,""
0,10,29,-1,37,38,false,""
0,10,30,-1,37,38,false,""
0,10,31,-1,38,39,false,""
0,10,32,-2,35,37,false,""
0,10,33,0,35,35,false,""
0,10,34,0,34,34,false,""
0,10,35,0,32,32,false,""
0,10,36,0,30,30,false,""
0,10,37,1,29,28,false,""
0,10,38,1,27,26,true,"4"
0,10,39,1,25,24,false,""
0,10,40,0,23,23,false,""
0,11,0,1,1,0,true,"0"
0,11,1,0,1,1,false,""
0,11,2,-1,0,1,true,"1"
0,11,3,-1,1,2,true,"-1"
0,11,4,0,2,2,false,""
0,11,5,0,2,2,false,""
0,11,6,0,3,3,false,""
0,11,7,0,4,4,false,""
0,11,8,0,5,5,false,""
0,11,9,1,7,6,true,"2"
0,11,10,0,8,8,false,""
0,11,11,1,10,9,true,"-2"
0,11,12,1,12,11,false,""
0,11,13,1,14,13,false,""
0,11,14,0,16,16,false,""
0,11,15,-1,18,19,false,""
0,11,16,-1,21,22,false,""
0,11,17,-1,23,24,false,""
0,11,18,-1,27,28,false,""
0,11,19,-1,30,31,false,""
0,11,20,-1,33,34,false,""
0,11,21,-1,37,38,true,"3"
0,11,22,0,41,41,false,""
0,11,23,1,44,43,false,""
0,11,24,1,48,47,true,"-3"
0,11,25,2,52,50,false,""
0,11,26,2,54,52,false,""
0,11,27,1,57,56,false,""
0,11,28,1,59,58,false,""
0,11,29,0,61,61,false,""
0,11,30,0,63,63,false,""
0,11,31,-1,65,66,false,""
0,11,32,-1,65,66,false,""
0,11,33,-2,66,68,false,""
0,11,34,-2,66,68,false,""
0,11,35,-1,66,67,false,""
0,11,36,-1,66,67,false,""
0,11,37,0,65,65,false,""
0,11,38,1,64,63,true,"4"
0,11,39,1,63,62,false,""
0,11,40,1,61,60,false,""
0,12,0,1,1,0,true,"0"
0,12,1,0,1,1,false,""
0,12,2,-1,0,1,true,"1"
0,12,3,-1,1,2,true,"-1"
0,12,4,0,2,2,false,""
0,12,5,0,2,2,false,""
0,12,6,0,3,3,false,""
0,12,7,0,4,4,false,""
0,12,8,0,5,5,false,""
0,12,9,1,7,6,true,"2"
0,12,10,0,8,8,false,""
0,12,11,1,10,9,true,"-2"
0,12,12,0,12,12,false,""
0,12,13,1,15,14,false,""
0,12,14,1,17,16,false,""
0,12,15,0,20,20,false,""
0,12,16,-1,23,24,false,""
0,12,17,-1,25,26,false,""
0,12,18,-1,30,31,false,""
0,12,19,-1,34,35,false,""
0,12,20,-1,38,39,false,""
0,12,21,-2,43,45,true,"3"
0,12,22,0,49,49,false,""
0,12,23,0,53,53,false,""
0,12,24,0,59,59,true,"-3"
0,12,25,1,65,64,false,""
0,12,26,2,70,68,false,""
0,12,27,2,76,74,false,""
0,12,28,2,81,79,false,""
0,12,29,1,85,84,false,""
0,12,30,1,91,90,false,""
0,12,31,0,96,96,false,""
0,12,32,0,99,99,false,""
0,12,33,-1,104,105,false,""
0,12,34,-2,107,109,false,""
0,12,35,-2,109,111,false,""
0,12,36,-2,113,115,false,""
0,12,37,-2,115,117,false,""
0,12,38,-1,116,117,true,"4"
0,12,39,0,119,119,false,""
0,12,40,0,119,119,false,""
1,0,0,1,1,0,true,"0"
1,0,1,0,0,0,true,"1"
1,0,2,0,0,0,false,""
1,0,3,0,0,0,false,""
1,0,4,0,0,0,true,"-1"
1,0,5,0,0,0,false,""
1,0,6,0,0,0,false,""
1,0,7,0,0,0,true,"2"
1,0,8,0,0,0,false,""
1,0,9,0,0,0,false,""
1,0,10,0,0,0,false,""
1,0,11,0,0,0,false,""
1,0,12,0,0,0,false,""
1,0,13,0,0,0,true,"-2"
1,0,14,0,0,0,false,""
1,0,15,0,0,0,false,""
1,0,16,0,0,0,false,""
1,0,17,0,0,0,false,""
1,0,18,0,0,0,false,""
1,0,19,0,0,0,false,""
1,0,20,0,0,0,false,""
1,0,21,0,0,0,false,""
1,0,22,0,0,0,false,""
1,0,23,0,0,0,false,""
1,0,24,0,0,0,false,""
1,0,25,0,0,0,false,""
1,0,26,0,0,0,false,""
1,0,27,0,0,0,false,""
1,0,28,0,0,0,false,""
1,0,29,0,0,0,false,""
1,0,30,0,0,0,false,""
1,0,31,0,0,0,false,""
1,0,32,0,0,0,false,""
1,0,33,0,0,0,false,""
1,0,34,0,0,0,false,""
1,0,35,0,0,0,false,""
1,0,36,0,0,0,false,""
1,0,37,0,0,0,false,""
1,0,38,0,0,0,false,""
1,0,39,0,0,0,false,""
1,0,40,0,0,0,false,""
1,1,0,1,1,0,true,"0"
1,1,1,-1,0,1,true,"1"
1,1,2,1,1,0,false,""
1,1,3,0,0,0,false,""
1,1,4,0,0,0,true,"-1"
1,1,5,0,0,0,false,""
1,1,6,0,0,0,false,""
1,1,7,0,0,0,true,"2"
1,1,8,0,0,0,false,""
1,1,9,0,0,0,false,""
1,1,10,0,0,0,false,""
1,1,11,0,0,0,false,""
1,1,12,0,0,0,false,""
1,1,13,0,0,0,true,"-2"
1,1,14,0,0,0,false,""
1,1,15,0,0,0,false,""
1,1,16,0,0,0,false,""
1,1,17,0,0,0,false,""
1,1,18,0,0,0,true,"3"
1,1,19,0,0,0,false,""
1,1,20,0,0,0,false,""
1,1,21,0,0,0,false,""
1,1,22,0,0,0,false,""
1,1,23,0,0,0,false,""
1,1,24,0,0,0,false,""
1,1,25,0,0,0,false,""
1,1,26,0,0,0,false,""
1,1,27,0,0,0,true,"-3"
1,1,28,0,0,0,false,""
1,1,29,0,0,0,false,""
1,1,30,0,0,0,false,""
1,1,31,0,0,0,false,""
1,1,32,0,0,0,false,""
1,1,33,0,0,0,false,""
1,1,34,0,0,0,false,""
1,1,35,0,0,0,false,""
1,1,36,0,0,0,false,""
1,1,37,0,0,0,false,""
1,1,38,0,0,0,false,""
1,1,39,0,0,0,false,""
1,1,40,0,0,0,false,""
1,2,0,1,1,0,true,"0"
1,2,1,-1,0,1,true,"1"
1,2,2,0,1,1,false,""
1,2,3,1,1,0,false,""
1,2,4,-1,0,1,true,"-1"
1,2,5,0,0,0,false,""
1,2,6,1,1,0,false,""
1,2,7,0,0,0,true,"2"
1,2,8,0,0,0,false,""
1,2,9,0,0,0,false,""
1,2,10,0,0,0,false,""
1,2,11,0,0,0,false,""
1,2,12,0,0,0,false,""
1,2,13,0,0,0,true,"-2"
1,2,14,0,0,0,false,""
1,2,15,0,0,0,false,""
1,2,16,0,0,0,false,""
1,2,17,0,0,0,false,""
1,2,18,0,0,0,true,"3"
1,2,19,0,0,0,false,""
1,2,20,0,0,0,false,""
1,2,21,0,0,0,false,""
1,2,22,0,0,0,false,""
1,2,23,0,0,0,false,""
1,2,24,0,0,0,false,""
1,2,25,0,0,0,false,""
1,2,26,0,0,0,false,""
1,2,27,0,0,0,true,"-3"
1,2,28,0,0,0,false,""
1,2,29,0,0,0,false,""
1,2,30,0,0,0,false,""
1,2,31,0,0,0,false,""
1,2,32,0,0,0,false,""
1,2,33,0,0,0,false,""
1,2,34,0,0,0,true,"4"
1,2,35,0,0,0,false,""
1,2,36,0,0,0,false,""
1,2,37,0,0,0,false,""
1,2,38,0,0,0,false,""
1,2,39,0,0,0,false,""
1,2,40,0,0,0,false,""
1,3,0,1,1,0,true,"0"
1,3,1,-1,0,1,true,"1"
1,3,2,0,1,1,false,""
1,3,3,0,1,1,false,""
1,3,4,0,1,1,true,"-1"
1,3,5,0,1,1,false,""
1,3,6,0,1,1,false,""
1,3,7,1,1,0,true,"2"
1,3,8,0,0,0,false,""
1,3,9,-1,0,1,false,""
1,3,10,0,0,0,false,""
1,3,11,0,0,0,false,""
1,3,12,1,1,0,false,""
1,3,13,0,0,0,true,"-2"
1,3,14,0,0,0,false,""
1,3,15,0,0,0,false,""
1,3,16,0,0,0,false,""
1,3,17,0,0,0,false,""
1,3,18,0,0,0,true,"3"
1,3,19,0,0,0,false,""
1,3,20,0,0,0,false,""
1,3,21,0,0,0,false,""
1,3,22,0,0,0,false,""
1,3,23,0,0,0,false,""
1,3,24,0,0,0,false,""
1,3,25,0,0,0,false,""
1,3,26,0,0,0,false,""
1,3,27,0,0,0,true,"-3"
1,3,28,0,0,0,false,""
1,3,29,0,0,0,false,""
1,3,30,0,0,0,false,""
1,3,31,0,0,0,false,""
1,3,32,0,0,0,false,""
1,3,33,0,0,0,false,""
1,3,34,0,0,0,true,"4"
1,3,35,0,0,0,false,""
1,3,36,0,0,0,false,""
1,3,37,0,0,0,false,""
1,3,38,0,0,0,false,""
1,3,39,0,0,0,false,""
1,3,40,0,0,0,false,""
1,4,0,1,1,0,true,"0"
1,4,1,-1,0,1,true,"1"
1,4,2,0,1,1,false,""
1,4,3,0,1,1,false,""
1,4,4,-1,1,2,true,"-1"
1,4,5,1,2,1,false,""
1,4,6,0,2,2,false,""
1,4,7,1,2,1,true,"2"
1,4,8,0,1,1,false,""
1,4,9,-1,1,2,false,""
1,4,10,0,1,1,false,""
1,4,11,-1,0,1,false,""
1,4,12,1,1,0,false,""
1,4,13,1,1,0,true,"-2"
1,4,14,0,0,0,false,""
1,4,15,0,0,0,false,""
1,4,16,-1,0,1,false,""
1,4,17,0,0,0,false,""
1,4,18,0,0,0,true,"3"
1,4,19,0,0,0,false,""
1,4,20,1,1,0,false,""
1,4,21,0,0,0,false,""
1,4,22,0,0,0,false,""
1,4,23,0,0,0,false,""
1,4,24,0,0,0,false,""
1,4,25,0,0,0,false,""
1,4,26,0,0,0,false,""
1,4,27,0,0,0,true,"-3"
1,4,28,0,0,0,false,""
1,4,29,0,0,0,false,""
1,4,30,0,0,0,false,""
1,4,31,0,0,0,false,""
1,4,32,0,0,0,false,""
1,4,33,0,0,0,false,""
1,4,34,0,0,0,true,"4"
1,4,35,0,0,0,false,""
1,4,36,0,0,0,false,""
1,4,37,0,0,0,false,""
1,4,38,0,0,0,false,""
1,4,39,0,0,0,false,""
1,4,40,0,0,0,false,""
1,5,0,1,1,0,true,"0"
1,5,1,-1,0,1,true,"1"
1,5,2,0,1,1,false,""
1,5,3,0,1,1,false,""
1,5,4,-1,1,2,true,"-1"
1,5,5,0,2,2,false,""
1,5,6,1,3,2,false,""
1,5,7,1,3,2,true,"2"
1,5,8,0,2,2,false,""
1,5,9,0,3,3,false,""
1,5,10,-1,2,3,false,""
1,5,11,-1,2,3,false,""
1,5,12,0,2,2,false,""
1,5,13,1,2,1,true,"-2"
1,5,14,1,2,1,false,""
1,5,15,0,1,1,false,""
1,5,16,0,1,1,false,""
1,5,17,-1,0,1,false,""
1,5,18,-1,0,1,true,"3"
1,5,19,0,0,0,false,""
1,5,20,1,1,0,false,""
1,5,21,1,1,0,false,""
1,5,22,0,0,0,false,""
1,5,23,0,0,0,false,""
1,5,24,0,0,0,false,""
1,5,25,-1,0,1,false,""
1,5,26,0,0,0,false,""
1,5,27,0,0,0,true,"-3"
1,5,28,0,0,0,false,""
1,5,29,0,0,0,false,""
1,5,30,1,1,0,false,""
1,5,31,0,0,0,false,""
1,5,32,0,0,0,false,""
1,5,33,0,0,0,false,""
1,5,34,0,0,0,true,"4"
1,5,35,0,0,0,false,""
1,5,36,0,0,0,false,""
1,5,37,0,0,0,false,""
1,5,38,0,0,0,false,""
1,5,39,0,0,0,false,""
1,5,40,0,0,0,false,""
1,6,0,1,1,0,true,"0"
1,6,1,-1,0,1,true,"1"
1,6,2,0,1,1,false,""
1,6,3,0,1,1,false,""
1,6,4,-1,1,2,true,"-1"
1,6,5,0,2,2,false,""
1,6,6,0,3,3,false,""
1,6,7,2,4,2,true,"2"
1,6,8,0,3,3,false,""
1,6,9,0,4,4,false,""
1,6,10,0,4,4,false,""
1,6,11,-1,4,5,false,""
1,6,12,-1,4,5,false,""
1,6,13,0,4,4,true,"-2"
1,6,14,1,4,3,false,""
1,6,15,0,4,4,false,""
1,6,16,1,4,3,false,""
1,6,17,0,3,3,false,""
1,6,18,-1,2,3,true,"3"
1,6,19,-1,1,2,false,""
1,6,20,0,2,2,false,""
1,6,21,1,2,1,false,""
1,6,22,0,1,1,false,""
1,6,23,1,1,0,false,""
1,6,24,1,1,0,false,""
1,6,25,-1,0,1,false,""
1,6,26,-1,0,1,false,""
1,6,27,-1,0,1,true,"-3"
1,6,28,0,0,0,false,""
1,6,29,0,0,0,false,""
1,6,30,1,1,0,false,""
1,6,31,1,1,0,false,""
1,6,32,0,0,0,false,""
1,6,33,0,0,0,false,""
1,6,34,0,0,0,true,"4"
1,6,35,0,0,0,false,""
1,6,36,-1,0,1,false,""
1,6,37,0,0,0,false,""
1,6,38,0,0,0,false,""
1,6,39,0,0,0,false,""
1,6,40,0,0,0,false,""
1,7,0,1,1,0,true,"0"
1,7,1,-1,0,1,true,"1"
1,7,2,0,1,1,false,""
1,7,3,0,1,1,false,""
1,7,4,-1,1,2,true,"-1"
1,7,5,0,2,2,false,""
1,7,6,0,3,3,false,""
1,7,7,1,4,3,true,"2"
1,7,8,1,4,3,false,""
1,7,9,0,5,5,false,""
1,7,10,0,5,5,false,""
1,7,11,0,6,6,false,""
1,7,12,-1,6,7,false,""
1,7,13,0,7,7,true,"-2"
1,7,14,-1,6,7,false,""
1,7,15,0,7,7,false,""
1,7,16,1,8,7,false,""
