"alpha","N","n","S","S_size","sign","exponent"
0,5,0,"{1;2}",2,1,3
0,5,0,"{1;3}",2,1,4
0,5,0,"{1;4}",2,1,5
0,5,0,"{1;5}",2,1,6
0,5,0,"{2;3}",2,1,5
0,5,0,"{2;4}",2,1,6
0,5,0,"{2;5}",2,1,7
0,5,0,"{3;4}",2,1,7
0,5,0,"{3;5}",2,1,8
0,5,0,"{4;5}",2,1,9
0,5,0,"{1;2;3}",3,-1,6
0,5,0,"{1;2;4}",3,-1,7
0,5,0,"{1;2;5}",3,-1,8
0,5,0,"{1;3;4}",3,-1,8
0,5,0,"{1;3;5}",3,-1,9
0,5,0,"{1;4;5}",3,-1,10
0,5,0,"{2;3;4}",3,-1,9
0,5,0,"{2;3;5}",3,-1,10
0,5,0,"{2;4;5}",3,-1,11
0,5,0,"{3;4;5}",3,-1,12
0,5,0,"{1;2;3;4}",4,1,10
0,5,0,"{1;2;3;5}",4,1,11
0,5,0,"{1;2;4;5}",4,1,12
0,5,0,"{1;3;4;5}",4,1,13
0,5,0,"{2;3;4;5}",4,1,14
0,5,0,"{1;2;3;4;5}",5,-1,15
0,5,1,"{}",0,1,1
0,5,1,"{2}",1,-1,3
0,5,1,"{3}",1,-1,4
0,5,1,"{4}",1,-1,5
0,5,1,"{5}",1,-1,6
0,5,1,"{2;3}",2,1,6
0,5,1,"{2;4}",2,1,7
0,5,1,"{2;5}",2,1,8
0,5,1,"{3;4}",2,1,8
0,5,1,"{3;5}",2,1,9
0,5,1,"{4;5}",2,1,10
0,5,1,"{2;3;4}",3,-1,10
0,5,1,"{2;3;5}",3,-1,11
0,5,1,"{2;4;5}",3,-1,12
0,5,1,"{3;4;5}",3,-1,13
0,5,1,"{2;3;4;5}",4,1,15
0,5,2,"{}",0,1,4
0,5,2,"{3}",1,-1,7
0,5,2,"{4}",1,-1,8
0,5,2,"{5}",1,-1,9
0,5,2,"{3;4}",2,1,11
0,5,2,"{3;5}",2,1,12
0,5,2,"{4;5}",2,1,13
0,5,2,"{3;4;5}",3,-1,16
0,5,3,"{}",0,1,9
0,5,3,"{4}",1,-1,13
0,5,3,"{5}",1,-1,14
0,5,3,"{4;5}",2,1,18
0,5,4,"{}",0,1,16
0,5,4,"{5}",1,-1,21
0,5,5,"{}",0,1,25
0,6,0,"{}",0,1,0
0,6,0,"{1}",1,-1,1
0,6,0,"{2}",1,-1,2
0,6,0,"{3}",1,-1,3
0,6,0,"{4}",1,-1,4
0,6,0,"{5}",1,-1,5
0,6,0,"{6}",1,-1,6
0,6,0,"{1;2}",2,1,3
0,6,0,"{1;3}",2,1,4
0,6,0,"{1;4}",2,1,5
0,6,0,"{1;5}",2,1,6
0,6,0,"{1;6}",2,1,7
0,6,0,"{2;3}",2,1,5
0,6,0,"{2;4}",2,1,6
0,6,0,"{2;5}",2,1,7
0,6,0,"{2;6}",2,1,8
0,6,0,"{3;4}",2,1,7
0,6,0,"{3;5}",2,1,8
0,6,0,"{3;6}",2,1,9
0,6,0,"{4;5}",2,1,9
0,6,0,"{4;6}",2,1,10
0,6,0,"{5;6}",2,1,11
0,6,0,"{1;2;3}",3,-1,6
0,6,0,"{1;2;4}",3,-1,7
0,6,0,"{1;2;5}",3,-1,8
0,6,0,"{1;2;6}",3,-1,9
0,6,0,"{1;3;4}",3,-1,8
0,6,0,"{1;3;5}",3,-1,9
0,6,0,"{1;3;6}",3,-1,10
0,6,0,"{1;4;5}",3,-1,10
0,6,0,"{1;4;6}",3,-1,11
0,6,0,"{1;5;6}",3,-1,12
0,6,0,"{2;3;4}",3,-1,9
0,6,0,"{2;3;5}",3,-1,10
0,6,0,"{2;3;6}",3,-1,11
0,6,0,"{2;4;5}",3,-1,11
0,6,0,"{2;4;6}",3,-1,12
0,6,0,"{2;5;6}",3,-1,13
0,6,0,"{3;4;5}",3,-1,12
0,6,0,"{3;4;6}",3,-1,13
0,6,0,"{3;5;6}",3,-1,14
0,6,0,"{4;5;6}",3,-1,15
0,6,0,"{1;2;3;4}",4,1,10
0,6,0,"{1;2;3;5}",4,1,11
0,6,0,"{1;2;3;6}",4,1,12
0,6,0,"{1;2;4;5}",4,1,12
0,6,0,"{1;2;4;6}",4,1,13
0,6,0,"{1;2;5;6}",4,1,14
0,6,0,"{1;3;4;5}",4,1,13
0,6,0,"{1;3;4;6}",4,1,14
0,6,0,"{1;3;5;6}",4,1,15
0,6,0,"{1;4;5;6}",4,1,16
0,6,0,"{2;3;4;5}",4,1,14
0,6,0,"{2;3;4;6}",4,1,15
0,6,0,"{2;3;5;6}",4,1,16
0,6,0,"{2;4;5;6}",4,1,17
0,6,0,"{3;4;5;6}",4,1,18
0,6,0,"{1;2;3;4;5}",5,-1,15
0,6,0,"{1;2;3;4;6}",5,-1,16
0,6,0,"{1;2;3;5;6}",5,-1,17
0,6,0,"{1;2;4;5;6}",5,-1,18
0,6,0,"{1;3;4;5;6}",5,-1,19
0,6,0,"{2;3;4;5;6}",5,-1,20
0,6,0,"{1;2;3;4;5;6}",6,1,21
0,6,1,"{}",0,1,1
0,6,1,"{2}",1,-1,3
0,6,1,"{3}",1,-1,4
0,6,1,"{4}",1,-1,5
0,6,1,"{5}",1,-1,6
0,6,1,"{6}",1,-1,7
0,6,1,"{2;3}",2,1,6
0,6,1,"{2;4}",2,1,7
0,6,1,"{2;5}",2,1,8
0,6,1,"{2;6}",2,1,9
0,6,1,"{3;4}",2,1,8
0,6,1,"{3;5}",2,1,9
0,6,1,"{3;6}",2,1,10
0,6,1,"{4;5}",2,1,10
0,6,1,"{4;6}",2,1,11
0,6,1,"{5;6}",2,1,12
0,6,1,"{2;3;4}",3,-1,10
0,6,1,"{2;3;5}",3,-1,11
0,6,1,"{2;3;6}",3,-1,12
0,6,1,"{2;4;5}",3,-1,12
0,6,1,"{2;4;6}",3,-1,13
0,6,1,"{2;5;6}",3,-1,14
0,6,1,"{3;4;5}",3,-1,13
0,6,1,"{3;4;6}",3,-1,14
0,6,1,"{3;5;6}",3,-1,15
0,6,1,"{4;5;6}",3,-1,16
0,6,1,"{2;3;4;5}",4,1,15
0,6,1,"{2;3;4;6}",4,1,16
0,6,1,"{2;3;5;6}",4,1,17
0,6,1,"{2;4;5;6}",4,1,18
0,6,1,"{3;4;5;6}",4,1,19
0,6,1,"{2;3;4;5;6}",5,-1,21
0,6,2,"{}",0,1,4
0,6,2,"{3}",1,-1,7
0,6,2,"{4}",1,-1,8
0,6,2,"{5}",1,-1,9
0,6,2,"{6}",1,-1,10
0,6,2,"{3;4}",2,1,11
0,6,2,"{3;5}",2,1,12
0,6,2,"{3;6}",2,1,13
0,6,2,"{4;5}",2,1,13
0,6,2,"{4;6}",2,1,14
0,6,2,"{5;6}",2,1,15
0,6,2,"{3;4;5}",3,-1,16
0,6,2,"{3;4;6}",3,-1,17
0,6,2,"{3;5;6}",3,-1,18
0,6,2,"{4;5;6}",3,-1,19
0,6,2,"{3;4;5;6}",4,1,22
0,6,3,"{}",0,1,9
0,6,3,"{4}",1,-1,13
0,6,3,"{5}",1,-1,14
0,6,3,"{6}",1,-1,15
0,6,3,"{4;5}",2,1,18
0,6,3,"{4;6}",2,1,19
0,6,3,"{5;6}",2,1,20
0,6,3,"{4;5;6}",3,-1,24
0,6,4,"{}",0,1,16
0,6,4,"{5}",1,-1,21
0,6,4,"{6}",1,-1,22
0,6,4,"{5;6}",2,1,27
0,6,5,"{}",0,1,25
0,6,5,"{6}",1,-1,31
0,6,6,"{}",0,1,36
0,7,0,"{}",0,1,0
0,7,0,"{1}",1,-1,1
0,7,0,"{2}",1,-1,2
0,7,0,"{3}",1,-1,3
0,7,0,"{4}",1,-1,4
0,7,0,"{5}",1,-1,5
0,7,0,"{6}",1,-1,6
0,7,0,"{7}",1,-1,7
0,7,0,"{1;2}",2,1,3
0,7,0,"{1;3}",2,1,4
0,7,0,"{1;4}",2,1,5
0,7,0,"{1;5}",2,1,6
0,7,0,"{1;6}",2,1,7
0,7,0,"{1;7}",2,1,8
0,7,0,"{2;3}",2,1,5
0,7,0,"{2;4}",2,1,6
0,7,0,"{2;5}",2,1,7
0,7,0,"{2;6}",2,1,8
0,7,0,"{2;7}",2,1,9
0,7,0,"{3;4}",2,1,7
0,7,0,"{3;5}",2,1,8
0,7,0,"{3;6}",2,1,9
0,7,0,"{3;7}",2,1,10
0,7,0,"{4;5}",2,1,9
0,7,0,"{4;6}",2,1,10
0,7,0,"{4;7}",2,1,11
0,7,0,"{5;6}",2,1,11
0,7,0,"{5;7}",2,1,12
0,7,0,"{6;7}",2,1,13
0,7,0,"{1;2;3}",3,-1,6
0,7,0,"{1;2;4}",3,-1,7
0,7,0,"{1;2;5}",3,-1,8
0,7,0,"{1;2;6}",3,-1,9
0,7,0,"{1;2;7}",3,-1,10
0,7,0,"{1;3;4}",3,-1,8
0,7,0,"{1;3;5}",3,-1,9
0,7,0,"{1;3;6}",3,-1,10
0,7,0,"{1;3;7}",3,-1,11
0,7,0,"{1;4;5}",3,-1,10
0,7,0,"{1;4;6}",3,-1,11
0,7,0,"{1;4;7}",3,-1,12
0,7,0,"{1;5;6}",3,-1,12
0,7,0,"{1;5;7}",3,-1,13
0,7,0,"{1;6;7}",3,-1,14
0,7,0,"{2;3;4}",3,-1,9
0,7,0,"{2;3;5}",3,-1,10
0,7,0,"{2;3;6}",3,-1,11
0,7,0,"{2;3;7}",3,-1,12
0,7,0,"{2;4;5}",3,-1,11
0,7,0,"{2;4;6}",3,-1,12
0,7,0,"{2;4;7}",3,-1,13
0,7,0,"{2;5;6}",3,-1,13
0,7,0,"{2;5;7}",3,-1,14
0,7,0,"{2;6;7}",3,-1,15
0,7,0,"{3;4;5}",3,-1,12
0,7,0,"{3;4;6}",3,-1,13
0,7,0,"{3;4;7}",3,-1,14
0,7,0,"{3;5;6}",3,-1,14
0,7,0,"{3;5;7}",3,-1,15
0,7,0,"{3;6;7}",3,-1,16
0,7,0,"{4;5;6}",3,-1,15
0,7,0,"{4;5;7}",3,-1,16
0,7,0,"{4;6;7}",3,-1,17
0,7,0,"{5;6;7}",3,-1,18
0,7,0,"{1;2;3;4}",4,1,10
0,7,0,"{1;2;3;5}",4,1,11
0,7,0,"{1;2;3;6}",4,1,12
0,7,0,"{1;2;3;7}",4,1,13
0,7,0,"{1;2;4;5}",4,1,12
0,7,0,"{1;2;4;6}",4,1,13
0,7,0,"{1;2;4;7}",4,1,14
0,7,0,"{1;2;5;6}",4,1,14
0,7,0,"{1;2;5;7}",4,1,15
0,7,0,"{1;2;6;7}",4,1,16
0,7,0,"{1;3;4;5}",4,1,13
0,7,0,"{1;3;4;6}",4,1,14
0,7,0,"{1;3;4;7}",4,1,15
0,7,0,"{1;3;5;6}",4,1,15
0,7,0,"{1;3;5;7}",4,1,16
0,7,0,"{1;3;6;7}",4,1,17
0,7,0,"{1;4;5;6}",4,1,16
0,7,0,"{1;4;5;7}",4,1,17
0,7,0,"{1;4;6;7}",4,1,18
0,7,0,"{1;5;6;7}",4,1,19
0,7,0,"{2;3;4;5}",4,1,14
0,7,0,"{2;3;4;6}",4,1,15
0,7,0,"{2;3;4;7}",4,1,16
0,7,0,"{2;3;5;6}",4,1,16
0,7,0,"{2;3;5;7}",4,1,17
0,7,0,"{2;3;6;7}",4,1,18
0,7,0,"{2;4;5;6}",4,1,17
0,7,0,"{2;4;5;7}",4,1,18
0,7,0,"{2;4;6;7}",4,1,19
0,7,0,"{2;5;6;7}",4,1,20
0,7,0,"{3;4;5;6}",4,1,18
0,7,0,"{3;4;5;7}",4,1,19
0,7,0,"{3;4;6;7}",4,1,20
0,7,0,"{3;5;6;7}",4,1,21
0,7,0,"{4;5;6;7}",4,1,22
0,7,0,"{1;2;3;4;5}",5,-1,15
0,7,0,"{1;2;3;4;6}",5,-1,16
0,7,0,"{1;2;3;4;7}",5,-1,17
0,7,0,"{1;2;3;5;6}",5,-1,17
0,7,0,"{1;2;3;5;7}",5,-1,18
0,7,0,"{1;2;3;6;7}",5,-1,19
0,7,0,"{1;2;4;5;6}",5,-1,18
0,7,0,"{1;2;4;5;7}",5,-1,19
0,7,0,"{1;2;4;6;7}",5,-1,20
0,7,0,"{1;2;5;6;7}",5,-1,21
0,7,0,"{1;3;4;5;6}",5,-1,19
0,7,0,"{1;3;4;5;7}",5,-1,20
0,7,0,"{1;3;4;6;7}",5,-1,21
0,7,0,"{1;3;5;6;7}",5,-1,22
0,7,0,"{1;4;5;6;7}",5,-1,23
0,7,0,"{2;3;4;5;6}",5,-1,20
0,7,0,"{2;3;4;5;7}",5,-1,21
0,7,0,"{2;3;4;6;7}",5,-1,22
0,7,0,"{2;3;5;6;7}",5,-1,23
0,7,0,"{2;4;5;6;7}",5,-1,24
0,7,0,"{3;4;5;6;7}",5,-1,25
0,7,0,"{1;2;3;4;5;6}",6,1,21
0,7,0,"{1;2;3;4;5;7}",6,1,22
0,7,0,"{1;2;3;4;6;7}",6,1,23
0,7,0,"{1;2;3;5;6;7}",6,1,24
0,7,0,"{1;2;4;5;6;7}",6,1,25
0,7,0,"{1;3;4;5;6;7}",6,1,26
0,7,0,"{2;3;4;5;6;7}",6,1,27
0,7,0,"{1;2;3;4;5;6;7}",7,-1,28
0,7,1,"{}",0,1,1
0,7,1,"{2}",1,-1,3
0,7,1,"{3}",1,-1,4
0,7,1,"{4}",1,-1,5
0,7,1,"{5}",1,-1,6
0,7,1,"{6}",1,-1,7
0,7,1,"{7}",1,-1,8
0,7,1,"{2;3}",2,1,6
0,7,1,"{2;4}",2,1,7
0,7,1,"{2;5}",2,1,8
0,7,1,"{2;6}",2,1,9
0,7,1,"{2;7}",2,1,10
0,7,1,"{3;4}",2,1,8
0,7,1,"{3;5}",2,1,9
0,7,1,"{3;6}",2,1,10
0,7,1,"{3;7}",2,1,11
0,7,1,"{4;5}",2,1,10
0,7,1,"{4;6}",2,1,11
0,7,1,"{4;7}",2,1,12
0,7,1,"{5;6}",2,1,12
0,7,1,"{5;7}",2,1,13
0,7,1,"{6;7}",2,1,14
0,7,1,"{2;3;4}",3,-1,10
0,7,1,"{2;3;5}",3,-1,11
0,7,1,"{2;3;6}",3,-1,12
0,7,1,"{2;3;7}",3,-1,13
0,7,1,"{2;4;5}",3,-1,12
0,7,1,"{2;4;6}",3,-1,13
0,7,1,"{2;4;7}",3,-1,14
0,7,1,"{2;5;6}",3,-1,14
0,7,1,"{2;5;7}",3,-1,15
0,7,1,"{2;6;7}",3,-1,16
0,7,1,"{3;4;5}",3,-1,13
0,7,1,"{3;4;6}",3,-1,14
0,7,1,"{3;4;7}",3,-1,15
0,7,1,"{3;5;6}",3,-1,15
0,7,1,"{3;5;7}",3,-1,16
0,7,1,"{3;6;7}",3,-1,17
0,7,1,"{4;5;6}",3,-1,16
0,7,1,"{4;5;7}",3,-1,17
0,7,1,"{4;6;7}",3,-1,18
0,7,1,"{5;6;7}",3,-1,19
0,7,1,"{2;3;4;5}",4,1,15
0,7,1,"{2;3;4;6}",4,1,16
0,7,1,"{2;3;4;7}",4,1,17
0,7,1,"{2;3;5;6}",4,1,17
0,7,1,"{2;3;5;7}",4,1,18
0,7,1,"{2;3;6;7}",4,1,19
0,7,1,"{2;4;5;6}",4,1,18
0,7,1,"{2;4;5;7}",4,1,19
0,7,1,"{2;4;6;7}",4,1,20
0,7,1,"{2;5;6;7}",4,1,21
0,7,1,"{3;4;5;6}",4,1,19
0,7,1,"{3;4;5;7}",4,1,20
0,7,1,"{3;4;6;7}",4,1,21
0,7,1,"{3;5;6;7}",4,1,22
0,7,1,"{4;5;6;7}",4,1,23
0,7,1,"{2;3;4;5;6}",5,-1,21
0,7,1,"{2;3;4;5;7}",5,-1,22
0,7,1,"{2;3;4;6;7}",5,-1,23
0,7,1,"{2;3;5;6;7}",5,-1,24
0,7,1,"{2;4;5;6;7}",5,-1,25
0,7,1,"{3;4;5;6;7}",5,-1,26
0,7,1,"{2;3;4;5;6;7}",6,1,28
0,7,2,"{}",0,1,4
0,7,2,"{3}",1,-1,7
0,7,2,"{4}",1,-1,8
0,7,2,"{5}",1,-1,9
0,7,2,"{6}",1,-1,10
0,7,2,"{7}",1,-1,11
0,7,2,"{3;4}",2,1,11
0,7,2,"{3;5}",2,1,12
0,7,2,"{3;6}",2,1,13
0,7,2,"{3;7}",2,1,14
0,7,2,"{4;5}",2,1,13
0,7,2,"{4;6}",2,1,14
0,7,2,"{4;7}",2,1,15
0,7,2,"{5;6}",2,1,15
0,7,2,"{5;7}",2,1,16
0,7,2,"{6;7}",2,1,17
0,7,2,"{3;4;5}",3,-1,16
0,7,2,"{3;4;6}",3,-1,17
0,7,2,"{3;4;7}",3,-1,18
0,7,2,"{3;5;6}",3,-1,18
0,7,2,"{3;5;7}",3,-1,19
0,7,2,"{3;6;7}",3,-1,20
0,7,2,"{4;5;6}",3,-1,19
0,7,2,"{4;5;7}",3,-1,20
0,7,2,"{4;6;7}",3,-1,21
0,7,2,"{5;6;7}",3,-1,22
0,7,2,"{3;4;5;6}",4,1,22
0,7,2,"{3;4;5;7}",4,1,23
0,7,2,"{3;4;6;7}",4,1,24
0,7,2,"{3;5;6;7}",4,1,25
0,7,2,"{4;5;6;7}",4,1,26
0,7,2,"{3;4;5;6;7}",5,-1,29
0,7,3,"{}",0,1,9
0,7,3,"{4}",1,-1,13
0,7,3,"{5}",1,-1,14
0,7,3,"{6}",1,-1,15
0,7,3,"{7}",1,-1,16
0,7,3,"{4;5}",2,1,18
0,7,3,"{4;6}",2,1,19
0,7,3,"{4;7}",2,1,20
0,7,3,"{5;6}",2,1,20
0,7,3,"{5;7}",2,1,21
0,7,3,"{6;7}",2,1,22
0,7,3,"{4;5;6}",3,-1,24
0,7,3,"{4;5;7}",3,-1,25
0,7,3,"{4;6;7}",3,-1,26
0,7,3,"{5;6;7}",3,-1,27
0,7,3,"{4;5;6;7}",4,1,31
0,7,4,"{}",0,1,16
0,7,4,"{5}",1,-1,21
0,7,4,"{6}",1,-1,22
0,7,4,"{7}",1,-1,23
0,7,4,"{5;6}",2,1,27
0,7,4,"{5;7}",2,1,28
0,7,4,"{6;7}",2,1,29
0,7,4,"{5;6;7}",3,-1,34
0,7,5,"{}",0,1,25
0,7,5,"{6}",1,-1,31
0,7,5,"{7}",1,-1,32
0,7,5,"{6;7}",2,1,38
0,7,6,"{}",0,1,36
0,8,0,"{}",0,1,0
0,8,0,"{1}",1,-1,1
0,8,0,"{2}",1,-1,2
0,8,0,"{3}",1,-1,3
0,8,0,"{4}",1,-1,4
0,8,0,"{5}",1,-1,5
0,8,0,"{6}",1,-1,6
0,8,0,"{7}",1,-1,7
0,8,0,"{8}",1,-1,8
0,8,0,"{1;2}",2,1,3
0,8,0,"{1;3}",2,1,4
0,8,0,"{1;4}",2,1,5
0,8,0,"{1;5}",2,1,6
0,8,0,"{1;6}",2,1,7
0,8,0,"{1;7}",2,1,8
0,8,0,"{1;8}",2,1,9
0,8,0,"{2;3}",2,1,5
0,8,0,"{2;4}",2,1,6
0,8,0,"{2;5}",2,1,7
0,8,0,"{2;6}",2,1,8
0,8,0,"{2;7}",2,1,9
0,8,0,"{2;8}",2,1,10
0,8,0,"{3;4}",2,1,7
0,8,0,"{3;5}",2,1,8
0,8,0,"{3;6}",2,1,9
0,8,0,"{3;7}",2,1,10
0,8,0,"{3;8}",2,1,11
0,8,0,"{4;5}",2,1,9
0,8,0,"{4;6}",2,1,10
0,8,0,"{4;7}",2,1,11
0,8,0,"{4;8}",2,1,12
0,8,0,"{5;6}",2,1,11
0,8,0,"{5;7}",2,1,12
0,8,0,"{5;8}",2,1,13
0,8,0,"{6;7}",2,1,13
0,8,0,"{6;8}",2,1,14
0,8,0,"{7;8}",2,1,15
0,8,0,"{1;2;3}",3,-1,6
0,8,0,"{1;2;4}",3,-1,7
0,8,0,"{1;2;5}",3,-1,8
0,8,0,"{1;2;6}",3,-1,9
0,8,0,"{1;2;7}",3,-1,10
0,8,0,"{1;2;8}",3,-1,11
0,8,0,"{1;3;4}",3,-1,8
0,8,0,"{1;3;5}",3,-1,9
0,8,0,"{1;3;6}",3,-1,10
0,8,0,"{1;3;7}",3,-1,11
0,8,0,"{1;3;8}",3,-1,12
0,8,0,"{1;4;5}",3,-1,10
0,8,0,"{1;4;6}",3,-1,11
0,8,0,"{1;4;7}",3,-1,12
0,8,0,"{1;4;8}",3,-1,13
0,8,0,"{1;5;6}",3,-1,12
0,8,0,"{1;5;7}",3,-1,13
0,8,0,"{1;5;8}",3,-1,14
0,8,0,"{1;6;7}",3,-1,14
0,8,0,"{1;6;8}",3,-1,15
0,8,0,"{1;7;8}",3,-1,16
0,8,0,"{2;3;4}",3,-1,9
0,8,0,"{2;3;5}",3,-1,10
0,8,0,"{2;3;6}",3,-1,11
0,8,0,"{2;3;7}",3,-1,12
0,8,0,"{2;3;8}",3,-1,13
0,8,0,"{2;4;5}",3,-1,11
0,8,0,"{2;4;6}",3,-1,12
0,8,0,"{2;4;7}",3,-1,13
0,8,0,"{2;4;8}",3,-1,14
0,8,0,"{2;5;6}",3,-1,13
0,8,0,"{2;5;7}",3,-1,14
0,8,0,"{2;5;8}",3,-1,15
0,8,0,"{2;6;7}",3,-1,15
0,8,0,"{2;6;8}",3,-1,16
0,8,0,"{2;7;8}",3,-1,17
0,8,0,"{3;4;5}",3,-1,12
0,8,0,"{3;4;6}",3,-1,13
0,8,0,"{3;4;7}",3,-1,14
0,8,0,"{3;4;8}",3,-1,15
0,8,0,"{3;5;6}",3,-1,14
0,8,0,"{3;5;7}",3,-1,15
0,8,0,"{3;5;8}",3,-1,16
0,8,0,"{3;6;7}",3,-1,16
0,8,0,"{3;6;8}",3,-1,17
0,8,0,"{3;7;8}",3,-1,18
0,8,0,"{4;5;6}",3,-1,15
0,8,0,"{4;5;7}",3,-1,16
0,8,0,"{4;5;8}",3,-1,17
0,8,0,"{4;6;7}",3,-1,17
0,8,0,"{4;6;8}",3,-1,18
0,8,0,"{4;7;8}",3,-1,19
0,8,0,"{5;6;7}",3,-1,18
0,8,0,"{5;6;8}",3,-1,19
0,8,0,"{5;7;8}",3,-1,20
0,8,0,"{6;7;8}",3,-1,21
0,8,0,"{1;2;3;4}",4,1,10
0,8,0,"{1;2;3;5}",4,1,11
0,8,0,"{1;2;3;6}",4,1,12
0,8,0,"{1;2;3;7}",4,1,13
0,8,0,"{1;2;3;8}",4,1,14
0,8,0,"{1;2;4;5}",4,1,12
0,8,0,"{1;2;4;6}",4,1,13
0,8,0,"{1;2;4;7}",4,1,14
0,8,0,"{1;2;4;8}",4,1,15
0,8,0,"{1;2;5;6}",4,1,14
0,8,0,"{1;2;5;7}",4,1,15
0,8,0,"{1;2;5;8}",4,1,16
0,8,0,"{1;2;6;7}",4,1,16
0,8,0,"{1;2;6;8}",4,1,17
0,8,0,"{1;2;7;8}",4,1,18
0,8,0,"{1;3;4;5}",4,1,13
0,8,0,"{1;3;4;6}",4,1,14
0,8,0,"{1;3;4;7}",4,1,15
0,8,0,"{1;3;4;8}",4,1,16
0,8,0,"{1;3;5;6}",4,1,15
0,8,0,"{1;3;5;7}",4,1,16
0,8,0,"{1;3;5;8}",4,1,17
0,8,0,"{1;3;6;7}",4,1,17
0,8,0,"{1;3;6;8}",4,1,18
0,8,0,"{1;3;7;8}",4,1,19
0,8,0,"{1;4;5;6}",4,1,16
0,8,0,"{1;4;5;7}",4,1,17
0,8,0,"{1;4;5;8}",4,1,18
0,8,0,"{1;4;6;7}",4,1,18
0,8,0,"{1;4;6;8}",4,1,19
0,8,0,"{1;4;7;8}",4,1,20
0,8,0,"{1;5;6;7}",4,1,19
0,8,0,"{1;5;6;8}",4,1,20
0,8,0,"{1;5;7;8}",4,1,21
0,8,0,"{1;6;7;8}",4,1,22
0,8,0,"{2;3;4;5}",4,1,14
0,8,0,"{2;3;4;6}",4,1,15
0,8,0,"{2;3;4;7}",4,1,16
0,8,0,"{2;3;4;8}",4,1,17
0,8,0,"{2;3;5;6}",4,1,16
0,8,0,"{2;3;5;7}",4,1,17
0,8,0,"{2;3;5;8}",4,1,18
0,8,0,"{2;3;6;7}",4,1,18
0,8,0,"{2;3;6;8}",4,1,19
0,8,0,"{2;3;7;8}",4,1,20
0,8,0,"{2;4;5;6}",4,1,17
0,8,0,"{2;4;5;7}",4,1,18
0,8,0,"{2;4;5;8}",4,1,19
0,8,0,"{2;4;6;7}",4,1,19
0,8,0,"{2;4;6;8}",4,1,20
0,8,0,"{2;4;7;8}",4,1,21
0,8,0,"{2;5;6;7}",4,1,20
0,8,0,"{2;5;6;8}",4,1,21
0,8,0,"{2;5;7;8}",4,1,22
0,8,0,"{2;6;7;8}",4,1,23
0,8,0,"{3;4;5;6}",4,1,18
0,8,0,"{3;4;5;7}",4,1,19
0,8,0,"{3;4;5;8}",4,1,20
0,8,0,"{3;4;6;7}",4,1,20
0,8,0,"{3;4;6;8}",4,1,21
0,8,0,"{3;4;7;8}",4,1,22
0,8,0,"{3;5;6;7}",4,1,21
0,8,0,"{3;5;6;8}",4,1,22
0,8,0,"{3;5;7;8}",4,1,23
0,8,0,"{3;6;7;8}",4,1,24
0,8,0,"{4;5;6;7}",4,1,22
0,8,0,"{4;5;6;8}",4,1,23
0,8,0,"{4;5;7;8}",4,1,24
0,8,0,"{4;6;7;8}",4,1,25
0,8,0,"{5;6;7;8}",4,1,26
0,8,0,"{1;2;3;4;5}",5,-1,15
0,8,0,"{1;2;3;4;6}",5,-1,16
