alpha,weight,partition,length,staircase,mu,mu_residues,beta_set,beta_residues,shifted_beta,shifted_beta_residues,beta_runner_counts,shifted_runner_counts,beta_quotient_sum,shifted_quotient_sum
0,10,10,1,1,9,4,10,0,9,4,1 0 0 0 0,0 0 0 0 1,2,1
0,10,9 1,2,3 1,6 0,1 0,10 1,0 1,8 -1,3 4,1 1 0 0 0,0 0 0 1 1,2,0
0,10,8 2,2,3 1,5 1,0 1,9 2,4 2,7 0,2 0,0 0 1 0 1,1 0 1 0 0,1,1
0,10,7 3,2,3 1,4 2,4 2,8 3,3 3,6 1,1 1,0 0 0 2 0,0 2 0 0 0,1,1
0,10,6 4,2,3 1,3 3,3 3,7 4,2 4,5 2,0 2,0 0 1 0 1,1 0 1 0 0,1,1
0,10,6 3 1,3,5 3 1,1 0 0,1 0 0,8 4 1,3 4 1,5 1 -2,0 1 3,0 1 0 1 1,1 1 0 1 0,1,0
0,11,11,1,1,10,0,11,1,10,0,0 1 0 0 0,1 0 0 0 0,2,2
0,11,10 1,2,3 1,7 0,2 0,11 1,1 1,9 -1,4 4,0 2 0 0 0,0 0 0 0 2,2,0
0,11,9 2,2,3 1,6 1,1 1,10 2,0 2,8 0,3 0,1 0 1 0 0,1 0 0 1 0,2,1
0,11,8 3,2,3 1,5 2,0 2,9 3,4 3,7 1,2 1,0 0 0 1 1,0 1 1 0 0,1,1
0,11,7 4,2,3 1,4 3,4 3,8 4,3 4,6 2,1 2,0 0 0 1 1,0 1 1 0 0,1,1
0,11,7 3 1,3,5 3 1,2 0 0,2 0 0,9 4 1,4 4 1,6 1 -2,1 1 3,0 1 0 0 2,0 2 0 1 0,1,0
0,11,6 4 1,3,5 3 1,1 1 0,1 1 0,8 5 1,3 0 1,5 2 -2,0 2 3,1 1 0 1 0,1 0 1 1 0,2,0
0,12,12,1,1,11,1,12,2,11,1,0 0 1 0 0,0 1 0 0 0,2,2
0,12,11 1,2,3 1,8 0,3 0,12 1,2 1,10 -1,0 4,0 1 1 0 0,1 0 0 0 1,2,1
0,12,10 2,2,3 1,7 1,2 1,11 2,1 2,9 0,4 0,0 1 1 0 0,1 0 0 0 1,2,1
0,12,9 3,2,3 1,6 2,1 2,10 3,0 3,8 1,3 1,1 0 0 1 0,0 1 0 1 0,2,1
0,12,8 4,2,3 1,5 3,0 3,9 4,4 4,7 2,2 2,0 0 0 0 2,0 0 2 0 0,1,1
0,12,8 3 1,3,5 3 1,3 0 0,3 0 0,10 4 1,0 4 1,7 1 -2,2 1 3,1 1 0 0 1,0 1 1 1 0,2,0
0,12,7 5,2,3 1,4 4,4 4,8 5,3 0,6 3,1 3,1 0 0 1 0,0 1 0 1 0,2,1
0,12,7 4 1,3,5 3 1,2 1 0,2 1 0,9 5 1,4 0 1,6 2 -2,1 2 3,1 1 0 0 1,0 1 1 1 0,2,0
0,12,6 4 2,3,5 3 1,1 1 1,1 1 1,8 5 2,3 0 2,5 2 -1,0 2 4,1 0 1 1 0,1 0 1 0 1,2,0
0,13,13,1,1,12,2,13,3,12,2,0 0 0 1 0,0 0 1 0 0,2,2
0,13,12 1,2,3 1,9 0,4 0,13 1,3 1,11 -1,1 4,0 1 0 1 0,0 1 0 0 1,2,1
0,13,11 2,2,3 1,8 1,3 1,12 2,2 2,10 0,0 0,0 0 2 0 0,2 0 0 0 0,2,2
0,13,10 3,2,3 1,7 2,2 2,11 3,1 3,9 1,4 1,0 1 0 1 0,0 1 0 0 1,2,1
0,13,9 4,2,3 1,6 3,1 3,10 4,0 4,8 2,3 2,1 0 0 0 1,0 0 1 1 0,2,1
0,13,9 3 1,3,5 3 1,4 0 0,4 0 0,11 4 1,1 4 1,8 1 -2,3 1 3,0 2 0 0 1,0 1 0 2 0,2,0
0,13,8 5,2,3 1,5 4,0 4,9 5,4 0,7 3,2 3,1 0 0 0 1,0 0 1 1 0,2,1
0,13,8 4 1,3,5 3 1,3 1 0,3 1 0,10 5 1,0 0 1,7 2 -2,2 2 3,2 1 0 0 0,0 0 2 1 0,3,0
0,13,7 5 1,3,5 3 1,2 2 0,2 2 0,9 6 1,4 1 1,6 3 -2,1 3 3,0 2 0 0 1,0 1 0 2 0,2,0
0,13,7 4 2,3,5 3 1,2 1 1,2 1 1,9 5 2,4 0 2,6 2 -1,1 2 4,1 0 1 0 1,0 1 1 0 1,2,0
0,14,14,1,1,13,3,14,4,13,3,0 0 0 0 1,0 0 0 1 0,2,2
0,14,13 1,2,3 1,10 0,0 0,14 1,4 1,12 -1,2 4,0 1 0 0 1,0 0 1 0 1,2,1
0,14,12 2,2,3 1,9 1,4 1,13 2,3 2,11 0,1 0,0 0 1 1 0,1 1 0 0 0,2,2
0,14,11 3,2,3 1,8 2,3 2,12 3,2 3,10 1,0 1,0 0 1 1 0,1 1 0 0 0,2,2
0,14,10 4,2,3 1,7 3,2 3,11 4,1 4,9 2,4 2,0 1 0 0 1,0 0 1 0 1,2,1
0,14,10 3 1,3,5 3 1,5 0 0,0 0 0,12 4 1,2 4 1,9 1 -2,4 1 3,0 1 1 0 1,0 1 0 1 1,2,0
0,14,9 5,2,3 1,6 4,1 4,10 5,0 0,8 3,3 3,2 0 0 0 0,0 0 0 2 0,3,1
0,14,9 4 1,3,5 3 1,4 1 0,4 1 0,11 5 1,1 0 1,8 2 -2,3 2 3,1 2 0 0 0,0 0 1 2 0,3,0
0,14,8 6,2,3 1,5 5,0 0,9 6,4 1,7 4,2 4,0 1 0 0 1,0 0 1 0 1,2,1
0,14,8 5 1,3,5 3 1,3 2 0,3 2 0,10 6 1,0 1 1,7 3 -2,2 3 3,1 2 0 0 0,0 0 1 2 0,3,0
0,14,8 4 2,3,5 3 1,3 1 1,3 1 1,10 5 2,0 0 2,7 2 -1,2 2 4,2 0 1 0 0,0 0 2 0 1,3,0
0,14,7 5 2,3,5 3 1,2 2 1,2 2 1,9 6 2,4 1 2,6 3 -1,1 3 4,0 1 1 0 1,0 1 0 1 1,2,0
0,15,15,1,1,14,4,15,0,14,4,1 0 0 0 0,0 0 0 0 1,3,2
0,15,14 1,2,3 1,11 0,1 0,15 1,0 1,13 -1,3 4,1 1 0 0 0,0 0 0 1 1,3,1
0,15,13 2,2,3 1,10 1,0 1,14 2,4 2,12 0,2 0,0 0 1 0 1,1 0 1 0 0,2,2
0,15,12 3,2,3 1,9 2,4 2,13 3,3 3,11 1,1 1,0 0 0 2 0,0 2 0 0 0,2,2
0,15,11 4,2,3 1,8 3,3 3,12 4,2 4,10 2,0 2,0 0 1 0 1,1 0 1 0 0,2,2
0,15,11 3 1,3,5 3 1,6 0 0,1 0 0,13 4 1,3 4 1,10 1 -2,0 1 3,0 1 0 1 1,1 1 0 1 0,2,1
0,15,10 5,2,3 1,7 4,2 4,11 5,1 0,9 3,4 3,1 1 0 0 0,0 0 0 1 1,3,1
0,15,10 4 1,3,5 3 1,5 1 0,0 1 0,12 5 1,2 0 1,9 2 -2,4 2 3,1 1 1 0 0,0 0 1 1 1,3,0
0,15,9 6,2,3 1,6 5,1 0,10 6,0 1,8 4,3 4,1 1 0 0 0,0 0 0 1 1,3,1
0,15,9 5 1,3,5 3 1,4 2 0,4 2 0,11 6 1,1 1 1,8 3 -2,3 3 3,0 3 0 0 0,0 0 0 3 0,3,0
0,15,9 4 2,3,5 3 1,4 1 1,4 1 1,11 5 2,1 0 2,8 2 -1,3 2 4,1 1 1 0 0,0 0 1 1 1,3,0
0,15,8 6 1,3,5 3 1,3 3 0,3 3 0,10 7 1,0 2 1,7 4 -2,2 4 3,1 1 1 0 0,0 0 1 1 1,3,0
0,15,8 5 2,3,5 3 1,3 2 1,3 2 1,10 6 2,0 1 2,7 3 -1,2 3 4,1 1 1 0 0,0 0 1 1 1,3,0
0,15,7 5 3,3,5 3 1,2 2 2,2 2 2,9 6 3,4 1 3,6 3 0,1 3 0,0 1 0 1 1,1 1 0 1 0,2,1
0,16,16,1,1,15,0,16,1,15,0,0 1 0 0 0,1 0 0 0 0,3,3
0,16,15 1,2,3 1,12 0,2 0,16 1,1 1,14 -1,4 4,0 2 0 0 0,0 0 0 0 2,3,1
0,16,14 2,2,3 1,11 1,1 1,15 2,0 2,13 0,3 0,1 0 1 0 0,1 0 0 1 0,3,2
0,16,13 3,2,3 1,10 2,0 2,14 3,4 3,12 1,2 1,0 0 0 1 1,0 1 1 0 0,2,2
0,16,12 4,2,3 1,9 3,4 3,13 4,3 4,11 2,1 2,0 0 0 1 1,0 1 1 0 0,2,2
0,16,12 3 1,3,5 3 1,7 0 0,2 0 0,14 4 1,4 4 1,11 1 -2,1 1 3,0 1 0 0 2,0 2 0 1 0,2,1
0,16,11 5,2,3 1,8 4,3 4,12 5,2 0,10 3,0 3,1 0 1 0 0,1 0 0 1 0,3,2
0,16,11 4 1,3,5 3 1,6 1 0,1 1 0,13 5 1,3 0 1,10 2 -2,0 2 3,1 1 0 1 0,1 0 1 1 0,3,1
0,16,10 6,2,3 1,7 5,2 0,11 6,1 1,9 4,4 4,0 2 0 0 0,0 0 0 0 2,3,1
0,16,10 5 1,3,5 3 1,5 2 0,0 2 0,12 6 1,2 1 1,9 3 -2,4 3 3,0 2 1 0 0,0 0 0 2 1,3,0
0,16,10 4 2,3,5 3 1,5 1 1,0 1 1,12 5 2,2 0 2,9 2 -1,4 2 4,1 0 2 0 0,0 0 1 0 2,3,0
0,16,9 7,2,3 1,6 6,1 1,10 7,0 2,8 5,3 0,1 0 1 0 0,1 0 0 1 0,3,2
0,16,9 6 1,3,5 3 1,4 3 0,4 3 0,11 7 1,1 2 1,8 4 -2,3 4 3,0 2 1 0 0,0 0 0 2 1,3,0
0,16,9 5 2,3,5 3 1,4 2 1,4 2 1,11 6 2,1 1 2,8 3 -1,3 3 4,0 2 1 0 0,0 0 0 2 1,3,0
0,16,8 6 2,3,5 3 1,3 3 1,3 3 1,10 7 2,0 2 2,7 4 -1,2 4 4,1 0 2 0 0,0 0 1 0 2,3,0
0,16,8 5 3,3,5 3 1,3 2 2,3 2 2,10 6 3,0 1 3,7 3 0,2 3 0,1 1 0 1 0,1 0 1 1 0,3,1
0,16,7 5 3 1,4,7 5 3 1,0 0 0 0,0 0 0 0,10 7 4 1,0 2 4 1,6 3 0 -3,1 3 0 2,1 1 1 0 1,1 1 1 1 0,3,0
0,17,17,1,1,16,1,17,2,16,1,0 0 1 0 0,0 1 0 0 0,3,3
0,17,16 1,2,3 1,13 0,3 0,17 1,2 1,15 -1,0 4,0 1 1 0 0,1 0 0 0 1,3,2
0,17,15 2,2,3 1,12 1,2 1,16 2,1 2,14 0,4 0,0 1 1 0 0,1 0 0 0 1,3,2
0,17,14 3,2,3 1,11 2,1 2,15 3,0 3,13 1,3 1,1 0 0 1 0,0 1 0 1 0,3,2
0,17,13 4,2,3 1,10 3,0 3,14 4,4 4,12 2,2 2,0 0 0 0 2,0 0 2 0 0,2,2
0,17,13 3 1,3,5 3 1,8 0 0,3 0 0,15 4 1,0 4 1,12 1 -2,2 1 3,1 1 0 0 1,0 1 1 1 0,3,1
0,17,12 5,2,3 1,9 4,4 4,13 5,3 0,11 3,1 3,1 0 0 1 0,0 1 0 1 0,3,2
0,17,12 4 1,3,5 3 1,7 1 0,2 1 0,14 5 1,4 0 1,11 2 -2,1 2 3,1 1 0 0 1,0 1 1 1 0,3,1
0,17,11 6,2,3 1,8 5,3 0,12 6,2 1,10 4,0 4,0 1 1 0 0,1 0 0 0 1,3,2
0,17,11 5 1,3,5 3 1,6 2 0,1 2 0,13 6 1,3 1 1,10 3 -2,0 3 3,0 2 0 1 0,1 0 0 2 0,3,1
0,17,11 4 2,3,5 3 1,6 1 1,1 1 1,13 5 2,3 0 2,10 2 -1,0 2 4,1 0 1 1 0,1 0 1 0 1,3,1
0,17,10 7,2,3 1,7 6,2 1,11 7,1 2,9 5,4 0,0 1 1 0 0,1 0 0 0 1,3,2
0,17,10 6 1,3,5 3 1,5 3 0,0 3 0,12 7 1,2 2 1,9 4 -2,4 4 3,0 1 2 0 0,0 0 0 1 2,3,0
0,17,10 5 2,3,5 3 1,5 2 1,0 2 1,12 6 2,2 1 2,9 3 -1,4 3 4,0 1 2 0 0,0 0 0 1 2,3,0
0,17,9 7 1,3,5 3 1,4 4 0,4 4 0,11 8 1,1 3 1,8 5 -2,3 0 3,0 2 0 1 0,1 0 0 2 0,3,1
0,17,9 6 2,3,5 3 1,4 3 1,4 3 1,11 7 2,1 2 2,8 4 -1,3 4 4,0 1 2 0 0,0 0 0 1 2,3,0
0,17,9 5 3,3,5 3 1,4 2 2,4 2 2,11 6 3,1 1 3,8 3 0,3 3 0,0 2 0 1 0,1 0 0 2 0,3,1
0,17,8 6 3,3,5 3 1,3 3 2,3 3 2,10 7 3,0 2 3,7 4 0,2 4 0,1 0 1 1 0,1 0 1 0 1,3,1
0,17,8 5 3 1,4,7 5 3 1,1 0 0 0,1 0 0 0,11 7 4 1,1 2 4 1,7 3 0 -3,2 3 0 2,0 2 1 0 1,1 0 2 1 0,3,0
0,18,18,1,1,17,2,18,3,17,2,0 0 0 1 0,0 0 1 0 0,3,3
0,18,17 1,2,3 1,14 0,4 0,18 1,3 1,16 -1,1 4,0 1 0 1 0,0 1 0 0 1,3,2
0,18,16 2,2,3 1,13 1,3 1,17 2,2 2,15 0,0 0,0 0 2 0 0,2 0 0 0 0,3,3
0,18,15 3,2,3 1,12 2,2 2,16 3,1 3,14 1,4 1,0 1 0 1 0,0 1 0 0 1,3,2
0,18,14 4,2,3 1,11 3,1 3,15 4,0 4,13 2,3 2,1 0 0 0 1,0 0 1 1 0,3,2
0,18,14 3 1,3,5 3 1,9 0 0,4 0 0,16 4 1,1 4 1,13 1 -2,3 1 3,0 2 0 0 1,0 1 0 2 0,3,1
0,18,13 5,2,3 1,10 4,0 4,14 5,4 0,12 3,2 3,1 0 0 0 1,0 0 1 1 0,3,2
0,18,13 4 1,3,5 3 1,8 1 0,3 1 0,15 5 1,0 0 1,12 2 -2,2 2 3,2 1 0 0 0,0 0 2 1 0,4,1
0,18,12 6,2,3 1,9 5,4 0,13 6,3 1,11 4,1 4,0 1 0 1 0,0 1 0 0 1,3,2
0,18,12 5 1,3,5 3 1,7 2 0,2 2 0,14 6 1,4 1 1,11 3 -2,1 3 3,0 2 0 0 1,0 1 0 2 0,3,1
0,18,12 4 2,3,5 3 1,7 1 1,2 1 1,14 5 2,4 0 2,11 2 -1,1 2 4,1 0 1 0 1,0 1 1 0 1,3,1
0,18,11 7,2,3 1,8 6,3 1,12 7,2 2,10 5,0 0,0 0 2 0 0,2 0 0 0 0,3,3
0,18,11 6 1,3,5 3 1,6 3 0,1 3 0,13 7 1,3 2 1,10 4 -2,0 4 3,0 1 1 1 0,1 0 0 1 1,3,1
0,18,11 5 2,3,5 3 1,6 2 1,1 2 1,13 6 2,3 1 2,10 3 -1,0 3 4,0 1 1 1 0,1 0 0 1 1,3,1
0,18,10 8,2,3 1,7 7,2 2,11 8,1 3,9 6,4 1,0 1 0 1 0,0 1 0 0 1,3,2
0,18,10 7 1,3,5 3 1,5 4 0,0 4 0,12 8 1,2 3 1,9 5 -2,4 0 3,0 1 1 1 0,1 0 0 1 1,3,1
0,18,10 6 2,3,5 3 1,5 3 1,0 3 1,12 7 2,2 2 2,9 4 -1,4 4 4,0 0 3 0 0,0 0 0 0 3,3,0
0,18,10 5 3,3,5 3 1,5 2 2,0 2 2,12 6 3,2 1 3,9 3 0,4 3 0,0 1 1 1 0,1 0 0 1 1,3,1
0,18,9 7 2,3,5 3 1,4 4 1,4 4 1,11 8 2,1 3 2,8 5 -1,3 0 4,0 1 1 1 0,1 0 0 1 1,3,1
0,18,9 6 3,3,5 3 1,4 3 2,4 3 2,11 7 3,1 2 3,8 4 0,3 4 0,0 1 1 1 0,1 0 0 1 1,3,1
0,18,9 5 3 1,4,7 5 3 1,2 0 0 0,2 0 0 0,12 7 4 1,2 2 4 1,8 3 0 -3,3 3 0 2,0 1 2 0 1,1 0 1 2 0,3,0
0,18,8 6 4,3,5 3 1,3 3 3,3 3 3,10 7 4,0 2 4,7 4 1,2 4 1,1 0 1 0 1,0 1 1 0 1,3,1
0,18,8 6 3 1,4,7 5 3 1,1 1 0 0,1 1 0 0,11 8 4 1,1 3 4 1,7 4 0 -3,2 4 0 2,0 2 0 1 1,1 0 2 0 1,3,0
0,19,19,1,1,18,3,19,4,18,3,0 0 0 0 1,0 0 0 1 0,3,3
0,19,18 1,2,3 1,15 0,0 0,19 1,4 1,17 -1,2 4,0 1 0 0 1,0 0 1 0 1,3,2
0,19,17 2,2,3 1,14 1,4 1,18 2,3 2,16 0,1 0,0 0 1 1 0,1 1 0 0 0,3,3
0,19,16 3,2,3 1,13 2,3 2,17 3,2 3,15 1,0 1,0 0 1 1 0,1 1 0 0 0,3,3
0,19,15 4,2,3 1,12 3,2 3,16 4,1 4,14 2,4 2,0 1 0 0 1,0 0 1 0 1,3,2
0,19,15 3 1,3,5 3 1,10 0 0,0 0 0,17 4 1,2 4 1,14 1 -2,4 1 3,0 1 1 0 1,0 1 0 1 1,3,1
0,19,14 5,2,3 1,11 4,1 4,15 5,0 0,13 3,3 3,2 0 0 0 0,0 0 0 2 0,4,2
0,19,14 4 1,3,5 3 1,9 1 0,4 1 0,16 5 1,1 0 1,13 2 -2,3 2 3,1 2 0 0 0,0 0 1 2 0,4,1
0,19,13 6,2,3 1,10 5,0 0,14 6,4 1,12 4,2 4,0 1 0 0 1,0 0 1 0 1,3,2
0,19,13 5 1,3,5 3 1,8 2 0,3 2 0,15 6 1,0 1 1,12 3 -2,2 3 3,1 2 0 0 0,0 0 1 2 0,4,1
0,19,13 4 2,3,5 3 1,8 1 1,3 1 1,15 5 2,0 0 2,12 2 -1,2 2 4,2 0 1 0 0,0 0 2 0 1,4,1
0,19,12 7,2,3 1,9 6,4 1,13 7,3 2,11 5,1 0,0 0 1 1 0,1 1 0 0 0,3,3
0,19,12 6 1,3,5 3 1,7 3 0,2 3 0,14 7 1,4 2 1,11 4 -2,1 4 3,0 1 1 0 1,0 1 0 1 1,3,1
0,19,12 5 2,3,5 3 1,7 2 1,2 2 1,14 6 2,4 1 2,11 3 -1,1 3 4,0 1 1 0 1,0 1 0 1 1,3,1
0,19,11 8,2,3 1,8 7,3 2,12 8,2 3,10 6,0 1,0 0 1 1 0,1 1 0 0 0,3,3
0,19,11 7 1,3,5 3 1,6 4 0,1 4 0,13 8 1,3 3 1,10 5 -2,0 0 3,0 1 0 2 0,2 0 0 1 0,3,2
0,19,11 6 2,3,5 3 1,6 3 1,1 3 1,13 7 2,3 2 2,10 4 -1,0 4 4,0 0 2 1 0,1 0 0 0 2,3,1
0,19,11 5 3,3,5 3 1,6 2 2,1 2 2,13 6 3,3 1 3,10 3 0,0 3 0,0 1 0 2 0,2 0 0 1 0,3,2
0,19,10 8 1,3,5 3 1,5 5 0,0 0 0,12 9 1,2 4 1,9 6 -2,4 1 3,0 1 1 0 1,0 1 0 1 1,3,1
0,19,10 7 2,3,5 3 1,5 4 1,0 4 1,12 8 2,2 3 2,9 5 -1,4 0 4,0 0 2 1 0,1 0 0 0 2,3,1
0,19,10 6 3,3,5 3 1,5 3 2,0 3 2,12 7 3,2 2 3,9 4 0,4 4 0,0 0 2 1 0,1 0 0 0 2,3,1
0,19,10 5 3 1,4,7 5 3 1,3 0 0 0,3 0 0 0,13 7 4 1,3 2 4 1,9 3 0 -3,4 3 0 2,0 1 1 1 1,1 0 1 1 1,3,0
0,19,9 7 3,3,5 3 1,4 4 2,4 4 2,11 8 3,1 3 3,8 5 0,3 0 0,0 1 0 2 0,2 0 0 1 0,3,2
0,19,9 6 4,3,5 3 1,4 3 3,4 3 3,11 7 4,1 2 4,8 4 1,3 4 1,0 1 1 0 1,0 1 0 1 1,3,1
0,19,9 6 3 1,4,7 5 3 1,2 1 0 0,2 1 0 0,12 8 4 1,2 3 4 1,8 4 0 -3,3 4 0 2,0 1 1 1 1,1 0 1 1 1,3,0
0,19,8 6 4 1,4,7 5 3 1,1 1 1 0,1 1 1 0,11 8 5 1,1 3 0 1,7 4 1 -3,2 4 1 2,1 2 0 1 0,0 1 2 0 1,4,0
0,20,20,1,1,19,4,20,0,19,4,1 0 0 0 0,0 0 0 0 1,4,3
0,20,19 1,2,3 1,16 0,1 0,20 1,0 1,18 -1,3 4,1 1 0 0 0,0 0 0 1 1,4,2
0,20,18 2,2,3 1,15 1,0 1,19 2,4 2,17 0,2 0,0 0 1 0 1,1 0 1 0 0,3,3
0,20,17 3,2,3 1,14 2,4 2,18 3,3 3,16 1,1 1,0 0 0 2 0,0 2 0 0 0,3,3
0,20,16 4,2,3 1,13 3,3 3,17 4,2 4,15 2,0 2,0 0 1 0 1,1 0 1 0 0,3,3
0,20,16 3 1,3,5 3 1,11 0 0,1 0 0,18 4 1,3 4 1,15 1 -2,0 1 3,0 1 0 1 1,1 1 0 1 0,3,2
0,20,15 5,2,3 1,12 4,2 4,16 5,1 0,14 3,4 3,1 1 0 0 0,0 0 0 1 1,4,2
0,20,15 4 1,3,5 3 1,10 1 0,0 1 0,17 5 1,2 0 1,14 2 -2,4 2 3,1 1 1 0 0,0 0 1 1 1,4,1
0,20,14 6,2,3 1,11 5,1 0,15 6,0 1,13 4,3 4,1 1 0 0 0,0 0 0 1 1,4,2
0,20,14 5 1,3,5 3 1,9 2 0,4 2 0,16 6 1,1 1 1,13 3 -2,3 3 3,0 3 0 0 0,0 0 0 3 0,4,1
0,20,14 4 2,3,5 3 1,9 1 1,4 1 1,16 5 2,1 0 2,13 2 -1,3 2 4,1 1 1 0 0,0 0 1 1 1,4,1
0,20,13 7,2,3 1,10 6,0 1,14 7,4 2,12 5,2 0,0 0 1 0 1,1 0 1 0 0,3,3
0,20,13 6 1,3,5 3 1,8 3 0,3 3 0,15 7 1,0 2 1,12 4 -2,2 4 3,1 1 1 0 0,0 0 1 1 1,4,1
0,20,13 5 2,3,5 3 1,8 2 1,3 2 1,15 6 2,0 1 2,12 3 -1,2 3 4,1 1 1 0 0,0 0 1 1 1,4,1
0,20,12 8,2,3 1,9 7,4 2,13 8,3 3,11 6,1 1,0 0 0 2 0,0 2 0 0 0,3,3
0,20,12 7 1,3,5 3 1,7 4 0,2 4 0,14 8 1,4 3 1,11 5 -2,1 0 3,0 1 0 1 1,1 1 0 1 0,3,2
0,20,12 6 2,3,5 3 1,7 3 1,2 3 1,14 7 2,4 2 2,11 4 -1,1 4 4,0 0 2 0 1,0 1 0 0 2,3,1
0,20,12 5 3,3,5 3 1,7 2 2,2 2 2,14 6 3,4 1 3,11 3 0,1 3 0,0 1 0 1 1,1 1 0 1 0,3,2
0,20,11 9,2,3 1,8 8,3 3,12 9,2 4,10 7,0 2,0 0 1 0 1,1 0 1 0 0,3,3
0,20,11 8 1,3,5 3 1,6 5 0,1 0 0,13 9 1,3 4 1,10 6 -2,0 1 3,0 1 0 1 1,1 1 0 1 0,3,2
0,20,11 7 2,3,5 3 1,6 4 1,1 4 1,13 8 2,3 3 2,10 5 -1,0 0 4,0 0 1 2 0,2 0 0 0 1,3,2
0,20,11 6 3,3,5 3 1,6 3 2,1 3 2,13 7 3,3 2 3,10 4 0,0 4 0,0 0 1 2 0,2 0 0 0 1,3,2
0,20,11 5 3 1,4,7 5 3 1,4 0 0 0,4 0 0 0,14 7 4 1,4 2 4 1,10 3 0 -3,0 3 0 2,0 1 1 0 2,2 0 1 1 0,3,1
0,20,10 8 2,3,5 3 1,5 5 1,0 0 1,12 9 2,2 4 2,9 6 -1,4 1 4,0 0 2 0 1,0 1 0 0 2,3,1
0,20,10 7 3,3,5 3 1,5 4 2,0 4 2,12 8 3,2 3 3,9 5 0,4 0 0,0 0 1 2 0,2 0 0 0 1,3,2
0,20,10 6 4,3,5 3 1,5 3 3,0 3 3,12 7 4,2 2 4,9 4 1,4 4 1,0 0 2 0 1,0 1 0 0 2,3,1
0,20,10 6 3 1,4,7 5 3 1,3 1 0 0,3 1 0 0,13 8 4 1,3 3 4 1,9 4 0 -3,4 4 0 2,0 1 0 2 1,1 0 1 0 2,3,0
0,20,9 7 4,3,5 3 1,4 4 3,4 4 3,11 8 4,1 3 4,8 5 1,3 0 1,0 1 0 1 1,1 1 0 1 0,3,2
0,20,9 7 3 1,4,7 5 3 1,2 2 0 0,2 2 0 0,12 9 4 1,2 4 4 1,8 5 0 -3,3 0 0 2,0 1 1 0 2,2 0 1 1 0,3,1
0,20,9 6 4 1,4,7 5 3 1,2 1 1 0,2 1 1 0,12 8 5 1,2 3 0 1,8 4 1 -3,3 4 1 2,1 1 1 1 0,0 1 1 1 1,4,0
0,20,8 6 4 2,4,7 5 3 1,1 1 1 1,1 1 1 1,11 8 5 2,1 3 0 2,7 4 1 -2,2 4 1 3,1 1 1 1 0,0 1 1 1 1,4,0
0,21,21,1,1,20,0,21,1,20,0,0 1 0 0 0,1 0 0 0 0,4,4
0,21,20 1,2,3 1,17 0,2 0,21 1,1 1,19 -1,4 4,0 2 0 0 0,0 0 0 0 2,4,2
