"candidate","alpha","N","parameter","first_nonzero_k","max_abs_coeff"
"H_alpha_N_minus_schur_gaussian_window",0,12,"6","1",26
"H_alpha_N_minus_plain_bilateral_limit",0,13,"plain","14",3
"H_alpha_N_minus_finite_jacobi_triple",0,13,"same_N","14",3
"H_alpha_N_minus_schur_gaussian_window",0,13,"0","1",20
"H_alpha_N_minus_schur_gaussian_window",0,13,"1","1",19
"H_alpha_N_minus_schur_gaussian_window",0,13,"2","1",15
"H_alpha_N_minus_schur_gaussian_window",0,13,"3","1",5
"H_alpha_N_minus_schur_gaussian_window",0,13,"4","1",24
"H_alpha_N_minus_schur_gaussian_window",0,13,"5","1",29
"H_alpha_N_minus_schur_gaussian_window",0,13,"6","1",29
"H_alpha_N_minus_plain_bilateral_limit",0,14,"plain","15",3
"H_alpha_N_minus_finite_jacobi_triple",0,14,"same_N","15",3
"H_alpha_N_minus_schur_gaussian_window",0,14,"0","1",29
"H_alpha_N_minus_schur_gaussian_window",0,14,"1","1",26
"H_alpha_N_minus_schur_gaussian_window",0,14,"2","1",19
"H_alpha_N_minus_schur_gaussian_window",0,14,"3","1",17
"H_alpha_N_minus_schur_gaussian_window",0,14,"4","1",25
"H_alpha_N_minus_schur_gaussian_window",0,14,"5","1",45
"H_alpha_N_minus_schur_gaussian_window",0,14,"6","1",54
"H_alpha_N_minus_plain_bilateral_limit",0,15,"plain","16",3
"H_alpha_N_minus_finite_jacobi_triple",0,15,"same_N","16",3
"H_alpha_N_minus_schur_gaussian_window",0,15,"0","1",38
"H_alpha_N_minus_schur_gaussian_window",0,15,"1","1",37
"H_alpha_N_minus_schur_gaussian_window",0,15,"2","1",31
"H_alpha_N_minus_schur_gaussian_window",0,15,"3","1",6
"H_alpha_N_minus_schur_gaussian_window",0,15,"4","1",49
"H_alpha_N_minus_schur_gaussian_window",0,15,"5","1",59
"H_alpha_N_minus_schur_gaussian_window",0,15,"6","1",61
"H_alpha_N_minus_plain_bilateral_limit",0,16,"plain","17",3
"H_alpha_N_minus_finite_jacobi_triple",0,16,"same_N","17",3
"H_alpha_N_minus_schur_gaussian_window",0,16,"0","1",62
"H_alpha_N_minus_schur_gaussian_window",0,16,"1","1",54
"H_alpha_N_minus_schur_gaussian_window",0,16,"2","1",40
"H_alpha_N_minus_schur_gaussian_window",0,16,"3","1",35
"H_alpha_N_minus_schur_gaussian_window",0,16,"4","1",50
"H_alpha_N_minus_schur_gaussian_window",0,16,"5","1",92
"H_alpha_N_minus_schur_gaussian_window",0,16,"6","1",118
"H_alpha_N_minus_plain_bilateral_limit",0,17,"plain","18",3
"H_alpha_N_minus_finite_jacobi_triple",0,17,"same_N","18",3
"H_alpha_N_minus_schur_gaussian_window",0,17,"0","1",91
"H_alpha_N_minus_schur_gaussian_window",0,17,"1","1",83
"H_alpha_N_minus_schur_gaussian_window",0,17,"2","1",61
"H_alpha_N_minus_schur_gaussian_window",0,17,"3","1",8
"H_alpha_N_minus_schur_gaussian_window",0,17,"4","1",111
"H_alpha_N_minus_schur_gaussian_window",0,17,"5","1",129
"H_alpha_N_minus_schur_gaussian_window",0,17,"6","1",128
"H_alpha_N_minus_plain_bilateral_limit",0,18,"plain","19",3
"H_alpha_N_minus_finite_jacobi_triple",0,18,"same_N","19",3
"H_alpha_N_minus_schur_gaussian_window",0,18,"0","1",134
"H_alpha_N_minus_schur_gaussian_window",0,18,"1","1",125
"H_alpha_N_minus_schur_gaussian_window",0,18,"2","1",90
"H_alpha_N_minus_schur_gaussian_window",0,18,"3","1",77
"H_alpha_N_minus_schur_gaussian_window",0,18,"4","1",107
"H_alpha_N_minus_schur_gaussian_window",0,18,"5","1",216
"H_alpha_N_minus_schur_gaussian_window",0,18,"6","1",264
"H_alpha_N_minus_plain_bilateral_limit",0,19,"plain","20",3
"H_alpha_N_minus_finite_jacobi_triple",0,19,"same_N","20",3
"H_alpha_N_minus_schur_gaussian_window",0,19,"0","1",197
"H_alpha_N_minus_schur_gaussian_window",0,19,"1","1",186
"H_alpha_N_minus_schur_gaussian_window",0,19,"2","1",142
"H_alpha_N_minus_schur_gaussian_window",0,19,"3","1",34
"H_alpha_N_minus_schur_gaussian_window",0,19,"4","1",148
"H_alpha_N_minus_schur_gaussian_window",0,19,"5","1",291
"H_alpha_N_minus_schur_gaussian_window",0,19,"6","1",259
"H_alpha_N_minus_plain_bilateral_limit",0,20,"plain","21",3
"H_alpha_N_minus_finite_jacobi_triple",0,20,"same_N","21",3
"H_alpha_N_minus_schur_gaussian_window",0,20,"0","1",310
"H_alpha_N_minus_schur_gaussian_window",0,20,"1","1",262
"H_alpha_N_minus_schur_gaussian_window",0,20,"2","1",148
"H_alpha_N_minus_schur_gaussian_window",0,20,"3","1",200
"H_alpha_N_minus_schur_gaussian_window",0,20,"4","1",257
"H_alpha_N_minus_schur_gaussian_window",0,20,"5","1",158
"H_alpha_N_minus_schur_gaussian_window",0,20,"6","1",625
"H_alpha_N_minus_plain_bilateral_limit",0,21,"plain","22",2
"H_alpha_N_minus_finite_jacobi_triple",0,21,"same_N","22",2
"H_alpha_N_minus_schur_gaussian_window",0,21,"0","1",260
"H_alpha_N_minus_schur_gaussian_window",0,21,"1","1",342
"H_alpha_N_minus_schur_gaussian_window",0,21,"2","1",344
"H_alpha_N_minus_schur_gaussian_window",0,21,"3","1",130
"H_alpha_N_minus_schur_gaussian_window",0,21,"4","1",307
"H_alpha_N_minus_schur_gaussian_window",0,21,"5","1",713
"H_alpha_N_minus_schur_gaussian_window",0,21,"6","1",217
"H_alpha_N_minus_plain_bilateral_limit",0,22,"plain","23",1
"H_alpha_N_minus_finite_jacobi_triple",0,22,"same_N","23",1
"H_alpha_N_minus_schur_gaussian_window",0,22,"0","1",635
"H_alpha_N_minus_schur_gaussian_window",0,22,"1","1",420
"H_alpha_N_minus_schur_gaussian_window",0,22,"2","1",127
"H_alpha_N_minus_schur_gaussian_window",0,22,"3","1",546
"H_alpha_N_minus_schur_gaussian_window",0,22,"4","1",664
"H_alpha_N_minus_schur_gaussian_window",0,22,"5","1",500
"H_alpha_N_minus_schur_gaussian_window",0,22,"6","1",1413
"H_alpha_N_minus_plain_bilateral_limit",0,23,"plain","24",1
"H_alpha_N_minus_finite_jacobi_triple",0,23,"same_N","24",1
"H_alpha_N_minus_schur_gaussian_window",0,23,"0","1",197
"H_alpha_N_minus_schur_gaussian_window",0,23,"1","1",496
"H_alpha_N_minus_schur_gaussian_window",0,23,"2","1",718
"H_alpha_N_minus_schur_gaussian_window",0,23,"3","1",427
"H_alpha_N_minus_schur_gaussian_window",0,23,"4","1",925
"H_alpha_N_minus_schur_gaussian_window",0,23,"5","1",1454
"H_alpha_N_minus_schur_gaussian_window",0,23,"6","1",870
"H_alpha_N_minus_plain_bilateral_limit",0,24,"plain","25",1
"H_alpha_N_minus_finite_jacobi_triple",0,24,"same_N","25",1
"H_alpha_N_minus_schur_gaussian_window",0,24,"0","1",1084
"H_alpha_N_minus_schur_gaussian_window",0,24,"1","1",567
"H_alpha_N_minus_schur_gaussian_window",0,24,"2","1",62
"H_alpha_N_minus_schur_gaussian_window",0,24,"3","1",1206
"H_alpha_N_minus_schur_gaussian_window",0,24,"4","1",1244
"H_alpha_N_minus_schur_gaussian_window",0,24,"5","1",1478
"H_alpha_N_minus_schur_gaussian_window",0,24,"6","1",2465
"H_alpha_N_minus_plain_bilateral_limit",1,0,"plain","1",1
"H_alpha_N_minus_finite_jacobi_triple",1,0,"same_N","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",1,0,"0","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",1,0,"1","none_through_KMax",0
"H_alpha_N_minus_schur_gaussian_window",1,0,"2","0",1
"H_alpha_N_minus_schur_gaussian_window",1,0,"3","0",1
"H_alpha_N_minus_schur_gaussian_window",1,0,"4","0",1
"H_alpha_N_minus_schur_gaussian_window",1,0,"5","0",1
"H_alpha_N_minus_schur_gaussian_window",1,0,"6","0",1
"H_alpha_N_minus_plain_bilateral_limit",1,1,"plain","2",1
"H_alpha_N_minus_finite_jacobi_triple",1,1,"same_N","2",1
"H_alpha_N_minus_schur_gaussian_window",1,1,"0","1",1
"H_alpha_N_minus_schur_gaussian_window",1,1,"1","1",1
"H_alpha_N_minus_schur_gaussian_window",1,1,"2","1",1
"H_alpha_N_minus_schur_gaussian_window",1,1,"3","0",1
"H_alpha_N_minus_schur_gaussian_window",1,1,"4","0",1
"H_alpha_N_minus_schur_gaussian_window",1,1,"5","0",1
"H_alpha_N_minus_schur_gaussian_window",1,1,"6","0",1
"H_alpha_N_minus_plain_bilateral_limit",1,2,"plain","3",1
"H_alpha_N_minus_finite_jacobi_triple",1,2,"same_N","3",1
"H_alpha_N_minus_schur_gaussian_window",1,2,"0","1",2
"H_alpha_N_minus_schur_gaussian_window",1,2,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",1,2,"2","1",1
"H_alpha_N_minus_schur_gaussian_window",1,2,"3","3",1
"H_alpha_N_minus_schur_gaussian_window",1,2,"4","0",1
"H_alpha_N_minus_schur_gaussian_window",1,2,"5","0",1
"H_alpha_N_minus_schur_gaussian_window",1,2,"6","0",1
"H_alpha_N_minus_plain_bilateral_limit",1,3,"plain","4",1
"H_alpha_N_minus_finite_jacobi_triple",1,3,"same_N","4",2
"H_alpha_N_minus_schur_gaussian_window",1,3,"0","1",2
"H_alpha_N_minus_schur_gaussian_window",1,3,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",1,3,"2","1",1
"H_alpha_N_minus_schur_gaussian_window",1,3,"3","7",1
"H_alpha_N_minus_schur_gaussian_window",1,3,"4","2",1
"H_alpha_N_minus_schur_gaussian_window",1,3,"5","0",1
"H_alpha_N_minus_schur_gaussian_window",1,3,"6","0",1
"H_alpha_N_minus_plain_bilateral_limit",1,4,"plain","5",1
"H_alpha_N_minus_finite_jacobi_triple",1,4,"same_N","5",2
"H_alpha_N_minus_schur_gaussian_window",1,4,"0","1",2
"H_alpha_N_minus_schur_gaussian_window",1,4,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",1,4,"2","1",1
"H_alpha_N_minus_schur_gaussian_window",1,4,"3","1",1
"H_alpha_N_minus_schur_gaussian_window",1,4,"4","2",1
"H_alpha_N_minus_schur_gaussian_window",1,4,"5","2",2
"H_alpha_N_minus_schur_gaussian_window",1,4,"6","0",2
"H_alpha_N_minus_plain_bilateral_limit",1,5,"plain","6",1
"H_alpha_N_minus_finite_jacobi_triple",1,5,"same_N","6",2
"H_alpha_N_minus_schur_gaussian_window",1,5,"0","1",2
"H_alpha_N_minus_schur_gaussian_window",1,5,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",1,5,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",1,5,"3","1",1
"H_alpha_N_minus_schur_gaussian_window",1,5,"4","1",2
"H_alpha_N_minus_schur_gaussian_window",1,5,"5","2",2
"H_alpha_N_minus_schur_gaussian_window",1,5,"6","2",2
"H_alpha_N_minus_plain_bilateral_limit",1,6,"plain","7",1
"H_alpha_N_minus_finite_jacobi_triple",1,6,"same_N","7",2
"H_alpha_N_minus_schur_gaussian_window",1,6,"0","1",3
"H_alpha_N_minus_schur_gaussian_window",1,6,"1","1",2
"H_alpha_N_minus_schur_gaussian_window",1,6,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",1,6,"3","1",3
"H_alpha_N_minus_schur_gaussian_window",1,6,"4","1",3
"H_alpha_N_minus_schur_gaussian_window",1,6,"5","1",4
"H_alpha_N_minus_schur_gaussian_window",1,6,"6","2",4
"H_alpha_N_minus_plain_bilateral_limit",1,7,"plain","8",1
"H_alpha_N_minus_finite_jacobi_triple",1,7,"same_N","8",2
"H_alpha_N_minus_schur_gaussian_window",1,7,"0","1",3
"H_alpha_N_minus_schur_gaussian_window",1,7,"1","1",3
"H_alpha_N_minus_schur_gaussian_window",1,7,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",1,7,"3","1",1
"H_alpha_N_minus_schur_gaussian_window",1,7,"4","1",3
"H_alpha_N_minus_schur_gaussian_window",1,7,"5","1",5
"H_alpha_N_minus_schur_gaussian_window",1,7,"6","1",5
"H_alpha_N_minus_plain_bilateral_limit",1,8,"plain","9",1
"H_alpha_N_minus_finite_jacobi_triple",1,8,"same_N","9",2
"H_alpha_N_minus_schur_gaussian_window",1,8,"0","1",4
"H_alpha_N_minus_schur_gaussian_window",1,8,"1","1",4
"H_alpha_N_minus_schur_gaussian_window",1,8,"2","1",2
"H_alpha_N_minus_schur_gaussian_window",1,8,"3","1",1
"H_alpha_N_minus_schur_gaussian_window",1,8,"4","1",4
"H_alpha_N_minus_schur_gaussian_window",1,8,"5","1",6
"H_alpha_N_minus_schur_gaussian_window",1,8,"6","1",7
"H_alpha_N_minus_plain_bilateral_limit",1,9,"plain","10",1
"H_alpha_N_minus_finite_jacobi_triple",1,9,"same_N","10",2
"H_alpha_N_minus_schur_gaussian_window",1,9,"0","1",5
"H_alpha_N_minus_schur_gaussian_window",1,9,"1","1",5
"H_alpha_N_minus_schur_gaussian_window",1,9,"2","1",4
"H_alpha_N_minus_schur_gaussian_window",1,9,"3","1",2
"H_alpha_N_minus_schur_gaussian_window",1,9,"4","1",6
"H_alpha_N_minus_schur_gaussian_window",1,9,"5","1",7
"H_alpha_N_minus_schur_gaussian_window",1,9,"6","1",7
"H_alpha_N_minus_plain_bilateral_limit",1,10,"plain","11",2
"H_alpha_N_minus_finite_jacobi_triple",1,10,"same_N","11",2
"H_alpha_N_minus_schur_gaussian_window",1,10,"0","1",8
"H_alpha_N_minus_schur_gaussian_window",1,10,"1","1",8
"H_alpha_N_minus_schur_gaussian_window",1,10,"2","1",5
"H_alpha_N_minus_schur_gaussian_window",1,10,"3","1",3
"H_alpha_N_minus_schur_gaussian_window",1,10,"4","1",7
"H_alpha_N_minus_schur_gaussian_window",1,10,"5","1",8
"H_alpha_N_minus_schur_gaussian_window",1,10,"6","1",12
"H_alpha_N_minus_plain_bilateral_limit",1,11,"plain","12",2
"H_alpha_N_minus_finite_jacobi_triple",1,11,"same_N","12",2
"H_alpha_N_minus_schur_gaussian_window",1,11,"0","1",12
"H_alpha_N_minus_schur_gaussian_window",1,11,"1","1",11
"H_alpha_N_minus_schur_gaussian_window",1,11,"2","1",8
"H_alpha_N_minus_schur_gaussian_window",1,11,"3","1",3
"H_alpha_N_minus_schur_gaussian_window",1,11,"4","1",9
"H_alpha_N_minus_schur_gaussian_window",1,11,"5","1",12
"H_alpha_N_minus_schur_gaussian_window",1,11,"6","1",12
"H_alpha_N_minus_plain_bilateral_limit",1,12,"plain","13",2
"H_alpha_N_minus_finite_jacobi_triple",1,12,"same_N","13",2
"H_alpha_N_minus_schur_gaussian_window",1,12,"0","1",18
"H_alpha_N_minus_schur_gaussian_window",1,12,"1","1",16
"H_alpha_N_minus_schur_gaussian_window",1,12,"2","1",10
"H_alpha_N_minus_schur_gaussian_window",1,12,"3","1",6
"H_alpha_N_minus_schur_gaussian_window",1,12,"4","1",10
"H_alpha_N_minus_schur_gaussian_window",1,12,"5","1",18
"H_alpha_N_minus_schur_gaussian_window",1,12,"6","1",21
"H_alpha_N_minus_plain_bilateral_limit",1,13,"plain","14",2
"H_alpha_N_minus_finite_jacobi_triple",1,13,"same_N","14",2
"H_alpha_N_minus_schur_gaussian_window",1,13,"0","1",21
"H_alpha_N_minus_schur_gaussian_window",1,13,"1","1",20
"H_alpha_N_minus_schur_gaussian_window",1,13,"2","1",12
"H_alpha_N_minus_schur_gaussian_window",1,13,"3","1",3
"H_alpha_N_minus_schur_gaussian_window",1,13,"4","1",20
"H_alpha_N_minus_schur_gaussian_window",1,13,"5","1",24
"H_alpha_N_minus_schur_gaussian_window",1,13,"6","1",24
"H_alpha_N_minus_plain_bilateral_limit",1,14,"plain","15",2
"H_alpha_N_minus_finite_jacobi_triple",1,14,"same_N","15",2
"H_alpha_N_minus_schur_gaussian_window",1,14,"0","1",32
"H_alpha_N_minus_schur_gaussian_window",1,14,"1","1",30
"H_alpha_N_minus_schur_gaussian_window",1,14,"2","1",17
"H_alpha_N_minus_schur_gaussian_window",1,14,"3","1",10
"H_alpha_N_minus_schur_gaussian_window",1,14,"4","1",19
"H_alpha_N_minus_schur_gaussian_window",1,14,"5","1",40
"H_alpha_N_minus_schur_gaussian_window",1,14,"6","1",45
"H_alpha_N_minus_plain_bilateral_limit",1,15,"plain","16",2
"H_alpha_N_minus_finite_jacobi_triple",1,15,"same_N","16",2
"H_alpha_N_minus_schur_gaussian_window",1,15,"0","1",42
"H_alpha_N_minus_schur_gaussian_window",1,15,"1","1",40
"H_alpha_N_minus_schur_gaussian_window",1,15,"2","1",23
"H_alpha_N_minus_schur_gaussian_window",1,15,"3","1",3
"H_alpha_N_minus_schur_gaussian_window",1,15,"4","1",39
"H_alpha_N_minus_schur_gaussian_window",1,15,"5","1",51
"H_alpha_N_minus_schur_gaussian_window",1,15,"6","1",54
"H_alpha_N_minus_plain_bilateral_limit",1,16,"plain","17",2
"H_alpha_N_minus_finite_jacobi_triple",1,16,"same_N","17",2
"H_alpha_N_minus_schur_gaussian_window",1,16,"0","1",68
"H_alpha_N_minus_schur_gaussian_window",1,16,"1","1",66
"H_alpha_N_minus_schur_gaussian_window",1,16,"2","1",34
"H_alpha_N_minus_schur_gaussian_window",1,16,"3","1",19
"H_alpha_N_minus_schur_gaussian_window",1,16,"4","1",41
"H_alpha_N_minus_schur_gaussian_window",1,16,"5","1",85
"H_alpha_N_minus_schur_gaussian_window",1,16,"6","1",98
"H_alpha_N_minus_plain_bilateral_limit",1,17,"plain","18",2
"H_alpha_N_minus_finite_jacobi_triple",1,17,"same_N","18",2
"H_alpha_N_minus_schur_gaussian_window",1,17,"0","1",100
"H_alpha_N_minus_schur_gaussian_window",1,17,"1","1",85
"H_alpha_N_minus_schur_gaussian_window",1,17,"2","1",53
"H_alpha_N_minus_schur_gaussian_window",1,17,"3","1",6
"H_alpha_N_minus_schur_gaussian_window",1,17,"4","1",88
"H_alpha_N_minus_schur_gaussian_window",1,17,"5","1",110
"H_alpha_N_minus_schur_gaussian_window",1,17,"6","1",118
"H_alpha_N_minus_plain_bilateral_limit",1,18,"plain","19",2
"H_alpha_N_minus_finite_jacobi_triple",1,18,"same_N","19",2
"H_alpha_N_minus_schur_gaussian_window",1,18,"0","1",156
"H_alpha_N_minus_schur_gaussian_window",1,18,"1","1",145
"H_alpha_N_minus_schur_gaussian_window",1,18,"2","1",77
"H_alpha_N_minus_schur_gaussian_window",1,18,"3","1",43
"H_alpha_N_minus_schur_gaussian_window",1,18,"4","1",89
"H_alpha_N_minus_schur_gaussian_window",1,18,"5","1",193
"H_alpha_N_minus_schur_gaussian_window",1,18,"6","1",221
"H_alpha_N_minus_plain_bilateral_limit",1,19,"plain","20",2
"H_alpha_N_minus_finite_jacobi_triple",1,19,"same_N","20",2
"H_alpha_N_minus_schur_gaussian_window",1,19,"0","1",214
"H_alpha_N_minus_schur_gaussian_window",1,19,"1","1",191
"H_alpha_N_minus_schur_gaussian_window",1,19,"2","1",116
"H_alpha_N_minus_schur_gaussian_window",1,19,"3","1",20
"H_alpha_N_minus_schur_gaussian_window",1,19,"4","1",140
"H_alpha_N_minus_schur_gaussian_window",1,19,"5","1",253
"H_alpha_N_minus_schur_gaussian_window",1,19,"6","1",240
"H_alpha_N_minus_plain_bilateral_limit",1,20,"plain","21",2
"H_alpha_N_minus_finite_jacobi_triple",1,20,"same_N","21",2
"H_alpha_N_minus_schur_gaussian_window",1,20,"0","1",368
"H_alpha_N_minus_schur_gaussian_window",1,20,"1","1",245
"H_alpha_N_minus_schur_gaussian_window",1,20,"2","1",163
"H_alpha_N_minus_schur_gaussian_window",1,20,"3","1",106
"H_alpha_N_minus_schur_gaussian_window",1,20,"4","1",218
"H_alpha_N_minus_schur_gaussian_window",1,20,"5","1",179
