"check","alpha","N","first_nonzero_k","max_abs_coeff"
"finite_Jacobi_product_minus_sum",0,0,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,1,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,2,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,3,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,4,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,5,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,6,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,7,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,8,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,9,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,10,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,11,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,12,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,13,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,14,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,15,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,16,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,17,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,18,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,19,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,20,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,21,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,22,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,23,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",0,24,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,0,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,1,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,2,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,3,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,4,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,5,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,6,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,7,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,8,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,9,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,10,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,11,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,12,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,13,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,14,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,15,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,16,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,17,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,18,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,19,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,20,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,21,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,22,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,23,"none_through_KMax",0
"finite_Jacobi_product_minus_sum",1,24,"none_through_KMax",0
