genus_key	genus_label	family_key	family_label	n_taxa_scored	evidence_supported_taxa	structural_only_taxa	data_limited_unknown_taxa	evidence_supported_fraction	ploidy_entropy_norm	hotspot_score	mean_tci	min_tci	n_chrom_records_in_genus	data_sufficiency
wfo:wfo-4000000124-2025-12	Acantholimon			311	0	120	191	0.0	0.0	0.0	0.989871	0.958333	0	data_limited
wfo:wfo-4000003057-2025-12	Aristida	wfo:wfo-7000000483-2025-12	Poaceae	307	0	135	172	0.0	0.0	0.0	0.987975	0.958333	0	data_limited
wfo:wfo-4000004097-2025-12	Barleria	wfo:wfo-7000000001-2025-12	Acanthaceae	305	0	82	223	0.0	0.0	0.0	0.992514	0.958333	0	data_limited
wfo:wfo-4000000271-2025-12	Acianthera			300	0	262	38	0.0	0.0	0.0	0.977778	0.958333	0	data_limited
wfo:wfo-4000003277-2025-12	Aspalathus			300	0	172	128	0.0	0.0	0.0	0.984	0.958333	0	data_limited
wfo:wfo-4000000928-2025-12	Agave			276	0	141	135	0.0	0.0	0.0	0.986262	0.958333	0	data_limited
wfo:wfo-4000004320-2025-12	Beilschmiedia	wfo:wfo-7000000321-2025-12	Lauraceae	270	0	98	172	0.0	0.0	0.0	0.990494	0.958333	0	data_limited
wfo:wfo-4000000732-2025-12	Aechmea	wfo:wfo-7000000084-2025-12	Bromeliaceae	261	0	152	109	0.0	0.0	0.0	0.98493	0.958333	0	data_limited
wfo:wfo-4000003381-2025-12	Aster			255	0	120	135	0.0	0.0	0.0	0.987778	0.958333	0	data_limited
wfo:wfo-4000003611-2025-12	Atriplex			254	0	145	109	0.0	0.0	0.0	0.98376	0.958333	0	data_limited
wfo:wfo-4000001656-2025-12	Amorphophallus	wfo:wfo-7000000042-2025-12	Araceae	247	0	68	179	0.0	0.0	0.0	0.992713	0.958333	0	data_limited
wfo:wfo-4000004584-2025-12	Bidens			247	0	148	99	0.0	0.0	0.0	0.983873	0.958333	0	data_limited
wfo:wfo-4000002109-2025-12	Angraecum			219	0	194	25	0.0	0.0	0.0	0.977397	0.958333	0	data_limited
wfo:wfo-4000003280-2025-12	Asparagus			218	0	140	78	0.0	0.0	0.0	0.982875	0.958333	0	data_limited
wfo:wfo-4000003800-2025-12	Ayenia	wfo:wfo-7000000360-2025-12	Malvaceae	218	0	157	61	0.0	0.0	0.0	0.981537	0.958333	0	data_limited
wfo:wfo-4000000996-2025-12	Agrostis	wfo:wfo-7000000483-2025-12	Poaceae	214	0	117	97	0.0	0.0	0.0	0.984774	0.958333	0	data_limited
wfo:wfo-4000003243-2025-12	Asclepias			214	0	140	74	0.0	0.0	0.0	0.981931	0.958333	0	data_limited
wfo:wfo-4000003046-2025-12	Arisaema	wfo:wfo-7000000042-2025-12	Araceae	213	0	99	114	0.0	0.0	0.0	0.987989	0.958333	0	data_limited
wfo:wfo-4000001292-2025-12	Allophylus			212	0	74	138	0.0	0.0	0.0	0.99088	0.958333	0	data_limited
wfo:wfo-4000000683-2025-12	Adesmia			210	0	145	65	0.0	0.0	0.0	0.981706	0.958333	0	data_limited
wfo:wfo-4000002634-2025-12	Aphelandra	wfo:wfo-7000000001-2025-12	Acanthaceae	208	0	88	120	0.0	0.0	0.0	0.989263	0.958333	0	data_limited
wfo:wfo-4000004712-2025-12	Blakea	wfo:wfo-7000000372-2025-12	Melastomataceae	197	0	106	91	0.0	0.0	0.0	0.986041	0.958333	0	data_limited
wfo:wfo-4000004242-2025-12	Bauhinia			192	0	101	91	0.0	0.0	0.0	0.986502	0.958333	0	data_limited
wfo:wfo-4000002959-2025-12	Arenaria			186	0	80	106	0.0	0.0	0.0	0.987814	0.958333	0	data_limited
wfo:wfo-4000000809-2025-12	Aeschynanthus			184	0	96	88	0.0	0.0	0.0	0.985688	0.958333	0	data_limited
wfo:wfo-4000002012-2025-12	Androsace	wfo:wfo-7000000497-2025-12	Primulaceae	184	0	113	71	0.0	0.0	0.0	0.983288	0.958333	0	data_limited
wfo:wfo-4000002393-2025-12	Anthemis			184	0	91	93	0.0	0.0	0.0	0.986639	0.958333	0	data_limited
wfo:wfo-4000002240-2025-12	Annona			182	0	94	88	0.0	0.0	0.0	0.986264	0.958333	0	data_limited
wfo:wfo-4000000069-2025-12	Abutilon	wfo:wfo-7000000360-2025-12	Malvaceae	181	0	87	94	0.0	0.0	0.0	0.987523	0.958333	0	data_limited
wfo:wfo-4000004025-2025-12	Banksia	wfo:wfo-7000000499-2025-12	Proteaceae	181	0	151	30	0.0	0.0	0.0	0.978131	0.958333	0	data_limited
wfo:wfo-4000002992-2025-12	Argostemma	wfo:wfo-7000000534-2025-12	Rubiaceae	179	0	35	144	0.0	0.0	0.0	0.99446	0.958333	0	data_limited
wfo:wfo-4000004529-2025-12	Besleria			176	0	41	135	0.0	0.0	0.0	0.994176	0.975	0	data_limited
wfo:wfo-4000001368-2025-12	Alpinia			172	0	98	74	0.0	0.0	0.0	0.985368	0.958333	0	data_limited
wfo:wfo-4000000188-2025-12	Acer			171	0	102	69	0.0	0.0	0.0	0.983358	0.9125	0	data_limited
wfo:wfo-4000004002-2025-12	Bambusa	wfo:wfo-7000000483-2025-12	Poaceae	158	0	67	91	0.0	0.0	0.0	0.988871	0.958333	0	data_limited
wfo:wfo-4000000214-2025-12	Achillea			155	0	87	68	0.0	0.0	0.0	0.983925	0.958333	0	data_limited
wfo:wfo-4000002768-2025-12	Appendicula			154	0	68	86	0.0	0.0	0.0	0.988745	0.958333	0	data_limited
wfo:wfo-4000000895-2025-12	Agapetes			152	0	40	112	0.0	0.0	0.0	0.993202	0.958333	0	data_limited
wfo:wfo-4000003304-2025-12	Aspidistra			148	0	10	138	0.0	0.0	0.0	0.998311	0.975	0	data_limited
wfo:wfo-4000000921-2025-12	Agathosma	wfo:wfo-7000000536-2025-12	Rutaceae	147	0	90	57	0.0	0.0	0.0	0.982653	0.958333	0	data_limited
wfo:wfo-4000001408-2025-12	Alstroemeria	wfo:wfo-7000000015-2025-12	Alstroemeriaceae	146	0	40	106	0.0	0.0	0.0	0.992009	0.958333	0	data_limited
wfo:wfo-4000003001-2025-12	Argyreia	wfo:wfo-7000000149-2025-12	Convolvulaceae	145	0	134	11	0.0	0.0	0.0	0.976437	0.958333	0	data_limited
wfo:wfo-4000000756-2025-12	Aegiphila	wfo:wfo-7000000318-2025-12	Lamiaceae	140	0	42	98	0.0	0.0	0.0	0.992262	0.958333	0	data_limited
wfo:wfo-4000001413-2025-12	Alternanthera	wfo:wfo-7000000017-2025-12	Amaranthaceae	138	0	86	52	0.0	0.0	0.0	0.982126	0.958333	0	data_limited
wfo:wfo-4000001000-2025-12	Agrostophyllum			137	0	23	114	0.0	0.0	0.0	0.995316	0.958333	0	data_limited
wfo:wfo-4000001882-2025-12	Anathallis			136	0	117	19	0.0	0.0	0.0	0.978002	0.958333	0	data_limited
wfo:wfo-4000002006-2025-12	Andropogon	wfo:wfo-7000000483-2025-12	Poaceae	136	0	93	43	0.0	0.0	0.0	0.982292	0.958333	0	data_limited
wfo:wfo-4000003221-2025-12	Asarum			136	0	73	63	0.0	0.0	0.0	0.986213	0.958333	0	data_limited
wfo:wfo-4000001111-2025-12	Albuca			134	0	72	62	0.0	0.0	0.0	0.986318	0.958333	0	data_limited
wfo:wfo-4000002807-2025-12	Aquilegia	wfo:wfo-7000000514-2025-12	Ranunculaceae	130	0	75	55	0.0	0.0	0.0	0.984167	0.958333	0	data_limited
wfo:wfo-4000004938-2025-12	Bomarea	wfo:wfo-7000000015-2025-12	Alstroemeriaceae	130	0	61	69	0.0	0.0	0.0	0.987372	0.958333	0	data_limited
wfo:wfo-4000001442-2025-12	Alyssum			129	0	67	62	0.0	0.0	0.0	0.985336	0.958333	0	data_limited
wfo:wfo-4000004771-2025-12	Blepharis	wfo:wfo-7000000001-2025-12	Acanthaceae	129	0	43	86	0.0	0.0	0.0	0.991021	0.958333	0	data_limited
wfo:wfo-4000000510-2025-12	Actinodaphne	wfo:wfo-7000000321-2025-12	Lauraceae	126	0	66	60	0.0	0.0	0.0	0.986243	0.958333	0	data_limited
wfo:wfo-4000000950-2025-12	Aglaia	wfo:wfo-7000000373-2025-12	Meliaceae	126	0	66	60	0.0	0.0	0.0	0.98545	0.958333	0	data_limited
wfo:wfo-4000000811-2025-12	Aeschynomene			121	0	48	73	0.0	0.0	0.0	0.989532	0.958333	0	data_limited
wfo:wfo-4000001644-2025-12	Amomum			121	0	47	74	0.0	0.0	0.0	0.990014	0.958333	0	data_limited
wfo:wfo-4000001853-2025-12	Anaphalis			120	0	51	69	0.0	0.0	0.0	0.988542	0.958333	0	data_limited
wfo:wfo-4000004820-2025-12	Blumea			117	0	65	52	0.0	0.0	0.0	0.983974	0.958333	0	data_limited
wfo:wfo-4000003139-2025-12	Artabotrys			115	0	28	87	0.0	0.0	0.0	0.993478	0.958333	0	data_limited
wfo:wfo-4000001444-2025-12	Alyxia			112	0	54	58	0.0	0.0	0.0	0.987351	0.958333	0	data_limited
wfo:wfo-4000004045-2025-12	Barbacenia	wfo:wfo-7000000634-2025-12	Velloziaceae	112	0	48	64	0.0	0.0	0.0	0.989137	0.958333	0	data_limited
wfo:wfo-4000002813-2025-12	Arabis			110	0	67	43	0.0	0.0	0.0	0.982045	0.958333	0	data_limited
wfo:wfo-4000000602-2025-12	Adenia	wfo:wfo-7000000442-2025-12	Passifloraceae	109	0	49	60	0.0	0.0	0.0	0.987691	0.958333	0	data_limited
wfo:wfo-4000001608-2025-12	Ammannia	wfo:wfo-7000000356-2025-12	Lythraceae	109	0	97	12	0.0	0.0	0.0	0.976682	0.958333	0	data_limited
wfo:wfo-4000000699-2025-12	Adinandra	wfo:wfo-7000000450-2025-12	Pentaphylacaceae	107	0	19	88	0.0	0.0	0.0	0.995249	0.958333	0	data_limited
wfo:wfo-4000002087-2025-12	Angelica	wfo:wfo-7000000036-2025-12	Apiaceae	107	0	68	39	0.0	0.0	0.0	0.983801	0.958333	0	data_limited
wfo:wfo-4000002493-2025-12	Antimima			107	0	105	2	0.0	0.0	0.0	0.975467	0.975	0	data_limited
wfo:wfo-4000003335-2025-12	Aspilia			107	0	48	59	0.0	0.0	0.0	0.988006	0.958333	0	data_limited
wfo:wfo-4000001466-2025-12	Amaranthus	wfo:wfo-7000000017-2025-12	Amaranthaceae	106	0	60	46	0.0	0.0	0.0	0.983176	0.958333	0	data_limited
wfo:wfo-4000004873-2025-12	Boerhavia	wfo:wfo-7000000416-2025-12	Nyctaginaceae	106	0	60	46	0.0	0.0	0.0	0.984591	0.958333	0	data_limited
wfo:wfo-4000001104-2025-12	Albizia			105	0	62	43	0.0	0.0	0.0	0.984127	0.958333	0	data_limited
wfo:wfo-4000002483-2025-12	Antidesma	wfo:wfo-7000000461-2025-12	Phyllanthaceae	105	0	46	59	0.0	0.0	0.0	0.987778	0.958333	0	data_limited
wfo:wfo-4000002831-2025-12	Arachnothryx	wfo:wfo-7000000534-2025-12	Rubiaceae	105	0	78	27	0.0	0.0	0.0	0.981429	0.975	0	data_limited
wfo:wfo-4000003077-2025-12	Armeria			105	0	79	26	0.0	0.0	0.0	0.97754	0.958333	0	data_limited
wfo:wfo-4000004858-2025-12	Boechera			104	0	87	17	0.0	0.0	0.0	0.978285	0.958333	0	data_limited
wfo:wfo-4000003358-2025-12	Asplundia	wfo:wfo-7000000167-2025-12	Cyclanthaceae	103	0	31	72	0.0	0.0	0.0	0.992314	0.958333	0	data_limited
wfo:wfo-4000002895-2025-12	Archidendron			101	0	85	16	0.0	0.0	0.0	0.9783	0.958333	0	data_limited
wfo:wfo-4000000884-2025-12	Agalmyla			97	0	31	66	0.0	0.0	0.0	0.991838	0.958333	0	data_limited
wfo:wfo-4000001666-2025-12	Ampelocissus	wfo:wfo-7000000639-2025-12	Vitaceae	96	0	54	42	0.0	0.0	0.0	0.98559	0.958333	0	data_limited
wfo:wfo-4000003837-2025-12	Babiana	wfo:wfo-7000000299-2025-12	Iridaceae	95	0	41	54	0.0	0.0	0.0	0.988333	0.958333	0	data_limited
wfo:wfo-4000000608-2025-12	Adenocalymma	wfo:wfo-7000000073-2025-12	Bignoniaceae	94	0	60	34	0.0	0.0	0.0	0.983688	0.958333	0	data_limited
wfo:wfo-4000001767-2025-12	Amyema	wfo:wfo-7000000350-2025-12	Loranthaceae	93	0	66	27	0.0	0.0	0.0	0.982079	0.958333	0	data_limited
wfo:wfo-4000003292-2025-12	Asperula	wfo:wfo-7000000534-2025-12	Rubiaceae	93	0	41	52	0.0	0.0	0.0	0.988799	0.958333	0	data_limited
wfo:wfo-4000001337-2025-12	Alocasia	wfo:wfo-7000000042-2025-12	Araceae	91	0	26	65	0.0	0.0	0.0	0.991941	0.958333	0	data_limited
wfo:wfo-4000004878-2025-12	Boesenbergia			90	0	44	46	0.0	0.0	0.0	0.987778	0.975	0	data_limited
wfo:wfo-4000002843-2025-12	Aralia	wfo:wfo-7000000043-2025-12	Araliaceae	89	0	57	32	0.0	0.0	0.0	0.983427	0.958333	0	data_limited
wfo:wfo-4000004308-2025-12	Begonia	wfo:wfo-7000000068-2025-12	Begoniaceae	89	0	15	74	0.0	0.0	0.0	0.994663	0.958333	0	data_limited
wfo:wfo-4000004547-2025-12	Betula	wfo:wfo-7000000071-2025-12	Betulaceae	89	0	52	37	0.0	0.0	0.0	0.98338	0.895833	0	data_limited
wfo:wfo-4000002753-2025-12	Aporosa	wfo:wfo-7000000461-2025-12	Phyllanthaceae	87	0	34	53	0.0	0.0	0.0	0.990038	0.958333	0	data_limited
wfo:wfo-4000000784-2025-12	Aeonium	wfo:wfo-7000000156-2025-12	Crassulaceae	86	0	45	41	0.0	0.0	0.0	0.986919	0.975	0	data_limited
wfo:wfo-4000001118-2025-12	Alcea	wfo:wfo-7000000360-2025-12	Malvaceae	85	0	43	42	0.0	0.0	0.0	0.987157	0.958333	0	data_limited
wfo:wfo-4000004485-2025-12	Berkheya			85	0	47	38	0.0	0.0	0.0	0.985588	0.958333	0	data_limited
wfo:wfo-4000000365-2025-12	Acourtia			83	0	46	37	0.0	0.0	0.0	0.985542	0.958333	0	data_limited
wfo:wfo-4000003857-2025-12	Bactris	wfo:wfo-7000000046-2025-12	Arecaceae	83	0	38	45	0.0	0.0	0.0	0.987952	0.958333	0	data_limited
wfo:wfo-4000005039-2025-12	Boronia	wfo:wfo-7000000536-2025-12	Rutaceae	83	0	17	66	0.0	0.0	0.0	0.99488	0.975	0	data_limited
wfo:wfo-4000003015-2025-12	Argyrolobium			82	0	52	30	0.0	0.0	0.0	0.983537	0.958333	0	data_limited
wfo:wfo-4000004652-2025-12	Biophytum	wfo:wfo-7000000434-2025-12	Oxalidaceae	82	0	29	53	0.0	0.0	0.0	0.990549	0.958333	0	data_limited
wfo:wfo-4000002053-2025-12	Anemone	wfo:wfo-7000000514-2025-12	Ranunculaceae	81	0	37	44	0.0	0.0	0.0	0.986934	0.958333	0	data_limited
wfo:wfo-4000002932-2025-12	Arctostaphylos			81	0	47	34	0.0	0.0	0.0	0.984877	0.958333	0	data_limited
wfo:wfo-4000004492-2025-12	Bernardia	wfo:wfo-7000000224-2025-12	Euphorbiaceae	81	0	28	53	0.0	0.0	0.0	0.991152	0.958333	0	data_limited
wfo:wfo-4000001955-2025-12	Andinia			80	0	71	9	0.0	0.0	0.0	0.977812	0.975	0	data_limited
wfo:wfo-4000003794-2025-12	Axonopus	wfo:wfo-7000000483-2025-12	Poaceae	80	0	45	35	0.0	0.0	0.0	0.985312	0.958333	0	data_limited
wfo:wfo-4000002934-2025-12	Arctotis			76	0	51	25	0.0	0.0	0.0	0.980592	0.958333	0	data_limited
wfo:wfo-4000000139-2025-12	Acanthophyllum			75	0	42	33	0.0	0.0	0.0	0.984889	0.958333	0	data_limited
wfo:wfo-4000000824-2025-12	Aethionema			75	0	26	49	0.0	0.0	0.0	0.991111	0.958333	0	data_limited
wfo:wfo-4000004351-2025-12	Bellevalia			75	0	32	43	0.0	0.0	0.0	0.988667	0.958333	0	data_limited
wfo:wfo-4000001035-2025-12	Aiouea	wfo:wfo-7000000321-2025-12	Lauraceae	73	0	66	7	0.0	0.0	0.0	0.977169	0.958333	0	data_limited
wfo:wfo-4000004129-2025-12	Barringtonia	wfo:wfo-7000000322-2025-12	Lecythidaceae	73	0	35	38	0.0	0.0	0.0	0.987329	0.958333	0	data_limited
wfo:wfo-4000002977-2025-12	Argentina	wfo:wfo-7000000532-2025-12	Rosaceae	72	0	68	4	0.0	0.0	0.0	0.976389	0.975	0	data_limited
wfo:wfo-4000003747-2025-12	Austrostipa	wfo:wfo-7000000483-2025-12	Poaceae	72	0	60	12	0.0	0.0	0.0	0.978704	0.958333	0	data_limited
wfo:wfo-4000004952-2025-12	Bonamia	wfo:wfo-7000000149-2025-12	Convolvulaceae	72	0	29	43	0.0	0.0	0.0	0.989931	0.975	0	data_limited
wfo:wfo-4000001030-2025-12	Ainsliaea			71	0	28	43	0.0	0.0	0.0	0.989437	0.958333	0	data_limited
wfo:wfo-4000001061-2025-12	Ajuga	wfo:wfo-7000000318-2025-12	Lamiaceae	71	0	42	29	0.0	0.0	0.0	0.983803	0.958333	0	data_limited
wfo:wfo-4000002033-2025-12	Aneilema			71	0	28	43	0.0	0.0	0.0	0.989671	0.958333	0	data_limited
wfo:wfo-4000002193-2025-12	Anisophyllea	wfo:wfo-7000000030-2025-12	Anisophylleaceae	68	0	7	61	0.0	0.0	0.0	0.997426	0.975	0	data_limited
wfo:wfo-4000003488-2025-12	Astronidium	wfo:wfo-7000000372-2025-12	Melastomataceae	68	0	24	44	0.0	0.0	0.0	0.991176	0.975	0	data_limited
wfo:wfo-4000004633-2025-12	Billbergia	wfo:wfo-7000000084-2025-12	Bromeliaceae	68	0	31	37	0.0	0.0	0.0	0.987868	0.958333	0	data_limited
wfo:wfo-4000001217-2025-12	Alkanna			67	0	26	41	0.0	0.0	0.0	0.989303	0.958333	0	data_limited
wfo:wfo-4000000878-2025-12	Agalinis	wfo:wfo-7000000430-2025-12	Orobanchaceae	66	0	54	12	0.0	0.0	0.0	0.978535	0.958333	0	data_limited
wfo:wfo-4000004020-2025-12	Banisteriopsis			66	0	38	28	0.0	0.0	0.0	0.985606	0.975	0	data_limited
wfo:wfo-4000003487-2025-12	Astronia	wfo:wfo-7000000372-2025-12	Melastomataceae	65	0	18	47	0.0	0.0	0.0	0.992821	0.958333	0	data_limited
wfo:wfo-4000004669-2025-12	Biscutella			65	0	35	30	0.0	0.0	0.0	0.985513	0.958333	0	data_limited
wfo:wfo-4000000787-2025-12	Aerangis			64	0	43	21	0.0	0.0	0.0	0.982943	0.958333	0	data_limited
wfo:wfo-4000000646-2025-12	Adenophora	wfo:wfo-7000000106-2025-12	Campanulaceae	63	0	38	25	0.0	0.0	0.0	0.984392	0.958333	0	data_limited
wfo:wfo-4000000840-2025-12	Aframomum			63	0	29	34	0.0	0.0	0.0	0.987963	0.958333	0	data_limited
wfo:wfo-4000003856-2025-12	Bacopa	wfo:wfo-7000000476-2025-12	Plantaginaceae	63	0	53	10	0.0	0.0	0.0	0.978439	0.958333	0	data_limited
wfo:wfo-4000000931-2025-12	Agelanthus	wfo:wfo-7000000350-2025-12	Loranthaceae	62	0	51	11	0.0	0.0	0.0	0.979435	0.975	0	data_limited
wfo:wfo-4000001271-2025-12	Allocasuarina	wfo:wfo-7000000118-2025-12	Casuarinaceae	62	0	39	23	0.0	0.0	0.0	0.983737	0.958333	0	data_limited
wfo:wfo-4000002208-2025-12	Anisostachya	wfo:wfo-7000000001-2025-12	Acanthaceae	62	0	9	53	0.0	0.0	0.0	0.996371	0.975	0	data_limited
wfo:wfo-4000002734-2025-12	Aponogeton	wfo:wfo-7000000040-2025-12	Aponogetonaceae	62	0	21	41	0.0	0.0	0.0	0.990995	0.958333	0	data_limited
wfo:wfo-4001303144-2025-12	Benstonea	wfo:wfo-7000000439-2025-12	Pandanaceae	62	0	60	2	0.0	0.0	0.0	0.975806	0.975	0	data_limited
wfo:wfo-4000002356-2025-12	Antennaria			61	0	39	22	0.0	0.0	0.0	0.982923	0.958333	0	data_limited
wfo:wfo-4000003052-2025-12	Aristea	wfo:wfo-7000000299-2025-12	Iridaceae	61	0	26	35	0.0	0.0	0.0	0.988525	0.958333	0	data_limited
wfo:wfo-4000003029-2025-12	Aria	wfo:wfo-7000000532-2025-12	Rosaceae	60	0	59	1	0.0	0.0	0.0	0.974861	0.958333	0	data_limited
wfo:wfo-4000003191-2025-12	Artocarpus	wfo:wfo-7000000395-2025-12	Moraceae	60	0	30	30	0.0	0.0	0.0	0.986667	0.958333	0	data_limited
wfo:wfo-4000003510-2025-12	Asystasia	wfo:wfo-7000000001-2025-12	Acanthaceae	60	0	27	33	0.0	0.0	0.0	0.988472	0.958333	0	data_limited
wfo:wfo-4000000077-2025-12	Acaena	wfo:wfo-7000000532-2025-12	Rosaceae	59	0	45	14	0.0	0.0	0.0	0.97839	0.958333	0	data_limited
wfo:wfo-4000001081-2025-12	Alangium	wfo:wfo-7000000151-2025-12	Cornaceae	59	0	27	32	0.0	0.0	0.0	0.987712	0.958333	0	data_limited
wfo:wfo-4000003825-2025-12	Azorella	wfo:wfo-7000000036-2025-12	Apiaceae	59	0	53	6	0.0	0.0	0.0	0.97613	0.958333	0	data_limited
wfo:wfo-4000004863-2025-12	Boehmeria	wfo:wfo-7000000631-2025-12	Urticaceae	59	0	38	21	0.0	0.0	0.0	0.983616	0.958333	0	data_limited
wfo:wfo-4000000499-2025-12	Actinidia	wfo:wfo-7000000006-2025-12	Actinidiaceae	58	0	23	35	0.0	0.0	0.0	0.990086	0.975	0	data_limited
wfo:wfo-4000001778-2025-12	Amyris	wfo:wfo-7000000536-2025-12	Rutaceae	58	0	11	47	0.0	0.0	0.0	0.994971	0.958333	0	data_limited
wfo:wfo-4000003204-2025-12	Arundinella	wfo:wfo-7000000483-2025-12	Poaceae	58	0	26	32	0.0	0.0	0.0	0.987931	0.958333	0	data_limited
wfo:wfo-4000004513-2025-12	Bertiera	wfo:wfo-7000000534-2025-12	Rubiaceae	58	0	23	35	0.0	0.0	0.0	0.990086	0.975	0	data_limited
wfo:wfo-4000001014-2025-12	Aidia	wfo:wfo-7000000534-2025-12	Rubiaceae	57	0	35	22	0.0	0.0	0.0	0.984649	0.975	0	data_limited
wfo:wfo-4000001971-2025-12	Andreettaea	wfo:wfo-7000000429-2025-12	Orchidaceae	57	0	57	0	0.0	0.0	0.0	0.975	0.975	0	data_limited
wfo:wfo-4000004799-2025-12	Bletia			57	0	31	26	0.0	0.0	0.0	0.986111	0.958333	0	data_limited
wfo:wfo-4000004515-2025-12	Bertolonia	wfo:wfo-7000000372-2025-12	Melastomataceae	56	0	8	48	0.0	0.0	0.0	0.996131	0.958333	0	data_limited
wfo:wfo-4000000939-2025-12	Ageratum			55	0	29	26	0.0	0.0	0.0	0.984394	0.958333	0	data_limited
wfo:wfo-4000001120-2025-12	Alchornea	wfo:wfo-7000000224-2025-12	Euphorbiaceae	54	0	29	25	0.0	0.0	0.0	0.984722	0.958333	0	data_limited
wfo:wfo-4000001374-2025-12	Alseodaphne	wfo:wfo-7000000321-2025-12	Lauraceae	54	0	18	36	0.0	0.0	0.0	0.991667	0.975	0	data_limited
wfo:wfo-4000001561-2025-12	Ambrosia			54	0	38	16	0.0	0.0	0.0	0.979938	0.958333	0	data_limited
wfo:wfo-4000002465-2025-12	Anthoxanthum	wfo:wfo-7000000483-2025-12	Poaceae	54	0	48	6	0.0	0.0	0.0	0.976852	0.958333	0	data_limited
wfo:wfo-4000003843-2025-12	Baccaurea	wfo:wfo-7000000461-2025-12	Phyllanthaceae	54	0	33	21	0.0	0.0	0.0	0.984414	0.958333	0	data_limited
wfo:wfo-4000000431-2025-12	Acronychia	wfo:wfo-7000000536-2025-12	Rutaceae	52	0	14	38	0.0	0.0	0.0	0.992949	0.958333	0	data_limited
wfo:wfo-4000004031-2025-12	Baphia			52	0	19	33	0.0	0.0	0.0	0.990224	0.958333	0	data_limited
wfo:wfo-4000002122-2025-12	Aniba	wfo:wfo-7000000321-2025-12	Lauraceae	51	0	25	26	0.0	0.0	0.0	0.987745	0.975	0	data_limited
wfo:wfo-4000001331-2025-12	Alnus	wfo:wfo-7000000071-2025-12	Betulaceae	50	0	38	12	0.0	0.0	0.0	0.98	0.958333	0	data_limited
wfo:wfo-4000001354-2025-12	Alopecurus	wfo:wfo-7000000483-2025-12	Poaceae	50	0	33	17	0.0	0.0	0.0	0.979833	0.958333	0	data_limited
wfo:wfo-4000001720-2025-12	Amphilophium	wfo:wfo-7000000073-2025-12	Bignoniaceae	50	0	43	7	0.0	0.0	0.0	0.977833	0.958333	0	data_limited
wfo:wfo-4000003681-2025-12	Aulonemia	wfo:wfo-7000000483-2025-12	Poaceae	50	0	21	29	0.0	0.0	0.0	0.9895	0.975	0	data_limited
wfo:wfo-4000002060-2025-12	Anemopaegma	wfo:wfo-7000000073-2025-12	Bignoniaceae	49	0	25	24	0.0	0.0	0.0	0.987245	0.975	0	data_limited
wfo:wfo-4000002264-2025-12	Anoectochilus			49	0	18	31	0.0	0.0	0.0	0.990136	0.958333	0	data_limited
