accepted_key	label	genus_key	genus_label	family_key	family_label	tci	tci_observed	tci_structural	n_evidence_edges	n_ploidy_states	n_chrom_counts	chrom_count_cv	synonym_cluster_size	n_taxonomic_conflicts	confidence	tci_provenance
wfo:wfo-0000000423-2025-12	Antennaria dioiciformis	wfo:wfo-4000002356-2025-12	Antennaria			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000427-2025-12	Artemisia igniaria	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000429-2025-12	Anaphalis acutifolia	wfo:wfo-4000001853-2025-12	Anaphalis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000443-2025-12	Artemisia integrifolia	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000454-2025-12	Achyrocline lehmannii	wfo:wfo-4000000255-2025-12	Achyrocline			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000542-2025-12	Adenostemma madurense	wfo:wfo-4000000670-2025-12	Adenostemma			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000549-2025-12	Anaphalis arfakensis	wfo:wfo-4000001853-2025-12	Anaphalis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000555-2025-12	Astranthium orthopodum	wfo:wfo-4000003461-2025-12	Astranthium			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000568-2025-12	Bafutia tenuicaulis	wfo:wfo-4000003881-2025-12	Bafutia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000585-2025-12	Anaphalis notoniana	wfo:wfo-4000001853-2025-12	Anaphalis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000594-2025-12	Baccharis arenaria	wfo:wfo-4000003847-2025-12	Baccharis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000608-2025-12	Artemisia lessingiana	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000620-2025-12	Berkheya johnstoniana	wfo:wfo-4000004485-2025-12	Berkheya			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000643-2025-12	Acourtia souleana	wfo:wfo-4000000365-2025-12	Acourtia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000651-2025-12	Artemisia namanganica	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000675-2025-12	Anaphalis araneosa	wfo:wfo-4000001853-2025-12	Anaphalis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000787-2025-12	Ambrosia chamissonis	wfo:wfo-4000001561-2025-12	Ambrosia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000792-2025-12	Artemisia tsuneoi	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000810-2025-12	Acourtia moctezumae	wfo:wfo-4000000365-2025-12	Acourtia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000811-2025-12	Aspilia foliacea	wfo:wfo-4000003335-2025-12	Aspilia			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000000852-2025-12	Ageratina reticulifera	wfo:wfo-4000000936-2025-12	Ageratina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000893-2025-12	Ageratina celestini	wfo:wfo-4000000936-2025-12	Ageratina			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000926-2025-12	Arnica sororia	wfo:wfo-4000003092-2025-12	Arnica			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000947-2025-12	Allagopappus viscosissimus	wfo:wfo-4000001224-2025-12	Allagopappus			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000000955-2025-12	Adenostemma verbesina	wfo:wfo-4000000670-2025-12	Adenostemma			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000000989-2025-12	Baccharis serranoi	wfo:wfo-4000003847-2025-12	Baccharis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001021-2025-12	Ambrosia dumosa	wfo:wfo-4000001561-2025-12	Ambrosia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001026-2025-12	Aphyllocladus denticulatus	wfo:wfo-4000002650-2025-12	Aphyllocladus			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001053-2025-12	Antennaria howellii	wfo:wfo-4000002356-2025-12	Antennaria			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001055-2025-12	Ainsliaea uniflora	wfo:wfo-4000001030-2025-12	Ainsliaea			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001085-2025-12	Baccharis aliena	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001095-2025-12	Ageratina adenachaenia	wfo:wfo-4000000936-2025-12	Ageratina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001132-2025-12	Artemisia keiskeana	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001163-2025-12	Ageratina austin-smithii	wfo:wfo-4000000936-2025-12	Ageratina			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001172-2025-12	Bidens oligoflora	wfo:wfo-4000004584-2025-12	Bidens			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001179-2025-12	Ageratina intibucensis	wfo:wfo-4000000936-2025-12	Ageratina			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001202-2025-12	Artemisia pedunculosa	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001224-2025-12	Arnica mallotopus	wfo:wfo-4000003092-2025-12	Arnica			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001238-2025-12	Anthemis mauritiana	wfo:wfo-4000002393-2025-12	Anthemis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001244-2025-12	Aster langaoensis	wfo:wfo-4000003381-2025-12	Aster			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001248-2025-12	Arctotis serpens	wfo:wfo-4000002934-2025-12	Arctotis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001261-2025-12	Acourtia wrightii	wfo:wfo-4000000365-2025-12	Acourtia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001313-2025-12	Artemisia ifranensis	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001371-2025-12	Bellium bellidioides	wfo:wfo-4000004368-2025-12	Bellium			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001383-2025-12	Bidens hivoana	wfo:wfo-4000004584-2025-12	Bidens			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001404-2025-12	Aequatorium lepidotum	wfo:wfo-4000000786-2025-12	Aequatorium			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001438-2025-12	Athanasia pectinata	wfo:wfo-4000003540-2025-12	Athanasia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001459-2025-12	Arctotis suffruticosa	wfo:wfo-4000002934-2025-12	Arctotis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001511-2025-12	Baccharis johnwurdackiana	wfo:wfo-4000003847-2025-12	Baccharis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001528-2025-12	Baccharis tarchonanthoides	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001533-2025-12	Allagopappus canariensis	wfo:wfo-4000001224-2025-12	Allagopappus			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001602-2025-12	Baccharis densa	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001610-2025-12	Artemisia nivalis	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001717-2025-12	Baccharis uncinella	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001722-2025-12	Blumea linearis	wfo:wfo-4000004820-2025-12	Blumea			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001769-2025-12	Ageratina subintegra	wfo:wfo-4000000936-2025-12	Ageratina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001814-2025-12	Ayapana herrerae	wfo:wfo-4000003797-2025-12	Ayapana			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001821-2025-12	Artemisia japonica	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001825-2025-12	Artemisia wellbyi	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001829-2025-12	Athanasia grandiceps	wfo:wfo-4000003540-2025-12	Athanasia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001901-2025-12	Ainsliaea henryi	wfo:wfo-4000001030-2025-12	Ainsliaea			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000001941-2025-12	Aristeguietia uribei	wfo:wfo-4000003054-2025-12	Aristeguietia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000001986-2025-12	Ageratum chortianum	wfo:wfo-4000000939-2025-12	Ageratum			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002063-2025-12	Bidens steppia	wfo:wfo-4000004584-2025-12	Bidens			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002081-2025-12	Anaxeton arborescens	wfo:wfo-4000001896-2025-12	Anaxeton			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000002113-2025-12	Anthemis hamrinensis	wfo:wfo-4000002393-2025-12	Anthemis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002178-2025-12	Berkheya mkenii	wfo:wfo-4000004485-2025-12	Berkheya			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002195-2025-12	Baccharis sessilifolia	wfo:wfo-4000003847-2025-12	Baccharis			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000002203-2025-12	Artemisia togusbulakensis	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002215-2025-12	Baccharis paranensis	wfo:wfo-4000003847-2025-12	Baccharis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002217-2025-12	Baccharis notosergila	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002225-2025-12	Ainsliaea asperrima	wfo:wfo-4000001030-2025-12	Ainsliaea			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002238-2025-12	Baccharis divaricata	wfo:wfo-4000003847-2025-12	Baccharis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002248-2025-12	Artemisia nakaii	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002275-2025-12	Ageratina chazaroana	wfo:wfo-4000000936-2025-12	Ageratina			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002294-2025-12	Acourtia glandulifera	wfo:wfo-4000000365-2025-12	Acourtia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002303-2025-12	Bartlettina liesneri	wfo:wfo-4000004143-2025-12	Bartlettina			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002406-2025-12	Boltonia diffusa	wfo:wfo-4000004932-2025-12	Boltonia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002417-2025-12	Bidens pseudalausensis	wfo:wfo-4000004584-2025-12	Bidens			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002431-2025-12	Amberboa glauca	wfo:wfo-4000001496-2025-12	Amberboa			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002477-2025-12	Archibaccharis pringlei	wfo:wfo-4000002892-2025-12	Archibaccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002509-2025-12	Ageratina dorrii	wfo:wfo-4000000936-2025-12	Ageratina			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002594-2025-12	Artemisia arenaria	wfo:wfo-4000003144-2025-12	Artemisia			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002643-2025-12	Acourtia platyptera	wfo:wfo-4000000365-2025-12	Acourtia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002655-2025-12	Arctotis cuprea	wfo:wfo-4000002934-2025-12	Arctotis			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000002713-2025-12	Artemisia alba	wfo:wfo-4000003144-2025-12	Artemisia			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000002787-2025-12	Ageratum petiolatum	wfo:wfo-4000000939-2025-12	Ageratum			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002794-2025-12	Emilia prenanthoidea f. prenanthoidea					1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002804-2025-12	Blumea balsamifera	wfo:wfo-4000004820-2025-12	Blumea			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000002909-2025-12	Blumea laevis	wfo:wfo-4000004820-2025-12	Blumea			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002921-2025-12	Austroeupatorium morii	wfo:wfo-4000003726-2025-12	Austroeupatorium			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002924-2025-12	Anaphalis javanica f. junghuhniana					0.9375	1.0	0.875	0	0	0		1	1	data_limited	structural_only
wfo:wfo-0000002931-2025-12	Bidens cosmoides	wfo:wfo-4000004584-2025-12	Bidens			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000002969-2025-12	Ageratina josepaneroi	wfo:wfo-4000000936-2025-12	Ageratina			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000002975-2025-12	Aequatorium tovarii	wfo:wfo-4000000786-2025-12	Aequatorium			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003006-2025-12	Bidens pilosa f. radiata					1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003046-2025-12	Baccharis pseudovaccinioides	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003078-2025-12	Artemisia macrocephala	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003158-2025-12	Artemisia lercheana	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003167-2025-12	Artemisia carruthii	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003180-2025-12	Anisopappus paucidentatus	wfo:wfo-4000002189-2025-12	Anisopappus			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003231-2025-12	Askellia alaica	wfo:wfo-4000003271-2025-12	Askellia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003243-2025-12	Anthemis rosea	wfo:wfo-4000002393-2025-12	Anthemis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003278-2025-12	Anaphalis spodiophylla	wfo:wfo-4000001853-2025-12	Anaphalis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003286-2025-12	Bidens carinata	wfo:wfo-4000004584-2025-12	Bidens			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003310-2025-12	Arctotis schraderi	wfo:wfo-4000002934-2025-12	Arctotis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003351-2025-12	Baccharis serrulata	wfo:wfo-4000003847-2025-12	Baccharis			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000003410-2025-12	Artemisia ludoviciana	wfo:wfo-4000003144-2025-12	Artemisia			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000003472-2025-12	Aster salwinensis	wfo:wfo-4000003381-2025-12	Aster			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003473-2025-12	Artemisia sericea	wfo:wfo-4000003144-2025-12	Artemisia			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000003482-2025-12	Arnica montana	wfo:wfo-4000003092-2025-12	Arnica			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000003499-2025-12	Baccharis revoluta	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003500-2025-12	Ageratina leiocarpa	wfo:wfo-4000000936-2025-12	Ageratina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003501-2025-12	Adenocaulon himalaicum	wfo:wfo-4000000612-2025-12	Adenocaulon			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003515-2025-12	Ajania breviloba	wfo:wfo-4000001057-2025-12	Ajania			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003517-2025-12	Aster souliei	wfo:wfo-4000003381-2025-12	Aster			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003583-2025-12	Berkheya griquana	wfo:wfo-4000004485-2025-12	Berkheya			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003622-2025-12	Achillea cucullata	wfo:wfo-4000000214-2025-12	Achillea			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003680-2025-12	Berkheya chiesiana	wfo:wfo-4000004485-2025-12	Berkheya			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003681-2025-12	Bidens boquetiensis	wfo:wfo-4000004584-2025-12	Bidens			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003695-2025-12	Bidens cernua	wfo:wfo-4000004584-2025-12	Bidens			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003756-2025-12	Acritopappus subtomentosus	wfo:wfo-4000000381-2025-12	Acritopappus			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003803-2025-12	Blumea eriantha	wfo:wfo-4000004820-2025-12	Blumea			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003892-2025-12	Cirsium japonicum var. vestitum f. arakii					0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003941-2025-12	Blumea emeiensis	wfo:wfo-4000004820-2025-12	Blumea			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003952-2025-12	Asplundianthus pseudostuebelii	wfo:wfo-4000003359-2025-12	Asplundianthus			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000003955-2025-12	Ageratina cylindrica	wfo:wfo-4000000936-2025-12	Ageratina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003964-2025-12	Austrocritonia taunayana	wfo:wfo-4000003719-2025-12	Austrocritonia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000003999-2025-12	Ageratina jucunda	wfo:wfo-4000000936-2025-12	Ageratina			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000004046-2025-12	Baccharis conferta	wfo:wfo-4000003847-2025-12	Baccharis			0.958333	1.0	0.916667	0	0	0		3	0	data_limited	structural_only
wfo:wfo-0000004056-2025-12	Ageratina plethadenia	wfo:wfo-4000000936-2025-12	Ageratina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004075-2025-12	Acilepis clivorum	wfo:wfo-4000000287-2025-12	Acilepis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004096-2025-12	Aster taoyuenensis	wfo:wfo-4000003381-2025-12	Aster			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000004111-2025-12	Blennosperma chilense	wfo:wfo-4000004756-2025-12	Blennosperma			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004164-2025-12	Ajania nana	wfo:wfo-4000001057-2025-12	Ajania			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000004212-2025-12	Ageratina chiriquensis	wfo:wfo-4000000936-2025-12	Ageratina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004271-2025-12	Anaphalis bulleyana	wfo:wfo-4000001853-2025-12	Anaphalis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004281-2025-12	Bidens ghedoensis	wfo:wfo-4000004584-2025-12	Bidens			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000004294-2025-12	Anaphalis subumbellata	wfo:wfo-4000001853-2025-12	Anaphalis			1.0	1.0	1.0	0	0	0		1	0	data_limited	data_limited_unknown
wfo:wfo-0000004312-2025-12	Anthemis rascheyana	wfo:wfo-4000002393-2025-12	Anthemis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004334-2025-12	Baccharis nitida	wfo:wfo-4000003847-2025-12	Baccharis			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004349-2025-12	Ambrosia nivea	wfo:wfo-4000001561-2025-12	Ambrosia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004389-2025-12	Artemisia tournefortiana	wfo:wfo-4000003144-2025-12	Artemisia			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004402-2025-12	Arnica longifolia	wfo:wfo-4000003092-2025-12	Arnica			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
wfo:wfo-0000004409-2025-12	Bartlettina pansamalensis	wfo:wfo-4000004143-2025-12	Bartlettina			0.975	1.0	0.95	0	0	0		2	0	data_limited	structural_only
