input_name	accepted_key	accepted_name	family	evidence_class	event_shape	parent_taxa_named	ploidy_or_chromosome_evidence	source_title	source_url_or_doi	source_type	source_year	independent_source_group	license_or_access_note	join_status	support_status	caveat
Helianthus anomalus	gbif:3119246	Helianthus anomalus S.F.Blake	Asteraceae	hybridization_event	true	true	false	Major ecological transitions in wild sunflowers facilitated by hybridization	https://doi.org/10.1126/science.1086949	journal_article	2003	hybrid_speciation_case_study	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported homoploid hybrid species origin
Helianthus deserticola	gbif:3119233	Helianthus deserticola Heiser	Asteraceae	hybridization_event	true	true	false	Major ecological transitions in wild sunflowers facilitated by hybridization	https://doi.org/10.1126/science.1086949	journal_article	2003	hybrid_speciation_case_study	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported homoploid hybrid species origin
Helianthus paradoxus	gbif:3119149	Helianthus paradoxus Heiser	Asteraceae	hybridization_event	true	true	false	Major ecological transitions in wild sunflowers facilitated by hybridization	https://doi.org/10.1126/science.1086949	journal_article	2003	hybrid_speciation_case_study	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported homoploid hybrid species origin
Iris nelsonii	gbif:5298384	Iris ×nelsonii Randolph	Iridaceae	hybridization_event	true	true	false	Natural hybridization in Louisiana irises: genetic variation and ecological determinants	https://doi.org/10.2307/2445221	journal_article	1990	hybrid_speciation_case_study	DOI metadata access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported Louisiana iris hybrid origin
Malus domestica	gbif:3001244	Malus domestica (Suckow) Borkh.	Rosaceae	reticulate_inheritance_evidence	true	true	false	New insight into the history of domesticated apple: secondary contribution of the European wild apple to the genome of cultivated varieties	https://doi.org/10.1371/journal.pgen.1002703	journal_article	2012	crop_introgression_study	open access article; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported introgression into cultivated apple
Citrus sinensis	gbif:8077391	Citrus ×aurantium L.	Rutaceae	reticulate_inheritance_evidence	true	true	false	Sequencing of diverse mandarin, pummelo and orange genomes reveals complex history of admixture during citrus domestication	https://doi.org/10.1038/nbt.2906	journal_article	2014	crop_introgression_study	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	diagnostic_only	supports source-reported admixed citrus domestication history; GBIF accepted-key resolution collapses this input to the same accepted key used for Citrus aurantium in the current API response; retained as a join diagnostic, not a distinct instrument-ready event row.
Citrus aurantium	gbif:8077391	Citrus ×aurantium L.	Rutaceae	hybridization_event	true	true	false	Genomics of the origin and evolution of Citrus	https://doi.org/10.1038/nature25447	journal_article	2018	genome_phylogenomics	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported hybrid origin in Citrus
Rosa canina	gbif:3002461	Rosa canina L.	Rosaceae	reticulate_inheritance_evidence	true	false	true	Evolution by reticulation: European dogroses originated by multiple hybridization across the genus Rosa	https://doi.org/10.1111/j.1365-294X.2005.02730.x	journal_article	2005	reticulation_case_study	DOI metadata access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported reticulate origin of dogroses; parent resolution remains caveated
Quercus robur	gbif:2878688	Quercus robur L.	Fagaceae	reticulate_inheritance_evidence	true	false	false	Extensive recent secondary contacts between four European white oak species	https://doi.org/10.1111/nph.16069	journal_article	2019	introgression_case_study	DOI metadata/open abstract access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported oak introgression/contact, not a discrete new species event
Musa x paradisiaca	gbif:2762752	Musa ×paradisiaca L.	Musaceae	hybridization_event	true	true	true	Multidisciplinary perspectives on banana domestication	https://doi.org/10.1073/pnas.1102001108	journal_article	2011	crop_origin_review	open access article; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported hybrid domestication context; accepted key may be unstable
Prunus domestica	gbif:7931731	Prunus domestica L.	Rosaceae	polyploidization_event	true	true	true	The origin and domestication of Prunus domestica L. inferred from nuclear and chloroplast DNA sequence variation	https://doi.org/10.1111/j.1365-294X.2009.04457.x	journal_article	2010	crop_origin_study	DOI metadata access; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported polyploid origin hypotheses; parentage remains caveated
Camelina sativa	gbif:9073641	Camelina sativa (L.) Crantz	Brassicaceae	polyploidization_event	true	true	true	The emerging biofuel crop Camelina sativa retains a highly undifferentiated hexaploid genome structure	https://doi.org/10.1038/ncomms4706	journal_article	2014	genome_sequence	open access article; factual event coding only	accepted_key_joined	accepted_key_event_shaped	supports source-reported allohexaploid genome structure
