row_id	input_name	gbif_taxon_key	gbif_scientific_name	wfo_candidate_key	wfo_candidate_name	accepted_key_basis	event_type	event_shape	parent_taxa_named	ploidy_or_chromosome_evidence	source_group	source_title	source_url_or_doi	validation_use	no_promotion_flag	rejection_reason	caveat
t1_ns_011	Tragopogon miscellus	gbif:5386909	Tragopogon ×miscellus Ownbey			gbif_sidecar	polyploidization_event	True	True	True	polyploid_case_study	The recent and recurrent origin of allopolyploid species in Tragopogon	https://doi.org/10.1073/pnas.0405153101	track1_readiness_diagnostic	true		supports source-reported recent allopolyploid origin
t1_ns_012	Arabidopsis suecica	gbif:3052544	Arabidopsis suecica (Fr.) Norrl.	wfo:wfo-0000541826-2025-12	Arabidopsis suecica	wfo_projected	polyploidization_event	True	True	True	genome_phylogenomics	Sequencing of the genus Arabidopsis identifies a complex history of nonbifurcating speciation and abundant trans-specific polymorphism	https://doi.org/10.1038/ng.3617	track1_readiness_diagnostic	true		supports source-reported Arabidopsis suecica allopolyploid origin
t1_ns_013	Helianthus anomalus	gbif:3119246	Helianthus anomalus S.F.Blake			gbif_sidecar	hybridization_event	True	True	False	hybrid_speciation_case_study	Major ecological transitions in wild sunflowers facilitated by hybridization	https://doi.org/10.1126/science.1086949	track1_readiness_diagnostic	true		supports source-reported homoploid hybrid species origin
t1_ns_014	Helianthus deserticola	gbif:3119233	Helianthus deserticola Heiser			gbif_sidecar	hybridization_event	True	True	False	hybrid_speciation_case_study	Major ecological transitions in wild sunflowers facilitated by hybridization	https://doi.org/10.1126/science.1086949	track1_readiness_diagnostic	true		supports source-reported homoploid hybrid species origin
t1_ns_015	Helianthus paradoxus	gbif:3119149	Helianthus paradoxus Heiser			gbif_sidecar	hybridization_event	True	True	False	hybrid_speciation_case_study	Major ecological transitions in wild sunflowers facilitated by hybridization	https://doi.org/10.1126/science.1086949	track1_readiness_diagnostic	true		supports source-reported homoploid hybrid species origin
t1_ns_016	Iris nelsonii	gbif:5298384	Iris ×nelsonii Randolph			gbif_sidecar	hybridization_event	True	True	False	hybrid_speciation_case_study	Natural hybridization in Louisiana irises: genetic variation and ecological determinants	https://doi.org/10.2307/2445221	track1_readiness_diagnostic	true		supports source-reported Louisiana iris hybrid origin
t1_ns_017	Malus domestica	gbif:3001244	Malus domestica (Suckow) Borkh.			gbif_sidecar	reticulate_inheritance_evidence	True	True	False	crop_introgression_study	New insight into the history of domesticated apple: secondary contribution of the European wild apple to the genome of cultivated varieties	https://doi.org/10.1371/journal.pgen.1002703	track1_readiness_diagnostic	true		supports source-reported introgression into cultivated apple
t1_ns_018	Citrus sinensis	gbif:8077391	Citrus ×aurantium L.			rejected	reticulate_inheritance_evidence	True	True	False	crop_introgression_study	Sequencing of diverse mandarin, pummelo and orange genomes reveals complex history of admixture during citrus domestication	https://doi.org/10.1038/nbt.2906	excluded_from_validation_readiness	true	support_status is diagnostic_only, not accepted_key_event_shaped	supports source-reported admixed citrus domestication history; GBIF accepted-key resolution collapses this input to the same accepted key used for Citrus aurantium in the current API response; retained as a join diagnostic, not a distinct instrument-ready event row.
t1_ns_019	Citrus aurantium	gbif:8077391	Citrus ×aurantium L.			gbif_sidecar	hybridization_event	True	True	False	genome_phylogenomics	Genomics of the origin and evolution of Citrus	https://doi.org/10.1038/nature25447	track1_readiness_diagnostic	true		supports source-reported hybrid origin in Citrus
t1_ns_020	Rosa canina	gbif:3002461	Rosa canina L.			gbif_sidecar	reticulate_inheritance_evidence	True	False	True	reticulation_case_study	Evolution by reticulation: European dogroses originated by multiple hybridization across the genus Rosa	https://doi.org/10.1111/j.1365-294X.2005.02730.x	track1_readiness_diagnostic	true		supports source-reported reticulate origin of dogroses; parent resolution remains caveated
t1_ns_021	Quercus robur	gbif:2878688	Quercus robur L.			gbif_sidecar	reticulate_inheritance_evidence	True	False	False	introgression_case_study	Extensive recent secondary contacts between four European white oak species	https://doi.org/10.1111/nph.16069	track1_readiness_diagnostic	true		supports source-reported oak introgression/contact, not a discrete new species event
t1_ns_022	Musa x paradisiaca	gbif:2762752	Musa ×paradisiaca L.			gbif_sidecar	hybridization_event	True	True	True	crop_origin_review	Multidisciplinary perspectives on banana domestication	https://doi.org/10.1073/pnas.1102001108	track1_readiness_diagnostic	true		supports source-reported hybrid domestication context; accepted key may be unstable
t1_ns_023	Prunus domestica	gbif:7931731	Prunus domestica L.			gbif_sidecar	polyploidization_event	True	True	True	crop_origin_study	The origin and domestication of Prunus domestica L. inferred from nuclear and chloroplast DNA sequence variation	https://doi.org/10.1111/j.1365-294X.2009.04457.x	track1_readiness_diagnostic	true		supports source-reported polyploid origin hypotheses; parentage remains caveated
t1_ns_024	Camelina sativa	gbif:9073641	Camelina sativa (L.) Crantz			gbif_sidecar	polyploidization_event	True	True	True	genome_sequence	The emerging biofuel crop Camelina sativa retains a highly undifferentiated hexaploid genome structure	https://doi.org/10.1038/ncomms4706	track1_readiness_diagnostic	true		supports source-reported allohexaploid genome structure
