panel_role	taxon_name	namespace	accepted_key	family	genus	source_group_count	evidence_row_count	gbif_match_status	wfo_projection_status	name_turnover_proxy	publication_proxy	control_match_basis	validation_use	rejection_reason
matched_control_existing	Tragopogon dubius Scop.	gbif_control_basis	gbif:6443709	Asteraceae	Tragopogon	0	0	EXACT;status=ACCEPTED;confidence=97	control_wfo_projection_not_attempted	0	1257	genus_near	matched_control_diagnostic	
matched_control_existing	Arabidopsis thaliana (L.) Heynh.	gbif_control_basis	gbif:3052436	Brassicaceae	Arabidopsis	0	0	EXACT;status=ACCEPTED;confidence=98	control_wfo_projection_not_attempted	0	283297	genus_near	matched_control_diagnostic	
matched_control_existing	Brassica rapa L.	gbif_control_basis	gbif:7903057	Brassicaceae	Brassica	0	0	EXACT;status=ACCEPTED;confidence=97	control_wfo_projection_not_attempted	0	53585	genus_near	matched_control_diagnostic	
matched_control_existing	Arachis duranensis Krapov. & W.C.Greg.	gbif_control_basis	gbif:5353841	Fabaceae	Arachis	0	0	EXACT;status=ACCEPTED;confidence=99	control_wfo_projection_not_attempted	0	3929	genus_near	matched_control_diagnostic	
matched_control_existing	Quercus alba L.	gbif_control_basis	gbif:2879737	Fagaceae	Quercus	0	0	EXACT;status=ACCEPTED;confidence=98	control_wfo_projection_not_attempted	0	6481	genus_near	matched_control_diagnostic	
matched_control_existing	Iris fulva Ker Gawl.	gbif_control_basis	gbif:5299121	Iridaceae	Iris	0	0	EXACT;status=ACCEPTED;confidence=98	control_wfo_projection_not_attempted	0	325	genus_near	matched_control_diagnostic	
matched_control_existing	Gossypium arboreum L.	gbif_control_basis	gbif:3152663	Malvaceae	Gossypium	0	0	EXACT;status=ACCEPTED;confidence=97	control_wfo_projection_not_attempted	0	4459	genus_near	matched_control_diagnostic	
matched_control_existing	Musa acuminata Colla	gbif_control_basis	gbif:2762680	Musaceae	Musa	0	0	EXACT;status=ACCEPTED;confidence=99	control_wfo_projection_not_attempted	0	15810	genus_near	matched_control_diagnostic	
matched_control_existing	Sporobolus alterniflorus (Loisel.) P.M.Peterson & Saarela	gbif_control_basis	gbif:9394776	Poaceae	Sporobolus	0	0	EXACT;status=ACCEPTED;confidence=99	control_wfo_projection_not_attempted	0	351	family_near	matched_control_diagnostic	
matched_control_existing	Triticum monococcum L.	gbif_control_basis	gbif:7883427	Poaceae	Triticum	0	0	EXACT;status=ACCEPTED;confidence=99	control_wfo_projection_not_attempted	0	5613	genus_near	matched_control_diagnostic	
matched_control_existing	Fragaria vesca L.	gbif_control_basis	gbif:3029817	Rosaceae	Fragaria	0	0	EXACT;status=ACCEPTED;confidence=98	control_wfo_projection_not_attempted	0	14287	genus_near	matched_control_diagnostic	
matched_control_existing	Malus domestica (Suckow) Borkh.	gbif_control_basis	gbif:3001244	Rosaceae	Malus	0	0	EXACT;status=ACCEPTED;confidence=98	control_wfo_projection_not_attempted	0	36942	genus_near	matched_control_diagnostic	
matched_control_existing	Rosa rugosa Thunb.	gbif_control_basis	gbif:3003979	Rosaceae	Rosa	0	0	EXACT;status=ACCEPTED;confidence=97	control_wfo_projection_not_attempted	0	6762	genus_near	matched_control_diagnostic	
matched_control_existing	Coffea canephora Pierre ex A.Froehner	gbif_control_basis	gbif:2895528	Rubiaceae	Coffea	0	0	EXACT;status=ACCEPTED;confidence=97	control_wfo_projection_not_attempted	0	14301	genus_near	matched_control_diagnostic	
matched_control_existing	Citrus medica L.	gbif_control_basis	gbif:3190157	Rutaceae	Citrus	0	0	EXACT;status=ACCEPTED;confidence=97	control_wfo_projection_not_attempted	0	5086	genus_near	matched_control_diagnostic	
matched_control_existing	Nicotiana sylvestris Speg.	gbif_control_basis	gbif:2928767	Solanaceae	Nicotiana	0	0	EXACT;status=ACCEPTED;confidence=99	control_wfo_projection_not_attempted	0	3693	genus_near	matched_control_diagnostic	
