gbif_taxon_key	gbif_scientific_name	gbif_status	gbif_rank	wfo_candidate_key	wfo_candidate_name	match_type	match_confidence	accepted_key_basis	crosswalk_status	rejection_reason	source_url	access_date
gbif:3119149	Helianthus paradoxus Heiser	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:5298384	Iris ×nelsonii Randolph	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:3001244	Malus domestica (Suckow) Borkh.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:2762752	Musa ×paradisiaca L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:2928774	Nicotiana tabacum L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:7931731	Prunus domestica L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:2878688	Quercus robur L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:3002461	Rosa canina L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:9398259	Sporobolus anglicus (C.E.Hubb.) P.M.Peterson & Saarela	SYNONYM	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:5386951	Tragopogon ×mirus Ownbey	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:5386909	Tragopogon ×miscellus Ownbey	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
gbif:7795888	Triticum aestivum L.	ACCEPTED	species			no_exact_wfo_species_projection	low	gbif_sidecar	gbif_sidecar_admitted	No exact species-level WFO projection in frozen local crosswalk; GBIF accepted key retained only as labeled sidecar evidence	local:phytograph_dataset/taxon_crosswalk.parquet; local:tracks/track1/data/free_tier_reticulation_evidence.tsv	2026-05-18
