candidate_id	source_edge_id	rank	candidate_status	candidate_score	raw_scientific_name	accepted_taxon_key	pending_crosswalk	candidate_class	plant_node_id	fruit_type_node_id	extinct_fauna_node_id	geographic_scope	primary_citation_short	primary_citation_page	allowed_evidence_scope	interpretation_caveat	inferred_anachronism_claim	enters_prediction_ledger	evidence_boundary	morphology_support	extinct_partner_support	modern_failure_support	spatiotemporal_compatibility	provenance_completeness	penalty_living_megafauna_ambiguous	penalty_source_singleton	ambiguity_flag
T2C0003	AnachronismCanon:edge:Gleditsia_triacanthos::Bison_latifrons::Barlow2000	11	data_limited	0.65	Gleditsia triacanthos		True	north_american_temperate_megafauna_fruit	taxon:AnachronismCanon:plant:Gleditsia_triacanthos	fruit_type:AnachronismCanon:fruit_type:long_legume_pod_sweet_pulp	extinct_fauna:LQE:Bison_latifrons	Eastern North America	Barlow2000	Ghosts of Evolution, Chapter 2	cited hypothesis only; not inferred by Barrier 1	hypothesis per Barlow C. (Barlow2000); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.5	1.0	1.0	1.0	1.0	living_megafauna_compatible_genus
T2C0001	AnachronismCanon:edge:Adansonia_grandidieri::Aepyornis_maximus::Bond&Silander2007	12	insufficient_support	0.55	Adansonia grandidieri	wfo:wfo-0000519676-2025-12	False	madagascar_elephant_bird_baobab	taxon:AnachronismCanon:plant:Adansonia_grandidieri	fruit_type:AnachronismCanon:fruit_type:large_pod_pulp	extinct_fauna:LQE:Aepyornis_maximus	Madagascar	Bond&Silander2007	Proc R Soc B 274:1985	cited hypothesis only; not inferred by Barrier 1	hypothesis per Bond W.J., Silander J.A. (Bond&Silander2007); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0002	AnachronismCanon:edge:Adansonia_za::Aepyornis_maximus::Bond&Silander2007	13	insufficient_support	0.55	Adansonia za	wfo:wfo-0000519694-2025-12	False	madagascar_elephant_bird_baobab	taxon:AnachronismCanon:plant:Adansonia_za	fruit_type:AnachronismCanon:fruit_type:large_pod_pulp	extinct_fauna:LQE:Aepyornis_maximus	Madagascar	Bond&Silander2007	Proc R Soc B 274:1985	cited hypothesis only; not inferred by Barrier 1	hypothesis per Bond W.J., Silander J.A. (Bond&Silander2007); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0006	AnachronismCanon:edge:Annona_cherimola::Cuvieronius_tropicus::Janzen&Martin1982	14	insufficient_support	0.55	Annona cherimola	wfo:wfo-0000537707-2025-12	False	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Annona_cherimola	fruit_type:AnachronismCanon:fruit_type:fleshy_aggregate_large	extinct_fauna:LQE:Cuvieronius_tropicus	Andean South America	Janzen&Martin1982	Science 215:19-27, p.24	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.5	1.0	0.0	1.0	source_singleton
T2C0025	AnachronismCanon:edge:Annona_muricata::Notiomastodon_platensis::Guimaraes2008	15	insufficient_support	0.55	Annona muricata	wfo:wfo-0000537848-2025-12	False	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Annona_muricata	fruit_type:AnachronismCanon:fruit_type:fleshy_aggregate_large	extinct_fauna:LQE:Notiomastodon_platensis	Neotropics	Guimaraes2008	PLoS ONE 3:e1745, Table 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.875	1.0	0.0	1.0	source_singleton
T2C0023	AnachronismCanon:edge:Bertholletia_excelsa::Megatherium_americanum::Hansen&Galetti2009	16	insufficient_support	0.55	Bertholletia excelsa	wfo:wfo-0000775013-2025-12	False	amazonian_palm_or_ground_sloth_fruit	taxon:AnachronismCanon:plant:Bertholletia_excelsa	fruit_type:AnachronismCanon:fruit_type:woody_indehiscent_capsule	extinct_fauna:LQE:Megatherium_americanum	Amazonian South America	Hansen&Galetti2009	Science 324:42	cited hypothesis only; not inferred by Barrier 1	hypothesis per Hansen D.M., Galetti M. (Hansen&Galetti2009); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0013	AnachronismCanon:edge:Cassia_grandis::Cuvieronius_tropicus::Janzen&Martin1982	17	data_limited	0.55	Cassia grandis		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Cassia_grandis	fruit_type:AnachronismCanon:fruit_type:long_legume_pod_pulp	extinct_fauna:LQE:Cuvieronius_tropicus	Neotropics	Janzen&Martin1982	Science 215:19-27, p.24	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.875	1.0	0.0	1.0	source_singleton
T2C0012	AnachronismCanon:edge:Crescentia_cujete::Cuvieronius_tropicus::Janzen&Martin1982	18	data_limited	0.55	Crescentia cujete		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Crescentia_cujete	fruit_type:AnachronismCanon:fruit_type:large_woody_indehiscent	extinct_fauna:LQE:Cuvieronius_tropicus	Neotropics	Janzen&Martin1982	Science 215:19-27, p.25	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.875	1.0	0.0	1.0	source_singleton
T2C0005	AnachronismCanon:edge:Enterolobium_cyclocarpum::Cuvieronius_tropicus::Janzen&Martin1982	19	data_limited	0.55	Enterolobium cyclocarpum		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Enterolobium_cyclocarpum	fruit_type:AnachronismCanon:fruit_type:ear-shaped_legume	extinct_fauna:LQE:Cuvieronius_tropicus	Neotropics	Janzen&Martin1982	Science 215:19-27, p.24	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.875	1.0	0.0	1.0	source_singleton
T2C0027	AnachronismCanon:edge:Genipa_americana::Notiomastodon_platensis::Guimaraes2008	20	data_limited	0.55	Genipa americana		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Genipa_americana	fruit_type:AnachronismCanon:fruit_type:large_berry_indehiscent	extinct_fauna:LQE:Notiomastodon_platensis	Neotropics	Guimaraes2008	PLoS ONE 3:e1745, Table 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.875	1.0	0.0	1.0	source_singleton
T2C0020	AnachronismCanon:edge:Gleditsia_triacanthos::Mammut_americanum::Janzen&Martin1982	21	data_limited	0.55	Gleditsia triacanthos		True	north_american_temperate_megafauna_fruit	taxon:AnachronismCanon:plant:Gleditsia_triacanthos	fruit_type:AnachronismCanon:fruit_type:long_legume_pod_sweet_pulp	extinct_fauna:LQE:Mammut_americanum	Eastern North America	Janzen&Martin1982	Science 215:19-27, p.23	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0029	AnachronismCanon:edge:Hymenaea_courbaril::Notiomastodon_platensis::Janzen&Martin1982	22	data_limited	0.55	Hymenaea courbaril		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Hymenaea_courbaril	fruit_type:AnachronismCanon:fruit_type:large_legume_pod_resinous	extinct_fauna:LQE:Notiomastodon_platensis	Neotropics	Janzen&Martin1982	Science 215:19-27, p.24	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.875	1.0	0.0	1.0	source_singleton
T2C0022	AnachronismCanon:edge:Mauritia_flexuosa::Megatherium_americanum::Guimaraes2008	23	data_limited	0.55	Mauritia flexuosa		True	amazonian_palm_or_ground_sloth_fruit	taxon:AnachronismCanon:plant:Mauritia_flexuosa	fruit_type:AnachronismCanon:fruit_type:large_palm_drupe_scaly	extinct_fauna:LQE:Megatherium_americanum	Amazonian South America	Guimaraes2008	PLoS ONE 3:e1745, Table 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0030	AnachronismCanon:edge:Mauritia_flexuosa::Notiomastodon_platensis::Guimaraes2008	24	data_limited	0.55	Mauritia flexuosa		True	amazonian_palm_or_ground_sloth_fruit	taxon:AnachronismCanon:plant:Mauritia_flexuosa	fruit_type:AnachronismCanon:fruit_type:large_palm_drupe_scaly	extinct_fauna:LQE:Notiomastodon_platensis	Amazonian South America	Guimaraes2008	PLoS ONE 3:e1745, Table 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0010	AnachronismCanon:edge:Persea_americana::Cuvieronius_tropicus::Janzen&Martin1982	25	data_limited	0.55	Persea americana		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Persea_americana	fruit_type:AnachronismCanon:fruit_type:large_drupe_thin_pulp	extinct_fauna:LQE:Cuvieronius_tropicus	Mesoamerica	Janzen&Martin1982	Science 215:19-27, p.22	cited hypothesis only; not inferred by Barrier 1	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.5	1.0	0.0	1.0	source_singleton
T2C0031	AnachronismCanon:edge:Persea_americana::Stegomastodon_waringi::Guimaraes2008	26	data_limited	0.55	Persea americana		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Persea_americana	fruit_type:AnachronismCanon:fruit_type:large_drupe_thin_pulp	extinct_fauna:LQE:Stegomastodon_waringi	South America	Guimaraes2008	PLoS ONE 3:e1745, Table 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0008	AnachronismCanon:edge:Pithecellobium_dulce::Cuvieronius_tropicus::Guimaraes2008	27	data_limited	0.55	Pithecellobium dulce		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Pithecellobium_dulce	fruit_type:AnachronismCanon:fruit_type:fleshy_legume_aril	extinct_fauna:LQE:Cuvieronius_tropicus	Mesoamerica	Guimaraes2008	PLoS ONE 3:e1745, Table 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.5	1.0	0.0	1.0	source_singleton
T2C0014	AnachronismCanon:edge:Pseudopanax_crassifolius::Dinornis_novaezealandiae::Greenwood&Atkinson1977	28	data_limited	0.55	Pseudopanax crassifolius		True	new_zealand_moa_divarication	taxon:AnachronismCanon:plant:Pseudopanax_crassifolius	fruit_type:AnachronismCanon:fruit_type:divaricating_juvenile	extinct_fauna:LQE:Dinornis_novaezealandiae	New Zealand	Greenwood&Atkinson1977	Proc NZ Ecol Soc 24:21	cited hypothesis only; not inferred by Barrier 1	hypothesis per Greenwood R.M., Atkinson I.A.E. (Greenwood&Atkinson1977); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0015	AnachronismCanon:edge:Pseudopanax_crassifolius::Dinornis_robustus::Greenwood&Atkinson1977	29	data_limited	0.55	Pseudopanax crassifolius		True	new_zealand_moa_divarication	taxon:AnachronismCanon:plant:Pseudopanax_crassifolius	fruit_type:AnachronismCanon:fruit_type:divaricating_juvenile	extinct_fauna:LQE:Dinornis_robustus	New Zealand	Greenwood&Atkinson1977	Proc NZ Ecol Soc 24:21	cited hypothesis only; not inferred by Barrier 1	hypothesis per Greenwood R.M., Atkinson I.A.E. (Greenwood&Atkinson1977); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	1.0	1.0	0.0	1.0	source_singleton
T2C0026	AnachronismCanon:edge:Spondias_mombin::Notiomastodon_platensis::Guimaraes2008	30	data_limited	0.55	Spondias mombin		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Spondias_mombin	fruit_type:AnachronismCanon:fruit_type:fleshy_drupe_large	extinct_fauna:LQE:Notiomastodon_platensis	Neotropics	Guimaraes2008	PLoS ONE 3:e1745, Table 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.875	1.0	0.0	1.0	source_singleton
T2C0007	AnachronismCanon:edge:Spondias_purpurea::Cuvieronius_tropicus::Guimaraes2008	31	data_limited	0.55	Spondias purpurea		True	neotropical_gomphothere_large_fruit	taxon:AnachronismCanon:plant:Spondias_purpurea	fruit_type:AnachronismCanon:fruit_type:fleshy_drupe_large	extinct_fauna:LQE:Cuvieronius_tropicus	Mesoamerica	Guimaraes2008	PLoS ONE 3:e1745, Table 1	cited hypothesis only; not inferred by Barrier 1	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	False	False	candidate prioritization only; not established anachronism status	1.0	1.0	0.0	0.5	1.0	0.0	1.0	source_singleton
