n,trial,observable,value,seed
100,2,top_nontrivial_4,3.250374824361456,20260515
100,2,top_nontrivial_5,3.2140820180538703,20260515
100,2,window_neg_edge,0.21,20260515
100,2,window_neg_mid,0.29,20260515
100,2,window_pos_mid,0.25,20260515
100,2,window_pos_edge,0.25,20260515
100,2,trace_moment_2_per_vertex,4.239999999999999,20260515
100,2,centered_trace_moment_2,0.23999999999999932,20260515
100,2,trace_moment_4_per_vertex,31.519999999999982,20260515
100,2,centered_trace_moment_4,3.519999999999982,20260515
100,2,trace_moment_6_per_vertex,283.2999999999997,20260515
100,2,centered_trace_moment_6,51.29999999999973,20260515
100,2,trace_moment_8_per_vertex,2861.7599999999948,20260515
100,2,centered_trace_moment_8,769.7599999999948,20260515
100,2,spectral_radius_nontrivial,3.5053283552525962,20260515
100,3,top_nontrivial_1,3.4033991044061143,20260515
100,3,top_nontrivial_2,3.2688789827415055,20260515
100,3,top_nontrivial_3,3.203993868294854,20260515
100,3,top_nontrivial_4,3.1648191623401316,20260515
100,3,top_nontrivial_5,3.0968441678356897,20260515
100,3,window_neg_edge,0.21,20260515
100,3,window_neg_mid,0.29,20260515
100,3,window_pos_mid,0.28,20260515
100,3,window_pos_edge,0.22,20260515
100,3,trace_moment_2_per_vertex,4.080000000000001,20260515
100,3,centered_trace_moment_2,0.08000000000000096,20260515
100,3,trace_moment_4_per_vertex,30.08000000000002,20260515
100,3,centered_trace_moment_4,2.0800000000000196,20260515
100,3,trace_moment_6_per_vertex,271.38000000000045,20260515
100,3,centered_trace_moment_6,39.38000000000045,20260515
100,3,trace_moment_8_per_vertex,2763.040000000007,20260515
100,3,centered_trace_moment_8,671.0400000000068,20260515
100,3,spectral_radius_nontrivial,3.4033991044061143,20260515
100,4,top_nontrivial_1,3.446306287905226,20260515
100,4,top_nontrivial_2,3.390159416739776,20260515
100,4,top_nontrivial_3,3.360821702278669,20260515
100,4,top_nontrivial_4,3.242617175989983,20260515
100,4,top_nontrivial_5,3.1386395237700064,20260515
100,4,window_neg_edge,0.22,20260515
100,4,window_neg_mid,0.26,20260515
100,4,window_pos_mid,0.29,20260515
100,4,window_pos_edge,0.23,20260515
100,4,trace_moment_2_per_vertex,4.260000000000001,20260515
100,4,centered_trace_moment_2,0.2600000000000007,20260515
100,4,trace_moment_4_per_vertex,32.180000000000014,20260515
100,4,centered_trace_moment_4,4.180000000000014,20260515
100,4,trace_moment_6_per_vertex,294.60000000000014,20260515
100,4,centered_trace_moment_6,62.600000000000136,20260515
100,4,trace_moment_8_per_vertex,3024.3400000000024,20260515
100,4,centered_trace_moment_8,932.3400000000024,20260515
100,4,spectral_radius_nontrivial,3.446306287905226,20260515
100,5,top_nontrivial_1,3.4135256492347588,20260515
100,5,top_nontrivial_2,3.316255870662662,20260515
100,5,top_nontrivial_3,3.229023705394593,20260515
100,5,top_nontrivial_4,3.194887095242049,20260515
100,5,top_nontrivial_5,3.124427306880353,20260515
100,5,window_neg_edge,0.21,20260515
100,5,window_neg_mid,0.28,20260515
100,5,window_pos_mid,0.28,20260515
100,5,window_pos_edge,0.23,20260515
100,5,trace_moment_2_per_vertex,4.159999999999999,20260515
100,5,centered_trace_moment_2,0.15999999999999925,20260515
100,5,trace_moment_4_per_vertex,31.12,20260515
100,5,centered_trace_moment_4,3.120000000000001,20260515
100,5,trace_moment_6_per_vertex,281.96000000000015,20260515
100,5,centered_trace_moment_6,49.96000000000015,20260515
100,5,trace_moment_8_per_vertex,2861.0400000000027,20260515
100,5,centered_trace_moment_8,769.0400000000027,20260515
100,5,spectral_radius_nontrivial,3.4135256492347588,20260515
100,6,top_nontrivial_1,3.2758285611888778,20260515
100,6,top_nontrivial_2,3.2513109350406735,20260515
100,6,top_nontrivial_3,3.1318362287861268,20260515
100,6,top_nontrivial_4,3.1280937650437672,20260515
100,6,top_nontrivial_5,3.0493630205980526,20260515
100,6,window_neg_edge,0.2,20260515
100,6,window_neg_mid,0.31,20260515
100,6,window_pos_mid,0.26,20260515
100,6,window_pos_edge,0.23,20260515
100,6,trace_moment_2_per_vertex,4.06,20260515
100,6,centered_trace_moment_2,0.05999999999999961,20260515
100,6,trace_moment_4_per_vertex,29.42,20260515
100,6,centered_trace_moment_4,1.4200000000000017,20260515
100,6,trace_moment_6_per_vertex,258.64,20260515
100,6,centered_trace_moment_6,26.639999999999986,20260515
100,6,trace_moment_8_per_vertex,2567.1799999999976,20260515
100,6,centered_trace_moment_8,475.17999999999756,20260515
100,6,spectral_radius_nontrivial,3.2758285611888778,20260515
100,7,top_nontrivial_1,3.357881798448978,20260515
100,7,top_nontrivial_2,3.208206932594352,20260515
100,7,top_nontrivial_3,3.1980062292521323,20260515
100,7,top_nontrivial_4,3.1169969309060477,20260515
100,7,top_nontrivial_5,3.0564863463818757,20260515
100,7,window_neg_edge,0.22,20260515
100,7,window_neg_mid,0.28,20260515
100,7,window_pos_mid,0.28,20260515
100,7,window_pos_edge,0.22,20260515
100,7,trace_moment_2_per_vertex,4.079999999999999,20260515
100,7,centered_trace_moment_2,0.07999999999999918,20260515
100,7,trace_moment_4_per_vertex,29.759999999999994,20260515
100,7,centered_trace_moment_4,1.7599999999999945,20260515
100,7,trace_moment_6_per_vertex,264.29999999999995,20260515
100,7,centered_trace_moment_6,32.299999999999955,20260515
100,7,trace_moment_8_per_vertex,2654.079999999999,20260515
100,7,centered_trace_moment_8,562.079999999999,20260515
100,7,spectral_radius_nontrivial,3.357881798448978,20260515
100,8,top_nontrivial_1,3.4403388860187047,20260515
100,8,top_nontrivial_2,3.3555505497715865,20260515
100,8,top_nontrivial_3,3.312936041132133,20260515
100,8,top_nontrivial_4,3.201295104879328,20260515
100,8,top_nontrivial_5,3.1319124475095563,20260515
100,8,window_neg_edge,0.22,20260515
100,8,window_neg_mid,0.28,20260515
100,8,window_pos_mid,0.27,20260515
100,8,window_pos_edge,0.23,20260515
100,8,trace_moment_2_per_vertex,4.28,20260515
100,8,centered_trace_moment_2,0.28000000000000025,20260515
100,8,trace_moment_4_per_vertex,32.040000000000006,20260515
100,8,centered_trace_moment_4,4.040000000000006,20260515
100,8,trace_moment_6_per_vertex,291.61999999999995,20260515
100,8,centered_trace_moment_6,59.61999999999995,20260515
100,8,trace_moment_8_per_vertex,2982.279999999999,20260515
100,8,centered_trace_moment_8,890.2799999999988,20260515
100,8,spectral_radius_nontrivial,3.4403388860187047,20260515
100,9,top_nontrivial_1,3.3654963738639734,20260515
100,9,top_nontrivial_2,3.283202228070342,20260515
100,9,top_nontrivial_3,3.2380268937706167,20260515
100,9,top_nontrivial_4,3.157428714420997,20260515
100,9,top_nontrivial_5,3.0688950958833243,20260515
100,9,window_neg_edge,0.22,20260515
100,9,window_neg_mid,0.28,20260515
100,9,window_pos_mid,0.28,20260515
100,9,window_pos_edge,0.22,20260515
100,9,trace_moment_2_per_vertex,4.1000000000000005,20260515
100,9,centered_trace_moment_2,0.10000000000000053,20260515
100,9,trace_moment_4_per_vertex,29.859999999999996,20260515
100,9,centered_trace_moment_4,1.8599999999999959,20260515
100,9,trace_moment_6_per_vertex,265.76,20260515
100,9,centered_trace_moment_6,33.75999999999999,20260515
100,9,trace_moment_8_per_vertex,2672.42,20260515
100,9,centered_trace_moment_8,580.4200000000001,20260515
100,9,spectral_radius_nontrivial,3.3654963738639734,20260515
100,10,top_nontrivial_1,3.448210380172943,20260515
100,10,top_nontrivial_2,3.249743062807449,20260515
100,10,top_nontrivial_3,3.2281400403269855,20260515
100,10,top_nontrivial_4,3.1825485646342755,20260515
100,10,top_nontrivial_5,3.10944784387316,20260515
100,10,window_neg_edge,0.2,20260515
100,10,window_neg_mid,0.3,20260515
100,10,window_pos_mid,0.29,20260515
100,10,window_pos_edge,0.21,20260515
100,10,trace_moment_2_per_vertex,4.099999999999999,20260515
100,10,centered_trace_moment_2,0.09999999999999876,20260515
100,10,trace_moment_4_per_vertex,30.100000000000005,20260515
100,10,centered_trace_moment_4,2.100000000000005,20260515
100,10,trace_moment_6_per_vertex,272.12000000000006,20260515
100,10,centered_trace_moment_6,40.12000000000006,20260515
100,10,trace_moment_8_per_vertex,2783.700000000001,20260515
100,10,centered_trace_moment_8,691.7000000000012,20260515
100,10,spectral_radius_nontrivial,3.448210380172943,20260515
100,11,top_nontrivial_1,3.482730601310333,20260515
100,11,top_nontrivial_2,3.3900137222842077,20260515
100,11,top_nontrivial_3,3.3041202043142186,20260515
100,11,top_nontrivial_4,3.1434668924807423,20260515
100,11,top_nontrivial_5,3.100243823912492,20260515
100,11,window_neg_edge,0.21,20260515
100,11,window_neg_mid,0.29,20260515
100,11,window_pos_mid,0.27,20260515
100,11,window_pos_edge,0.23,20260515
100,11,trace_moment_2_per_vertex,4.100000000000001,20260515
100,11,centered_trace_moment_2,0.10000000000000142,20260515
100,11,trace_moment_4_per_vertex,30.020000000000017,20260515
100,11,centered_trace_moment_4,2.0200000000000173,20260515
100,11,trace_moment_6_per_vertex,268.8800000000002,20260515
100,11,centered_trace_moment_6,36.88000000000022,20260515
100,11,trace_moment_8_per_vertex,2721.5400000000022,20260515
100,11,centered_trace_moment_8,629.5400000000022,20260515
100,11,spectral_radius_nontrivial,3.482730601310333,20260515
100,12,top_nontrivial_1,3.35894171207094,20260515
100,12,top_nontrivial_2,3.2676594190989112,20260515
100,12,top_nontrivial_3,3.234603883021,20260515
100,12,top_nontrivial_4,3.2005915823961693,20260515
100,12,top_nontrivial_5,3.0854421347436705,20260515
100,12,window_neg_edge,0.21,20260515
100,12,window_neg_mid,0.28,20260515
100,12,window_pos_mid,0.28,20260515
100,12,window_pos_edge,0.23,20260515
100,12,trace_moment_2_per_vertex,4.1,20260515
100,12,centered_trace_moment_2,0.09999999999999964,20260515
100,12,trace_moment_4_per_vertex,30.1,20260515
100,12,centered_trace_moment_4,2.1000000000000014,20260515
100,12,trace_moment_6_per_vertex,268.40000000000003,20260515
100,12,centered_trace_moment_6,36.400000000000034,20260515
100,12,trace_moment_8_per_vertex,2696.66,20260515
100,12,centered_trace_moment_8,604.6599999999999,20260515
100,12,spectral_radius_nontrivial,3.35894171207094,20260515
100,13,top_nontrivial_1,3.4922216348086756,20260515
100,13,top_nontrivial_2,3.3127987408977697,20260515
100,13,top_nontrivial_3,3.2290875894683593,20260515
100,13,top_nontrivial_4,3.1664171303408875,20260515
100,13,top_nontrivial_5,3.0871288623692537,20260515
100,13,window_neg_edge,0.21,20260515
100,13,window_neg_mid,0.29,20260515
100,13,window_pos_mid,0.27,20260515
100,13,window_pos_edge,0.23,20260515
100,13,trace_moment_2_per_vertex,4.159999999999998,20260515
100,13,centered_trace_moment_2,0.15999999999999837,20260515
100,13,trace_moment_4_per_vertex,30.87999999999998,20260515
100,13,centered_trace_moment_4,2.8799999999999812,20260515
100,13,trace_moment_6_per_vertex,279.07999999999964,20260515
100,13,centered_trace_moment_6,47.07999999999964,20260515
100,13,trace_moment_8_per_vertex,2837.9199999999955,20260515
100,13,centered_trace_moment_8,745.9199999999955,20260515
100,13,spectral_radius_nontrivial,3.4922216348086756,20260515
100,14,top_nontrivial_1,3.3401927711822257,20260515
100,14,top_nontrivial_2,3.333872512515678,20260515
100,14,top_nontrivial_3,3.294868051741702,20260515
100,14,top_nontrivial_4,3.1724841229511234,20260515
100,14,top_nontrivial_5,3.1542221247118274,20260515
100,14,window_neg_edge,0.21,20260515
100,14,window_neg_mid,0.28,20260515
100,14,window_pos_mid,0.27,20260515
100,14,window_pos_edge,0.24,20260515
100,14,trace_moment_2_per_vertex,4.140000000000001,20260515
100,14,centered_trace_moment_2,0.14000000000000057,20260515
100,14,trace_moment_4_per_vertex,30.060000000000016,20260515
100,14,centered_trace_moment_4,2.0600000000000165,20260515
100,14,trace_moment_6_per_vertex,265.0200000000002,20260515
100,14,centered_trace_moment_6,33.02000000000021,20260515
100,14,trace_moment_8_per_vertex,2644.1400000000035,20260515
100,14,centered_trace_moment_8,552.1400000000035,20260515
100,14,spectral_radius_nontrivial,3.3401927711822257,20260515
100,15,top_nontrivial_1,3.4501263132870528,20260515
100,15,top_nontrivial_2,3.3152635680726004,20260515
100,15,top_nontrivial_3,3.259820255227973,20260515
100,15,top_nontrivial_4,3.187662967466004,20260515
100,15,top_nontrivial_5,3.1187788972649457,20260515
100,15,window_neg_edge,0.21,20260515
100,15,window_neg_mid,0.29,20260515
100,15,window_pos_mid,0.27,20260515
100,15,window_pos_edge,0.23,20260515
100,15,trace_moment_2_per_vertex,4.200000000000001,20260515
100,15,centered_trace_moment_2,0.20000000000000107,20260515
100,15,trace_moment_4_per_vertex,31.960000000000008,20260515
100,15,centered_trace_moment_4,3.960000000000008,20260515
100,15,trace_moment_6_per_vertex,294.24,20260515
100,15,centered_trace_moment_6,62.24000000000001,20260515
100,15,trace_moment_8_per_vertex,3029.4,20260515
100,15,centered_trace_moment_8,937.4000000000001,20260515
100,15,spectral_radius_nontrivial,3.4501263132870528,20260515
100,16,top_nontrivial_1,3.3942003747716094,20260515
100,16,top_nontrivial_2,3.3333075375783383,20260515
100,16,top_nontrivial_3,3.2133552580574887,20260515
100,16,top_nontrivial_4,3.126421447449745,20260515
100,16,top_nontrivial_5,3.0909056073470933,20260515
100,16,window_neg_edge,0.2,20260515
100,16,window_neg_mid,0.29,20260515
100,16,window_pos_mid,0.28,20260515
100,16,window_pos_edge,0.23,20260515
100,16,trace_moment_2_per_vertex,4.120000000000001,20260515
100,16,centered_trace_moment_2,0.120000000000001,20260515
100,16,trace_moment_4_per_vertex,30.360000000000017,20260515
100,16,centered_trace_moment_4,2.360000000000017,20260515
100,16,trace_moment_6_per_vertex,271.54000000000013,20260515
100,16,centered_trace_moment_6,39.540000000000134,20260515
100,16,trace_moment_8_per_vertex,2733.400000000001,20260515
100,16,centered_trace_moment_8,641.400000000001,20260515
100,16,spectral_radius_nontrivial,3.3942003747716094,20260515
100,17,top_nontrivial_1,3.453597984954592,20260515
100,17,top_nontrivial_2,3.2512745718525675,20260515
100,17,top_nontrivial_3,3.136029171204549,20260515
100,17,top_nontrivial_4,3.0833037134665036,20260515
100,17,top_nontrivial_5,3.0197663090074367,20260515
100,17,window_neg_edge,0.21,20260515
100,17,window_neg_mid,0.29,20260515
100,17,window_pos_mid,0.29,20260515
100,17,window_pos_edge,0.21,20260515
100,17,trace_moment_2_per_vertex,4.020000000000001,20260515
100,17,centered_trace_moment_2,0.02000000000000135,20260515
100,17,trace_moment_4_per_vertex,29.059999999999995,20260515
100,17,centered_trace_moment_4,1.0599999999999952,20260515
100,17,trace_moment_6_per_vertex,255.84000000000003,20260515
100,17,centered_trace_moment_6,23.840000000000032,20260515
100,17,trace_moment_8_per_vertex,2552.9,20260515
100,17,centered_trace_moment_8,460.9000000000001,20260515
100,17,spectral_radius_nontrivial,3.453597984954592,20260515
100,18,top_nontrivial_1,3.3396174373514547,20260515
100,18,top_nontrivial_2,3.241055152732008,20260515
100,18,top_nontrivial_3,3.155801891605891,20260515
100,18,top_nontrivial_4,3.0728180862459773,20260515
100,18,top_nontrivial_5,3.062518808956238,20260515
100,18,window_neg_edge,0.23,20260515
100,18,window_neg_mid,0.27,20260515
100,18,window_pos_mid,0.29,20260515
100,18,window_pos_edge,0.21,20260515
100,18,trace_moment_2_per_vertex,4.12,20260515
100,18,centered_trace_moment_2,0.1200000000000001,20260515
100,18,trace_moment_4_per_vertex,29.960000000000015,20260515
100,18,centered_trace_moment_4,1.960000000000015,20260515
100,18,trace_moment_6_per_vertex,266.3200000000004,20260515
100,18,centered_trace_moment_6,34.32000000000039,20260515
100,18,trace_moment_8_per_vertex,2685.8000000000056,20260515
100,18,centered_trace_moment_8,593.8000000000056,20260515
100,18,spectral_radius_nontrivial,3.3396174373514547,20260515
100,19,top_nontrivial_1,3.5248855558009837,20260515
100,19,top_nontrivial_2,3.453725581322114,20260515
100,19,top_nontrivial_3,3.3921905280482876,20260515
100,19,top_nontrivial_4,3.2570809346876772,20260515
100,19,top_nontrivial_5,3.1487501187478095,20260515
100,19,window_neg_edge,0.22,20260515
100,19,window_neg_mid,0.27,20260515
100,19,window_pos_mid,0.28,20260515
100,19,window_pos_edge,0.23,20260515
100,19,trace_moment_2_per_vertex,4.26,20260515
100,19,centered_trace_moment_2,0.2599999999999998,20260515
100,19,trace_moment_4_per_vertex,32.34,20260515
100,19,centered_trace_moment_4,4.340000000000003,20260515
100,19,trace_moment_6_per_vertex,298.62000000000006,20260515
100,19,centered_trace_moment_6,66.62000000000006,20260515
100,19,trace_moment_8_per_vertex,3097.779999999999,20260515
100,19,centered_trace_moment_8,1005.7799999999988,20260515
100,19,spectral_radius_nontrivial,3.5248855558009837,20260515
100,20,top_nontrivial_1,3.3794250274041433,20260515
100,20,top_nontrivial_2,3.286590890673501,20260515
100,20,top_nontrivial_3,3.231187897804462,20260515
100,20,top_nontrivial_4,3.161993856165253,20260515
100,20,top_nontrivial_5,3.102339498989906,20260515
100,20,window_neg_edge,0.22,20260515
100,20,window_neg_mid,0.28,20260515
100,20,window_pos_mid,0.28,20260515
100,20,window_pos_edge,0.22,20260515
100,20,trace_moment_2_per_vertex,4.119999999999999,20260515
100,20,centered_trace_moment_2,0.11999999999999922,20260515
100,20,trace_moment_4_per_vertex,30.84,20260515
100,20,centered_trace_moment_4,2.84,20260515
100,20,trace_moment_6_per_vertex,279.5800000000001,20260515
100,20,centered_trace_moment_6,47.5800000000001,20260515
100,20,trace_moment_8_per_vertex,2839.960000000001,20260515
100,20,centered_trace_moment_8,747.960000000001,20260515
100,20,spectral_radius_nontrivial,3.3794250274041433,20260515
100,21,top_nontrivial_1,3.458617277728668,20260515
100,21,top_nontrivial_2,3.3678952136730684,20260515
100,21,top_nontrivial_3,3.222393813934571,20260515
100,21,top_nontrivial_4,3.164698282415812,20260515
100,21,top_nontrivial_5,3.0458619732646235,20260515
100,21,window_neg_edge,0.2,20260515
100,21,window_neg_mid,0.3,20260515
100,21,window_pos_mid,0.28,20260515
100,21,window_pos_edge,0.22,20260515
100,21,trace_moment_2_per_vertex,4.059999999999999,20260515
100,21,centered_trace_moment_2,0.05999999999999872,20260515
100,21,trace_moment_4_per_vertex,29.57999999999998,20260515
100,21,centered_trace_moment_4,1.5799999999999805,20260515
100,21,trace_moment_6_per_vertex,264.4599999999997,20260515
100,21,centered_trace_moment_6,32.459999999999695,20260515
100,21,trace_moment_8_per_vertex,2678.859999999995,20260515
100,21,centered_trace_moment_8,586.8599999999951,20260515
100,21,spectral_radius_nontrivial,3.458617277728668,20260515
100,22,top_nontrivial_1,3.4806196025064713,20260515
100,22,top_nontrivial_2,3.3050527559331657,20260515
100,22,top_nontrivial_3,3.269779110417838,20260515
100,22,top_nontrivial_4,3.218401237111086,20260515
100,22,top_nontrivial_5,3.1455405431926544,20260515
100,22,window_neg_edge,0.21,20260515
100,22,window_neg_mid,0.29,20260515
100,22,window_pos_mid,0.27,20260515
100,22,window_pos_edge,0.23,20260515
100,22,trace_moment_2_per_vertex,4.180000000000001,20260515
100,22,centered_trace_moment_2,0.1800000000000006,20260515
100,22,trace_moment_4_per_vertex,31.460000000000008,20260515
100,22,centered_trace_moment_4,3.460000000000008,20260515
100,22,trace_moment_6_per_vertex,286.0000000000001,20260515
100,22,centered_trace_moment_6,54.000000000000114,20260515
100,22,trace_moment_8_per_vertex,2908.5800000000013,20260515
100,22,centered_trace_moment_8,816.5800000000013,20260515
100,22,spectral_radius_nontrivial,3.4806196025064713,20260515
100,23,top_nontrivial_1,3.3101766657369307,20260515
100,23,top_nontrivial_2,3.279115151095123,20260515
100,23,top_nontrivial_3,3.1624670721678747,20260515
100,23,top_nontrivial_4,3.096628019424728,20260515
100,23,top_nontrivial_5,3.029935020477334,20260515
100,23,window_neg_edge,0.22,20260515
100,23,window_neg_mid,0.27,20260515
100,23,window_pos_mid,0.3,20260515
100,23,window_pos_edge,0.21,20260515
100,23,trace_moment_2_per_vertex,4.1,20260515
100,23,centered_trace_moment_2,0.09999999999999964,20260515
100,23,trace_moment_4_per_vertex,30.500000000000004,20260515
100,23,centered_trace_moment_4,2.5000000000000036,20260515
100,23,trace_moment_6_per_vertex,275.48000000000013,20260515
100,23,centered_trace_moment_6,43.48000000000013,20260515
100,23,trace_moment_8_per_vertex,2798.180000000003,20260515
100,23,centered_trace_moment_8,706.180000000003,20260515
100,23,spectral_radius_nontrivial,3.3101766657369307,20260515
100,24,top_nontrivial_1,3.435161670966837,20260515
100,24,top_nontrivial_2,3.2858437325943726,20260515
100,24,top_nontrivial_3,3.1968369332728015,20260515
100,24,top_nontrivial_4,3.168386119250857,20260515
100,24,top_nontrivial_5,3.140051160514727,20260515
100,24,window_neg_edge,0.21,20260515
100,24,window_neg_mid,0.28,20260515
100,24,window_pos_mid,0.29,20260515
100,24,window_pos_edge,0.22,20260515
100,24,trace_moment_2_per_vertex,4.119999999999999,20260515
100,24,centered_trace_moment_2,0.11999999999999922,20260515
100,24,trace_moment_4_per_vertex,30.519999999999985,20260515
100,24,centered_trace_moment_4,2.5199999999999854,20260515
100,24,trace_moment_6_per_vertex,274.65999999999974,20260515
100,24,centered_trace_moment_6,42.65999999999974,20260515
100,24,trace_moment_8_per_vertex,2777.879999999996,20260515
100,24,centered_trace_moment_8,685.879999999996,20260515
100,24,spectral_radius_nontrivial,3.435161670966837,20260515
100,25,top_nontrivial_1,3.414094678410296,20260515
100,25,top_nontrivial_2,3.3348802035148335,20260515
100,25,top_nontrivial_3,3.311142996383397,20260515
100,25,top_nontrivial_4,3.1891847261223805,20260515
100,25,top_nontrivial_5,3.105198644518949,20260515
100,25,window_neg_edge,0.22,20260515
100,25,window_neg_mid,0.27,20260515
100,25,window_pos_mid,0.27,20260515
100,25,window_pos_edge,0.24,20260515
100,25,trace_moment_2_per_vertex,4.260000000000001,20260515
100,25,centered_trace_moment_2,0.2600000000000007,20260515
100,25,trace_moment_4_per_vertex,32.10000000000001,20260515
100,25,centered_trace_moment_4,4.1000000000000085,20260515
100,25,trace_moment_6_per_vertex,291.4200000000002,20260515
100,25,centered_trace_moment_6,59.420000000000186,20260515
100,25,trace_moment_8_per_vertex,2964.2600000000025,20260515
100,25,centered_trace_moment_8,872.2600000000025,20260515
100,25,spectral_radius_nontrivial,3.414094678410296,20260515
100,26,top_nontrivial_1,3.501991778584135,20260515
100,26,top_nontrivial_2,3.365264375885188,20260515
100,26,top_nontrivial_3,3.32025775041422,20260515
100,26,top_nontrivial_4,3.283398043841239,20260515
100,26,top_nontrivial_5,3.1726844025355683,20260515
100,26,window_neg_edge,0.22,20260515
100,26,window_neg_mid,0.28,20260515
100,26,window_pos_mid,0.26,20260515
100,26,window_pos_edge,0.24,20260515
100,26,trace_moment_2_per_vertex,4.2799999999999985,20260515
100,26,centered_trace_moment_2,0.2799999999999985,20260515
100,26,trace_moment_4_per_vertex,32.91999999999997,20260515
100,26,centered_trace_moment_4,4.919999999999973,20260515
100,26,trace_moment_6_per_vertex,305.2999999999996,20260515
100,26,centered_trace_moment_6,73.29999999999961,20260515
100,26,trace_moment_8_per_vertex,3161.3999999999946,20260515
100,26,centered_trace_moment_8,1069.3999999999946,20260515
100,26,spectral_radius_nontrivial,3.501991778584135,20260515
100,27,top_nontrivial_1,3.3917470092918776,20260515
100,27,top_nontrivial_2,3.330703736553247,20260515
100,27,top_nontrivial_3,3.2729121019939527,20260515
100,27,top_nontrivial_4,3.196434054437393,20260515
100,27,top_nontrivial_5,3.157861343075516,20260515
100,27,window_neg_edge,0.22,20260515
100,27,window_neg_mid,0.27,20260515
100,27,window_pos_mid,0.29,20260515
100,27,window_pos_edge,0.22,20260515
100,27,trace_moment_2_per_vertex,4.14,20260515
100,27,centered_trace_moment_2,0.13999999999999968,20260515
100,27,trace_moment_4_per_vertex,31.1,20260515
100,27,centered_trace_moment_4,3.1000000000000014,20260515
100,27,trace_moment_6_per_vertex,282.7800000000001,20260515
100,27,centered_trace_moment_6,50.780000000000086,20260515
100,27,trace_moment_8_per_vertex,2874.460000000001,20260515
100,27,centered_trace_moment_8,782.460000000001,20260515
100,27,spectral_radius_nontrivial,3.3917470092918776,20260515
100,28,top_nontrivial_1,3.4986488837141883,20260515
100,28,top_nontrivial_2,3.3049026458218185,20260515
100,28,top_nontrivial_3,3.3034353370321226,20260515
100,28,top_nontrivial_4,3.1968217131934087,20260515
100,28,top_nontrivial_5,3.187753880282763,20260515
100,28,window_neg_edge,0.21,20260515
100,28,window_neg_mid,0.27,20260515
100,28,window_pos_mid,0.29,20260515
100,28,window_pos_edge,0.23,20260515
100,28,trace_moment_2_per_vertex,4.16,20260515
100,28,centered_trace_moment_2,0.16000000000000014,20260515
100,28,trace_moment_4_per_vertex,30.88,20260515
100,28,centered_trace_moment_4,2.879999999999999,20260515
100,28,trace_moment_6_per_vertex,279.20000000000005,20260515
100,28,centered_trace_moment_6,47.200000000000045,20260515
100,28,trace_moment_8_per_vertex,2844.0000000000005,20260515
100,28,centered_trace_moment_8,752.0000000000005,20260515
100,28,spectral_radius_nontrivial,3.4986488837141883,20260515
100,29,top_nontrivial_1,3.4445602005116545,20260515
100,29,top_nontrivial_2,3.4078372230215543,20260515
100,29,top_nontrivial_3,3.339628414197241,20260515
100,29,top_nontrivial_4,3.2881449132513967,20260515
100,29,top_nontrivial_5,3.216587852874346,20260515
100,29,window_neg_edge,0.23,20260515
100,29,window_neg_mid,0.26,20260515
100,29,window_pos_mid,0.28,20260515
100,29,window_pos_edge,0.23,20260515
100,29,trace_moment_2_per_vertex,4.36,20260515
100,29,centered_trace_moment_2,0.3600000000000003,20260515
100,29,trace_moment_4_per_vertex,33.64000000000001,20260515
100,29,centered_trace_moment_4,5.640000000000008,20260515
100,29,trace_moment_6_per_vertex,311.9800000000001,20260515
