n,sample_mode,template,vertices,edges,labels_used,cyclomatic_rank,is_rank_one_template,embedding_count_estimate,success_probability,naive_power,normalized_count,standard_error,samples,seed
4,exact,eight_word_cyclic_toy,8,8,a,1,1,0.0,0.0,0,0.0,0.0,0,20260515
4,monte_carlo,eight_word_cyclic_toy,8,8,a,1,1,0.0,0.0,0,0.0,0.0,5000,20260515
4,exact,eight_word_rank2_toy,7,8,a b,2,0,0.0,0.0,-1,0.0,0.0,0,20260515
4,monte_carlo,eight_word_rank2_toy,7,8,a b,2,0,0.0,0.0,-1,0.0,0.0,5000,20260515
4,exact,figure_eight_ab,1,2,a b,2,0,0.25,0.0625,-1,1.0,0.0,0,20260515
4,monte_carlo,figure_eight_ab,1,2,a b,2,0,0.25,0.0625,-1,1.0,0.0,5000,20260515
4,exact,no_edge_control,2,0,,0,0,12.0,1.0,2,0.75,0.0,0,20260515
4,monte_carlo,no_edge_control,2,0,,0,0,12.0,1.0,2,0.75,0.0,5000,20260515
4,exact,single_label_cycle,1,1,a,1,1,1.0,0.25,0,1.0,0.0,0,20260515
4,monte_carlo,single_label_cycle,1,1,a,1,1,1.0,0.25,0,1.0,0.0,5000,20260515
4,exact,theta_mixed,2,3,a b,2,0,0.25,0.020833333333333332,-1,1.0,0.0,0,20260515
4,monte_carlo,theta_mixed,2,3,a b,2,0,0.25,0.020833333333333336,-1,1.0,5.888435593068585e-19,5000,20260515
4,exact,trace_pair_toy,3,4,a b,2,0,0.16666666666666666,0.006944444444444444,-1,0.6666666666666666,0.0,0,20260515
4,monte_carlo,trace_pair_toy,3,4,a b,2,0,0.16666666666666669,0.006944444444444446,-1,0.6666666666666667,5.888435593068585e-19,5000,20260515
8,monte_carlo,cyclic_power_quotient,2,2,a,1,1,0.9999999999999996,0.01785714285714285,0,0.9999999999999996,5.495873220197346e-18,5000,20260515
8,monte_carlo,eight_word_cyclic_toy,8,8,a,1,1,1.0,2.48015873015873e-05,0,1.0,0.0,5000,20260515
8,monte_carlo,eight_word_rank2_toy,7,8,a b,2,0,0.014285714285714289,3.543083900226758e-07,-1,0.11428571428571431,3.018973326524421e-20,5000,20260515
8,monte_carlo,figure_eight_ab,1,2,a b,2,0,0.125,0.015625,-1,1.0,0.0,5000,20260515
8,monte_carlo,no_edge_control,2,0,,0,0,56.0,1.0,2,0.875,0.0,5000,20260515
8,monte_carlo,single_label_cycle,1,1,a,1,1,1.0,0.125,0,1.0,0.0,5000,20260515
8,monte_carlo,theta_mixed,2,3,a b,2,0,0.12499999999999994,0.002232142857142856,-1,0.9999999999999996,6.869841525246683e-19,5000,20260515
8,monte_carlo,trace_pair_toy,3,4,a b,2,0,0.10714285714285714,0.00031887755102040814,-1,0.8571428571428571,0.0,5000,20260515
20,monte_carlo,cyclic_power_quotient,2,2,a,1,1,1.0000000000000002,0.0026315789473684214,0,1.0000000000000002,2.3308390889229818e-18,5000,20260515
20,monte_carlo,eight_word_cyclic_toy,8,8,a,1,1,0.9999999999999999,1.968848718074724e-10,0,0.9999999999999999,1.8569339352650457e-18,5000,20260515
20,monte_carlo,eight_word_rank2_toy,7,8,a b,2,0,0.02889576883384932,7.395881665420015e-11,-1,0.5779153766769864,7.142053597173252e-20,5000,20260515
20,monte_carlo,figure_eight_ab,1,2,a b,2,0,0.05,0.0025,-1,1.0,0.0,5000,20260515
20,monte_carlo,no_edge_control,2,0,,0,0,380.0,1.0,2,0.95,0.0,5000,20260515
20,monte_carlo,single_label_cycle,1,1,a,1,1,0.9999999999999999,0.049999999999999996,0,0.9999999999999999,1.962811864356195e-18,5000,20260515
20,monte_carlo,theta_mixed,2,3,a b,2,0,0.04999999999999999,0.00013157894736842102,-1,0.9999999999999998,1.4567744305768636e-19,5000,20260515
20,monte_carlo,trace_pair_toy,3,4,a b,2,0,0.047368421052631574,6.925207756232686e-06,-1,0.9473684210526314,8.194356171994858e-20,5000,20260515
50,monte_carlo,cyclic_power_quotient,2,2,a,1,1,1.0000000000000002,0.00040816326530612257,0,1.0000000000000002,3.75694458411928e-18,5000,20260515
50,monte_carlo,eight_word_cyclic_toy,8,8,a,1,1,1.0,4.6195890452315996e-14,0,1.0,0.0,5000,20260515
50,monte_carlo,eight_word_rank2_toy,7,8,a b,2,0,0.01647850629613548,3.273328868198519e-14,-1,0.823925314806774,8.986840824362513e-20,5000,20260515
50,monte_carlo,figure_eight_ab,1,2,a b,2,0,0.020000000000000004,0.0004000000000000001,-1,1.0000000000000002,3.8336169225706935e-20,5000,20260515
50,monte_carlo,no_edge_control,2,0,,0,0,2450.0,1.0,2,0.98,0.0,5000,20260515
50,monte_carlo,single_label_cycle,1,1,a,1,1,1.0,0.02,0,1.0,0.0,5000,20260515
50,monte_carlo,theta_mixed,2,3,a b,2,0,0.020000000000000004,8.16326530612245e-06,-1,1.0000000000000002,0.0,5000,20260515
50,monte_carlo,trace_pair_toy,3,4,a b,2,0,0.019591836734693877,1.665972511453561e-07,-1,0.9795918367346939,0.0,5000,20260515
100,monte_carlo,cyclic_power_quotient,2,2,a,1,1,0.9999999999999999,0.000101010101010101,0,0.9999999999999999,1.8976403766724933e-18,5000,20260515
100,monte_carlo,eight_word_cyclic_toy,8,8,a,1,1,1.0000000000000002,1.3327888627512566e-16,0,1.0000000000000002,2.616058985147606e-18,5000,20260515
100,monte_carlo,eight_word_rank2_toy,7,8,a b,2,0,0.009109398211018239,1.1291041168270536e-16,-1,0.9109398211018238,0.0,5000,20260515
100,monte_carlo,figure_eight_ab,1,2,a b,2,0,0.010000000000000002,0.00010000000000000002,-1,1.0000000000000002,1.9168084612853468e-20,5000,20260515
100,monte_carlo,no_edge_control,2,0,,0,0,9900.0,1.0,2,0.99,0.0,5000,20260515
100,monte_carlo,single_label_cycle,1,1,a,1,1,1.0,0.01,0,1.0,0.0,5000,20260515
100,monte_carlo,theta_mixed,2,3,a b,2,0,0.01,1.01010101010101e-06,-1,1.0,0.0,5000,20260515
100,monte_carlo,trace_pair_toy,3,4,a b,2,0,0.009898989898989899,1.020304050607081e-08,-1,0.9898989898989898,0.0,5000,20260515
200,monte_carlo,cyclic_power_quotient,2,2,a,1,1,1.0000000000000002,2.512562814070352e-05,0,1.0000000000000002,1.90722441897892e-18,5000,20260515
200,monte_carlo,eight_word_cyclic_toy,8,8,a,1,1,1.0000000000000002,4.501277522699945e-19,0,1.0000000000000002,3.025750625553216e-18,5000,20260515
200,monte_carlo,eight_word_rank2_toy,7,8,a b,2,0,0.004776149629859806,4.149263569970343e-19,-1,0.9552299259719612,7.838732190552373e-21,5000,20260515
200,monte_carlo,figure_eight_ab,1,2,a b,2,0,0.005000000000000001,2.5000000000000005e-05,-1,1.0000000000000002,9.584042306426734e-21,5000,20260515
200,monte_carlo,no_edge_control,2,0,,0,0,39800.0,1.0,2,0.995,0.0,5000,20260515
200,monte_carlo,single_label_cycle,1,1,a,1,1,1.0,0.005,0,1.0,0.0,5000,20260515
200,monte_carlo,theta_mixed,2,3,a b,2,0,0.004999999999999998,1.2562814070351756e-07,-1,0.9999999999999997,1.4900190773272812e-20,5000,20260515
200,monte_carlo,trace_pair_toy,3,4,a b,2,0,0.004974874371859295,6.312971894649123e-10,-1,0.9949748743718589,2.3048732602406382e-20,5000,20260515
400,monte_carlo,cyclic_power_quotient,2,2,a,1,1,1.0000000000000002,6.265664160401004e-06,0,1.0000000000000002,1.9120164401321333e-18,5000,20260515
400,monte_carlo,eight_word_cyclic_toy,8,8,a,1,1,0.9999999999999998,1.6372405047415767e-21,0,0.9999999999999998,3.2494995105364925e-18,5000,20260515
400,monte_carlo,eight_word_rank2_toy,7,8,a b,2,0,0.0024438921563747604,1.5724870164613387e-21,-1,0.9775568625499041,4.1342232958479546e-21,5000,20260515
400,monte_carlo,figure_eight_ab,1,2,a b,2,0,0.0025000000000000005,6.250000000000001e-06,-1,1.0000000000000002,4.792021153213367e-21,5000,20260515
400,monte_carlo,no_edge_control,2,0,,0,0,159600.0,1.0,2,0.9975,0.0,5000,20260515
400,monte_carlo,single_label_cycle,1,1,a,1,1,1.0,0.0025,0,1.0,0.0,5000,20260515
400,monte_carlo,theta_mixed,2,3,a b,2,0,0.002500000000000001,1.5664160401002512e-08,-1,1.0000000000000004,7.468814219266146e-21,5000,20260515
400,monte_carlo,trace_pair_toy,3,4,a b,2,0,0.0024937343358395992,3.92585473709336e-11,-1,0.9974937343358397,0.0,5000,20260515
